Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,25,12,7.2,87.5,0.0
2022-01-02,20,10,4.8,80.0,0.0
2022-01-03,39,20,3.7,72.0,0.0
2022-01-04,43,20,5.8,73.5,0.0
2022-01-05,36,26,9.7,74.7,0.0
2022-01-06,23,10,5.8,75.5,0.0
2022-01-07,34,44,4.1,71.0,0.0
2022-01-08,38,17,5.6,75.6,0.0
2022-01-09,31,24,6.2,63.2,0.0
2022-01-10,27,21,4.6,52.0,0.0
2022-01-11,35,19,5.8,60.1,0.0
2022-01-12,36,16,3.2,75.7,0.0
2022-01-13,52,24,2.4,85.1,0.0
2022-01-14,24,10,6.4,83.3,0.0
2022-01-15,23,8,5.2,75.7,0.0
2022-01-16,54,23,2.6,71.2,0.0
2022-01-17,46,21,5.2,75.7,0.0
2022-01-18,39,15,5.6,75.4,0.0
2022-01-19,32,16,6.5,65.2,0.0
2022-01-20,21,12,4.1,64.0,0.0
2022-01-21,35,15,2.6,66.3,0.0
2022-01-22,41,18,5.7,65.4,0.0
2022-01-23,23,10,4.0,73.2,0.0
2022-01-24,34,12,3.6,75.2,0.0
2022-01-25,28,24,4.6,64.0,0.0
2022-01-26,38,26,3.8,63.2,0.0
2022-01-27,34,20,4.6,64.2,0.0
2022-01-28,25,31,4.0,71.2,0.0
2022-01-29,39,23,2.8,64.5,0.0
2022-01-30,58,30,2.5,70.8,0.0
2022-01-31,79,38,4.0,69.0,0.0
2022-02-01,66,30,4.2,71.8,0.0
2022-02-02,33,25,5.9,82.0,0.0
2022-02-03,20,16,6.5,72.6,0.0
2022-02-04,29,12,3.7,73.0,0.0
2022-02-05,52,19,4.4,66.2,0.0
2022-02-06,54,25,4.4,70.0,0.0
2022-02-07,53,38,4.2,73.5,0.0
2022-02-08,63,34,3.5,69.0,0.0
2022-02-09,32,13,4.5,75.5,0.0
2022-02-10,22,13,4.6,74.0,0.0
2022-02-11,24,11,5.8,79.2,0.0
2022-02-12,17,26,3.6,62.7,0.0
2022-02-13,23,24,2.5,62.3,0.0
2022-02-14,39,31,2.2,65.0,0.0
2022-02-15,63,35,4.5,69.2,0.0
2022-02-16,52,20,6.7,71.3,0.0
2022-02-17,30,26,7.0,80.7,0.0
2022-02-18,25,21,5.7,66.0,0.0
2022-02-19,24,21,5.6,57.2,0.0
2022-02-20,28,18,6.4,65.0,0.0
2022-02-21,49,15,2.7,80.0,0.0
2022-02-22,28,10,4.4,89.5,0.0
2022-02-23,20,11,4.8,69.8,0.0
2022-02-24,26,8,5.5,76.4,0.0
2022-02-25,24,9,3.1,77.0,0.0
2022-02-26,46,20,4.8,69.5,0.0
2022-02-27,44,23,4.2,61.7,0.0
2022-02-28,49,22,3.6,65.1,0.0
2022-03-01,43,19,2.8,69.6,0.0
2022-03-02,55,22,3.3,72.2,0.0
2022-03-03,16,9,4.1,63.6,0.0
2022-03-04,29,13,3.6,63.0,0.0
2022-03-05,45,21,4.8,62.0,0.0
2022-03-06,31,10,6.2,74.0,0.0
2022-03-07,28,11,4.8,80.0,0.0
2022-03-08,28,12,3.2,64.7,0.0
2022-03-09,39,14,4.0,63.7,0.0
2022-03-10,23,10,3.3,64.0,0.0
2022-03-11,25,15,5.5,56.5,0.0
2022-03-12,18,10,6.0,52.0,0.0
2022-03-13,25,13,5.3,57.1,0.0
2022-03-14,36,18,4.1,66.2,0.0
2022-03-15,47,15,2.5,79.8,0.0
2022-03-16,63,29,3.0,66.0,0.0
2022-03-17,62,21,2.4,64.7,0.0
2022-03-18,35,10,6.2,86.7,0.0
2022-03-19,18,6,4.7,90.0,0.0
2022-03-20,26,10,2.0,63.7,0.0
2022-03-21,48,28,3.3,54.0,0.0
2022-03-22,37,11,5.5,80.4,0.0
2022-03-23,35,12,3.4,90.0,0.0
2022-03-24,16,6,3.2,88.8,0.0
2022-03-25,23,9,6.0,76.8,0.0
2022-03-26,14,8,6.5,63.5,0.0
2022-03-27,15,6,4.0,55.7,0.0
2022-03-28,17,9,3.6,51.9,0.0
2022-03-29,24,12,5.8,56.5,0.0
2022-03-30,34,19,4.3,84.3,0.0
2022-03-31,16,4,4.1,86.0,0.0
2022-04-01,19,8,3.8,69.1,0.0
2022-04-02,37,13,2.5,83.5,0.0
2022-04-03,46,11,2.1,84.6,0.0
2022-04-04,36,13,3.7,78.5,0.0
2022-04-05,57,19,3.0,81.5,0.0
2022-04-06,20,11,5.8,69.5,0.0
2022-04-07,13,4,5.6,72.5,0.0
2022-04-08,15,5,3.4,84.0,0.0
2022-04-09,13,5,3.4,65.9,0.0
2022-04-10,25,10,5.6,47.0,0.0
2022-04-11,31,13,4.1,50.4,0.0
2022-04-12,41,21,5.3,65.0,0.0
2022-04-13,35,18,5.7,81.0,0.0
2022-04-14,21,15,7.6,43.0,0.0
2022-04-15,18,12,5.5,42.0,0.0
2022-04-16,20,7,3.7,53.5,0.0
2022-04-17,18,5,3.9,61.2,0.0
2022-04-18,24,8,4.3,81.2,0.0
2022-04-19,19,7,4.1,64.7,0.0
2022-04-20,33,15,5.2,67.2,0.0
2022-04-21,22,10,5.0,59.7,0.0
2022-04-22,38,10,3.6,74.8,0.0
2022-04-23,50,21,5.7,59.2,0.0
2022-04-24,40,15,6.2,66.5,0.0
2022-04-25,14,8,5.2,59.0,0.0
2022-04-26,19,8,5.0,61.3,0.0
2022-04-27,16,7,3.9,67.0,0.0
2022-04-28,29,12,3.7,63.8,0.0
2022-04-29,37,20,4.0,51.6,0.0
2022-04-30,42,17,5.3,72.2,0.0
2022-05-01,14,6,5.0,73.7,0.0
2022-05-02,20,9,2.7,68.7,0.0
2022-05-03,35,9,6.4,89.6,0.0
2022-05-04,11,6,4.2,75.8,0.0
2022-05-05,31,14,2.0,82.8,0.0
2022-05-06,29,12,4.8,85.9,0.0
2022-05-07,20,10,3.7,49.4,0.0
2022-05-08,26,13,3.6,54.0,0.0
2022-05-09,26,23,5.6,57.7,0.0
2022-05-10,55,28,3.6,68.0,0.0
2022-05-11,72,33,2.0,71.7,0.0
2022-05-12,59,36,3.8,46.2,0.0
2022-05-13,29,26,2.8,43.0,0.0
2022-05-14,41,20,2.0,57.0,0.0
2022-05-15,33,17,2.2,57.2,0.0
2022-05-16,24,17,4.5,42.0,0.0
2022-05-17,16,9,2.2,55.6,0.0
2022-05-18,33,10,1.8,82.2,0.0
2022-05-19,55,24,3.0,67.7,0.0
2022-05-20,46,18,3.8,73.0,0.0
2022-05-21,28,12,1.9,82.0,0.0
2022-05-22,18,9,3.1,52.7,0.0
2022-05-23,19,11,3.0,57.2,0.0
2022-05-24,28,12,3.2,62.7,0.0
2022-05-25,35,13,3.1,79.7,0.0
2022-05-26,32,19,2.6,80.8,0.0
2022-05-27,17,9,4.2,86.4,0.0
2022-05-28,25,13,2.1,69.2,0.0
2022-05-29,31,15,4.5,65.5,0.0
2022-05-30,43,18,5.1,55.7,0.0
2022-05-31,47,24,4.0,61.0,0.0
2022-06-01,23,11,2.5,70.1,0.0
2022-06-02,27,16,2.2,56.0,0.0
2022-06-03,25,22,3.7,41.2,0.0
2022-06-04,26,17,1.7,60.7,0.0
2022-06-05,31,10,1.9,62.0,0.0
2022-06-06,46,13,2.2,83.2,0.0
2022-06-07,17,11,2.5,82.7,0.0
2022-06-08,29,10,2.0,84.5,0.0
2022-06-09,24,13,2.8,67.0,0.0
2022-06-10,29,14,2.5,66.7,0.0
2022-06-11,38,13,2.0,74.2,0.0
2022-06-12,24,8,2.6,78.9,0.0
2022-06-13,35,11,2.0,71.2,0.0
2022-06-14,63,44,2.2,61.1,0.0
2022-06-15,82,66,3.9,55.7,0.0
2022-06-16,33,26,3.3,45.8,0.0
2022-06-17,23,14,2.8,48.6,0.0
2022-06-18,15,9,3.0,54.8,0.0
2022-06-19,23,12,1.8,48.6,0.0
2022-06-20,28,20,2.5,46.3,0.0
2022-06-21,45,26,3.5,52.8,0.0
2022-06-22,24,16,2.8,47.4,0.0
2022-06-23,22,14,2.0,51.6,0.0
2022-06-24,32,20,1.8,45.5,0.0
2022-06-25,35,15,2.0,72.0,0.0
2022-06-26,23,15,4.1,54.0,0.0
2022-06-27,23,12,2.6,52.0,0.0
2022-06-28,38,22,2.3,48.0,0.0
2022-06-29,43,14,1.7,62.5,0.0
2022-06-30,37,22,3.4,49.8,0.0
2022-07-01,38,19,2.0,60.9,0.0
2022-07-02,44,17,1.9,46.0,0.0
2022-07-03,48,17,1.8,53.1,0.0
2022-07-04,55,20,2.2,71.3,0.0
2022-07-05,34,12,2.0,81.2,0.0
2022-07-06,27,10,2.5,85.5,0.0
2022-07-07,36,12,1.5,76.6,0.0
2022-07-08,35,12,2.5,83.2,0.0
2022-07-09,20,9,3.1,65.1,0.0
2022-07-10,22,12,1.5,59.7,0.0
2022-07-11,28,14,2.7,71.2,0.0
2022-07-12,23,11,3.4,61.8,0.0
2022-07-13,26,11,3.0,70.0,0.0
2022-07-14,27,11,2.2,69.7,0.0
2022-07-15,30,10,1.4,88.7,0.0
2022-07-16,27,10,2.6,86.0,0.0
2022-07-17,37,10,2.0,86.0,0.0
2022-07-18,36,14,1.8,64.1,0.0
2022-07-19,39,18,3.2,63.6,0.0
2022-07-20,48,20,4.2,64.8,0.0
2022-07-21,52,23,3.0,59.3,0.0
2022-07-22,25,18,2.1,56.8,0.0
2022-07-23,25,14,2.7,74.0,0.1
2022-07-24,37,11,3.1,75.7,0.0
2022-07-25,18,10,2.0,65.3,0.0
2022-07-26,24,11,1.5,63.2,0.0
2022-07-27,31,13,2.2,76.0,0.0
2022-07-28,25,13,3.0,64.0,0.0
2022-07-29,18,10,2.5,60.0,0.0
2022-07-30,24,11,1.6,63.0,0.0
2022-07-31,28,12,2.2,62.9,0.0
2022-08-01,30,12,3.2,68.0,0.0
2022-08-02,30,13,2.2,68.8,0.0
2022-08-03,29,14,2.7,78.0,0.0
