Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,38,12,3.4,96.0,0
2022-01-02,31,12,4.1,95.0,0
2022-01-03,31,15,5.2,85.0,0
2022-01-04,25,12,3.0,84.5,0
2022-01-05,27,11,4.9,83.0,0
2022-01-06,35,16,3.3,61.5,0
2022-01-07,34,15,4.6,88.5,0
2022-01-08,25,11,4.9,85.5,0
2022-01-09,38,12,5.4,78.0,0
2022-01-10,64,21,3.9,75.5,0
2022-01-11,62,22,4.3,85.5,0
2022-01-12,27,12,3.9,92.5,0
2022-01-13,24,11,7.9,84.5,0
2022-01-14,43,26,8.1,72.0,0
2022-01-15,41,23,3.0,84.0,0
2022-01-16,28,15,5.1,85.5,0
2022-01-17,40,25,7.5,66.5,0
2022-01-18,33,16,3.2,86.0,0
2022-01-19,24,11,6.0,88.0,0
2022-01-20,33,23,7.0,48.0,0
2022-01-21,34,21,4.7,67.5,0
2022-01-22,31,15,2.4,66.0,0
2022-01-23,22,9,3.6,92.0,0
2022-01-24,25,12,4.8,85.0,0
2022-01-25,33,16,4.4,86.0,0
2022-01-26,28,14,6.6,85.5,0
2022-01-27,22,13,9.2,79.0,0
2022-01-28,36,30,5.4,65.5,0
2022-01-29,17,12,8.2,86.5,0
2022-01-30,42,27,10.5,57.0,0
2022-01-31,43,45,2.0,66.5,0
2022-02-01,29,14,4.1,83.0,0
2022-02-02,34,17,3.9,79.5,0
2022-02-03,32,15,3.7,94.0,0
2022-02-04,25,11,5.0,91.0,0
2022-02-05,27,14,6.0,80.5,0
2022-02-06,18,9,4.5,85.5,0
2022-02-07,41,21,5.7,77.5,0
2022-02-08,34,18,5.7,82.0,0
2022-02-09,27,14,4.5,86.0,0
2022-02-10,33,21,4.1,80.0,0
2022-02-11,36,22,3.5,74.0,0
2022-02-12,26,16,5.7,70.0,0
2022-02-13,29,13,5.9,69.5,0
2022-02-14,41,19,5.3,75.5,0
2022-02-15,27,12,6.4,80.5,0
2022-02-16,25,14,5.9,88.0,0
2022-02-17,27,9,8.0,79.0,0
2022-02-18,28,12,6.0,77.5,0
2022-02-19,32,12,7.3,80.5,0
2022-02-20,19,10,5.6,82.0,0
2022-02-21,33,13,9.0,80.5,0
2022-02-22,31,17,4.6,73.0,0
2022-02-23,43,24,6.8,69.0,0
2022-02-24,30,22,6.4,73.0,0
2022-02-25,28,14,5.4,81.0,0
2022-02-26,33,18,2.2,65.5,0
2022-02-27,28,13,2.5,82.5,0
2022-02-28,37,16,4.1,71.5,0
2022-03-01,52,34,4.8,63.5,0
2022-03-02,47,27,1.8,70.0,0
2022-03-03,23,18,2.5,63.0,0
2022-03-04,33,46,2.4,69.5,0
2022-03-05,29,29,1.7,56.0,0
2022-03-06,32,26,2.5,56.0,0
2022-03-07,26,34,2.8,50.5,0
2022-03-08,43,29,2.2,73.0,0
2022-03-09,37,16,1.8,85.5,0
2022-03-10,22,25,4.5,77.5,0
2022-03-11,0,31,6.1,50.5,0
2022-03-12,0,24,5.5,48.0,0
2022-03-13,65,29,4.8,46.0,0
2022-03-14,74,50,3.9,49.5,0
2022-03-15,37,27,1.5,77.0,0
2022-03-16,49,29,2.1,87.0,0
2022-03-17,53,20,5.1,88.5,0
2022-03-18,36,30,3.2,67.0,0
2022-03-19,29,29,2.7,49.5,0
2022-03-20,42,29,4.0,63.0,0
2022-03-21,64,45,3.9,50.0,0
2022-03-22,63,50,1.9,49.0,0
2022-03-23,66,43,2.0,53.5,0
2022-03-24,68,55,2.3,52.0,0
2022-03-25,55,48,4.8,58.5,0
2022-03-26,32,21,4.0,49.5,0
2022-03-27,26,23,4.1,51.0,0
2022-03-28,32,28,6.1,72.0,0
2022-03-29,22,23,3.2,60.0,0
2022-03-30,24,30,3.6,70.5,0
2022-03-31,30,34,2.6,37.0,0
2022-04-01,30,25,3.4,47.5,0
2022-04-02,24,18,3.5,46.0,0
2022-04-03,24,18,3.8,56.5,0
2022-04-04,17,17,7.8,93.0,0
2022-04-05,30,17,6.0,63.5,0
2022-04-06,26,13,4.3,93.0,0
2022-04-07,19,10,5.0,94.5,0
2022-04-08,30,24,8.1,56.5,0
2022-04-09,0,28,7.3,59.0,0
2022-04-10,29,24,7.0,55.5,0
2022-04-11,33,27,4.3,51.5,0
2022-04-12,32,24,3.1,49.5,0
2022-04-13,53,30,3.7,59.0,0
2022-04-14,32,17,2.6,83.0,0
2022-04-15,30,16,2.4,73.0,0
2022-04-16,30,16,2.0,46.5,0
2022-04-17,27,15,2.5,41.5,0
2022-04-18,28,18,1.9,51.0,0
2022-04-19,33,30,2.2,49.0,0
2022-04-20,36,27,2.3,43.0,0
2022-04-21,32,28,3.2,46.0,0
2022-04-22,31,26,4.3,52.5,0
2022-04-23,35,27,2.9,59.0,0
2022-04-24,30,18,3.2,56.0,0
2022-04-25,20,20,3.3,42.5,0
2022-04-26,0,27,2.3,44.5,0
2022-04-27,27,21,2.8,63.0,0
2022-04-28,32,29,2.4,51.5,0
