Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,29,9,9.5,80.5,0.0
2022-01-02,18,8,12.3,59.5,0.0
2022-01-03,25,19,4.5,47.6,0.0
2022-01-04,20,13,10.6,49.0,0.0
2022-01-05,27,20,5.0,61.2,0.0
2022-01-06,20,18,8.6,53.5,0.0
2022-01-07,20,15,5.5,60.0,0.0
2022-01-08,41,20,6.8,94.2,0.0
2022-01-09,31,9,11.2,85.2,0.0
2022-01-10,19,14,5.9,44.3,0.0
2022-01-11,34,29,5.2,44.7,0.0
2022-01-12,25,11,5.1,56.5,0.0
2022-01-13,30,22,3.6,35.6,0.0
2022-01-14,30,31,6.4,35.0,0.0
2022-01-15,20,15,16.2,52.2,0.0
2022-01-16,20,8,5.9,55.2,0.0
2022-01-17,19,29,4.0,40.8,0.0
2022-01-18,27,21,11.5,54.6,0.0
2022-01-19,38,22,12.5,71.5,0.0
2022-01-20,16,11,12.5,44.9,0.0
2022-01-21,17,14,3.7,36.8,0.0
2022-01-22,32,17,2.0,38.9,0.0
2022-01-23,27,18,3.6,43.6,0.0
2022-01-24,25,12,3.9,68.4,0.0
2022-01-25,28,14,6.8,70.2,0.0
2022-01-26,25,14,4.6,40.1,0.0
2022-01-27,33,18,2.8,52.3,0.0
2022-01-28,23,19,6.2,49.3,0.0
2022-01-29,24,16,6.1,32.2,0.0
2022-01-30,22,8,7.0,35.6,0.0
2022-01-31,18,11,7.3,73.0,0.0
2022-02-01,13,8,6.7,78.2,0.0
2022-02-02,18,9,8.4,89.3,0.0
2022-02-03,22,7,0.3,88.4,0.0
2022-02-04,24,10,5.8,74.1,0.0
2022-02-05,18,30,5.3,63.9,0.0
2022-02-06,20,16,3.5,55.9,0.0
2022-02-07,35,21,5.1,53.0,0.0
2022-02-08,23,16,6.7,43.5,0.0
2022-02-09,35,23,3.1,34.1,0.0
2022-02-10,28,38,2.4,31.6,0.0
2022-02-11,39,23,8.2,44.9,0.0
2022-02-12,20,14,12.5,36.6,0.0
2022-02-13,26,20,3.5,34.0,0.0
2022-02-14,24,25,5.6,36.3,0.0
2022-02-15,23,14,13.1,57.0,0.0
2022-02-16,22,10,14.0,83.5,0.0
2022-02-17,21,6,12.2,77.4,0.0
2022-02-18,18,10,4.2,42.4,0.0
2022-02-19,22,30,1.9,41.4,0.0
2022-02-20,23,10,7.3,47.4,0.0
2022-02-21,18,11,8.0,84.8,0.0
2022-02-22,23,18,8.7,68.4,0.0
2022-02-23,23,11,8.0,83.3,0.0
2022-02-24,16,5,4.5,93.0,0.0
2022-02-25,27,16,6.7,64.4,0.0
2022-02-26,30,13,5.0,78.3,0.0
2022-02-27,30,20,4.1,44.4,0.0
2022-02-28,28,30,2.0,29.3,0.0
2022-03-01,28,23,3.4,29.3,0.0
2022-03-02,45,26,4.6,31.1,0.0
2022-03-03,35,28,4.4,44.4,0.0
2022-03-04,25,16,9.1,75.8,0.0
2022-03-05,27,11,13.6,75.4,0.0
2022-03-06,29,11,12.6,76.0,0.0
2022-03-07,15,8,11.4,60.5,0.0
2022-03-08,18,11,6.2,68.8,0.0
2022-03-09,21,20,4.1,50.9,0.0
2022-03-10,23,17,5.5,55.5,0.0
2022-03-11,23,12,14.0,67.8,0.0
2022-03-12,20,18,3.5,36.1,0.0
2022-03-13,25,12,11.1,33.0,0.0
2022-03-14,20,19,9.8,70.3,0.0
2022-03-15,23,20,8.6,53.4,0.0
2022-03-16,30,19,6.0,50.0,0.0
2022-03-17,25,16,13.1,67.9,0.0
2022-03-18,12,11,14.8,45.6,0.0
2022-03-19,22,15,3.4,30.7,0.0
2022-03-20,25,16,9.8,30.0,0.0
2022-03-21,19,10,11.0,91.6,0.0
2022-03-22,10,7,9.2,66.4,0.0
2022-03-23,15,14,9.4,39.7,0.0
2022-03-24,13,11,5.1,34.6,0.0
2022-03-25,16,0,2.4,29.0,0.0
2022-03-26,27,0,5.3,33.5,0.0
2022-03-27,39,0,7.6,40.3,0.0
2022-03-28,18,15,13.5,56.5,0.0
2022-03-29,23,22,16.4,66.9,0.0
2022-03-30,27,26,11.9,66.5,0.0
2022-03-31,18,19,4.0,44.8,0.0
2022-04-01,23,13,7.5,43.3,0.0
2022-04-02,35,12,6.1,62.1,0.0
2022-04-03,39,20,8.6,51.1,0.0
2022-04-04,33,18,7.5,71.3,0.0
2022-04-05,28,16,7.2,58.8,0.0
2022-04-06,21,26,12.7,29.5,0.0
2022-04-07,37,64,8.2,24.1,0.0
2022-04-08,29,58,8.9,25.1,0.0
2022-04-09,34,39,8.7,29.2,0.0
2022-04-10,37,33,17.0,62.3,0.0
2022-04-11,54,0,13.7,69.9,0.0
2022-04-12,54,0,12.6,77.2,0.0
2022-04-13,32,0,14.2,49.7,0.0
2022-04-14,23,31,7.4,45.4,0.0
2022-04-15,34,21,8.6,69.8,0.0
2022-04-16,51,18,9.1,80.0,0.0
2022-04-17,37,21,5.0,68.1,0.0
2022-04-18,23,16,8.6,67.7,0.0
2022-04-19,21,19,7.8,56.2,0.0
2022-04-20,37,24,13.7,71.0,0.0
2022-04-21,45,25,11.5,76.0,0.0
2022-04-22,44,25,14.4,71.3,0.0
2022-04-23,0,18,15.8,67.7,0.0
2022-04-24,0,16,10.5,75.8,0.0
2022-04-25,0,7,8.3,69.5,0.1
2022-04-26,0,16,5.9,55.0,0.0
2022-04-27,0,16,5.0,57.3,0.0
2022-04-28,0,16,7.0,66.5,0.0
2022-04-29,0,10,9.8,68.2,0.0
2022-04-30,0,10,7.5,42.3,0.0
2022-05-01,0,15,5.5,49.5,0.0
2022-05-02,0,17,10.2,63.4,0.0
2022-05-03,0,10,5.9,82.8,0.0
2022-05-04,0,22,5.1,69.2,0.0
2022-05-05,0,11,5.8,77.0,0.0
2022-05-06,0,16,3.5,58.2,0.0
2022-05-07,0,22,6.5,67.8,0.0
2022-05-08,0,22,9.2,61.8,0.0
2022-05-09,0,25,10.2,65.1,0.0
2022-05-10,0,20,7.6,69.8,0.0
2022-05-11,0,19,6.6,65.9,0.0
2022-05-12,0,22,6.6,60.1,0.0
2022-05-13,0,18,6.5,58.1,0.0
2022-05-14,0,17,3.9,53.3,0.0
2022-05-15,0,16,5.7,58.6,0.0
2022-05-16,0,13,5.1,52.8,0.0
2022-05-17,0,23,7.1,55.2,0.0
2022-05-18,0,17,8.7,50.7,0.0
2022-05-19,0,21,10.8,48.6,0.0
2022-05-20,0,38,11.4,58.4,0.0
2022-05-21,0,29,8.7,67.2,0.0
2022-05-22,0,10,7.8,63.0,0.0
2022-05-23,0,10,6.0,75.5,0.0
2022-05-24,0,12,7.1,82.1,0.1
2022-05-25,0,0,9.9,60.4,0.0
2022-05-26,0,13,5.4,36.0,0.0
2022-05-27,0,18,2.7,38.2,0.0
2022-05-28,0,17,7.0,49.7,0.0
2022-05-29,0,19,10.1,52.8,0.0
2022-05-30,0,17,11.0,52.8,0.0
2022-05-31,0,14,7.9,58.4,0.0
2022-06-01,0,16,4.9,71.2,0.1
2022-06-02,0,6,5.7,63.9,0.2
2022-06-03,0,10,4.0,72.7,0.0
2022-06-04,0,12,3.6,66.0,0.0
2022-06-05,0,10,7.0,62.1,0.0
2022-06-06,25,13,8.2,57.8,0.0
2022-06-07,17,11,6.6,57.0,0.0
2022-06-08,21,16,6.8,61.7,0.0
2022-06-09,55,23,4.8,61.9,0.0
2022-06-10,42,26,4.2,55.4,0.0
2022-06-11,25,20,6.3,49.4,0.0
2022-06-12,38,21,7.3,48.5,0.0
2022-06-13,95,68,8.4,44.8,0.0
2022-06-14,104,75,10.4,45.5,0.0
2022-06-15,55,35,9.2,56.8,0.0
2022-06-16,99,72,5.1,45.5,0.0
2022-06-17,104,70,3.1,45.7,0.0
2022-06-18,46,20,3.3,48.7,0.0
2022-06-19,50,21,4.1,51.1,0.0
2022-06-20,46,21,4.9,43.0,0.0
2022-06-21,59,28,5.4,37.8,0.0
2022-06-22,42,24,3.5,41.4,0.0
2022-06-23,46,27,3.6,36.9,0.0
2022-06-24,46,26,5.2,35.0,0.0
2022-06-25,30,20,4.6,32.5,0.0
2022-06-26,38,20,4.5,35.1,0.0
2022-06-27,38,21,7.8,50.9,0.0
2022-06-28,38,21,6.9,32.8,0.0
2022-06-29,50,25,5.5,30.5,0.0
2022-06-30,57,23,4.2,40.8,0.0
2022-07-01,25,16,4.8,52.5,0.0
2022-07-02,34,17,3.6,52.8,0.0
2022-07-03,46,17,4.9,40.7,0.0
2022-07-04,25,18,6.7,40.5,0.0
2022-07-05,0,0,5.8,39.6,0.0
2022-07-06,0,0,6.3,37.9,0.0
2022-07-07,0,0,5.6,38.7,0.0
2022-07-08,30,0,5.0,35.4,0.0
2022-07-09,34,0,4.0,38.8,0.0
2022-07-10,21,0,5.8,40.1,0.0
2022-07-11,34,0,6.0,41.0,0.0
2022-07-12,34,0,6.9,29.5,0.0
2022-07-13,46,0,3.5,31.6,0.0
2022-07-14,38,0,4.9,52.8,0.0
2022-07-15,46,0,2.8,41.2,0.0
2022-07-16,0,0,4.3,42.6,0.0
2022-07-17,0,0,5.5,32.2,0.0
2022-07-18,85,64,8.0,30.1,0.0
2022-07-19,46,43,9.1,33.4,0.0
2022-07-20,46,32,7.3,37.3,0.0
2022-07-21,42,37,6.8,40.7,0.0
2022-07-22,55,47,6.6,45.6,0.0
2022-07-23,34,20,5.6,39.5,0.0
2022-07-24,25,18,6.3,38.9,0.0
