Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,0,19,2.0,100.0,0.0
2022-01-02,0,12,3.0,100.0,0.0
2022-01-03,0,10,5.0,96.0,0.0
2022-01-04,0,14,5.9,84.0,99.1
2022-01-05,0,10,5.1,79.9,99.3
2022-01-06,0,7,3.0,84.1,99.1
2022-01-07,0,12,3.0,70.1,0.0
2022-01-08,0,26,1.0,92.2,0.3
2022-01-09,0,20,1.0,97.0,0.2
2022-01-10,0,20,4.0,84.8,0.0
2022-01-11,0,7,9.2,71.5,0.0
2022-01-12,0,14,5.0,67.8,0.0
2022-01-13,0,40,2.0,89.2,0.0
2022-01-14,0,35,4.0,95.0,0.0
2022-01-15,0,45,1.0,97.0,0.0
2022-01-16,0,17,1.0,100.0,0.0
2022-01-17,0,16,3.0,89.4,99.7
2022-01-18,0,11,2.0,71.5,0.0
2022-01-19,0,20,2.7,85.8,0.0
2022-01-20,0,19,4.2,93.0,0.0
2022-01-21,0,10,3.0,80.0,0.0
2022-01-22,0,10,2.0,84.8,0.0
2022-01-23,0,10,5.0,61.3,0.0
2022-01-24,0,18,3.3,66.0,0.0
2022-01-25,0,39,3.0,85.8,0.0
2022-01-26,0,39,2.0,90.0,0.0
2022-01-27,0,17,5.0,95.7,0.0
2022-01-28,0,10,5.0,79.3,99.1
2022-01-29,0,8,3.0,74.0,0.0
2022-01-30,0,9,8.0,68.1,99.5
2022-01-31,0,15,4.0,75.8,0.0
2022-02-01,0,22,2.0,85.2,0.0
2022-02-02,0,13,4.2,97.9,99.1
2022-02-03,0,14,2.0,88.3,0.0
2022-02-04,0,13,4.0,77.0,0.0
2022-02-05,0,17,3.0,81.0,0.0
2022-02-06,0,10,5.1,77.5,0.0
2022-02-07,0,10,4.0,83.2,0.5
2022-02-08,0,9,3.6,77.9,0.0
2022-02-09,0,11,3.0,91.3,0.0
2022-02-10,0,15,3.0,95.9,0.0
2022-02-11,0,23,3.0,81.2,0.0
2022-02-12,0,11,3.0,66.3,99.1
2022-02-13,0,20,2.0,68.0,0.0
2022-02-14,0,30,2.0,76.3,0.0
2022-02-15,0,18,3.6,82.9,99.3
2022-02-16,0,20,3.0,89.8,0.0
2022-02-17,0,11,8.0,76.2,99.5
2022-02-18,0,8,5.4,65.0,0.0
2022-02-19,0,9,6.0,58.0,0.0
2022-02-20,0,8,3.0,62.9,0.0
2022-02-21,0,13,5.0,90.0,0.0
2022-02-22,0,11,2.0,79.0,0.0
2022-02-23,0,12,2.0,92.2,0.2
2022-02-24,0,13,2.0,82.0,99.6
2022-02-25,0,19,2.0,61.1,0.0
2022-02-26,0,10,5.0,61.1,0.0
2022-02-27,0,9,6.0,46.5,99.2
2022-02-28,0,8,7.0,49.1,0.0
2022-03-01,0,10,6.0,51.2,0.0
2022-03-02,0,13,5.0,57.0,0.0
2022-03-03,0,20,3.8,49.0,0.0
2022-03-04,0,21,5.0,49.9,0.0
2022-03-05,0,13,5.0,57.9,0.0
2022-03-06,0,13,5.0,56.2,0.0
2022-03-07,0,17,6.0,52.9,0.0
2022-03-08,0,14,3.0,53.3,0.0
2022-03-09,0,10,4.0,77.3,0.0
2022-03-10,0,11,7.0,43.0,0.0
2022-03-11,0,12,5.0,37.2,0.0
2022-03-12,0,15,2.0,41.5,0.0
2022-03-13,0,19,1.2,43.0,0.0
2022-03-14,0,39,1.0,41.9,0.0
2022-03-15,0,37,2.0,47.0,0.0
2022-03-16,0,29,3.0,89.8,99.8
2022-03-17,0,28,4.0,70.2,0.0
2022-03-18,0,25,3.0,73.1,0.0
2022-03-19,0,27,3.0,37.0,0.0
2022-03-20,0,18,2.0,39.2,0.0
2022-03-21,0,23,3.0,32.0,0.0
2022-03-22,0,26,3.3,30.5,0.0
2022-03-23,0,28,2.0,35.0,0.0
2022-03-24,0,31,3.8,35.0,0.0
2022-03-25,0,21,3.8,48.0,0.0
2022-03-26,0,21,3.0,35.0,0.0
2022-03-27,0,21,6.4,21.1,0.0
2022-03-28,0,22,2.5,36.5,0.0
2022-03-29,0,27,3.6,35.0,0.0
2022-03-30,0,30,4.1,52.0,0.0
2022-03-31,0,30,3.0,73.5,0.2
2022-04-01,0,20,4.0,91.2,0.8
2022-04-02,0,7,5.0,76.1,0.2
2022-04-03,0,10,5.0,80.0,99.1
2022-04-04,0,11,3.0,57.3,0.0
2022-04-05,0,10,6.0,70.0,0.0
2022-04-06,0,12,4.0,66.1,0.0
