Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,38,13,3.0,83.0,0
2022-01-02,21,12,3.0,61.0,0
2022-01-03,38,21,2.0,56.7,0
2022-01-04,17,15,4.1,40.0,0
2022-01-05,30,14,4.0,80.0,0
2022-01-06,50,17,3.0,80.1,0
2022-01-07,55,26,2.0,62.3,0
2022-01-08,21,10,3.0,59.3,0
2022-01-09,38,18,2.0,77.0,0
2022-01-10,34,28,4.0,49.5,0
2022-01-11,34,32,3.0,42.6,0
2022-01-12,30,27,3.0,43.5,0
2022-01-13,21,23,3.0,50.0,0
2022-01-14,17,12,5.0,60.4,0
2022-01-15,21,10,4.0,58.4,0
2022-01-16,17,12,3.0,38.0,0
2022-01-17,38,24,2.0,51.8,0
2022-01-18,30,25,3.0,48.6,0
2022-01-19,25,10,5.0,87.1,0
2022-01-20,61,22,2.0,84.0,0
2022-01-21,68,24,2.0,89.5,0
2022-01-22,38,14,2.0,72.0,0
2022-01-23,21,12,3.0,52.6,0
2022-01-24,17,13,3.0,43.0,0
2022-01-25,21,9,6.0,79.5,0
2022-01-26,46,20,2.0,66.0,0
2022-01-27,25,11,4.0,68.4,0
2022-01-28,21,14,5.0,49.0,0
2022-01-29,30,20,4.0,36.2,0
2022-01-30,38,18,3.0,44.0,0
2022-01-31,21,18,4.0,31.4,0
2022-02-01,13,13,5.0,56.0,0
2022-02-02,17,8,6.0,82.4,0
2022-02-03,46,16,2.0,72.2,0
2022-02-04,21,12,3.0,57.1,0
2022-02-05,17,13,4.0,40.0,0
2022-02-06,13,8,3.0,51.6,0
2022-02-07,17,16,4.0,39.0,0
2022-02-08,17,15,4.0,32.0,0
2022-02-09,17,17,4.0,35.0,0
2022-02-10,21,12,5.0,44.0,0
2022-02-11,13,9,5.0,66.3,0
2022-02-12,21,13,3.0,70.6,0
2022-02-13,17,11,5.0,45.3,0
2022-02-14,34,30,4.0,41.1,0
2022-02-15,46,37,3.0,35.0,0
2022-02-16,25,13,5.0,78.2,0
2022-02-17,30,11,3.0,73.0,0
2022-02-18,30,19,4.0,46.0,0
2022-02-19,17,12,4.0,33.2,0
2022-02-20,13,10,3.0,27.6,0
2022-02-21,21,18,7.0,61.1,0
2022-02-22,25,11,5.0,71.6,0
2022-02-23,30,10,4.0,68.4,0
2022-02-24,42,14,3.0,66.9,0
2022-02-25,68,30,3.0,64.1,0
2022-02-26,63,29,3.0,50.0,0
2022-02-27,30,16,3.0,40.0,0
2022-02-28,25,21,4.0,30.2,0
2022-03-01,17,19,4.0,29.0,0
2022-03-02,30,32,4.0,30.1,0
2022-03-03,34,33,3.0,35.5,0
2022-03-04,34,30,4.0,36.8,0
2022-03-05,30,12,5.0,72.8,0
2022-03-06,21,8,5.0,83.3,0
2022-03-07,38,14,3.0,64.0,0
2022-03-08,30,18,3.0,41.0,0
2022-03-09,17,9,6.0,77.0,0
2022-03-10,42,13,2.0,70.0,0
2022-03-11,38,20,4.0,46.0,0
2022-03-12,17,11,5.0,31.6,0
2022-03-13,13,9,4.0,33.1,0
2022-03-14,17,16,3.0,35.3,0
2022-03-15,21,22,3.6,22.5,0
2022-03-16,21,18,4.0,45.1,0
2022-03-17,17,8,4.0,90.0,0
2022-03-18,21,15,4.0,49.5,0
2022-03-19,21,14,5.0,33.3,0
2022-03-20,21,17,4.0,28.8,0
2022-03-21,21,13,5.0,58.0,0
2022-03-22,13,10,8.0,47.0,0
2022-03-23,13,14,5.0,26.2,0
2022-03-24,17,12,5.0,26.5,0
2022-03-25,30,26,3.0,45.0,0
2022-03-26,25,22,4.0,26.0,0
2022-03-27,46,30,3.0,47.4,0
2022-03-28,25,22,4.0,20.0,0
2022-03-29,21,15,5.0,59.2,0
2022-03-30,17,10,4.0,52.0,0
2022-03-31,17,12,4.0,28.7,0
2022-04-01,21,18,4.0,35.3,0
2022-04-02,30,19,3.0,35.1,0
2022-04-03,25,20,3.0,41.5,0
2022-04-04,21,20,4.0,25.2,0
2022-04-05,17,23,8.0,31.5,0
2022-04-06,9,9,9.0,21.6,0
2022-04-07,17,18,6.0,23.6,0
