Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,37,13,9.2,79.5,0
2022-01-02,21,9,9.2,79.1,0
2022-01-03,16,6,3.8,86.0,0
2022-01-04,21,8,4.6,75.6,0
2022-01-05,21,10,3.0,73.4,0
2022-01-06,13,6,5.6,81.5,0
2022-01-07,9,3,5.4,87.3,0
2022-01-08,17,7,5.0,86.0,0
2022-01-09,13,5,4.3,87.7,0
2022-01-10,17,6,4.3,88.8,0
2022-01-11,30,12,5.1,83.5,0
2022-01-12,21,10,7.0,83.6,0
2022-01-13,13,5,6.6,81.6,0
2022-01-14,13,4,3.1,89.5,0
2022-01-15,34,10,2.5,83.5,0
2022-01-16,21,10,5.0,81.0,0
2022-01-17,17,8,5.5,86.0,0
2022-01-18,25,7,5.7,89.8,0
2022-01-19,17,8,4.6,75.0,0
2022-01-20,21,10,2.3,69.6,0
2022-01-21,9,3,5.9,86.0,0
2022-01-22,9,4,5.8,87.0,0
2022-01-23,17,6,6.3,77.0,0
2022-01-24,46,21,4.3,82.4,0
2022-01-25,57,24,4.5,84.3,0
2022-01-26,13,5,8.2,87.0,0
2022-01-27,13,7,5.1,78.5,0
2022-01-28,21,10,6.4,84.0,0
2022-01-29,21,10,10.4,74.8,0
2022-01-30,21,11,4.4,81.0,0
2022-01-31,15,7,5.9,69.2,0
2022-02-01,46,17,8.7,72.0,0
2022-02-02,9,4,5.5,86.5,0
2022-02-03,13,5,8.2,83.0,0
2022-02-04,14,7,6.0,81.6,0
2022-02-05,13,5,7.7,86.0,0
2022-02-06,9,4,6.1,83.9,0
2022-02-07,17,8,6.3,81.0,0
2022-02-08,21,9,8.5,78.6,0
2022-02-09,13,6,7.7,83.0,0
2022-02-10,10,5,7.0,80.0,0
2022-02-11,19,8,5.1,79.7,0
2022-02-12,5,3,10.6,82.0,0
2022-02-13,17,7,3.9,93.5,0
2022-02-14,8,3,2.7,83.7,0
2022-02-15,13,6,5.2,83.0,0
2022-02-16,13,5,9.7,83.6,0
2022-02-17,13,6,7.7,78.0,0
2022-02-18,8,3,6.0,86.0,0
2022-02-19,10,4,5.1,84.0,0
2022-02-20,18,6,9.0,84.1,0
2022-02-21,13,6,4.2,75.0,0
