Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,36,0,1.4,81.8,0
2022-01-02,30,0,3.6,82.0,0
2022-01-03,15,0,5.4,82.0,0
2022-01-04,16,0,5.5,81.2,0
2022-01-05,21,0,2.4,81.0,0
2022-01-06,30,0,3.0,81.0,0
2022-01-07,38,0,4.6,81.0,0
2022-01-08,33,0,2.5,82.0,0
2022-01-09,34,0,3.5,83.0,0
2022-01-10,57,0,1.2,85.1,0
2022-01-11,23,0,1.8,79.0,0
2022-01-12,35,0,1.6,81.7,0
2022-01-13,35,0,1.7,93.7,0
2022-01-14,39,0,2.2,90.4,0
2022-01-15,22,0,2.5,74.8,0
2022-01-16,15,0,1.8,72.7,0
2022-01-17,29,0,2.5,90.5,0
2022-01-18,19,0,5.0,80.0,0
2022-01-19,30,0,3.2,82.0,0
2022-01-20,37,0,3.2,79.0,0
2022-01-21,10,0,3.0,77.5,0
2022-01-22,23,0,2.3,72.8,0
2022-01-23,8,0,3.2,70.6,0
2022-01-24,31,0,2.8,88.0,0
2022-01-25,23,0,4.0,72.8,0
2022-01-26,10,0,6.2,75.0,0
2022-01-27,24,0,1.6,75.1,0
2022-01-28,37,0,2.2,58.7,0
2022-01-29,31,0,1.8,65.0,0
2022-01-30,24,0,2.0,66.7,0
2022-01-31,16,0,6.6,77.4,0
2022-02-01,15,0,4.0,77.7,0
2022-02-02,22,0,3.8,77.8,0
2022-02-03,32,0,3.2,77.2,0
2022-02-04,40,0,3.2,80.5,0
2022-02-05,21,0,3.3,83.8,0
2022-02-06,10,0,4.3,59.2,0
2022-02-07,12,0,5.3,55.8,0
2022-02-08,12,0,3.2,64.0,0
2022-02-09,18,0,2.5,74.3,0
2022-02-10,9,0,7.6,64.0,0
2022-02-11,13,0,5.4,61.2,0
2022-02-12,25,0,3.2,63.5,0
2022-02-13,11,0,4.2,72.5,0
2022-02-14,20,0,3.8,84.0,0
2022-02-15,18,0,3.4,72.0,0
2022-02-16,14,0,3.0,78.8,0
2022-02-17,14,0,5.8,81.0,0
2022-02-18,15,0,4.5,77.2,0
2022-02-19,16,0,5.6,77.0,0
2022-02-20,27,0,4.1,80.0,0
2022-02-21,23,0,2.3,81.0,0
2022-02-22,25,0,2.3,78.5,0
2022-02-23,49,0,3.0,75.2,0
2022-02-24,22,0,2.2,85.4,0
2022-02-25,22,0,3.0,73.3,0
2022-02-26,28,0,2.3,70.8,0
2022-02-27,39,0,3.7,80.5,0
2022-02-28,70,0,1.6,85.0,0
2022-03-01,54,0,3.4,86.4,0
2022-03-02,28,0,4.7,83.0,0
2022-03-03,18,0,4.4,86.1,0
2022-03-04,15,0,3.5,87.0,0
2022-03-05,42,0,1.0,87.0,0
2022-03-06,21,0,3.0,74.5,0
2022-03-07,10,0,9.0,70.6,0
2022-03-08,11,0,5.0,73.0,0
2022-03-09,14,0,3.8,69.0,0
2022-03-10,11,0,4.0,61.8,0
2022-03-11,25,0,3.6,69.5,0
2022-03-12,13,0,4.1,67.0,0
2022-03-13,22,0,3.1,80.5,0
2022-03-14,52,0,2.8,84.0,0
2022-03-15,34,0,1.6,78.6,0
2022-03-16,7,0,3.6,63.1,0
2022-03-17,14,0,2.0,66.5,0
2022-03-18,11,0,2.1,68.3,0
2022-03-19,25,0,2.0,75.5,0
2022-03-20,14,0,4.0,84.7,0
2022-03-21,15,0,2.5,66.4,0
2022-03-22,25,0,2.0,66.8,0
2022-03-23,28,0,3.1,69.1,0
2022-03-24,11,0,5.2,69.5,0
2022-03-25,20,0,6.6,77.3,0
2022-03-26,14,0,5.5,82.5,0
2022-03-27,19,0,3.1,75.5,0
2022-03-28,32,0,3.0,91.0,0
2022-03-29,30,0,2.4,79.0,0
2022-03-30,35,0,2.6,65.0,0
2022-03-31,8,0,7.3,61.8,0
2022-04-01,12,0,3.5,74.2,0
2022-04-02,14,0,3.1,70.1,0
2022-04-03,15,0,3.0,56.5,0
2022-04-04,18,0,2.8,64.8,0
2022-04-05,15,0,6.5,62.3,0
2022-04-06,11,0,6.1,54.6,0
2022-04-07,20,0,6.0,39.1,0
2022-04-08,20,0,3.1,52.3,0
2022-04-09,12,0,11.2,55.8,0
2022-04-10,8,0,9.2,52.0,0
2022-04-11,11,0,6.8,60.6,0
2022-04-12,11,0,5.0,63.2,0
2022-04-13,12,0,4.4,57.5,0
2022-04-14,19,0,3.5,64.0,0
2022-04-15,20,0,2.7,68.7,0
2022-04-16,18,0,3.5,74.8,0
2022-04-17,31,0,1.2,74.1,0
2022-04-18,28,0,3.8,51.3,0
2022-04-19,21,0,6.2,89.0,0
2022-04-20,23,0,2.8,72.5,0
2022-04-21,18,0,5.0,60.5,0
2022-04-22,20,0,3.0,66.5,0
2022-04-23,34,0,1.6,65.3,0
2022-04-24,30,0,4.8,53.1,0
2022-04-25,20,0,7.7,53.0,0
2022-04-26,22,0,5.1,61.0,0
2022-04-27,13,0,4.0,87.5,0
2022-04-28,8,0,4.1,64.0,0
2022-04-29,12,0,3.1,61.2,0
2022-04-30,20,0,4.0,55.5,0
2022-05-01,18,0,5.0,66.2,0
2022-05-02,25,0,3.6,77.0,0
2022-05-03,38,0,2.5,81.0,0
2022-05-04,21,0,2.6,60.8,0
2022-05-05,28,0,4.6,45.7,0
2022-05-06,10,0,4.7,68.4,0
2022-05-07,4,0,5.5,59.1,0
2022-05-08,8,0,5.6,64.4,0
2022-05-09,8,0,5.1,62.0,0
2022-05-10,13,0,3.5,67.5,0
2022-05-11,17,0,3.0,53.6,0
2022-05-12,18,0,2.8,38.6,0
2022-05-13,19,0,3.8,58.0,0
2022-05-14,13,0,4.5,65.0,0
2022-05-15,18,0,2.5,35.5,0
2022-05-16,19,0,6.8,45.8,0
2022-05-17,13,0,4.3,52.6,0
2022-05-18,19,0,3.5,70.2,0
2022-05-19,20,0,6.1,88.6,0
2022-05-20,16,0,5.1,50.8,0
2022-05-21,28,0,2.0,37.4,0
2022-05-22,25,0,3.8,41.3,0
2022-05-23,26,0,2.6,37.2,0
2022-05-24,25,0,2.3,60.8,0
2022-05-25,29,0,3.0,65.5,0
2022-05-26,22,0,2.3,58.0,0
2022-05-27,22,0,4.2,53.3,0
2022-05-28,10,0,3.2,51.7,0
2022-05-29,10,0,4.6,68.5,0
2022-05-30,15,0,4.3,48.3,0
2022-05-31,18,0,2.1,41.6,0
2022-06-01,27,0,2.7,41.6,0
2022-06-02,28,0,3.3,34.6,0
2022-06-03,28,0,4.5,30.7,0
2022-06-04,26,0,5.3,37.8,0
2022-06-05,31,0,7.0,40.5,0
2022-06-06,25,0,4.6,81.2,0
2022-06-07,45,0,1.5,85.0,0
2022-06-08,19,0,2.5,74.7,0
2022-06-09,24,0,2.6,53.2,0
2022-06-10,13,0,3.5,52.8,0
2022-06-11,18,0,2.6,60.5,0
2022-06-12,21,0,2.5,75.4,0
2022-06-13,20,0,3.8,70.0,0
2022-06-14,21,0,5.2,95.1,0
2022-06-15,33,0,6.2,84.3,0
2022-06-16,48,0,3.5,66.5,0
2022-06-17,25,0,3.2,83.8,0
2022-06-18,26,0,2.2,87.2,0
2022-06-19,21,0,2.2,72.2,0
2022-06-20,16,0,3.0,72.1,0
2022-06-21,25,0,2.4,67.5,0
2022-06-22,19,0,2.0,84.2,0
2022-06-23,15,0,2.5,90.0,0
2022-06-24,19,0,5.2,75.3,0
2022-06-25,23,0,3.0,60.6,0
2022-06-26,29,0,3.0,62.5,0
2022-06-27,25,0,3.8,73.6,0
2022-06-28,21,0,4.6,71.5,0
2022-06-29,18,0,2.2,77.5,0
2022-06-30,53,0,2.4,70.5,0
2022-07-01,53,0,3.0,77.6,0
2022-07-02,30,0,2.0,90.8,0
2022-07-03,32,0,2.0,63.3,0
2022-07-04,51,0,3.0,78.8,0
2022-07-05,40,0,4.5,92.5,0
2022-07-06,29,0,3.0,82.0,0
2022-07-07,24,0,4.0,82.2,0
2022-07-08,23,0,2.0,77.6,0
2022-07-09,15,0,2.3,74.5,0
2022-07-10,13,0,2.0,58.1,0
2022-07-11,17,0,2.5,60.1,0
2022-07-12,28,0,2.6,60.0,0
2022-07-13,16,0,4.0,62.8,0
2022-07-14,30,0,3.2,61.8,0
2022-07-15,31,0,3.7,67.4,0
2022-07-16,31,0,2.1,61.5,0
2022-07-17,25,0,2.5,68.2,0
