Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,56,14,4.1,82.0,0
2022-01-02,52,13,6.6,78.2,0
2022-01-03,46,12,7.1,81.0,0
2022-01-04,31,8,3.9,89.4,0
2022-01-05,31,13,5.1,80.5,0
2022-01-06,47,16,3.0,81.0,0
2022-01-07,37,10,6.1,84.0,0
2022-01-08,42,12,4.6,92.0,0
2022-01-09,43,16,4.2,82.6,0
2022-01-10,70,21,1.8,96.0,0
2022-01-11,71,21,2.8,83.0,0
2022-01-12,78,24,1.6,93.0,0
2022-01-13,64,14,2.9,96.5,0
2022-01-14,73,21,1.8,96.5,0
2022-01-15,74,20,2.5,96.8,0
2022-01-16,94,30,4.3,93.0,0
2022-01-17,63,24,3.0,87.6,0
2022-01-18,65,24,1.1,84.3,0
2022-01-19,66,22,3.2,93.0,0
2022-01-20,34,13,3.3,81.7,0
2022-01-21,41,16,2.8,84.1,0
2022-01-22,67,18,2.7,88.3,0
2022-01-23,81,27,1.2,87.0,0
2022-01-24,73,25,1.4,80.0,0
2022-01-25,115,42,1.1,82.2,0
2022-01-26,128,50,4.1,84.5,0
2022-01-27,58,15,5.9,84.0,0
2022-01-28,57,20,3.3,86.0,0
2022-01-29,39,12,7.2,79.0,0
2022-01-30,51,29,3.6,77.5,0
2022-01-31,43,22,7.8,80.0,0
2022-02-01,33,12,6.1,84.0,0
2022-02-02,45,23,3.6,83.0,0
2022-02-03,43,12,5.2,82.7,0
2022-02-04,26,7,6.1,86.0,0
2022-02-05,46,13,6.9,81.0,0
2022-02-06,23,7,10.0,84.2,0
2022-02-07,37,14,4.8,78.7,0
2022-02-08,47,10,5.9,82.5,0
2022-02-09,43,8,5.3,83.7,0
2022-02-10,50,15,2.9,82.7,0
2022-02-11,49,17,4.3,82.5,0
2022-02-12,59,22,3.3,69.0,0
2022-02-13,43,14,5.9,66.2,0
2022-02-14,27,10,6.6,75.0,0
2022-02-15,34,10,6.7,84.6,0
2022-02-16,21,6,8.8,86.5,0
2022-02-17,33,16,9.7,64.5,0
2022-02-18,38,18,9.2,81.0,0
2022-02-19,33,13,8.7,65.2,0
2022-02-20,34,12,10.2,85.0,0
2022-02-21,30,15,8.3,75.8,0
2022-02-22,46,23,3.9,84.0,0
2022-02-23,46,17,4.3,70.0,0
2022-02-24,33,14,5.9,72.5,0
2022-02-25,36,15,6.0,80.5,0
2022-02-26,63,24,2.1,79.2,0
2022-02-27,52,17,3.0,65.0,0
2022-02-28,57,16,2.3,69.0,0
2022-03-01,79,27,1.8,66.5,0
2022-03-02,76,27,2.5,50.0,0
2022-03-03,74,28,3.0,52.0,0
2022-03-04,65,25,2.8,56.0,0
2022-03-05,82,32,2.3,74.0,0
2022-03-06,71,22,3.8,74.0,0
2022-03-07,55,17,3.0,55.0,0
2022-03-08,52,17,3.8,50.0,0
2022-03-09,68,28,2.5,48.0,0
2022-03-10,79,35,3.3,46.0,0
2022-03-11,61,24,5.1,45.0,0
2022-03-12,34,16,3.8,59.2,0
2022-03-13,52,16,4.1,62.0,0
2022-03-14,29,13,4.6,76.0,0
2022-03-15,63,24,1.5,80.0,0
2022-03-16,57,18,3.9,71.0,0
2022-03-17,36,16,3.8,73.5,0
2022-03-18,55,17,3.6,63.0,0
2022-03-19,52,14,5.9,55.7,0
2022-03-20,83,30,4.1,64.0,0
2022-03-21,86,37,1.0,73.5,0
2022-03-22,81,38,2.0,56.0,0
2022-03-23,82,44,1.0,59.0,0
2022-03-24,102,50,1.5,64.0,0
2022-03-25,102,53,2.8,63.0,0
2022-03-26,70,37,3.8,68.5,0
2022-03-27,54,15,2.8,72.5,0
2022-03-28,60,30,1.2,69.5,0
2022-03-29,75,35,3.6,74.0,0
2022-03-30,62,29,3.8,65.5,0
2022-03-31,30,10,3.7,83.6,0
2022-04-01,36,9,7.3,78.8,0
2022-04-02,35,10,5.1,64.0,0
2022-04-03,42,14,1.8,70.5,0
2022-04-04,43,10,8.5,82.5,0
2022-04-05,33,9,5.5,87.0,0
2022-04-06,32,12,7.5,80.0,0
2022-04-07,21,10,10.2,69.2,0
2022-04-08,41,13,3.8,75.0,0
2022-04-09,36,14,3.8,77.5,0
2022-04-10,56,16,1.8,65.0,0
2022-04-11,59,17,3.0,50.0,0
2022-04-12,52,15,3.0,50.0,0
2022-04-13,73,30,1.5,79.0,0
2022-04-14,57,22,2.0,64.5,0
2022-04-15,59,14,2.9,71.2,0
2022-04-16,64,15,3.6,53.5,0
2022-04-17,53,15,2.8,43.0,0
2022-04-18,53,15,2.0,45.0,0
2022-04-19,60,16,3.7,47.0,0
2022-04-20,51,15,3.8,50.0,0
2022-04-21,42,17,4.6,54.0,0
2022-04-22,54,18,5.1,66.0,0
2022-04-23,63,23,5.4,58.5,0
2022-04-24,39,15,5.9,52.0,0
2022-04-25,55,20,3.4,84.2,0
2022-04-26,43,16,4.8,71.6,0
2022-04-27,53,17,2.0,61.5,0
2022-04-28,55,21,3.0,61.5,0
2022-04-29,59,23,3.6,71.0,0
2022-04-30,49,14,3.0,70.0,0
2022-05-01,56,16,1.8,63.6,0
2022-05-02,52,20,2.8,56.0,0
2022-05-03,30,16,3.0,71.0,0
2022-05-04,43,17,2.3,62.0,0
2022-05-05,66,27,1.5,68.5,0
2022-05-06,58,18,1.5,74.7,0
2022-05-07,64,25,2.0,74.0,0
2022-05-08,40,16,4.1,63.5,0
2022-05-09,51,22,1.8,58.2,0
