Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,30,0,6.1,78.5,0.0
2022-01-02,9,0,12.6,59.9,0.0
2022-01-03,17,0,6.6,41.0,0.0
2022-01-04,17,0,8.8,36.7,0.0
2022-01-05,17,0,6.9,46.3,0.0
2022-01-06,17,0,10.7,50.1,0.0
2022-01-07,25,0,5.7,59.2,0.0
2022-01-08,50,0,8.8,95.7,0.0
2022-01-09,21,0,10.3,68.7,0.0
2022-01-10,9,0,4.1,47.2,0.0
2022-01-11,13,0,5.6,40.4,0.0
2022-01-12,13,0,4.5,41.3,0.0
2022-01-13,13,0,2.3,31.1,0.0
2022-01-14,13,0,7.4,31.9,0.0
2022-01-15,13,0,17.9,51.3,0.0
2022-01-16,21,0,4.4,54.7,0.0
2022-01-17,25,0,5.0,36.7,0.0
2022-01-18,25,0,14.1,41.6,0.0
2022-01-19,25,0,13.7,57.4,0.0
2022-01-20,9,0,13.4,33.7,0.0
2022-01-21,17,0,4.4,37.7,0.0
2022-01-22,30,0,2.4,43.2,0.0
2022-01-23,38,0,2.3,45.0,0.0
2022-01-24,17,0,3.5,70.3,0.0
2022-01-25,21,0,9.3,41.6,0.0
2022-01-26,25,0,4.9,38.3,0.0
2022-01-27,30,0,4.2,65.6,0.0
2022-01-28,42,0,6.7,43.7,0.0
2022-01-29,25,0,4.9,23.7,0.0
2022-01-30,17,0,4.8,25.1,0.0
2022-01-31,17,0,7.3,55.1,0.0
2022-02-01,13,0,9.5,71.8,0.0
2022-02-02,17,0,10.5,82.2,0.0
2022-02-03,9,0,0.0,78.3,0.0
2022-02-04,13,0,5.3,70.9,0.0
2022-02-05,21,0,7.1,49.7,0.0
2022-02-06,21,0,3.8,48.0,0.0
2022-02-07,34,0,6.8,47.8,0.0
2022-02-08,17,0,4.8,30.0,0.0
2022-02-09,17,0,2.7,26.2,0.0
2022-02-10,21,0,1.7,39.4,0.0
2022-02-11,21,0,6.4,39.2,0.0
2022-02-12,9,0,12.9,33.4,0.0
2022-02-13,9,0,2.4,33.1,0.0
2022-02-14,17,0,8.5,26.3,0.0
2022-02-15,21,0,16.4,46.5,0.0
2022-02-16,17,0,19.3,66.3,0.0
2022-02-17,17,0,14.2,72.1,0.0
2022-02-18,13,0,3.5,32.7,0.0
2022-02-19,21,0,4.0,31.0,0.0
2022-02-20,25,0,12.0,37.7,0.0
2022-02-21,21,0,10.5,76.7,0.0
2022-02-22,21,0,12.5,70.0,0.1
2022-02-23,13,0,11.3,78.5,0.0
2022-02-24,13,0,7.5,88.4,0.0
2022-02-25,38,0,8.3,57.5,0.0
2022-02-26,46,0,6.0,65.0,0.0
2022-02-27,38,0,4.9,44.4,0.0
2022-02-28,25,0,2.9,22.2,0.0
2022-03-01,34,0,2.3,24.1,0.0
2022-03-02,34,0,2.8,25.8,0.0
2022-03-03,34,0,4.5,33.0,0.0
2022-03-04,38,0,11.9,66.6,0.0
2022-03-05,25,0,16.6,67.7,0.0
2022-03-06,42,0,11.2,79.0,0.0
2022-03-07,21,0,10.8,63.7,0.0
2022-03-08,21,0,4.4,73.3,0.0
2022-03-09,25,0,3.1,38.0,0.0
2022-03-10,38,0,6.7,50.5,0.0
2022-03-11,21,0,14.6,65.3,0.0
2022-03-12,13,0,5.0,27.5,0.0
2022-03-13,21,0,13.0,22.7,0.0
2022-03-14,25,0,12.3,57.7,0.0
2022-03-15,30,0,8.6,52.5,0.0
2022-03-16,34,0,8.8,35.6,0.0
2022-03-17,25,0,15.9,58.4,0.0
2022-03-18,9,0,15.8,45.0,0.0
2022-03-19,13,0,3.0,21.7,0.0
2022-03-20,21,0,11.3,22.1,0.0
2022-03-21,21,0,14.5,83.7,0.0
2022-03-22,5,0,10.2,66.9,0.0
2022-03-23,9,0,9.9,37.1,0.0
2022-03-24,9,0,5.2,30.8,0.0
2022-03-25,13,0,2.3,18.5,0.0
2022-03-26,38,0,4.5,25.2,0.0
2022-03-27,34,0,5.3,29.0,0.0
2022-03-28,21,0,12.5,42.4,0.0
2022-03-29,38,0,20.3,59.7,0.0
2022-03-30,38,0,9.9,59.3,0.0
2022-03-31,17,0,4.5,35.1,0.0
2022-04-01,25,0,11.3,34.9,0.0
2022-04-02,30,0,6.1,55.1,0.0
2022-04-03,30,0,10.6,40.9,0.0
2022-04-04,38,0,10.8,57.6,0.1
2022-04-05,25,0,7.3,57.9,0.0
2022-04-06,13,0,14.4,23.5,0.0
2022-04-07,38,0,6.4,22.3,0.0
2022-04-08,30,0,8.0,24.2,0.0
2022-04-09,17,0,13.9,19.2,0.0
2022-04-10,34,0,17.1,50.3,0.0
2022-04-11,42,0,13.3,62.0,0.0
2022-04-12,59,0,15.7,72.8,0.0
2022-04-13,25,0,14.3,42.1,0.0
2022-04-14,21,0,7.7,36.4,0.0
2022-04-15,38,0,12.2,56.6,0.0
2022-04-16,46,0,9.6,70.8,0.0
2022-04-17,34,0,4.8,60.1,0.0
2022-04-18,21,0,7.3,55.8,0.0
2022-04-19,30,0,13.6,49.1,0.0
2022-04-20,38,0,18.4,63.8,0.0
2022-04-21,46,0,15.4,69.0,0.0
2022-04-22,46,0,16.5,60.5,0.0
2022-04-23,34,0,18.1,60.3,0.0
2022-04-24,30,0,10.0,73.0,0.0
2022-04-25,13,0,6.4,61.3,0.0
2022-04-26,17,0,5.1,42.6,0.0
2022-04-27,30,0,7.7,56.7,0.0
2022-04-28,30,0,11.1,63.2,0.0
2022-04-29,21,0,14.1,67.3,0.0
2022-04-30,21,0,9.2,38.3,0.0
2022-05-01,17,0,9.0,41.3,0.0
2022-05-02,30,0,13.1,63.6,0.5
2022-05-03,17,0,5.9,81.6,0.0
2022-05-04,50,0,9.6,71.5,0.0
2022-05-05,34,0,9.3,72.5,0.0
2022-05-06,25,0,3.0,55.6,0.0
2022-05-07,59,0,10.4,68.4,0.0
2022-05-08,65,0,14.1,57.2,0.0
2022-05-09,74,0,14.9,64.1,0.0
2022-05-10,57,0,12.7,64.7,0.0
2022-05-11,42,0,11.1,61.6,0.0
2022-05-12,46,0,10.8,57.7,0.0
2022-05-13,34,0,9.1,50.2,0.0
2022-05-14,34,0,4.7,51.0,0.0
2022-05-15,38,0,8.4,57.6,0.0
2022-05-16,30,0,5.6,61.6,0.0
2022-05-17,42,0,11.3,50.4,0.0
2022-05-18,34,0,12.7,47.9,0.0
2022-05-19,46,0,14.7,44.1,0.0
2022-05-20,80,0,15.5,56.0,0.0
2022-05-21,59,0,11.9,65.4,0.0
2022-05-22,17,0,7.9,61.7,0.0
2022-05-23,34,0,5.0,87.2,0.0
2022-05-24,38,0,7.3,88.2,0.1
2022-05-25,25,0,7.7,70.5,0.0
2022-05-26,13,0,5.8,44.9,0.0
2022-05-27,25,0,2.5,34.8,0.0
2022-05-28,42,0,12.5,42.1,0.0
2022-05-29,42,0,15.9,50.1,0.0
2022-05-30,38,0,17.3,50.5,0.0
2022-05-31,34,0,13.5,53.5,0.0
2022-06-01,34,0,5.7,72.8,0.1
2022-06-02,13,0,4.3,76.2,0.2
2022-06-03,25,0,3.0,81.2,0.0
2022-06-04,34,0,4.7,73.2,0.0
2022-06-05,38,0,12.3,64.6,0.0
2022-06-06,34,0,10.3,60.7,0.0
2022-06-07,30,0,10.2,64.5,0.0
2022-06-08,34,0,6.8,68.2,0.0
2022-06-09,46,0,4.1,65.5,0.0
2022-06-10,50,0,5.7,59.0,0.0
2022-06-11,36,0,7.8,50.0,0.0
2022-06-12,50,0,10.0,51.0,0.0
2022-06-13,91,0,11.9,46.7,0.0
2022-06-14,102,0,13.3,52.6,0.0
