Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,30,8,1.5,66.1,0.0
2022-01-02,30,8,2.0,65.0,99.0
2022-01-03,53,13,1.6,67.1,0.0
2022-01-04,61,19,1.5,68.1,0.0
2022-01-05,50,13,1.5,70.0,99.0
2022-01-06,30,8,1.7,80.0,0.4
2022-01-07,30,9,1.5,72.5,0.0
2022-01-08,38,10,1.5,72.5,0.0
2022-01-09,63,18,1.5,72.5,0.0
2022-01-10,82,27,1.2,72.9,0.0
2022-01-11,46,12,4.4,59.5,99.0
2022-01-12,25,7,4.1,51.5,0.0
2022-01-13,42,11,4.6,58.5,99.0
2022-01-14,21,7,3.1,53.0,0.0
2022-01-15,38,10,1.5,69.0,99.0
2022-01-16,59,17,2.0,77.5,99.0
2022-01-17,34,10,3.6,54.0,0.0
2022-01-18,34,8,4.1,52.0,99.0
2022-01-19,34,8,1.8,60.0,0.0
2022-01-20,34,9,3.0,61.1,99.0
2022-01-21,21,6,2.0,54.0,99.0
2022-01-22,38,10,1.3,66.0,99.0
2022-01-23,42,10,1.2,95.4,1.2
2022-01-24,30,9,3.0,68.2,99.5
2022-01-25,30,9,1.5,66.2,0.0
2022-01-26,76,24,2.0,65.2,99.0
2022-01-27,91,30,1.1,67.5,0.0
2022-01-28,87,26,1.4,66.0,0.0
2022-01-29,34,9,1.6,59.1,0.0
2022-01-30,30,8,1.4,64.5,99.0
2022-01-31,34,9,1.8,65.0,0.3
2022-02-01,65,20,3.0,65.0,99.0
2022-02-02,85,27,2.3,64.0,0.0
2022-02-03,42,10,1.9,60.0,99.0
2022-02-04,42,10,2.9,50.1,0.0
2022-02-05,38,10,5.6,47.6,99.0
2022-02-06,30,8,4.6,49.3,99.0
2022-02-07,38,10,1.5,58.2,99.0
2022-02-08,38,10,1.5,67.2,99.0
2022-02-09,34,9,1.7,68.1,0.0
2022-02-10,34,9,1.5,68.2,99.0
2022-02-11,50,12,1.8,65.3,99.0
2022-02-12,46,11,1.5,57.0,0.0
2022-02-13,42,10,1.5,84.0,0.2
2022-02-14,42,10,1.9,68.2,0.0
2022-02-15,46,12,4.4,52.0,99.0
2022-02-16,42,10,5.9,49.5,99.0
2022-02-17,38,10,4.9,49.6,99.0
2022-02-18,34,9,2.4,53.5,0.0
2022-02-19,34,8,1.1,89.5,0.5
2022-02-20,42,10,5.8,48.0,99.0
2022-02-21,30,8,4.0,42.0,0.0
2022-02-22,42,10,4.1,41.1,99.0
2022-02-23,50,12,2.0,56.3,99.0
2022-02-24,38,10,2.2,57.2,0.0
2022-02-25,59,16,2.0,59.0,0.0
2022-02-26,74,22,2.7,61.0,0.0
2022-02-27,61,18,3.3,49.1,99.0
2022-02-28,46,13,1.3,50.9,0.0
2022-03-01,53,16,2.0,82.0,0.7
2022-03-02,50,13,3.3,59.1,99.0
2022-03-03,50,14,2.5,63.0,0.0
2022-03-04,74,26,2.0,59.0,99.0
2022-03-05,65,25,4.1,49.5,0.0
2022-03-06,25,9,4.1,43.2,0.0
2022-03-07,55,17,1.6,54.1,0.0
2022-03-08,55,17,1.6,59.0,0.0
2022-03-09,78,28,1.9,63.9,0.0
2022-03-10,80,26,1.5,55.5,0.0
2022-03-11,65,22,1.5,55.2,0.0
2022-03-12,61,20,1.8,64.5,0.0
2022-03-13,55,17,3.6,69.9,99.0
2022-03-14,42,14,2.0,76.9,99.0
2022-03-15,46,15,2.5,67.0,99.0
2022-03-16,46,14,1.3,69.5,99.0
2022-03-17,53,17,1.8,72.9,99.0
2022-03-18,17,7,3.3,90.0,1.0
