Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,0,0,3.8,66.0,0
2022-01-02,0,0,2.8,69.5,0
2022-01-03,0,0,2.8,69.0,0
2022-01-04,0,0,2.5,71.5,0
2022-01-05,0,0,2.5,71.5,0
2022-01-06,0,0,3.3,69.0,0
2022-01-07,0,0,2.5,74.0,0
2022-01-08,0,0,2.8,74.0,0
2022-01-09,0,0,2.5,72.0,0
2022-01-10,0,0,3.6,58.5,0
2022-01-11,0,0,3.6,63.0,0
2022-01-12,0,0,2.0,70.0,0
2022-01-13,0,0,4.1,54.0,0
2022-01-14,0,0,3.0,58.0,0
2022-01-15,0,0,3.0,59.0,0
2022-01-16,0,0,2.5,66.0,0
2022-01-17,0,0,3.3,65.0,0
2022-01-18,0,0,4.3,59.5,0
2022-01-19,0,0,2.5,66.0,0
2022-01-20,0,0,2.0,74.0,0
2022-01-21,0,0,2.5,71.5,0
2022-01-22,0,0,1.5,80.5,0
2022-01-23,0,0,1.8,74.0,0
2022-01-24,0,0,1.8,80.5,0
2022-01-25,0,0,2.0,78.0,0
2022-01-26,0,0,2.0,83.0,0
2022-01-27,0,0,1.8,79.0,0
2022-01-28,0,0,2.0,78.0,0
2022-01-29,0,0,2.0,79.0,0
2022-01-30,0,0,2.5,74.0,0
2022-01-31,0,0,2.0,70.0,0
2022-02-01,0,0,2.5,70.0,0
2022-02-02,0,0,2.0,81.0,0
2022-02-03,0,0,1.2,79.0,0
2022-02-04,0,0,2.0,83.0,0
2022-02-05,0,0,2.0,83.0,0
2022-02-06,0,0,2.0,79.0,0
2022-02-07,0,0,2.0,85.5,0
2022-02-08,0,0,2.5,88.0,0
2022-02-09,0,0,1.5,85.5,0
2022-02-10,0,0,1.8,83.0,0
2022-02-11,0,0,1.0,83.0,0
2022-02-12,0,0,1.5,79.0,0
2022-02-13,0,0,2.3,70.0,0
2022-02-14,0,0,2.3,85.5,0
2022-02-15,0,0,2.5,88.0,0
2022-02-16,0,0,2.5,79.0,0
2022-02-17,0,0,1.8,76.0,0
