Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,17,4,2.0,84.4,99.0
2022-01-02,21,4,1.5,72.0,99.0
2022-01-03,25,6,1.0,88.0,99.0
2022-01-04,21,6,4.1,86.1,0.1
2022-01-05,17,4,3.6,46.0,0.0
2022-01-06,25,6,1.0,54.9,99.0
2022-01-07,30,8,3.6,47.1,99.0
2022-01-08,34,8,1.0,55.1,0.0
2022-01-09,42,10,2.0,66.9,0.0
2022-01-10,42,10,1.5,56.0,0.0
2022-01-11,25,8,2.0,90.0,0.2
2022-01-12,17,4,3.6,96.0,99.5
2022-01-13,25,5,4.1,73.1,99.0
2022-01-14,17,3,3.0,75.9,0.6
2022-01-15,25,6,2.0,61.0,99.0
2022-01-16,38,9,1.0,73.9,99.0
2022-01-17,38,8,2.0,83.3,99.0
2022-01-18,17,4,3.0,64.9,99.0
2022-01-19,25,4,1.5,71.8,99.0
2022-01-20,30,5,2.5,76.9,99.0
2022-01-21,21,4,3.6,50.0,0.0
2022-01-22,25,5,2.0,54.0,0.0
2022-01-23,42,9,1.0,78.8,99.0
2022-01-24,25,6,3.0,65.1,0.2
2022-01-25,21,6,1.5,54.2,0.0
2022-01-26,30,8,2.5,65.3,99.0
2022-01-27,42,10,3.0,40.2,0.0
2022-01-28,38,10,2.0,48.1,0.0
2022-01-29,34,8,1.5,62.9,99.0
2022-01-30,25,5,1.5,48.2,0.0
2022-01-31,17,4,2.5,45.1,0.0
2022-02-01,34,7,1.5,68.2,99.0
2022-02-02,38,9,2.0,97.0,99.0
2022-02-03,42,9,1.5,68.3,99.0
2022-02-04,17,5,2.0,69.1,99.0
2022-02-05,13,3,3.6,92.3,0.4
2022-02-06,13,2,2.0,92.9,0.5
2022-02-07,17,5,2.0,70.0,0.0
2022-02-08,21,6,2.0,63.3,0.0
2022-02-09,21,5,2.0,57.1,0.0
2022-02-10,30,7,1.5,84.8,0.7
2022-02-11,21,5,2.5,53.3,0.0
2022-02-12,21,5,1.5,52.9,0.0
2022-02-13,21,6,1.5,72.0,0.2
2022-02-14,34,10,2.0,63.0,99.0
2022-02-15,50,13,2.0,68.1,0.1
2022-02-16,21,6,3.0,57.9,99.0
2022-02-17,17,4,3.0,83.9,0.6
2022-02-18,21,4,1.5,90.1,99.0
2022-02-19,17,4,2.0,75.1,0.7
2022-02-20,21,4,4.6,83.9,0.5
2022-02-21,25,5,4.1,60.0,99.0
2022-02-22,30,6,1.5,78.4,99.0
2022-02-23,21,4,2.5,75.1,99.0
2022-02-24,21,4,1.5,60.1,0.0
2022-02-25,30,7,1.5,66.1,99.0
2022-02-26,46,11,1.5,97.5,0.0
2022-02-27,38,10,1.5,63.2,99.0
2022-02-28,42,10,2.0,49.9,99.0
2022-03-01,38,11,1.5,65.3,0.1
2022-03-02,42,13,2.0,80.1,0.0
2022-03-03,50,15,2.0,93.5,0.0
2022-03-04,50,13,2.5,74.7,0.0
2022-03-05,53,13,2.0,53.0,99.0
2022-03-06,46,8,4.1,68.1,99.0
2022-03-07,30,7,4.1,96.0,99.0
2022-03-08,30,9,2.5,96.0,0.0
2022-03-09,42,10,2.0,65.2,0.0
2022-03-10,55,13,1.5,42.2,0.0
2022-03-11,53,14,1.5,50.1,0.0
2022-03-12,61,20,2.0,87.5,0.0
2022-03-13,65,20,2.0,87.6,0.0
2022-03-14,30,7,1.5,67.1,1.5
2022-03-15,34,10,4.1,56.0,0.1
2022-03-16,30,7,2.0,36.1,0.0
2022-03-17,42,12,3.6,48.1,0.0
2022-03-18,38,10,2.0,85.0,99.0
2022-03-19,17,2,4.6,96.1,0.7
2022-03-20,17,3,3.6,44.1,0.0
2022-03-21,17,4,3.0,44.1,0.0
2022-03-22,17,4,2.0,70.2,0.3
2022-03-23,21,6,1.5,55.2,99.0
2022-03-24,42,10,3.0,45.0,99.0
2022-03-25,65,22,2.0,62.1,0.0
2022-03-26,42,14,3.6,90.2,6.5
2022-03-27,17,4,4.6,51.3,0.9
2022-03-28,30,8,4.6,66.6,0.0
2022-03-29,42,10,1.5,69.0,0.0
2022-03-30,53,13,1.5,71.2,0.0
2022-03-31,38,10,3.0,61.2,99.0
2022-04-01,30,6,4.1,50.6,99.0
2022-04-02,34,10,2.0,82.5,99.0
2022-04-03,30,8,1.5,84.0,99.0
2022-04-04,25,5,3.0,74.0,99.0
2022-04-05,25,7,2.5,53.4,0.0
2022-04-06,42,10,1.5,51.2,0.0
2022-04-07,57,16,2.5,53.0,0.0
2022-04-08,46,11,4.6,62.0,0.0
2022-04-09,55,13,1.5,54.0,0.0
2022-04-10,61,20,2.0,48.6,0.0
2022-04-11,61,20,2.0,54.0,0.0
2022-04-12,57,17,2.0,70.9,0.0
2022-04-13,46,13,1.5,66.2,0.0
2022-04-14,53,15,2.0,79.9,0.4
2022-04-15,17,5,3.0,79.0,0.5
2022-04-16,30,5,5.6,51.2,0.0
2022-04-17,30,9,1.5,69.4,99.0
2022-04-18,25,6,1.5,85.1,1.8
2022-04-19,53,13,2.5,41.0,0.0
2022-04-20,59,16,2.0,44.6,0.0
2022-04-21,59,18,1.5,67.9,0.9
2022-04-22,34,8,2.5,53.0,0.4
2022-04-23,57,16,1.5,59.3,0.0
2022-04-24,59,20,1.5,85.3,0.6
2022-04-25,38,11,1.5,74.1,0.0
2022-04-26,34,12,2.0,84.1,99.0
2022-04-27,25,9,4.1,68.2,1.9
2022-04-28,50,14,3.0,64.9,0.0
2022-04-29,38,11,1.5,74.9,4.1
2022-04-30,21,4,4.6,66.3,99.0
2022-05-01,25,7,4.1,65.1,1.4
2022-05-02,34,10,3.6,44.1,99.0
2022-05-03,34,9,3.0,39.2,0.0
2022-05-04,53,13,1.5,47.9,0.0
2022-05-05,55,14,2.5,45.6,0.0
2022-05-06,46,12,19.5,68.0,0.0
2022-05-07,38,10,2.5,54.1,0.0
2022-05-08,25,6,5.1,46.2,0.0
2022-05-09,30,8,1.5,57.0,99.0
2022-05-10,25,7,2.0,74.0,0.0
2022-05-11,42,10,11.5,67.9,99.0
2022-05-12,42,12,1.5,74.2,0.6
2022-05-13,17,5,1.5,95.1,0.9
2022-05-14,25,6,4.1,56.0,1.5
2022-05-15,34,10,3.0,50.0,0.0
2022-05-16,42,10,2.0,64.9,0.0
2022-05-17,59,18,1.5,70.2,0.0
2022-05-18,61,17,2.5,49.0,0.0
2022-05-19,61,18,2.0,54.0,0.0
2022-05-20,61,19,4.5,54.3,0.0
2022-05-21,65,21,1.5,75.1,99.5
2022-05-22,55,14,2.0,53.2,0.2
