Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,43,14,1.6,86.2,0
2022-01-02,38,16,4.0,83.0,0
2022-01-03,38,22,5.8,83.0,0
2022-01-04,23,15,2.7,83.0,0
2022-01-05,43,21,5.3,81.6,0
2022-01-06,36,19,4.9,82.0,0
2022-01-07,30,16,7.8,81.0,0
2022-01-08,28,10,6.6,81.3,0
2022-01-09,35,19,5.6,81.0,0
2022-01-10,62,25,0.3,77.6,0
2022-01-11,71,24,1.0,79.0,0
2022-01-12,41,16,0.6,82.0,0
2022-01-13,40,10,0.6,87.0,0
2022-01-14,36,16,1.0,87.4,0
2022-01-15,65,22,3.4,81.2,0
2022-01-16,51,23,4.0,82.0,0
2022-01-17,38,23,5.2,82.0,0
2022-01-18,27,13,3.0,82.7,0
2022-01-19,44,21,8.2,82.2,0
2022-01-20,35,18,7.3,81.0,0
2022-01-21,28,17,5.5,82.0,0
2022-01-22,25,13,4.9,81.7,0
2022-01-23,30,15,1.4,81.8,0
2022-01-24,92,34,1.4,81.0,0
2022-01-25,89,32,2.2,79.0,0
2022-01-26,70,26,3.2,79.9,0
2022-01-27,45,23,3.2,73.5,0
2022-01-28,36,21,2.2,67.5,0
2022-01-29,43,20,3.5,79.0,0
2022-01-30,51,31,2.8,55.4,0
2022-01-31,53,25,6.0,65.2,0
2022-02-01,42,21,2.1,75.4,0
2022-02-02,51,27,0.9,72.0,0
2022-02-03,30,15,1.6,82.0,0
2022-02-04,29,13,2.7,75.7,0
2022-02-05,43,21,3.3,63.7,0
2022-02-06,43,21,3.7,81.7,0
2022-02-07,41,22,2.4,59.3,0
2022-02-08,45,21,3.1,78.6,0
2022-02-09,38,17,2.3,82.0,0
2022-02-10,23,13,1.3,81.5,0
2022-02-11,38,21,2.5,61.8,0
2022-02-12,52,20,1.2,67.0,0
2022-02-13,52,16,6.2,76.9,0
2022-02-14,34,16,2.3,68.7,0
2022-02-15,29,15,2.0,75.9,0
2022-02-16,38,19,2.8,85.8,0
2022-02-17,50,27,2.5,62.3,0
2022-02-18,50,28,4.4,70.4,0
2022-02-19,45,21,1.0,57.4,0
