Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,42,0,2.5,90.0,0
2022-01-02,13,0,2.0,81.0,0
2022-01-03,21,0,2.5,76.0,0
2022-01-04,42,0,4.0,77.0,0
2022-01-05,38,0,5.0,75.6,0
2022-01-06,34,0,3.5,76.0,0
2022-01-07,25,0,2.2,76.5,0
2022-01-08,25,0,1.5,75.0,0
2022-01-09,25,0,6.2,80.1,0
2022-01-10,17,0,5.6,69.6,0
2022-01-11,30,0,2.0,72.2,0
2022-01-12,50,0,4.6,74.0,0
2022-01-13,61,0,1.0,90.0,0
2022-01-14,17,0,3.0,71.0,0
2022-01-15,30,0,4.5,66.0,0
2022-01-16,38,0,1.5,77.2,0
2022-01-17,25,0,3.7,88.5,0
2022-01-18,17,0,2.0,72.2,0
2022-01-19,38,0,5.5,73.0,0
2022-01-20,17,0,1.5,71.0,0
2022-01-21,30,0,1.5,78.0,0
2022-01-22,42,0,4.1,81.3,0
2022-01-23,21,0,2.5,75.0,0
2022-01-24,25,0,1.5,81.6,0
2022-01-25,25,0,2.0,72.2,0
2022-01-26,30,0,1.7,74.7,0
2022-01-27,42,0,4.6,77.5,0
2022-01-28,30,0,2.2,66.7,0
2022-01-29,25,0,1.0,64.0,0
2022-01-30,42,0,2.0,73.2,0
2022-01-31,76,0,2.0,74.0,0
2022-02-01,63,0,1.5,72.0,0
2022-02-02,50,0,2.5,75.3,0
2022-02-03,17,0,3.2,85.5,0
2022-02-04,17,0,1.5,80.0,0
2022-02-05,21,0,1.0,67.6,0
2022-02-06,42,0,3.0,72.3,0
2022-02-07,55,0,2.0,80.0,0
2022-02-08,30,0,2.0,76.3,0
2022-02-09,42,0,2.7,73.0,0
2022-02-10,34,0,3.7,77.6,0
2022-02-11,25,0,4.0,80.0,0
2022-02-12,17,0,3.7,71.7,0
2022-02-13,21,0,1.6,75.5,0
2022-02-14,21,0,1.3,69.2,0
2022-02-15,46,0,2.5,70.2,0
2022-02-16,55,0,6.0,67.0,0
2022-02-17,34,0,2.3,90.0,0
2022-02-18,13,0,3.5,77.5,0
2022-02-19,17,0,7.6,73.5,0
2022-02-20,17,0,3.6,65.9,0
2022-02-21,34,0,1.7,77.0,0
2022-02-22,34,0,2.2,90.6,0
2022-02-23,17,0,6.1,69.6,0
2022-02-24,17,0,2.2,72.5,0
