Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,41,14,0.7,93.0,0
2022-01-02,20,8,3.0,81.0,0
2022-01-03,16,7,5.1,50.0,0
2022-01-04,21,10,2.0,48.0,0
2022-01-05,48,16,2.0,87.0,0
2022-01-06,44,16,2.0,59.0,0
2022-01-07,27,10,4.6,59.0,0
2022-01-08,16,10,3.0,49.0,0
2022-01-09,49,19,4.1,64.0,0
2022-01-10,15,9,5.1,42.0,0
2022-01-11,21,11,5.1,40.0,0
2022-01-12,52,22,2.0,54.0,0
2022-01-13,72,32,1.5,74.0,0
2022-01-14,58,20,6.6,60.0,0
2022-01-15,20,9,5.6,33.0,0
2022-01-16,39,14,2.5,50.0,0
2022-01-17,25,11,4.6,80.0,0
2022-01-18,13,8,6.1,43.0,0
2022-01-19,39,20,3.0,63.0,0
2022-01-20,25,12,4.2,51.0,0
2022-01-21,23,12,4.6,44.0,0
2022-01-22,31,12,3.0,55.0,0
2022-01-23,60,33,2.0,53.0,0
2022-01-24,61,21,2.0,63.0,0
2022-01-25,78,28,3.6,64.0,0
2022-01-26,16,10,4.1,40.0,0
2022-01-27,35,18,2.5,56.0,0
2022-01-28,81,32,2.0,73.0,0
2022-01-29,30,15,6.9,78.0,0
2022-01-30,18,9,3.6,36.0,0
2022-01-31,66,32,1.5,67.0,0
2022-02-01,64,31,2.0,62.0,0
2022-02-02,59,23,1.5,74.0,0
2022-02-03,41,14,2.0,93.0,0
2022-02-04,16,6,4.1,86.0,0
2022-02-05,21,9,5.1,48.0,0
2022-02-06,20,9,3.0,48.0,0
2022-02-07,57,19,2.0,80.5,0
2022-02-08,30,10,3.6,64.0,0
2022-02-09,48,17,2.5,51.0,0
2022-02-10,49,20,3.6,64.0,0
2022-02-11,30,15,4.6,57.0,0
2022-02-12,23,15,2.5,51.0,0
2022-02-13,25,9,3.0,63.0,0
2022-02-14,16,10,4.6,37.0,0
2022-02-15,21,10,3.0,44.0,0
2022-02-16,36,20,5.1,72.0,0
2022-02-17,29,12,6.1,70.0,0
2022-02-18,13,6,7.2,45.0,0
2022-02-19,22,11,4.6,53.0,0
2022-02-20,17,11,3.6,44.0,0
2022-02-21,39,19,3.0,51.0,0
2022-02-22,55,21,6.6,82.0,0
2022-02-23,35,20,5.6,56.0,0
2022-02-24,20,9,4.1,33.0,0
2022-02-25,23,9,3.6,79.0,0
2022-02-26,22,11,2.5,54.0,0
2022-02-27,45,17,5.1,40.0,0
2022-02-28,16,10,3.6,32.0,0
2022-03-01,32,17,3.0,51.0,0
2022-03-02,43,13,3.0,55.0,0
2022-03-03,15,7,6.6,38.0,0
2022-03-04,20,10,3.0,41.0,0
2022-03-05,53,20,2.5,47.0,0
2022-03-06,63,23,4.1,77.0,0
2022-03-07,51,22,3.0,67.0,0
2022-03-08,9,5,6.1,37.0,0
2022-03-09,38,13,2.5,78.5,0
2022-03-10,52,18,1.5,69.0,0
2022-03-11,60,22,3.6,65.0,0
2022-03-12,16,10,6.1,81.0,0
2022-03-13,15,10,5.6,39.0,0
2022-03-14,43,18,3.0,46.0,0
2022-03-15,33,18,2.5,47.0,0
2022-03-16,50,16,2.0,75.0,0
2022-03-17,73,31,2.0,87.0,0
2022-03-18,51,20,2.5,62.0,0
2022-03-19,45,14,3.0,82.0,0
2022-03-20,15,7,4.6,58.0,0
2022-03-21,10,7,5.1,31.0,0
2022-03-22,11,7,4.6,26.0,0
2022-03-23,14,9,2.0,41.0,0
2022-03-24,13,5,3.6,87.0,0
2022-03-25,18,8,3.6,53.0,0
2022-03-26,18,7,2.0,70.0,0
2022-03-27,8,3,5.1,47.0,0
2022-03-28,12,6,6.6,38.0,0
2022-03-29,14,7,5.6,36.0,0
2022-03-30,16,9,3.0,35.0,0
2022-03-31,50,17,4.8,79.5,0
2022-04-01,13,7,3.6,65.0,0
2022-04-02,10,5,5.1,41.0,0
2022-04-03,43,14,1.5,75.0,0
2022-04-04,16,7,3.6,42.0,0
2022-04-05,27,12,2.0,49.0,0
2022-04-06,31,10,3.8,76.0,0
2022-04-07,25,11,2.9,71.0,0
2022-04-08,8,4,3.0,61.0,0
2022-04-09,29,12,3.0,70.0,0
2022-04-10,14,5,4.6,49.0,0
2022-04-11,10,6,3.0,42.0,0
2022-04-12,24,11,2.0,55.0,0
2022-04-13,26,15,3.6,63.0,0
2022-04-14,45,20,2.8,58.0,0
2022-04-15,16,10,4.6,32.0,0
2022-04-16,23,13,4.8,44.0,0
2022-04-17,7,3,4.6,42.0,0
2022-04-18,12,7,4.1,49.0,0
2022-04-19,9,5,5.1,61.0,0
2022-04-20,10,5,4.6,39.0,0
2022-04-21,19,10,5.6,58.0,0
2022-04-22,18,10,4.1,36.0,0
2022-04-23,21,10,2.5,35.0,0
2022-04-24,20,10,3.0,40.0,0
2022-04-25,21,12,4.1,43.0,0
2022-04-26,22,10,2.0,81.0,0
2022-04-27,10,7,5.6,43.0,0
2022-04-28,13,9,7.2,26.0,0
2022-04-29,19,10,5.6,23.0,0
2022-04-30,16,9,4.1,28.0,0
2022-05-01,23,11,2.5,44.0,0
2022-05-02,30,15,2.8,62.0,0
2022-05-03,19,9,2.5,76.0,0
2022-05-04,25,10,1.5,82.0,0
2022-05-05,21,10,2.0,54.0,0
2022-05-06,29,14,2.0,58.0,0
2022-05-07,22,12,6.6,40.0,0
2022-05-08,20,10,6.1,40.0,0
2022-05-09,21,13,6.1,21.0,0
2022-05-10,22,12,6.1,28.0,0
2022-05-11,23,10,4.1,39.0,0
2022-05-12,15,9,3.0,67.0,0
2022-05-13,18,9,1.5,82.0,0
2022-05-14,22,10,2.7,79.0,0
2022-05-15,16,8,2.5,78.0,0
2022-05-16,33,15,2.5,77.0,0
2022-05-17,17,10,4.1,42.0,0
2022-05-18,18,10,3.6,39.0,0
2022-05-19,22,11,2.5,87.0,0
2022-05-20,39,16,1.9,88.0,0
2022-05-21,45,14,2.0,78.0,0
2022-05-22,61,24,3.0,69.0,0
2022-05-23,13,10,4.1,43.0,0
2022-05-24,14,10,3.0,48.0,0
2022-05-25,18,11,3.0,55.0,0
2022-05-26,21,14,4.1,67.0,0
2022-05-27,26,13,3.6,82.0,0
2022-05-28,21,10,2.0,82.0,0
2022-05-29,24,14,2.0,60.0,0
2022-05-30,37,14,2.5,60.0,0
2022-05-31,47,19,4.1,57.5,0
2022-06-01,20,12,3.0,72.0,0
2022-06-02,33,14,2.0,88.0,0
2022-06-03,30,14,2.5,72.6,0
2022-06-04,32,14,3.0,57.0,0
2022-06-05,13,10,2.5,34.0,0
2022-06-06,25,14,3.0,40.0,0
