Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,4,8.0,95.0,0
2022-01-02,10,4,6.5,97.0,0
2022-01-03,13,4,6.8,99.0,0
2022-01-04,15,5,4.5,89.5,0
2022-01-05,15,6,0.5,91.6,0
2022-01-06,12,4,8.2,96.6,0
2022-01-07,13,4,7.6,95.4,0
2022-01-08,18,5,5.6,97.0,0
2022-01-09,55,15,5.4,99.0,0
2022-01-10,30,9,5.8,96.5,0
2022-01-11,30,10,3.1,97.0,0
2022-01-12,22,7,6.3,98.0,0
2022-01-13,9,5,4.5,91.0,0
2022-01-14,7,4,5.8,81.5,0
2022-01-15,11,5,4.3,83.4,0
2022-01-16,9,4,3.0,96.2,0
2022-01-17,6,3,5.6,80.0,0
2022-01-18,10,5,3.6,85.9,0
2022-01-19,10,5,1.4,96.4,0
2022-01-25,0,0,1.5,93.4,0
2022-01-26,0,0,0.8,96.0,0
2022-01-27,0,0,1.1,96.9,0
2022-01-28,0,0,6.1,96.2,0
2022-01-29,10,4,1.0,93.9,0
2022-01-30,6,3,10.5,96.0,0
2022-01-31,18,6,8.5,96.0,0
2022-02-01,37,10,4.7,96.0,0
2022-02-02,51,15,4.0,95.0,0
2022-02-03,55,17,1.8,92.7,0
2022-02-04,25,8,1.2,92.2,0
2022-02-05,26,7,1.5,93.4,0
2022-02-06,12,5,5.0,96.0,0
2022-02-07,18,7,2.4,99.0,0
2022-02-08,11,4,5.0,96.6,0
2022-02-09,13,5,5.4,98.0,0
2022-02-10,13,5,6.0,91.8,0
2022-02-11,10,4,6.8,89.5,0
2022-02-12,9,4,6.6,87.4,0
2022-02-13,23,8,7.6,96.0,0
2022-02-14,43,12,5.2,99.0,0
2022-02-15,64,19,4.2,97.4,0
2022-02-16,28,10,5.6,96.8,0
2022-02-17,15,5,8.7,95.2,0
2022-02-18,8,3,8.0,94.0,0
2022-02-19,15,5,6.8,95.4,0
2022-02-20,11,4,2.8,96.0,0
2022-02-21,8,4,16.0,88.8,0
2022-02-22,10,3,3.2,97.0,0
2022-02-23,33,10,1.6,99.0,0
2022-02-24,23,8,6.8,92.7,0
2022-02-25,31,9,7.3,96.7,0
2022-02-26,10,4,7.6,89.0,0
2022-02-27,15,5,5.2,95.0,0
2022-02-28,18,7,5.0,89.3,0
2022-03-01,22,7,5.0,90.8,0
2022-03-02,39,12,4.2,96.3,0
2022-03-03,14,5,6.8,82.0,0
2022-03-04,13,9,5.8,73.2,0
2022-03-05,21,10,4.0,88.5,0
2022-03-06,9,4,7.2,82.8,0
2022-03-07,10,4,6.3,82.3,0
2022-03-08,16,6,6.5,97.0,0
2022-03-09,20,7,6.0,80.6,0
2022-03-10,16,7,4.3,78.2,0
2022-03-11,21,7,3.0,86.9,0
2022-03-12,40,12,1.0,85.6,0
2022-03-13,44,14,1.0,81.5,0
2022-03-14,35,28,2.5,67.5,0
2022-03-15,62,34,0.4,75.4,0
2022-03-16,59,23,2.8,77.1,0
2022-03-17,51,20,1.9,75.5,0
2022-03-18,51,21,3.5,70.2,0
2022-03-19,40,12,2.8,80.7,0
2022-03-20,17,8,3.0,71.6,0
2022-03-21,33,22,1.9,61.1,0
2022-03-22,70,28,1.9,68.6,0
2022-03-23,65,30,1.6,76.1,0
2022-03-24,48,21,2.4,78.5,0
2022-03-25,44,16,1.0,89.3,0
2022-03-26,14,14,5.2,80.9,0
2022-03-27,12,11,5.2,49.0,0
2022-03-28,10,5,2.3,88.8,0
2022-03-29,20,26,4.1,74.2,0
2022-03-30,17,16,2.4,83.6,0
2022-03-31,23,15,1.0,84.9,0
2022-04-01,30,25,1.0,74.4,0
2022-04-02,37,33,2.7,64.5,0
2022-04-03,16,16,1.8,67.7,0
2022-04-04,14,6,1.5,84.5,0
2022-04-05,10,5,1.0,97.0,0
2022-04-06,9,4,3.3,73.2,0
2022-04-07,12,5,0.9,90.0,0
2022-04-08,15,6,1.5,99.0,0
2022-04-09,10,4,1.9,85.5,0
2022-04-10,11,5,1.7,93.0,0
2022-04-11,17,18,3.7,78.0,0
2022-04-12,25,28,1.4,75.6,0
2022-04-13,22,29,1.7,66.0,0
2022-04-14,20,13,1.7,79.5,0
2022-04-15,13,10,1.7,81.5,0
2022-04-16,19,15,1.4,59.0,0
2022-04-17,28,23,2.0,60.2,0
2022-04-18,23,20,1.0,71.2,0
2022-04-19,40,46,0.8,68.2,0
2022-04-20,28,33,0.8,62.2,0
2022-04-21,19,22,0.6,61.4,0
2022-04-22,26,31,0.7,60.2,0
2022-04-23,30,28,0.9,68.8,0
2022-04-24,15,13,1.0,67.6,0
2022-04-25,22,21,0.7,66.5,0
2022-04-26,17,20,3.9,71.4,0
2022-04-27,15,15,2.1,44.0,0
2022-04-28,13,11,2.6,56.6,0
2022-04-29,10,7,2.6,55.9,0
2022-04-30,15,11,3.2,64.5,0
2022-05-01,16,9,1.6,71.5,0
2022-05-02,20,15,3.1,70.3,0
2022-05-03,13,11,4.5,70.9,0
2022-05-04,11,10,3.1,51.4,0
2022-05-05,18,16,2.3,64.4,0
2022-05-06,31,19,1.8,59.0,0
2022-05-07,31,12,3.5,79.1,0
2022-05-08,9,6,2.3,62.6,0
2022-05-09,14,12,3.0,53.2,0
2022-05-10,16,15,2.8,51.3,0
2022-05-11,28,15,2.1,63.8,0
2022-05-12,26,12,1.4,86.3,0
2022-05-13,10,8,3.8,72.7,0
2022-05-14,19,10,1.6,70.0,0
2022-05-15,8,7,3.0,87.6,0
2022-05-16,8,9,3.0,66.3,0
2022-05-17,8,7,1.8,70.8,0
2022-05-18,18,14,3.9,54.2,0
2022-05-19,17,13,1.0,56.7,0
2022-05-20,16,12,1.0,55.4,0
2022-05-21,16,10,0.8,49.0,0
2022-05-22,19,10,1.0,50.9,0
2022-05-23,26,17,1.0,58.8,0
2022-05-24,23,17,0.9,35.0,0
2022-05-25,31,22,1.0,55.0,0
2022-05-26,29,10,0.9,77.3,0
2022-05-27,21,7,1.0,80.7,0
2022-05-28,18,6,0.6,83.7,0
2022-05-29,20,8,0.8,87.2,0
2022-05-30,17,8,0.7,78.0,0
2022-05-31,15,7,1.5,91.0,0
