Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,17,6,1.0,63.0,0.0
2022-01-02,21,6,1.9,63.2,0.0
2022-01-03,25,8,1.5,55.0,0.0
2022-01-04,46,12,1.5,56.1,0.0
2022-01-05,25,8,1.5,56.0,0.0
2022-01-06,21,7,2.0,63.0,99.0
2022-01-07,25,8,2.0,54.2,99.0
2022-01-08,34,12,2.1,65.0,0.0
2022-01-09,46,13,1.5,60.0,0.0
2022-01-10,61,20,1.5,61.3,0.0
2022-01-11,46,11,2.0,71.3,99.5
2022-01-12,21,7,1.5,51.2,99.0
2022-01-13,38,10,1.5,64.0,99.0
2022-01-14,25,8,1.5,58.2,99.0
2022-01-15,21,7,1.5,65.0,0.0
2022-01-16,38,10,1.9,74.0,99.0
2022-01-17,30,10,2.0,48.0,0.0
2022-01-18,30,9,2.0,55.0,99.0
2022-01-19,25,8,1.5,57.3,99.0
2022-01-20,21,6,2.0,62.9,99.0
2022-01-21,17,5,1.5,62.3,99.0
2022-01-22,34,10,1.5,60.3,0.0
2022-01-23,57,17,2.5,79.9,0.6
2022-01-24,25,8,4.1,55.2,99.0
2022-01-25,21,8,2.0,57.1,0.0
2022-01-26,46,12,1.5,64.0,99.0
2022-01-27,63,21,1.9,65.2,0.0
2022-01-28,61,20,2.0,54.3,99.0
2022-01-29,42,13,1.5,54.0,0.0
2022-01-30,25,8,1.8,56.2,0.0
2022-01-31,21,7,1.9,54.9,99.0
2022-02-01,50,14,2.0,64.2,99.0
2022-02-02,74,25,2.0,51.0,99.0
2022-02-03,50,13,1.5,44.1,0.0
2022-02-04,30,10,2.0,49.0,99.0
2022-02-05,25,8,2.5,49.1,99.0
2022-02-06,21,8,2.0,51.2,99.0
2022-02-07,30,10,1.5,60.2,99.0
2022-02-08,25,9,1.9,61.0,0.0
2022-02-09,25,8,2.0,54.0,0.0
2022-02-10,34,10,1.5,60.2,99.0
2022-02-11,21,6,1.5,66.0,99.0
2022-02-12,25,8,1.5,64.3,0.0
2022-02-13,30,9,2.5,74.9,0.3
2022-02-14,34,10,2.0,63.0,0.0
2022-02-15,46,13,2.1,55.0,99.0
2022-02-16,25,8,3.1,46.0,99.0
2022-02-17,34,9,1.8,62.3,99.0
2022-02-18,25,8,1.8,63.3,99.0
2022-02-19,30,9,1.5,82.0,0.9
2022-02-20,30,9,2.2,63.0,99.0
2022-02-21,25,9,1.4,56.1,99.0
2022-02-22,25,9,1.5,47.1,99.0
2022-02-23,34,10,2.0,59.2,0.0
2022-02-24,38,10,1.2,61.0,99.0
2022-02-25,46,13,2.0,60.0,0.0
2022-02-26,68,21,1.9,64.2,0.0
2022-02-27,63,20,3.0,37.1,99.0
2022-02-28,42,12,1.6,41.1,0.0
2022-03-01,42,15,1.0,82.9,1.7
2022-03-02,55,18,1.5,65.3,99.0
2022-03-03,46,14,1.5,56.0,0.0
2022-03-04,59,19,1.4,63.2,0.0
2022-03-05,65,28,2.4,47.0,0.0
2022-03-06,42,13,3.0,34.2,0.0
2022-03-07,34,12,1.8,52.0,0.0
2022-03-08,53,17,2.5,56.0,0.0
2022-03-09,65,23,2.0,54.9,0.0
2022-03-10,68,24,2.0,54.0,0.0
2022-03-11,63,23,1.1,54.2,0.0
2022-03-12,65,23,1.5,67.0,0.0
2022-03-13,55,19,1.7,69.9,99.0
2022-03-14,42,12,2.0,67.1,99.5
2022-03-15,46,14,2.0,50.0,99.0
2022-03-16,46,15,1.7,51.0,0.0
2022-03-17,46,15,2.4,40.1,99.0
2022-03-18,25,7,3.6,75.3,2.5
2022-03-19,13,3,2.0,66.0,0.2
2022-03-20,13,5,2.0,55.9,99.0
2022-03-21,21,7,1.6,55.9,0.0
2022-03-22,21,6,2.0,66.0,99.0
2022-03-23,30,9,1.1,66.3,0.3
2022-03-24,42,13,1.9,70.2,99.0
2022-03-25,63,21,2.0,55.9,0.0
2022-03-26,42,13,1.1,87.4,3.0
2022-03-27,21,7,2.1,59.2,0.0
2022-03-28,38,11,2.2,48.0,0.0
2022-03-29,38,12,1.5,50.0,0.0
2022-03-30,53,17,1.5,67.0,99.0
2022-03-31,34,11,1.5,82.0,0.3
2022-04-01,25,8,4.1,39.0,99.0
2022-04-02,30,9,2.5,43.0,0.0
2022-04-03,34,10,2.5,50.9,0.0
2022-04-04,25,8,3.0,50.0,0.0
2022-04-05,25,9,2.3,54.1,0.0
2022-04-06,46,14,1.5,51.0,0.0
2022-04-07,53,17,2.0,52.0,99.0
2022-04-08,59,20,2.0,58.0,0.0
2022-04-09,53,17,1.5,46.2,0.0
2022-04-10,57,20,2.0,56.1,0.0
2022-04-11,59,20,1.5,59.2,0.0
2022-04-12,57,20,1.3,76.1,99.0
2022-04-13,50,15,1.6,64.2,99.0
2022-04-14,30,10,2.0,85.2,3.3
2022-04-15,13,3,3.5,65.2,99.0
2022-04-16,30,10,3.6,43.2,0.0
2022-04-17,38,11,2.0,46.0,0.0
2022-04-18,46,14,1.5,48.1,0.0
2022-04-19,46,14,1.5,33.0,0.0
2022-04-20,55,17,2.0,36.1,0.0
2022-04-21,57,19,1.2,72.0,0.5
2022-04-22,46,13,1.5,66.9,0.1
2022-04-23,57,19,1.2,65.0,0.0
2022-04-24,57,20,1.4,79.0,99.0
2022-04-25,46,14,1.5,70.1,0.0
2022-04-26,38,15,1.6,84.3,2.2
2022-04-27,53,17,1.9,64.2,1.2
2022-04-28,53,20,1.9,56.0,0.0
2022-04-29,38,11,2.0,70.1,2.5
2022-04-30,34,10,3.3,55.0,0.0
2022-05-01,38,11,2.0,48.2,0.0
2022-05-02,42,12,2.8,44.0,0.0
2022-05-03,42,12,1.7,47.0,99.0
2022-05-04,50,15,1.9,49.0,0.0
2022-05-05,46,13,1.8,56.0,0.0
2022-05-06,50,14,2.0,63.0,99.0
2022-05-07,50,15,2.0,56.0,99.0
2022-05-08,42,12,2.5,45.2,0.0
2022-05-09,34,11,2.0,44.2,0.0
2022-05-10,38,11,2.5,42.2,99.0
2022-05-11,53,17,1.5,77.0,99.0
2022-05-12,42,12,1.0,88.3,0.3
2022-05-13,21,9,1.0,87.2,2.5
2022-05-14,38,11,2.0,56.0,0.1
2022-05-15,38,12,1.7,54.0,0.0
2022-05-16,42,13,2.0,50.0,0.0
2022-05-17,50,15,1.8,55.0,0.0
2022-05-18,53,16,2.0,43.0,99.0
2022-05-19,57,19,1.7,42.1,0.0
2022-05-20,61,20,1.2,56.1,99.0
2022-05-21,55,17,1.5,56.2,0.0
2022-05-22,59,18,1.8,57.2,0.0
2022-05-23,70,26,2.0,50.2,0.0
2022-05-24,65,24,1.5,53.1,0.0
2022-05-25,82,30,2.5,61.3,0.0
2022-05-26,68,26,1.1,70.2,99.0
2022-05-27,50,15,2.5,49.0,99.0
2022-05-28,55,20,1.5,51.2,0.0
2022-05-29,50,16,2.0,37.1,0.0
2022-05-30,50,17,1.0,81.1,0.5
2022-05-31,46,15,1.5,60.0,99.0
2022-06-01,34,11,2.1,47.0,0.0
2022-06-02,59,20,2.0,54.0,0.0
2022-06-03,57,19,1.9,57.2,0.0
2022-06-04,46,14,2.5,43.2,0.0
2022-06-05,46,14,1.5,66.3,0.5
2022-06-06,13,5,2.2,74.1,2.8
2022-06-07,17,6,3.6,53.1,99.0
2022-06-08,21,7,2.5,56.0,0.0
2022-06-09,50,14,2.5,64.0,0.0
2022-06-10,63,22,2.0,64.9,0.0
2022-06-11,57,20,1.9,72.1,0.2
2022-06-12,46,14,2.5,61.0,0.0
2022-06-13,30,10,2.0,53.0,99.0
2022-06-14,30,10,1.7,82.0,0.6
2022-06-15,34,11,1.5,83.0,0.6
2022-06-16,57,20,1.5,72.2,0.0
2022-06-17,61,21,1.5,69.0,0.0
2022-06-18,76,30,1.8,63.2,99.0
2022-06-19,63,21,2.0,73.2,0.0
2022-06-20,63,24,1.5,68.9,99.0
2022-06-21,25,10,1.0,83.9,1.1
2022-06-22,34,12,1.0,77.1,99.0
2022-06-23,50,18,1.9,68.1,0.0
2022-06-24,46,18,4.1,66.0,99.0
2022-06-25,25,12,2.0,76.3,0.4
2022-06-26,30,11,1.5,66.1,99.0
2022-06-27,46,17,1.5,69.0,99.0
2022-06-28,21,10,3.0,66.2,0.0
2022-06-29,21,10,3.6,63.2,99.0
2022-06-30,34,12,2.0,66.2,99.0
2022-07-01,53,20,2.0,58.0,0.0
2022-07-02,72,30,2.0,63.2,0.0
2022-07-03,21,10,1.5,65.9,99.0
2022-07-04,21,9,1.5,83.0,0.9
2022-07-05,25,10,1.5,82.0,0.5
2022-07-06,30,15,1.5,72.1,0.2
2022-07-07,30,11,1.5,64.9,0.0
2022-07-08,50,19,1.7,74.0,99.0
2022-07-09,50,19,1.5,78.0,0.9
2022-07-10,53,20,1.9,67.2,99.0
2022-07-11,34,13,2.0,65.0,99.0
2022-07-12,30,11,2.0,72.0,0.1
2022-07-13,30,10,1.8,60.0,0.0
2022-07-14,46,20,1.1,85.0,2.8
2022-07-15,46,19,2.0,71.0,99.0
