Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,9,2.0,88.0,0
2022-01-02,13,7,0.9,88.0,0
2022-01-03,21,10,1.5,88.0,0
2022-01-04,13,9,1.5,85.5,0
2022-01-05,17,8,1.2,82.0,0
2022-01-06,17,6,1.1,78.0,0
2022-01-07,13,9,1.3,77.3,0
2022-01-08,17,10,1.5,78.0,0
2022-01-09,17,11,1.5,78.0,0
2022-01-10,17,10,1.6,79.7,0
2022-01-11,25,19,2.4,68.0,0
2022-01-12,25,17,1.2,77.0,0
2022-01-13,21,15,1.5,73.9,0
2022-01-14,21,11,1.5,82.0,0
2022-01-15,25,10,1.5,78.0,0
2022-01-16,17,7,1.5,73.0,0
2022-01-17,21,8,1.5,73.0,0
2022-01-18,30,11,1.5,73.0,0
2022-01-19,21,10,1.5,73.0,0
2022-01-20,17,9,1.5,76.6,0
2022-01-21,21,10,1.5,73.0,0
2022-01-22,13,7,2.0,69.0,0
2022-01-23,17,7,2.2,68.0,0
2022-01-24,13,10,2.4,64.0,0
2022-01-25,13,6,2.0,68.0,0
2022-01-26,13,10,2.4,68.0,0
2022-01-27,17,10,1.5,71.6,0
2022-01-28,17,10,1.5,73.0,0
2022-01-29,17,11,2.4,64.0,0
2022-01-30,13,7,2.0,64.0,0
2022-01-31,13,9,1.2,70.7,0
2022-02-01,13,9,1.7,68.0,0
2022-02-02,17,9,1.3,68.0,0
2022-02-03,13,11,1.6,64.0,0
2022-02-04,17,9,1.2,72.0,0
2022-02-05,17,8,1.2,72.5,0
2022-02-06,13,10,1.3,68.0,0
2022-02-07,13,11,1.7,64.0,0
2022-02-08,13,10,1.4,64.0,0
2022-02-09,17,10,1.2,68.0,0
2022-02-10,17,8,1.3,69.0,0
2022-02-11,13,7,1.4,68.0,0
2022-02-12,13,6,1.8,64.0,0
2022-02-13,17,8,1.8,64.0,0
2022-02-14,17,10,1.7,64.0,0
2022-02-15,13,9,1.2,68.0,0
2022-02-16,13,10,1.4,69.0,0
2022-02-17,13,10,1.3,69.0,0
2022-02-18,17,10,1.9,73.0,0
2022-02-19,17,9,1.2,73.0,0
2022-02-20,13,7,1.7,68.0,0
2022-02-21,13,7,1.7,73.0,0
2022-02-22,13,10,1.5,64.0,0
2022-02-23,17,11,2.3,60.0,0
2022-02-24,17,13,1.9,60.0,0
2022-02-25,21,14,1.5,64.0,0
2022-02-26,13,10,1.7,64.0,0
2022-02-27,21,9,1.5,69.0,0
2022-02-28,17,10,1.2,65.0,0
2022-03-01,17,7,1.1,69.0,0
2022-03-02,17,9,1.3,68.0,0
2022-03-03,13,10,1.2,64.0,0
2022-03-04,13,8,1.3,64.0,0
2022-03-05,17,10,1.3,60.0,0
2022-03-06,17,7,1.6,64.0,0
2022-03-07,17,7,1.3,64.0,0
