Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,49,0,9.0,80.5,0.0
2022-01-02,15,0,13.0,61.0,0.0
2022-01-03,15,0,2.9,56.8,0.0
2022-01-04,40,0,3.5,68.7,0.0
2022-01-05,30,0,4.4,84.6,0.0
2022-01-06,42,0,6.2,69.7,0.0
2022-01-07,42,0,5.3,75.8,0.0
2022-01-08,46,0,7.8,92.8,0.0
2022-01-09,52,0,8.1,84.0,0.0
2022-01-10,19,0,7.9,44.7,0.0
2022-01-11,21,0,3.7,48.1,0.0
2022-01-12,48,0,2.3,65.5,0.0
2022-01-13,59,0,1.9,71.0,0.0
2022-01-14,62,0,3.9,71.0,0.0
2022-01-15,32,0,12.7,49.5,0.0
2022-01-16,25,0,7.1,57.8,0.0
2022-01-17,54,0,1.6,61.5,0.0
2022-01-18,27,0,6.9,70.5,0.0
2022-01-19,34,0,5.9,82.3,0.1
2022-01-20,23,0,9.9,73.6,0.0
2022-01-21,19,0,5.9,47.0,0.0
2022-01-22,26,0,4.8,50.7,0.0
2022-01-23,41,0,2.2,51.8,0.0
2022-01-24,46,0,3.6,87.2,0.0
2022-01-25,26,0,5.2,82.5,0.0
2022-01-26,43,0,3.4,68.0,0.0
2022-01-27,36,0,3.3,58.8,0.0
2022-01-28,37,0,6.8,47.9,0.0
2022-01-29,41,0,3.9,54.7,0.0
2022-01-30,27,0,4.8,69.2,0.0
2022-01-31,24,0,5.5,87.0,0.0
2022-02-01,30,0,4.0,87.2,0.0
2022-02-02,39,0,3.7,96.2,0.0
2022-02-03,14,0,10.2,88.7,0.0
2022-02-04,31,0,9.0,78.5,0.0
2022-02-05,22,0,2.9,60.2,0.0
2022-02-06,45,0,2.6,73.5,0.0
2022-02-07,43,0,4.9,47.0,0.0
2022-02-08,40,0,2.5,47.9,0.0
2022-02-09,50,0,3.3,61.0,0.0
2022-02-10,43,0,3.1,55.0,0.0
2022-02-11,46,0,4.8,74.1,0.0
2022-02-12,35,0,7.1,81.0,0.0
2022-02-13,24,0,4.7,44.8,0.0
2022-02-14,37,0,4.3,60.9,0.0
2022-02-15,40,0,8.7,80.1,0.0
2022-02-16,35,0,9.1,87.7,0.0
2022-02-17,44,0,10.4,71.1,0.0
2022-02-18,19,0,7.2,64.0,0.0
2022-02-19,31,0,3.3,50.8,0.0
2022-02-20,40,0,4.6,71.2,0.0
2022-02-21,47,0,10.5,85.4,0.0
2022-02-22,57,0,7.8,81.2,0.0
2022-02-23,51,0,7.2,84.3,0.0
2022-02-24,25,0,6.2,93.0,0.0
2022-02-25,23,0,7.1,82.1,0.0
2022-02-26,18,0,5.5,92.5,0.0
2022-02-27,18,0,7.4,76.6,0.0
2022-02-28,42,0,2.3,53.3,0.0
2022-03-01,58,0,2.0,46.3,0.0
2022-03-02,58,0,3.7,65.7,0.0
2022-03-03,46,0,3.2,80.7,0.0
2022-03-04,43,0,5.9,81.7,0.0
2022-03-05,45,0,8.8,80.7,0.0
2022-03-06,42,0,9.2,82.4,0.0
2022-03-07,26,0,8.3,69.6,0.0
2022-03-08,14,0,6.3,85.6,0.0
2022-03-09,26,0,4.6,71.5,0.0
2022-03-10,34,0,3.6,74.9,0.0
2022-03-11,51,0,7.5,77.1,0.0
2022-03-12,18,0,5.7,44.0,0.0
2022-03-13,28,0,7.1,66.0,0.0
2022-03-14,27,0,7.6,81.4,0.0
2022-03-15,29,0,7.1,52.9,0.0
2022-03-16,43,0,2.3,64.9,0.0
2022-03-17,35,0,7.1,90.3,0.0
2022-03-18,31,0,9.2,47.0,0.0
2022-03-19,26,0,2.6,45.0,0.0
2022-03-20,36,0,7.5,67.0,0.0
2022-03-21,40,0,11.3,90.0,0.0
2022-03-22,29,0,5.8,65.0,0.0
2022-03-23,20,0,6.5,38.0,0.0
2022-03-24,30,0,4.7,40.3,0.0
2022-03-25,43,0,2.7,44.3,0.0
2022-03-26,49,0,5.5,68.2,0.0
2022-03-27,31,0,7.5,70.4,0.0
2022-03-28,29,0,8.4,73.8,0.0
2022-03-29,51,0,11.8,78.0,0.0
2022-03-30,45,0,9.6,63.5,0.0
2022-03-31,31,0,3.7,44.3,0.0
2022-04-01,43,0,6.6,50.6,0.0
2022-04-02,54,0,3.2,72.4,0.0
2022-04-03,33,0,5.6,74.0,0.0
2022-04-04,49,0,6.5,85.7,0.0
2022-04-05,78,0,6.4,76.2,0.0
