Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,30,18,5.1,84.2,0
2022-01-02,20,7,4.1,86.5,0
2022-01-03,14,7,2.5,80.0,0
2022-01-04,24,11,3.6,86.0,0
2022-01-05,28,15,2.5,85.7,0
2022-01-06,29,10,3.9,87.0,0
2022-01-07,26,10,2.5,75.2,0
2022-01-08,34,12,5.6,75.6,0
2022-01-09,30,14,5.1,90.0,0
2022-01-10,13,6,3.6,56.2,0
2022-01-11,24,8,2.0,67.7,0
2022-01-12,32,12,1.5,68.2,0
2022-01-13,39,23,3.6,63.5,0
2022-01-14,36,18,2.0,64.5,0
2022-01-15,35,14,4.1,87.0,0
2022-01-16,24,10,6.4,87.7,0
2022-01-17,32,12,3.6,80.0,0
2022-01-18,28,13,4.6,71.0,0
2022-01-19,21,10,4.1,81.0,0
2022-01-20,18,7,3.8,86.5,0
2022-01-21,30,9,3.0,68.0,0
2022-01-22,38,9,2.3,68.0,0
2022-01-23,50,17,3.6,72.7,0
2022-01-24,50,19,2.5,77.0,0
2022-01-25,53,15,2.5,90.2,0
2022-01-26,28,9,3.0,59.0,0
2022-01-27,48,19,2.0,51.0,0
2022-01-28,28,14,3.6,48.0,0
2022-01-29,24,10,2.0,40.0,0
2022-01-30,26,14,4.6,59.2,0
2022-01-31,43,19,2.0,68.0,0
2022-02-01,27,15,5.1,76.0,0
2022-02-02,23,10,2.5,90.5,0
2022-02-03,19,10,4.6,91.2,0
2022-02-04,31,9,4.1,86.0,0
2022-02-05,30,8,3.0,68.0,0
2022-02-06,45,12,1.5,69.0,0
2022-02-07,31,12,2.0,66.5,0
2022-02-08,43,20,1.5,69.0,0
2022-02-09,56,28,5.1,66.5,0
2022-02-10,58,30,3.0,61.7,0
2022-02-11,57,29,3.6,58.0,0
2022-02-12,47,15,4.6,65.0,0
2022-02-13,31,10,3.0,54.7,0
2022-02-14,55,22,3.0,56.0,0
2022-02-15,63,28,4.6,65.0,0
2022-02-16,46,24,4.6,76.0,0
2022-02-17,30,20,6.1,87.2,0
2022-02-18,29,9,3.0,74.2,0
2022-02-19,28,10,2.0,65.2,0
2022-02-20,40,17,4.1,63.0,0
2022-02-21,45,18,4.6,87.0,0
2022-02-22,44,20,4.6,86.3,0
2022-02-23,33,17,3.0,89.7,0
2022-02-24,43,17,2.5,90.0,0
2022-02-25,15,8,3.6,79.2,0
2022-02-26,40,11,3.0,79.0,0
2022-02-27,23,10,2.5,87.0,0
2022-02-28,33,12,2.0,65.0,0
2022-03-01,41,15,2.0,62.0,0
2022-03-02,58,24,1.5,54.0,0
2022-03-03,60,30,2.0,58.0,0
2022-03-04,87,34,4.1,51.0,0
2022-03-05,47,21,5.1,76.5,0
2022-03-06,32,17,5.1,82.0,0
2022-03-07,21,13,4.1,79.7,0
2022-03-08,15,6,2.7,81.2,0
2022-03-09,16,6,2.5,88.5,0
2022-03-10,25,10,2.0,76.0,0
2022-03-11,35,12,2.5,83.0,0
2022-03-12,11,6,3.6,47.7,0
2022-03-13,18,8,3.6,47.2,0
2022-03-14,23,13,3.0,64.5,0
2022-03-15,25,10,2.5,87.0,0
2022-03-16,28,10,2.5,87.0,0
2022-03-17,39,14,4.1,76.7,0
2022-03-18,28,18,5.1,65.5,0
2022-03-19,13,6,4.1,54.5,0
2022-03-20,40,14,3.0,55.0,0
2022-03-21,37,18,3.6,62.0,0
2022-03-22,22,14,2.4,89.0,0
2022-03-23,17,9,5.1,69.2,0
2022-03-24,21,17,4.6,53.0,0
2022-03-25,24,13,4.1,57.5,0
2022-03-26,30,14,2.0,52.5,0
2022-03-27,42,16,2.5,53.0,0
2022-03-28,38,18,3.0,63.0,0
