Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,21,6,3.6,56.1,0.0
2022-01-02,21,6,3.0,64.0,99.0
2022-01-03,42,13,3.6,71.9,99.0
2022-01-04,50,15,3.0,68.1,0.0
2022-01-05,59,19,3.0,74.9,99.0
2022-01-06,25,7,5.1,80.9,0.5
2022-01-07,30,9,3.0,68.1,0.0
2022-01-08,46,12,3.0,74.2,99.0
2022-01-09,38,10,3.0,64.3,0.0
2022-01-10,61,20,2.5,67.2,0.0
2022-01-11,30,10,4.1,75.3,0.2
2022-01-12,30,8,4.6,53.0,99.0
2022-01-13,34,10,3.0,64.1,0.3
2022-01-14,25,8,3.6,53.2,99.0
2022-01-15,30,8,3.0,67.2,99.0
2022-01-16,34,10,3.0,73.0,99.0
2022-01-17,30,10,3.6,61.9,0.0
2022-01-18,46,13,3.6,53.0,99.0
2022-01-19,25,8,4.1,60.9,99.0
2022-01-20,42,12,3.0,62.3,99.0
2022-01-21,25,8,2.5,50.2,99.0
2022-01-22,34,10,2.5,72.9,99.0
2022-01-23,30,11,3.0,94.3,1.2
2022-01-24,25,10,3.0,85.2,0.5
2022-01-25,42,13,2.5,69.2,99.0
2022-01-26,38,12,2.5,65.0,0.0
2022-01-27,63,20,2.5,62.2,99.0
2022-01-28,78,27,2.5,63.2,0.0
2022-01-29,0,0,2.5,52.1,99.0
2022-01-30,0,0,3.0,47.2,99.0
2022-01-31,34,10,3.6,63.0,0.0
2022-02-01,34,10,2.5,72.1,99.0
2022-02-02,70,23,2.5,74.3,99.0
2022-02-03,50,13,2.5,61.2,99.0
2022-02-04,34,10,3.6,50.0,99.0
2022-02-05,38,10,5.1,63.0,99.0
2022-02-06,25,9,3.6,52.0,99.0
2022-02-07,34,10,2.0,57.9,0.0
2022-02-08,25,9,3.6,82.3,1.0
2022-02-09,38,11,2.5,74.0,99.0
2022-02-10,42,11,3.0,76.3,0.3
2022-02-11,42,12,3.0,63.2,0.0
2022-02-12,38,10,3.0,66.3,99.0
2022-02-13,17,6,3.0,83.2,0.2
2022-02-14,42,11,2.5,78.1,0.3
2022-02-15,46,13,5.6,65.3,99.0
2022-02-16,42,12,4.6,57.0,99.0
2022-02-17,34,9,5.6,43.1,99.0
2022-02-18,30,9,3.6,49.2,0.0
2022-02-19,21,6,3.6,78.0,99.0
2022-02-20,34,10,5.1,55.1,99.0
2022-02-21,34,10,3.0,50.3,0.0
2022-02-22,53,15,3.0,49.1,0.0
2022-02-23,38,10,3.6,52.2,99.0
2022-02-24,42,12,3.0,48.2,0.0
2022-02-25,42,10,3.0,64.3,99.0
2022-02-26,46,13,3.6,65.2,99.0
2022-02-27,55,17,3.6,65.9,99.5
2022-02-28,59,18,2.5,70.1,0.0
2022-03-01,63,22,3.0,85.8,1.2
2022-03-02,61,22,2.5,66.0,99.0
2022-03-03,38,12,3.6,57.3,0.0
2022-03-04,55,18,2.5,71.3,99.0
2022-03-05,55,20,4.1,74.1,99.0
2022-03-06,30,10,4.6,56.3,0.0
2022-03-07,59,18,2.5,56.1,0.0
2022-03-08,59,19,3.6,49.0,0.0
2022-03-09,59,20,3.6,60.1,0.0
2022-03-10,65,22,3.0,62.1,0.0
2022-03-11,63,21,1.5,74.3,99.0
2022-03-12,59,20,3.0,67.0,0.0
2022-03-13,53,16,2.5,73.9,99.0
2022-03-14,42,14,1.5,83.9,1.1
2022-03-15,46,15,2.5,71.1,99.0
2022-03-16,50,15,2.5,73.2,99.0
2022-03-17,59,20,2.5,79.2,0.0
2022-03-18,30,14,5.6,82.9,0.4
2022-03-19,25,9,3.6,69.1,99.0
2022-03-20,42,11,3.6,60.0,99.0
2022-03-21,30,9,2.0,83.9,99.5
2022-03-22,17,6,3.0,75.3,99.0
2022-03-23,30,9,3.0,86.2,0.9
2022-03-24,42,11,3.0,68.9,0.0
2022-03-25,53,15,5.6,66.9,0.0
2022-03-26,34,16,5.1,89.9,2.6
2022-03-27,34,10,3.0,68.2,99.0
2022-03-28,63,24,2.0,64.3,99.0
2022-03-29,57,20,3.0,87.3,0.4
2022-03-30,38,12,2.0,80.3,99.0
2022-03-31,34,10,2.0,85.8,0.3
2022-04-01,42,12,4.1,60.2,99.5
2022-04-02,42,11,3.0,54.1,0.0
2022-04-03,46,12,2.5,58.0,0.0
2022-04-04,46,11,4.1,53.0,0.0
2022-04-05,42,11,3.6,53.0,0.0
2022-04-06,46,13,3.0,64.1,0.0
2022-04-07,46,14,3.6,63.0,0.0
2022-04-08,61,20,2.5,56.1,0.0
2022-04-09,59,19,3.0,67.3,0.0
2022-04-10,63,20,3.0,69.2,0.0
2022-04-11,53,15,3.0,91.0,5.8
2022-04-12,25,10,2.0,91.1,0.1
2022-04-13,50,16,2.5,82.8,0.5
2022-04-14,25,10,2.0,79.1,0.2
2022-04-15,30,10,3.6,73.1,99.0
2022-04-16,42,13,4.6,50.1,0.0
2022-04-17,46,14,3.0,47.2,0.0
2022-04-18,53,15,3.0,67.1,99.0
2022-04-19,53,16,2.5,63.0,0.0
2022-04-20,59,19,2.5,60.2,0.0
2022-04-21,53,18,2.0,89.2,3.9
2022-04-22,34,10,2.0,72.3,0.0
2022-04-23,42,14,3.0,95.1,3.1
2022-04-24,25,10,1.5,96.3,0.7
2022-04-25,42,16,2.0,86.3,0.0
2022-04-26,46,19,4.6,88.2,2.0
2022-04-27,25,10,1.5,91.8,3.8
2022-04-28,53,20,1.5,90.0,0.1
2022-04-29,25,11,6.1,94.0,0.7
2022-04-30,38,11,3.6,71.0,0.0
2022-05-01,50,14,3.6,67.9,99.0
2022-05-02,46,13,3.0,54.9,99.0
2022-05-03,57,17,2.0,62.3,0.0
2022-05-04,55,16,2.5,61.0,0.0
2022-05-05,50,16,2.5,67.1,0.0
2022-05-06,21,8,4.1,92.2,99.0
2022-05-07,42,14,3.0,75.2,0.0
2022-05-08,38,12,2.0,77.2,0.0
2022-05-09,55,18,2.5,80.9,99.0
2022-05-10,34,11,4.6,76.2,99.0
2022-05-11,17,7,3.0,88.9,0.3
2022-05-12,17,7,2.0,95.3,1.3
2022-05-13,17,7,1.5,98.2,2.3
2022-05-14,30,18,4.1,72.9,99.0
2022-05-15,46,14,2.5,61.9,99.0
2022-05-16,42,14,2.0,74.0,99.0
2022-05-17,55,17,1.5,68.2,0.0
2022-05-18,57,18,2.5,60.0,0.0
2022-05-19,57,17,2.0,57.1,0.0
2022-05-20,53,17,2.5,74.2,0.9
2022-05-21,17,9,4.1,82.9,0.9
2022-05-22,53,18,2.5,66.9,0.0
2022-05-23,61,22,2.0,76.1,0.0
2022-05-24,68,25,2.0,77.2,0.0
2022-05-25,42,14,2.0,72.9,99.0
2022-05-26,30,14,2.0,89.0,0.5
2022-05-27,34,13,3.6,68.1,99.0
2022-05-28,38,14,1.5,78.0,99.0
2022-05-29,34,12,3.0,82.9,99.0
2022-05-30,17,9,2.0,94.1,0.5
2022-05-31,30,14,3.0,73.0,99.0
2022-06-01,50,19,1.5,82.9,0.3
2022-06-02,38,14,2.5,74.1,0.0
2022-06-03,53,17,2.0,65.9,0.0
2022-06-04,63,24,3.6,70.2,0.0
2022-06-05,38,14,2.5,85.1,7.9
2022-06-06,21,11,3.6,82.2,4.1
2022-06-07,30,11,3.0,65.2,0.0
2022-06-08,46,16,2.0,75.9,99.0
2022-06-09,63,26,2.5,78.0,0.4
2022-06-10,61,24,2.0,83.0,99.0
2022-06-11,21,10,6.1,83.0,0.4
2022-06-12,21,10,2.5,69.9,0.7
2022-06-13,38,13,3.6,84.0,0.6
2022-06-14,13,5,2.0,97.0,1.3
2022-06-15,17,6,2.0,82.9,1.9
2022-06-16,25,10,2.0,85.9,0.4
2022-06-17,34,14,2.5,89.8,0.4
2022-06-18,30,12,2.0,84.1,99.0
2022-06-19,30,13,1.0,94.1,2.4
2022-06-20,21,10,2.0,95.8,0.2
2022-06-21,25,13,4.1,89.3,0.2
2022-06-22,21,10,2.5,84.9,99.0
2022-06-23,25,14,3.6,83.2,99.0
2022-06-24,21,11,4.6,71.9,99.0
2022-06-25,17,9,2.0,90.2,3.4
2022-06-26,21,10,2.5,83.2,99.0
2022-06-27,25,14,3.0,83.0,0.0
2022-06-28,25,14,3.6,80.0,0.0
2022-06-29,21,12,3.6,78.0,0.0
2022-06-30,21,11,2.5,73.1,0.0
2022-07-01,21,10,3.0,70.2,0.0
2022-07-02,21,9,3.6,69.9,0.0
2022-07-03,13,8,3.0,87.2,1.3
2022-07-04,17,11,3.6,90.9,0.9
2022-07-05,25,14,4.1,85.2,8.3
2022-07-06,21,11,2.0,87.3,99.0
2022-07-07,21,15,1.5,83.8,99.0
2022-07-08,21,13,2.0,87.9,99.0
2022-07-09,46,20,2.5,83.0,5.5
2022-07-10,57,23,2.0,77.3,0.0
2022-07-11,68,30,2.0,78.0,99.0
2022-07-12,65,27,1.5,81.0,1.3
2022-07-13,38,20,2.0,79.2,99.0
2022-07-14,25,13,3.6,76.0,99.0
2022-07-15,25,16,3.6,85.2,99.5
2022-07-16,38,17,3.0,83.0,11.0
2022-07-17,42,20,1.5,70.1,99.0
2022-07-18,38,23,3.6,82.0,99.0
2022-07-19,34,27,4.1,91.0,99.0
2022-07-20,30,23,4.6,83.9,0.2
2022-07-21,38,24,4.1,81.2,0.1
2022-07-22,38,18,4.6,68.2,99.0
2022-07-23,42,17,2.5,73.1,0.0
2022-07-24,55,26,2.0,80.0,0.0
2022-07-25,68,42,2.0,80.1,99.0
2022-07-26,55,28,2.5,72.2,99.0
2022-07-27,63,35,2.5,78.0,99.0
2022-07-28,25,12,4.1,74.0,99.0
2022-07-29,21,14,5.1,78.0,0.3
2022-07-30,21,15,5.6,81.9,0.3
2022-07-31,21,19,6.6,76.2,2.4
2022-08-01,21,17,6.1,76.8,99.0
2022-08-02,17,10,3.0,76.0,0.0
2022-08-03,17,10,2.5,77.0,99.0
2022-08-04,17,11,2.5,83.9,99.0
2022-08-05,13,9,4.1,79.2,99.0
2022-08-06,13,9,2.0,79.2,99.0
2022-08-07,17,12,2.0,80.1,99.0
2022-08-08,13,10,2.0,78.2,99.0
2022-08-09,21,13,1.5,82.9,0.3
2022-08-10,50,28,1.5,79.2,99.5
2022-08-11,38,23,2.0,77.0,0.0
2022-08-12,21,13,1.5,83.9,99.0
2022-08-13,21,13,1.5,80.0,99.0
2022-08-14,25,17,2.0,76.1,99.0
2022-08-15,13,11,2.5,82.9,0.5
2022-08-16,17,14,3.0,80.1,1.0
2022-08-17,17,14,2.5,83.0,99.0
2022-08-18,13,12,2.5,85.0,0.3
2022-08-19,13,11,1.5,88.0,0.4
2022-08-20,30,23,3.6,86.9,0.3
2022-08-21,34,22,2.5,84.9,0.3
2022-08-22,34,18,2.0,79.0,0.0
2022-08-23,30,17,2.0,72.0,0.0
2022-08-24,30,17,2.5,79.0,99.0
2022-08-25,25,15,3.6,76.9,6.8
2022-08-26,25,14,2.0,76.1,0.0
2022-08-27,38,20,2.5,67.8,0.0
2022-08-28,57,28,3.0,65.9,0.0
2022-08-29,53,24,2.5,67.8,0.0
2022-08-30,34,18,2.5,71.0,0.0
2022-08-31,38,17,2.5,72.8,0.0
2022-09-01,21,13,2.0,75.1,0.2
2022-09-02,17,9,3.0,75.9,99.0
2022-09-03,13,8,3.6,84.2,0.6
2022-09-04,25,14,4.6,71.8,0.0
2022-09-05,30,18,8.7,72.9,2.5
2022-09-06,34,25,4.6,82.1,2.2
2022-09-07,30,20,3.0,68.0,0.0
2022-09-08,57,25,3.6,69.0,99.0
2022-09-09,63,28,2.5,69.2,0.0
2022-09-10,53,24,2.5,72.1,0.0
2022-09-11,25,11,2.5,74.0,0.0
2022-09-12,30,18,5.1,72.9,99.0
2022-09-13,17,11,4.6,78.0,0.5
2022-09-14,21,13,5.6,71.1,99.0
2022-09-15,21,15,4.6,71.1,99.0
2022-09-16,34,22,5.6,74.8,99.5
2022-09-17,30,18,6.6,82.2,99.0
2022-09-18,38,32,12.3,87.3,2.5
2022-09-19,25,20,6.6,90.9,1.5
2022-09-20,50,24,3.6,65.9,0.0
2022-09-21,50,20,3.0,67.0,99.0
2022-09-22,38,16,3.0,72.2,99.0
2022-09-23,53,18,2.5,76.2,0.0
2022-09-24,59,29,2.5,67.8,0.0
2022-09-25,68,30,2.5,76.9,99.0
2022-09-26,63,30,1.5,81.1,0.0
2022-09-27,50,21,2.5,88.0,0.2
2022-09-28,30,15,2.0,76.0,0.0
2022-09-29,34,14,2.5,71.2,0.0
2022-09-30,59,22,2.5,77.1,0.0
2022-10-01,76,36,2.5,76.1,0.0
2022-10-02,55,23,2.5,66.9,0.0
2022-10-03,38,15,3.0,68.9,0.0
2022-10-04,25,15,2.0,82.1,0.2
2022-10-05,25,14,3.6,66.2,99.5
2022-10-06,34,13,2.5,63.1,0.0
2022-10-07,30,10,3.0,67.1,99.0
2022-10-08,38,12,3.0,63.2,0.0
2022-10-09,30,11,3.0,66.9,0.4
2022-10-10,34,13,3.6,62.0,99.0
2022-10-11,25,10,4.1,68.9,99.0
2022-10-12,34,12,4.1,67.0,99.0
2022-10-13,38,15,3.0,67.0,0.0
2022-10-14,42,14,3.6,68.1,0.0
2022-10-15,38,13,3.0,74.9,0.0
2022-10-16,46,15,2.5,77.9,0.3
2022-10-17,21,10,2.5,93.9,0.4
2022-10-18,38,15,4.6,63.0,99.5
2022-10-19,25,9,4.1,50.9,0.0
2022-10-20,38,10,3.6,62.9,0.0
2022-10-21,30,10,3.6,64.1,0.0
2022-10-22,34,10,2.5,76.2,0.0
2022-10-23,53,15,4.1,76.3,0.0
2022-10-24,53,13,4.1,55.2,0.0
2022-10-25,25,8,2.5,60.0,0.0
2022-10-26,25,8,3.0,57.9,0.0
2022-10-27,30,9,2.5,62.1,0.0
2022-10-28,42,11,3.0,65.3,0.0
2022-10-29,57,16,3.6,61.9,0.0
2022-10-30,38,10,3.0,59.0,0.0
2022-10-31,38,11,3.6,63.0,0.0
2022-11-01,42,13,2.5,70.9,99.0
2022-11-02,38,12,2.5,75.2,0.0
2022-11-03,34,11,2.5,82.9,99.0
2022-11-04,59,19,4.1,68.1,0.0
2022-11-05,42,12,3.6,58.0,0.0
2022-11-06,53,14,3.0,64.2,0.0
2022-11-07,42,11,3.0,68.3,0.0
2022-11-08,59,18,2.5,61.9,0.0
2022-11-09,63,20,3.0,64.2,0.0
2022-11-10,68,23,2.5,77.1,99.0
2022-11-11,59,19,3.0,76.0,0.0
2022-11-12,57,20,3.0,81.3,0.7
2022-11-13,30,14,4.6,76.9,1.6
2022-11-14,46,14,2.5,79.2,99.0
2022-11-15,38,11,3.0,74.1,99.5
2022-11-16,42,12,3.0,57.1,0.0
2022-11-17,53,15,3.0,70.3,99.0
2022-11-18,50,15,4.1,76.0,0.7
2022-11-19,34,11,3.6,85.8,1.9
2022-11-20,30,10,2.5,93.3,1.4
