Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,4,3.6,70.3,99.0
2022-01-02,17,4,4.1,65.4,99.0
2022-01-03,25,9,4.1,74.8,99.0
2022-01-04,25,8,7.2,67.3,0.7
2022-01-05,21,6,2.0,80.0,0.2
2022-01-06,17,6,2.0,74.0,0.0
2022-01-07,25,8,2.0,70.2,99.0
2022-01-08,21,7,2.0,60.0,99.0
2022-01-09,30,9,3.6,79.8,0.2
2022-01-10,38,11,3.6,73.2,0.0
2022-01-11,25,7,3.6,86.0,2.5
2022-01-12,17,7,5.6,74.0,0.4
2022-01-13,13,5,5.6,87.1,1.4
2022-01-14,25,8,8.2,59.0,0.1
2022-01-15,21,7,2.0,74.9,99.0
2022-01-16,21,7,4.6,77.2,1.5
2022-01-17,25,8,3.6,83.2,0.6
2022-01-18,21,6,5.6,79.8,0.3
2022-01-19,13,4,2.5,90.3,0.4
2022-01-20,13,4,4.1,91.0,0.9
2022-01-21,21,6,4.1,75.1,0.2
2022-01-22,21,6,2.0,71.3,99.0
2022-01-23,21,6,2.0,70.3,0.0
2022-01-24,17,6,4.6,64.1,99.5
2022-01-25,21,6,2.0,70.8,0.0
2022-01-26,21,7,5.1,69.3,0.3
2022-01-27,46,13,3.6,60.0,99.0
2022-01-28,42,12,3.6,75.0,99.0
2022-01-29,30,8,4.1,80.0,99.0
2022-01-30,17,7,5.6,78.1,0.1
2022-01-31,21,6,2.5,65.2,99.0
2022-02-01,21,6,2.5,79.3,0.2
2022-02-02,34,10,2.6,86.0,0.2
2022-02-03,25,8,5.1,78.4,0.5
2022-02-04,17,6,3.6,87.3,0.5
2022-02-05,17,5,3.6,85.7,1.6
2022-02-06,17,5,3.6,89.0,0.7
2022-02-07,17,5,2.0,80.3,99.0
2022-02-08,25,7,2.5,79.1,99.0
2022-02-09,21,7,4.1,74.3,99.0
2022-02-10,21,6,3.0,81.0,99.0
2022-02-11,25,8,2.5,68.0,0.0
2022-02-12,21,7,1.5,80.0,0.0
2022-02-13,34,10,6.1,74.0,99.0
2022-02-14,46,13,6.1,63.9,99.0
2022-02-15,38,12,5.6,74.0,1.0
2022-02-16,21,6,8.2,75.9,0.3
2022-02-17,17,6,6.6,74.2,0.1
2022-02-18,17,5,2.5,76.1,0.2
2022-02-19,13,4,2.0,74.4,99.0
2022-02-20,25,6,5.1,85.0,0.3
2022-02-21,25,7,5.1,77.9,0.2
2022-02-22,21,6,3.0,87.1,0.5
2022-02-23,17,5,3.0,85.2,0.2
2022-02-24,17,5,2.0,68.1,0.5
2022-02-25,25,7,4.6,60.0,99.0
2022-02-26,46,13,3.4,61.0,99.0
2022-02-27,42,13,6.1,55.0,0.5
2022-02-28,38,13,4.6,60.2,99.0
2022-03-01,30,10,3.0,73.9,0.1
2022-03-02,46,13,2.0,77.8,0.2
2022-03-03,42,12,4.1,68.0,99.0
2022-03-04,34,10,1.5,48.0,0.0
2022-03-05,59,21,8.2,48.1,99.5
2022-03-06,30,10,6.6,65.9,99.0
2022-03-07,30,10,2.5,63.0,99.0
2022-03-08,25,9,2.0,71.0,0.0
2022-03-09,34,10,1.5,65.2,0.0
2022-03-10,53,16,1.5,66.0,0.0
2022-03-11,50,17,3.0,44.1,0.0
2022-03-12,57,20,2.5,69.8,0.0
2022-03-13,55,18,5.1,48.0,99.0
2022-03-14,25,9,3.6,85.1,0.5
2022-03-15,25,10,7.2,71.0,0.1
2022-03-16,21,8,3.6,74.0,0.0
2022-03-17,25,10,4.1,67.3,0.0
2022-03-18,13,6,7.7,85.2,2.8
2022-03-19,13,4,2.5,87.0,0.7
2022-03-20,13,4,2.0,72.9,99.0
2022-03-21,13,5,3.0,68.3,0.0
2022-03-22,21,6,4.1,71.3,99.0
2022-03-23,21,8,2.0,69.9,0.2
2022-03-24,38,11,3.0,71.2,0.2
2022-03-25,72,25,2.5,53.0,99.0
2022-03-26,30,10,4.6,60.2,99.0
2022-03-27,17,6,3.6,76.8,0.2
2022-03-28,25,9,4.1,57.0,0.3
2022-03-29,34,10,1.5,65.0,0.0
2022-03-30,34,10,2.0,66.9,0.0
2022-03-31,30,10,3.1,87.0,0.3
2022-04-01,25,8,4.1,56.0,0.1
2022-04-02,25,9,2.0,72.1,0.0
2022-04-03,30,9,2.1,74.6,99.0
2022-04-04,30,10,3.6,76.0,99.0
2022-04-05,21,8,1.5,77.9,0.0
2022-04-06,38,12,2.5,79.0,99.0
2022-04-07,55,19,2.5,79.9,0.6
2022-04-08,38,12,3.0,58.0,99.0
2022-04-09,34,11,3.0,37.0,0.0
2022-04-10,53,17,2.0,43.1,0.0
2022-04-11,61,20,2.0,49.1,0.0
2022-04-12,46,14,1.5,47.2,0.0
2022-04-13,38,11,2.5,77.1,0.0
2022-04-14,21,7,3.5,93.0,2.6
2022-04-15,9,4,3.6,97.8,1.4
2022-04-16,30,9,5.1,82.3,0.0
2022-04-17,30,10,1.5,62.0,0.0
2022-04-18,30,9,1.5,75.0,0.0
2022-04-19,55,17,3.0,71.0,0.0
2022-04-20,57,19,2.5,40.2,0.0
2022-04-21,55,18,2.0,53.1,0.5
2022-04-22,34,11,3.6,76.0,1.3
2022-04-23,53,18,3.6,71.6,0.0
2022-04-24,57,18,1.5,74.2,0.0
2022-04-25,42,12,2.0,68.0,0.0
2022-04-26,38,12,3.6,74.0,0.5
2022-04-27,25,9,5.6,74.3,2.8
2022-04-28,25,10,5.6,66.0,0.0
2022-04-29,25,9,5.6,87.9,3.8
2022-04-30,21,7,4.6,71.0,99.5
2022-05-01,21,8,1.5,91.1,1.4
2022-05-02,25,9,3.6,67.0,99.0
2022-05-03,21,8,2.0,58.3,0.0
2022-05-04,42,11,3.0,26.1,0.0
2022-05-05,50,14,2.5,42.0,99.0
2022-05-06,46,13,1.5,50.1,0.0
2022-05-07,38,12,3.6,73.3,99.0
2022-05-08,17,6,5.6,51.9,99.0
2022-05-09,17,6,3.6,59.0,99.0
2022-05-10,21,7,4.1,62.2,0.0
2022-05-11,38,11,1.0,69.5,99.0
2022-05-12,38,12,1.5,71.0,99.0
2022-05-13,34,10,4.1,84.2,99.0
2022-05-14,21,8,3.6,87.3,0.3
2022-05-15,30,10,2.0,66.0,0.0
2022-05-16,30,10,1.5,63.0,0.0
2022-05-17,38,11,1.5,72.0,0.0
2022-05-18,46,13,2.0,39.0,0.0
2022-05-19,46,15,4.1,45.0,0.0
2022-05-20,57,19,2.5,34.1,0.0
2022-05-21,61,20,2.0,54.9,99.0
2022-05-22,55,17,3.0,68.0,99.0
2022-05-23,46,14,3.6,74.9,99.5
2022-05-24,42,12,2.5,54.1,0.0
2022-05-25,53,16,2.5,52.2,0.0
2022-05-26,46,14,2.0,58.9,99.0
2022-05-27,34,10,4.1,66.3,1.6
2022-05-28,34,10,4.6,56.0,0.0
2022-05-29,34,11,3.6,40.2,0.0
2022-05-30,50,15,2.0,52.9,99.0
2022-05-31,34,10,4.6,75.9,99.0
2022-06-01,30,10,2.0,64.0,0.0
2022-06-02,46,14,3.0,57.2,0.0
2022-06-03,46,15,3.0,76.1,99.0
2022-06-04,25,9,5.1,72.0,0.0
2022-06-05,25,8,5.1,73.2,99.0
2022-06-06,17,6,5.1,90.3,1.3
2022-06-07,13,4,5.1,86.3,0.3
2022-06-08,13,4,2.5,79.8,99.0
2022-06-09,17,6,1.6,75.3,0.0
2022-06-10,30,10,2.5,77.0,0.0
2022-06-11,46,15,4.1,83.0,99.0
2022-06-12,25,9,5.1,73.1,99.0
2022-06-13,21,8,5.1,72.2,0.0
2022-06-14,34,10,1.5,84.1,99.0
2022-06-15,25,10,2.0,89.8,99.0
