Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,159,57,1.0,87.0,0
2022-01-02,154,52,1.0,85.3,0
2022-01-03,157,60,0.7,81.0,0
2022-01-04,154,53,1.0,80.2,0
2022-01-05,153,48,1.0,87.0,0
2022-01-06,124,34,1.0,84.0,0
2022-01-07,107,29,1.0,83.2,0
2022-01-08,117,18,1.0,76.0,0
2022-01-09,124,30,1.1,78.5,0
2022-01-10,102,19,1.0,82.9,0
2022-01-11,119,17,1.0,83.7,0
2022-01-12,119,23,1.1,78.9,0
2022-01-13,80,7,1.2,87.0,0
2022-01-14,129,11,1.0,89.6,0
2022-01-15,146,19,1.0,87.0,0
2022-01-16,129,25,1.0,83.9,0
2022-01-17,159,16,1.0,81.0,0
2022-01-18,158,15,1.0,70.5,0
2022-01-19,142,15,1.0,71.0,0
2022-01-20,151,36,1.0,84.0,0
2022-01-21,147,36,1.0,90.0,0
2022-01-22,157,36,1.0,87.0,0
2022-01-23,158,0,1.0,81.1,0
2022-01-24,162,36,1.0,81.0,0
2022-01-25,147,0,1.0,81.5,0
2022-01-26,151,36,1.5,78.0,0
2022-01-27,152,31,1.2,78.0,0
2022-01-28,137,39,1.0,78.9,0
2022-01-29,149,43,1.0,78.0,0
2022-01-30,151,37,1.1,78.5,0
2022-01-31,152,42,1.2,76.0,0
2022-02-01,156,44,1.0,81.0,0
2022-02-02,159,42,1.0,84.8,0
2022-02-03,170,46,1.0,80.0,0
2022-02-04,64,16,1.2,98.4,0
2022-02-05,74,16,1.0,93.0,0
2022-02-06,85,19,1.0,87.0,0
2022-02-07,97,18,1.0,90.0,0
2022-02-08,93,13,1.3,81.0,0
2022-02-09,88,17,1.1,73.9,0
2022-02-10,76,13,1.2,73.5,0
2022-02-11,76,14,1.2,73.5,0
2022-02-12,78,16,1.2,79.4,0
2022-02-13,102,16,1.2,75.7,0
2022-02-14,158,0,1.5,81.0,0
2022-02-15,152,0,1.5,78.5,0
2022-02-16,142,0,1.5,76.0,0
2022-02-17,139,0,1.5,71.0,0
2022-02-18,149,0,1.8,78.5,0
2022-02-19,154,0,1.5,71.0,0
2022-02-20,129,0,2.0,71.0,0
2022-02-21,102,0,1.5,76.0,0
2022-02-22,149,0,2.0,73.5,0
2022-02-23,158,0,1.5,73.5,0
2022-02-24,155,0,1.5,66.5,0
2022-02-25,132,0,2.0,62.0,0
2022-02-26,87,0,1.5,62.0,0
2022-02-27,109,0,1.5,56.5,0
2022-02-28,124,0,1.5,71.0,0
2022-03-01,151,0,1.5,67.0,0
2022-03-02,162,0,1.5,69.0,0
2022-03-03,139,0,1.5,69.5,0
2022-03-04,139,0,2.0,51.5,0
2022-03-05,137,0,1.2,69.5,0
2022-03-06,147,0,1.5,74.5,0
2022-03-07,153,0,1.2,66.0,0
2022-03-08,151,0,1.5,59.0,0
2022-03-09,137,0,1.5,65.0,0
2022-03-10,127,0,1.8,63.0,0
2022-03-11,149,0,1.5,61.0,0
2022-03-12,139,0,1.5,63.0,0
2022-03-13,149,0,1.5,61.5,0
2022-03-14,132,0,1.5,58.0,0
2022-03-15,129,0,1.5,60.0,0
