Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,38,13,6.6,81.0,0.0
2022-01-02,46,10,1.5,100.0,0.0
2022-01-03,74,22,3.0,75.0,99.0
2022-01-04,61,16,4.6,75.2,0.0
2022-01-05,42,10,5.0,73.9,99.0
2022-01-06,25,7,7.0,64.0,0.0
2022-01-07,42,10,2.0,77.1,0.0
2022-01-08,114,36,1.3,86.0,99.0
2022-01-09,107,38,1.0,94.3,0.0
2022-01-10,82,26,2.0,80.0,0.0
2022-01-11,57,16,6.0,68.0,0.0
2022-01-12,76,23,3.0,73.0,0.0
2022-01-13,129,50,2.5,82.0,0.0
2022-01-14,91,27,3.0,72.1,0.0
2022-01-15,63,18,1.5,82.0,0.0
2022-01-16,127,41,1.5,96.0,0.0
2022-01-17,74,21,5.0,81.7,0.0
2022-01-18,38,11,4.6,71.5,0.0
2022-01-19,76,29,2.0,90.0,0.0
2022-01-20,102,32,3.0,80.0,99.0
2022-01-21,25,9,7.0,64.0,0.0
2022-01-22,38,9,4.6,66.9,99.0
2022-01-23,46,11,3.0,65.5,0.0
2022-01-24,59,15,3.0,64.5,0.0
2022-01-25,114,40,2.0,81.5,0.0
2022-01-26,76,32,4.0,85.2,0.0
2022-01-27,85,26,3.0,74.2,0.0
2022-01-28,25,20,8.7,63.1,0.0
2022-01-29,38,10,4.1,64.0,0.0
2022-01-30,55,54,10.0,48.0,99.5
2022-01-31,46,17,3.6,55.0,0.0
2022-02-01,70,21,3.0,77.0,0.0
2022-02-02,30,11,4.8,72.5,99.2
2022-02-03,21,9,4.0,66.2,0.0
2022-02-04,57,18,3.0,70.2,0.0
2022-02-05,55,18,3.0,65.5,0.0
2022-02-06,50,11,3.0,64.0,0.0
2022-02-07,21,12,6.1,68.2,0.2
2022-02-08,25,10,7.0,61.0,0.0
2022-02-09,17,6,7.2,72.5,0.0
2022-02-10,70,22,1.5,74.5,0.0
2022-02-11,95,33,4.0,59.0,0.0
2022-02-12,42,10,3.0,62.0,0.0
2022-02-13,74,20,2.5,75.8,0.0
2022-02-14,99,36,3.0,72.5,0.0
2022-02-15,76,24,3.6,86.9,99.0
2022-02-16,76,28,3.0,90.1,0.0
2022-02-17,42,14,9.0,63.3,99.6
2022-02-18,17,10,8.4,52.9,0.0
2022-02-19,0,13,4.4,49.0,0.0
2022-02-20,0,11,2.7,61.6,0.0
2022-02-21,80,16,4.0,84.0,0.0
2022-02-22,17,11,3.2,68.0,0.0
2022-02-23,30,10,4.1,64.0,99.0
