Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,3,1.5,48.0,0.0
2022-01-02,9,4,1.5,63.9,0.0
2022-01-03,21,6,1.0,70.3,0.0
2022-01-04,38,8,1.5,50.2,0.0
2022-01-05,25,5,1.5,59.1,0.0
2022-01-06,13,4,1.0,82.1,0.3
2022-01-07,21,6,1.5,47.0,0.0
2022-01-08,25,7,1.5,73.3,0.0
2022-01-09,25,9,1.5,58.9,0.0
2022-01-10,42,11,1.5,62.2,0.0
2022-01-11,38,10,1.5,74.9,0.1
2022-01-12,17,6,1.5,57.0,0.0
2022-01-13,30,7,1.5,53.9,0.0
2022-01-14,25,7,1.5,50.0,0.0
2022-01-15,17,5,1.5,65.2,0.0
2022-01-16,21,6,1.0,66.9,0.0
2022-01-17,30,9,1.5,44.2,0.0
2022-01-18,30,6,1.5,50.1,99.0
2022-01-19,21,7,1.5,53.1,0.0
2022-01-20,17,5,2.5,43.1,99.0
2022-01-21,17,4,2.0,47.0,99.0
2022-01-22,21,8,1.0,70.0,0.0
2022-01-23,34,8,1.0,97.3,1.1
2022-01-24,17,4,2.0,59.1,0.5
2022-01-25,34,8,1.0,71.9,99.0
2022-01-26,46,10,1.5,54.1,0.0
2022-01-27,55,14,1.0,63.3,0.0
2022-01-28,57,14,1.5,63.0,0.0
2022-01-29,46,10,1.0,57.9,0.0
2022-01-30,25,5,1.0,45.1,0.0
2022-01-31,17,4,1.5,50.1,0.0
2022-02-01,30,9,1.5,50.1,99.0
2022-02-02,59,17,2.5,52.0,0.0
2022-02-03,50,11,1.5,45.2,0.0
2022-02-04,30,7,1.5,47.0,0.0
2022-02-05,25,7,2.0,42.1,0.0
2022-02-06,21,6,1.5,47.0,0.0
2022-02-07,25,8,1.5,56.1,0.0
2022-02-08,34,8,1.0,75.2,99.0
2022-02-09,25,7,1.5,73.9,99.0
2022-02-10,25,6,1.0,76.9,0.5
2022-02-11,21,4,1.5,60.0,0.0
2022-02-12,17,6,1.5,66.1,0.0
2022-02-13,21,4,1.0,90.3,0.5
2022-02-14,30,7,1.5,53.2,0.0
