Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,30,9,1.0,70.0,0.0
2022-01-02,30,9,1.0,72.2,99.0
2022-01-03,53,16,1.5,73.3,0.0
2022-01-04,59,17,1.5,71.0,0.0
2022-01-05,70,21,1.5,78.1,99.0
2022-01-06,42,11,1.6,84.5,0.6
2022-01-07,34,10,1.5,70.9,0.0
2022-01-08,42,11,1.5,68.3,99.0
2022-01-09,53,14,1.5,74.9,0.0
2022-01-10,78,25,1.2,76.9,0.0
2022-01-11,38,11,2.5,76.6,0.1
2022-01-12,25,8,1.5,62.9,99.0
2022-01-13,42,12,2.5,60.9,99.0
2022-01-14,34,10,1.5,59.2,0.0
2022-01-15,38,10,1.0,60.0,0.0
2022-01-16,53,14,1.5,80.5,99.0
2022-01-17,46,13,1.5,59.0,0.0
2022-01-18,50,12,3.6,64.0,99.0
2022-01-19,34,10,1.0,65.1,0.0
2022-01-20,50,11,3.6,68.3,99.0
2022-01-21,25,7,2.0,53.3,0.0
2022-01-22,53,13,1.0,65.3,99.0
2022-01-23,57,18,1.5,97.3,1.5
2022-01-24,25,7,3.0,66.1,0.4
2022-01-25,38,10,1.5,63.2,99.0
2022-01-26,61,19,1.5,66.2,99.0
2022-01-27,80,26,1.0,73.0,99.0
2022-01-28,91,30,1.5,61.3,0.0
2022-01-29,53,13,1.5,57.3,0.0
2022-01-30,38,10,1.5,57.3,0.0
2022-01-31,42,10,1.5,71.1,99.0
2022-02-01,59,18,1.0,68.7,99.0
2022-02-02,80,26,0.8,70.8,99.0
2022-02-03,61,17,2.0,60.1,99.0
2022-02-04,42,11,1.5,52.9,0.0
2022-02-05,38,10,3.6,58.2,99.0
2022-02-06,30,9,1.5,53.8,99.0
2022-02-07,46,12,1.0,58.1,0.0
2022-02-08,53,13,1.5,73.3,99.0
2022-02-09,46,11,1.5,58.9,0.0
2022-02-10,50,12,1.0,67.1,99.0
2022-02-11,46,12,2.0,57.2,99.0
2022-02-12,57,15,1.0,73.8,99.0
2022-02-13,42,10,2.0,85.0,99.5
2022-02-14,30,9,2.0,61.0,99.0
2022-02-15,42,12,4.6,70.3,99.0
2022-02-16,38,10,4.1,55.2,99.0
2022-02-17,38,10,3.0,48.0,99.0
2022-02-18,46,11,2.0,52.0,0.0
2022-02-19,21,7,1.5,88.3,1.1
2022-02-20,38,10,3.0,58.1,99.0
2022-02-21,38,9,1.5,47.2,0.0
2022-02-22,38,10,1.5,37.2,0.0
2022-02-23,53,12,1.5,52.1,99.0
2022-02-24,46,11,1.5,59.3,0.0
