Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,17,5,2.0,78.2,99.0
2022-01-02,30,8,1.5,80.3,0.0
2022-01-03,53,14,1.5,74.1,99.0
2022-01-04,34,10,2.0,78.7,99.0
2022-01-05,21,6,1.5,77.2,99.0
2022-01-06,34,10,1.0,75.0,99.0
2022-01-07,38,10,2.0,69.9,99.0
2022-01-08,50,13,1.0,68.9,0.0
2022-01-09,57,16,1.0,76.7,0.0
2022-01-10,55,15,1.0,67.5,0.0
2022-01-11,50,13,1.0,82.0,1.0
2022-01-12,21,5,2.5,78.5,99.0
2022-01-13,34,10,3.6,60.1,99.0
2022-01-14,21,6,2.5,81.2,0.5
2022-01-15,30,8,1.5,78.4,0.0
2022-01-16,50,14,1.0,79.8,0.0
2022-01-17,46,13,1.5,69.5,99.0
2022-01-18,25,7,2.5,78.1,99.0
2022-01-19,34,9,1.3,82.1,99.0
2022-01-20,30,7,2.0,85.9,99.0
2022-01-21,25,7,1.5,86.7,0.2
2022-01-22,34,9,1.0,77.1,0.0
2022-01-23,38,10,1.0,88.3,99.5
2022-01-24,30,8,1.5,82.5,0.2
2022-01-25,30,9,1.0,77.3,0.0
2022-01-26,55,15,1.0,77.0,99.0
2022-01-27,50,14,1.5,77.1,99.0
2022-01-28,53,15,1.5,77.1,99.0
2022-01-29,42,11,1.5,71.0,0.0
2022-01-30,25,7,1.5,68.3,99.0
2022-01-31,25,7,1.1,71.8,0.0
2022-02-01,46,12,2.0,69.9,99.0
2022-02-02,57,16,1.7,78.5,99.0
2022-02-03,57,18,2.0,66.9,99.0
2022-02-04,30,9,1.5,61.0,99.0
2022-02-05,34,9,3.0,50.3,99.0
2022-02-06,30,7,3.0,66.9,99.0
2022-02-07,25,7,1.5,68.3,99.0
2022-02-08,46,12,1.0,72.9,99.5
2022-02-09,34,9,1.5,62.1,99.0
2022-02-10,34,9,1.5,68.2,99.0
2022-02-11,34,9,1.5,75.5,99.0
2022-02-12,30,8,1.5,67.2,0.0
2022-02-13,34,9,1.0,82.1,0.2
2022-02-14,53,15,2.0,67.0,99.0
2022-02-15,61,20,1.5,72.1,99.0
2022-02-16,38,10,2.5,57.5,99.0
2022-02-17,30,7,2.5,56.1,99.0
2022-02-18,25,7,1.5,79.1,99.0
2022-02-19,25,8,1.5,82.9,0.7
2022-02-20,25,7,3.0,82.8,0.2
2022-02-21,30,8,2.5,72.5,99.0
2022-02-22,34,10,2.5,61.0,99.0
2022-02-23,30,8,2.0,71.2,99.0
2022-02-24,25,7,2.0,70.5,99.0
2022-02-25,50,13,1.5,62.9,0.0
2022-02-26,68,20,1.5,66.1,0.0
2022-02-27,59,19,2.0,68.8,99.0
2022-02-28,53,16,1.5,59.0,0.0
2022-03-01,59,19,1.0,77.9,0.8
2022-03-02,70,22,1.0,88.0,99.0
2022-03-03,59,18,2.0,79.6,99.0
2022-03-04,55,18,1.0,71.7,0.0
2022-03-05,63,24,2.0,65.0,99.5
2022-03-06,46,13,3.0,70.9,99.0
2022-03-07,42,13,1.0,78.2,99.0
2022-03-08,42,13,1.5,78.0,99.0
2022-03-09,59,19,1.5,64.5,0.0
2022-03-10,74,25,1.0,72.5,0.0
2022-03-11,72,25,1.5,60.0,0.0
2022-03-12,78,30,1.0,78.5,0.0
2022-03-13,70,25,2.0,75.3,0.0
2022-03-14,30,10,1.5,76.2,0.8
2022-03-15,46,14,2.5,65.9,99.0
2022-03-16,42,12,2.0,51.0,0.0
2022-03-17,46,15,2.5,55.0,0.0
2022-03-18,34,11,2.0,86.1,3.1
