Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,43,19,3.6,60.5,0
2022-01-02,30,14,4.4,62.7,0
2022-01-03,30,14,5.2,55.2,0
2022-01-04,21,11,2.2,69.0,0
2022-01-05,25,18,2.6,38.0,0
2022-01-06,38,17,1.0,43.0,0
2022-01-07,24,10,1.0,43.0,0
2022-01-08,34,13,1.0,83.5,0
2022-01-09,35,14,1.0,79.6,0
2022-01-10,52,21,1.0,83.2,0
2022-01-11,55,20,0.1,93.0,0
2022-01-12,46,18,1.3,88.5,0
2022-01-13,34,12,1.3,84.2,0
2022-01-14,42,14,0.4,85.6,0
2022-01-15,107,40,0.2,96.0,0
2022-01-16,95,33,0.2,89.8,0
2022-01-17,38,13,1.0,87.5,0
2022-01-18,59,18,1.1,86.6,0
2022-01-19,53,18,1.2,82.1,0
2022-01-20,35,29,0.5,79.2,0
2022-01-21,38,19,1.2,85.1,0
2022-01-22,25,9,0.8,84.0,0
2022-01-23,50,12,1.7,82.3,0
2022-01-24,71,37,0.5,84.2,0
2022-01-25,89,45,0.5,89.1,0
2022-01-26,70,28,2.8,80.8,0
2022-01-27,34,17,1.6,82.7,0
2022-01-28,41,14,3.0,86.2,0
2022-01-29,38,15,3.7,77.4,0
2022-01-30,39,22,3.3,82.4,0
2022-01-31,30,17,2.1,68.6,0
2022-02-01,34,17,2.7,77.0,0
2022-02-02,34,12,1.6,85.8,0
2022-02-03,42,12,2.7,80.5,0
2022-02-04,25,13,0.7,83.8,0
2022-02-05,25,10,5.4,84.0,0
2022-02-06,17,7,2.3,80.0,0
2022-02-07,25,10,3.0,83.5,0
2022-02-08,21,9,4.0,85.1,0
2022-02-09,19,6,2.1,76.0,0
2022-02-10,21,13,1.8,77.5,0
2022-02-11,40,21,1.4,80.6,0
2022-02-12,30,17,6.8,76.5,0
2022-02-13,17,6,3.1,88.8,0
2022-02-14,13,4,1.0,85.1,0
2022-02-15,30,12,1.1,80.8,0
2022-02-16,39,15,6.0,79.1,0
2022-02-17,24,11,2.6,75.8,0
2022-02-18,21,9,3.2,83.1,0
2022-02-19,23,10,2.1,84.5,0
2022-02-20,24,9,6.0,88.7,0
2022-02-21,30,19,3.2,78.0,0
2022-02-22,38,15,2.8,79.7,0
2022-02-23,25,12,6.1,73.8,0
2022-02-24,17,10,2.5,81.2,0
2022-02-25,28,16,1.6,81.1,0
2022-02-26,46,26,2.1,70.8,0
2022-02-27,46,26,1.5,73.5,0
2022-02-28,53,21,1.0,85.0,0
2022-03-01,34,15,2.0,84.5,0
2022-03-02,92,34,2.1,91.0,0
2022-03-03,132,51,0.8,87.5,0
2022-03-04,87,39,1.0,91.0,0
2022-03-05,25,10,4.8,79.8,0
2022-03-06,28,14,1.4,80.5,0
2022-03-07,34,20,2.2,81.3,0
2022-03-08,78,44,2.3,72.8,0
2022-03-09,80,40,1.8,74.6,0
2022-03-10,54,28,2.1,75.4,0
2022-03-11,67,34,2.8,78.0,0
2022-03-12,34,19,3.0,67.5,0
2022-03-13,35,16,3.1,75.7,0
2022-03-14,34,15,2.3,78.6,0
2022-03-15,46,28,0.7,65.5,0
2022-03-16,72,34,0.4,86.1,0
2022-03-17,46,20,2.5,76.7,0
2022-03-18,50,24,1.0,77.3,0
2022-03-19,57,33,2.6,76.1,0
2022-03-20,85,36,1.6,79.2,0
2022-03-21,117,55,0.8,66.5,0
2022-03-22,122,56,1.1,74.1,0
2022-03-23,154,66,1.1,78.2,0
2022-03-24,149,68,0.8,70.1,0
2022-03-25,99,59,0.8,64.2,0
2022-03-26,85,51,1.8,72.0,0
2022-03-27,72,32,1.0,77.3,0
2022-03-28,77,33,0.8,87.6,0
2022-03-29,70,33,0.5,83.1,0
2022-03-30,55,20,2.7,87.3,0
2022-03-31,10,5,3.2,86.0,0
2022-04-01,16,11,2.8,83.8,0
2022-04-02,30,23,1.5,76.0,0
2022-04-03,30,15,2.1,73.7,0
2022-04-04,13,8,2.6,83.0,0
2022-04-05,13,8,3.5,82.6,0
2022-04-06,13,8,5.2,73.8,0
2022-04-07,13,10,3.2,77.5,0
2022-04-08,17,11,2.5,82.4,0
2022-04-09,19,14,1.5,80.3,0
2022-04-10,30,14,1.3,60.7,0
2022-04-11,46,24,2.5,72.3,0
2022-04-12,80,34,1.1,89.4,0
2022-04-13,70,28,1.0,82.4,0
2022-04-14,47,21,1.1,80.6,0
2022-04-15,61,26,1.3,73.6,0
2022-04-16,76,30,0.8,77.0,0
2022-04-17,72,29,1.6,60.5,0
