Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,38,12,15.0,88.0,0
2022-01-02,34,13,11.0,90.0,0
2022-01-03,34,13,10.3,87.5,0
2022-01-04,29,11,3.0,87.5,0
2022-01-05,27,11,3.0,88.2,0
2022-01-06,50,15,10.2,90.0,0
2022-01-07,23,9,7.2,85.0,0
2022-01-08,28,8,7.0,92.0,0
2022-01-09,30,10,4.2,86.2,0
2022-01-10,49,15,8.6,90.2,0
2022-01-11,44,14,1.7,96.0,0
2022-01-12,69,24,1.7,91.7,0
2022-01-13,68,24,2.2,93.5,0
2022-01-14,84,28,0.7,97.0,0
2022-01-15,97,35,4.0,97.0,0
2022-01-16,78,25,2.2,91.2,0
2022-01-17,46,15,1.7,92.0,0
2022-01-18,71,24,3.7,92.0,0
2022-01-19,65,21,5.0,91.2,0
2022-01-20,34,16,0.7,85.7,0
2022-01-21,47,18,1.0,88.7,0
2022-01-22,34,10,1.2,87.0,0
2022-01-23,50,12,3.2,87.0,0
2022-01-24,78,24,1.7,86.2,0
2022-01-25,87,32,1.5,88.0,0
2022-01-26,74,28,4.5,84.7,0
2022-01-27,46,16,5.0,86.5,0
2022-01-28,46,14,7.0,91.7,0
2022-01-29,34,11,7.0,78.0,0
2022-01-30,40,17,6.7,82.0,0
2022-01-31,33,13,5.2,75.5,0
2022-02-01,17,9,6.2,77.5,0
2022-02-02,13,9,5.0,86.0,0
2022-02-03,22,9,8.2,85.0,0
2022-02-04,17,8,5.7,81.2,0
2022-02-05,20,9,12.5,82.7,0
2022-02-06,17,6,8.0,79.0,0
2022-02-07,28,11,6.7,85.0,0
2022-02-08,19,8,10.2,81.5,0
2022-02-09,17,8,9.0,86.7,0
2022-02-10,25,11,3.2,80.5,0
2022-02-11,29,13,6.0,81.5,0
2022-02-12,30,12,17.3,82.2,0
2022-02-13,17,6,17.5,90.0,0
2022-02-14,13,5,4.0,87.0,0
2022-02-15,21,8,8.7,88.2,0
2022-02-16,26,11,11.7,78.0,0
2022-02-17,25,11,6.5,73.2,0
2022-02-18,21,9,12.0,76.5,0
2022-02-19,21,9,8.5,84.5,0
2022-02-20,25,9,14.2,85.7,0
2022-02-21,35,14,9.3,76.7,0
2022-02-22,38,16,7.7,80.7,0
2022-02-23,30,11,15.2,81.7,0
2022-02-24,17,7,7.0,78.0,0
2022-02-25,27,14,5.0,75.0,0
2022-02-26,41,16,10.5,74.2,0
2022-02-27,31,10,11.2,71.7,0
2022-02-28,46,15,9.7,85.7,0
2022-03-01,34,11,5.5,90.2,0
2022-03-02,65,19,10.5,89.2,0
2022-03-03,103,39,6.0,86.0,0
2022-03-04,70,23,1.7,93.0,0
2022-03-05,24,8,7.5,87.2,0
2022-03-06,30,10,4.7,85.2,0
2022-03-07,21,9,8.0,80.0,0
2022-03-08,75,26,11.0,71.2,0
2022-03-09,72,26,11.7,77.0,0
2022-03-10,39,12,10.0,75.0,0
2022-03-11,55,16,11.5,79.0,0
2022-03-12,28,8,11.7,79.2,0
2022-03-13,23,8,12.2,80.7,0
2022-03-14,38,11,6.0,77.2,0
2022-03-15,52,16,5.5,76.2,0
2022-03-16,65,23,4.0,89.2,0
2022-03-17,38,12,6.5,83.7,0
2022-03-18,48,14,6.2,83.0,0
2022-03-19,45,14,8.5,75.5,0
2022-03-20,63,21,4.5,82.5,0
2022-03-21,107,41,4.0,66.2,0
2022-03-22,89,36,7.5,68.0,0
2022-03-23,92,37,2.5,69.0,0
2022-03-24,111,51,3.0,65.5,0
2022-03-25,105,48,3.5,54.2,0
2022-03-26,99,44,3.0,65.2,0
2022-03-27,68,23,1.7,88.0,0
2022-03-28,53,20,2.0,77.0,0
2022-03-29,53,17,3.0,88.5,0
2022-03-30,63,23,3.5,89.5,0
2022-03-31,17,7,5.5,87.2,0
2022-04-01,24,8,5.0,86.5,0
2022-04-02,40,13,3.7,84.0,0
2022-04-03,56,17,3.0,70.0,0
2022-04-04,25,8,6.5,85.0,0
2022-04-05,14,7,6.2,74.7,0
2022-04-06,17,7,12.5,76.5,0
2022-04-07,17,8,9.5,73.7,0
2022-04-08,25,10,2.2,76.2,0
2022-04-09,21,9,3.7,73.5,0
2022-04-10,38,13,4.5,61.7,0
2022-04-11,47,13,9.2,60.2,0
2022-04-12,61,21,3.5,74.7,0
2022-04-13,50,16,6.7,85.5,0
2022-04-14,50,0,1.2,78.0,0
2022-04-15,42,0,4.2,71.2,0
2022-04-16,70,0,6.6,69.0,0
2022-04-17,68,0,6.2,63.5,0
2022-04-18,34,0,4.5,70.0,0
2022-04-19,29,0,2.2,76.0,0
2022-04-20,46,15,3.5,71.0,0
2022-04-21,40,15,3.0,70.2,0
2022-04-22,50,18,4.2,76.5,0
2022-04-23,58,22,4.5,80.5,0
2022-04-24,53,19,5.2,73.5,0
2022-04-25,34,14,2.5,77.5,0
2022-04-26,44,13,1.7,79.2,0
2022-04-27,36,14,1.7,69.2,0
2022-04-28,34,13,1.5,75.5,0
2022-04-29,31,12,2.2,69.7,0
2022-04-30,41,13,2.0,60.7,0
2022-05-01,39,12,3.7,77.7,0
2022-05-02,70,22,1.0,80.7,0
2022-05-03,55,17,1.5,80.2,0
2022-05-04,50,15,3.5,82.7,0
2022-05-05,35,12,1.2,72.2,0
2022-05-06,46,16,2.5,81.5,0
2022-05-07,26,10,2.7,83.2,0
2022-05-08,38,12,3.5,77.2,0
2022-05-09,37,15,9.0,62.2,0
2022-05-10,38,14,7.5,63.0,0
2022-05-11,23,10,8.2,79.0,0
2022-05-12,19,9,4.7,68.0,0
2022-05-13,32,15,7.5,67.2,0
2022-05-14,51,18,2.7,68.2,0
2022-05-15,50,17,5.7,77.2,0
2022-05-16,51,17,6.5,81.7,0
2022-05-17,34,12,8.2,77.5,0
2022-05-18,23,10,6.5,72.2,0
2022-05-19,26,10,2.5,74.7,0
2022-05-20,25,10,6.2,74.0,0
2022-05-21,25,10,3.7,74.7,0
2022-05-22,21,9,5.0,71.0,0
2022-05-23,15,7,1.2,77.0,0
2022-05-24,17,7,2.0,75.7,0
2022-05-25,14,7,5.5,77.6,0
2022-05-26,17,9,6.0,76.7,0
2022-05-27,25,14,3.0,61.7,0
2022-05-28,17,10,1.7,72.2,0
