Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,83,42,7.2,72.0,0
2022-01-02,81,39,1.5,84.0,0
2022-01-03,40,21,3.3,58.0,0
2022-01-04,43,19,4.6,72.0,0
2022-01-05,44,22,1.2,82.0,0
2022-01-06,37,16,1.5,82.0,0
2022-01-07,44,23,3.8,72.0,0
2022-01-08,154,66,4.3,82.0,0
2022-01-09,63,28,3.3,67.5,0
2022-01-10,69,42,7.4,76.0,0
2022-01-11,84,62,5.9,55.0,0
2022-01-12,74,57,5.4,63.0,0
2022-01-13,38,15,2.5,79.0,0
2022-01-14,65,24,1.5,73.5,0
2022-01-15,32,19,2.5,71.0,0
2022-01-16,28,15,5.6,46.0,0
2022-01-17,28,14,2.8,57.3,0
2022-01-18,31,14,7.4,66.5,0
2022-01-19,24,13,5.4,55.0,0
2022-01-20,45,23,1.8,63.0,0
2022-01-21,45,25,1.2,65.0,0
2022-01-22,39,15,4.8,74.0,0
2022-01-23,25,15,10.0,55.0,0
2022-01-24,34,17,3.8,49.0,0
2022-01-25,37,13,3.0,87.0,0
2022-01-26,42,14,2.0,81.0,0
2022-01-27,41,17,3.6,56.0,0
2022-01-28,46,22,2.0,70.0,0
2022-01-29,50,21,1.5,73.5,0
2022-01-30,50,15,2.5,84.5,0
2022-01-31,43,14,2.3,81.5,0
2022-02-01,35,23,1.5,76.0,0
2022-02-02,41,19,4.1,63.0,0
2022-02-03,53,31,2.5,79.5,0
2022-02-04,22,9,1.8,84.0,0
2022-02-05,37,18,2.8,60.0,0
2022-02-06,52,21,1.2,84.0,0
2022-02-07,49,20,1.8,76.0,0
2022-02-08,46,26,4.1,72.0,0
2022-02-09,30,13,5.6,72.0,0
2022-02-10,37,17,2.5,57.0,0
2022-02-11,38,18,2.0,56.5,0
2022-02-12,46,18,1.5,72.5,0
2022-02-13,51,19,2.3,66.0,0
2022-02-14,50,24,3.3,66.0,0
2022-02-15,71,32,2.0,69.0,0
2022-02-16,79,34,1.8,71.0,0
2022-02-17,74,31,1.5,76.0,0
2022-02-18,80,37,2.0,76.0,0
2022-02-19,87,47,4.3,72.0,0
2022-02-20,52,26,5.1,66.0,0
2022-02-21,37,23,3.6,76.0,0
2022-02-22,48,23,1.8,82.0,0
2022-02-23,61,37,6.4,68.0,0
2022-02-24,55,26,4.6,62.5,0
2022-02-25,24,13,4.8,69.5,0
2022-02-26,32,18,3.0,72.0,0
2022-02-27,51,18,1.5,67.0,0
2022-02-28,39,23,3.3,71.0,0
2022-03-01,41,24,3.6,87.0,0
2022-03-02,49,18,2.5,87.0,0
2022-03-03,43,24,11.8,58.0,0
2022-03-04,47,25,4.1,58.0,0
2022-03-05,43,17,1.5,75.0,0
2022-03-06,48,27,8.4,67.0,0
2022-03-07,51,24,3.6,71.0,0
2022-03-08,32,20,3.8,62.0,0
2022-03-09,26,16,5.8,64.5,0
2022-03-10,16,10,6.6,64.5,0
2022-03-11,31,17,8.7,60.0,0
2022-03-12,26,11,4.6,51.0,0
2022-03-13,29,12,5.6,60.0,0
2022-03-14,41,18,3.0,41.5,0
2022-03-15,35,15,2.8,35.5,0
2022-03-16,37,15,1.5,51.0,0
2022-03-17,37,19,3.0,70.0,0
2022-03-18,53,22,1.8,62.0,0
2022-03-19,35,20,4.8,46.0,0
2022-03-20,25,11,4.3,34.0,0
2022-03-21,48,21,3.0,46.0,0
2022-03-22,37,16,3.0,49.0,0
2022-03-23,31,15,2.0,81.0,0
2022-03-24,38,17,2.5,62.0,0
2022-03-25,48,19,2.5,49.0,0
2022-03-26,55,30,4.1,71.0,0
2022-03-27,59,24,3.6,58.0,0
2022-03-28,51,21,1.5,61.0,0
2022-03-29,57,36,5.4,53.5,0
2022-03-30,60,35,2.3,44.5,0
2022-03-31,66,38,2.0,62.0,0
2022-04-01,80,53,3.6,57.5,0
2022-04-02,83,55,2.5,41.0,0
2022-04-03,92,58,4.1,52.0,0
2022-04-04,131,104,2.8,51.0,0
2022-04-05,130,101,4.6,61.0,0
2022-04-06,123,91,8.2,64.0,0
2022-04-07,108,77,4.1,80.0,0
2022-04-08,86,73,8.4,77.0,0
2022-04-09,50,27,3.6,77.0,0
2022-04-10,55,26,4.1,77.0,0
2022-04-11,50,27,6.9,67.0,0
2022-04-12,36,23,5.6,51.0,0
2022-04-13,26,15,2.0,58.0,0
2022-04-14,31,20,2.0,49.5,0
2022-04-15,42,21,2.0,45.0,0
2022-04-16,46,22,1.8,47.0,0
2022-04-17,52,27,7.9,44.5,0
2022-04-18,76,65,6.6,52.5,0
2022-04-19,56,42,6.6,74.5,0
2022-04-20,26,18,6.1,67.0,0
2022-04-21,32,17,3.6,67.0,0
2022-04-22,39,20,2.8,60.0,0
2022-04-23,57,29,2.5,47.0,0
2022-04-24,66,35,3.0,49.0,0
2022-04-25,62,36,3.0,72.0,0
2022-04-26,55,38,3.0,62.0,0
2022-04-27,62,41,2.3,64.0,0
2022-04-28,61,35,2.8,77.0,0
2022-04-29,56,35,3.8,64.0,0
2022-04-30,77,63,4.6,49.0,0
2022-05-01,68,42,9.7,77.0,0
2022-05-02,77,42,3.0,82.0,0
2022-05-03,74,45,5.1,66.0,0
2022-05-04,74,52,7.9,74.5,0
2022-05-05,50,35,8.2,65.5,0
2022-05-06,33,18,2.8,41.5,0
2022-05-07,24,13,4.1,54.5,0
2022-05-08,16,9,2.8,51.5,0
2022-05-09,29,14,2.8,64.0,0
2022-05-10,40,19,3.0,60.0,0
2022-05-11,40,27,6.1,73.0,0
2022-05-12,51,28,3.6,68.0,0
2022-05-13,59,35,2.3,66.0,0
2022-05-14,64,48,2.8,68.0,0
2022-05-15,58,29,8.7,73.0,0
2022-05-16,62,30,3.8,80.0,0
2022-05-17,60,29,4.1,77.0,0
2022-05-18,68,28,3.8,77.5,0
2022-05-19,64,30,5.1,70.5,0
2022-05-20,55,29,6.9,56.5,0
2022-05-21,37,30,9.0,37.5,0
2022-05-22,42,20,4.6,70.0,0
2022-05-23,50,31,7.9,74.5,0
2022-05-24,53,26,3.6,75.0,0
2022-05-25,61,25,3.3,83.0,0
2022-05-26,63,28,3.6,75.5,0
2022-05-27,61,31,3.0,50.0,0
2022-05-28,57,31,3.0,43.0,0
2022-05-29,59,29,2.5,59.0,0
