Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,48,21,2.0,84.0,0
2022-01-02,62,31,1.5,96.5,0
2022-01-03,40,11,2.0,100.0,0
2022-01-04,31,14,4.1,86.4,0
2022-01-05,22,13,3.0,87.0,0
2022-01-06,23,17,3.0,81.0,0
2022-01-07,20,12,5.1,78.5,0
2022-01-08,28,16,2.3,76.0,0
2022-01-09,28,11,2.0,79.3,0
2022-01-10,15,8,3.3,87.0,0
2022-01-11,18,9,3.3,87.0,0
2022-01-12,36,11,3.6,76.0,0
2022-01-13,20,9,3.0,71.0,0
2022-01-14,32,11,2.5,73.5,0
2022-01-15,0,0,2.3,78.0,0
2022-01-16,66,28,2.5,93.0,0
2022-01-17,59,19,2.5,79.0,0
2022-01-18,59,21,2.5,73.8,0
2022-01-19,72,27,1.8,73.3,0
2022-01-20,82,31,2.5,68.0,0
2022-01-21,58,21,3.6,64.2,0
2022-01-22,32,11,4.1,67.5,0
2022-01-23,41,13,4.1,70.0,0
2022-01-24,30,11,4.1,72.0,0
2022-01-25,30,12,4.6,66.4,0
2022-01-26,28,11,5.1,70.0,0
2022-01-27,40,17,4.8,65.2,0
2022-01-28,40,21,4.3,55.2,0
2022-01-29,0,0,4.1,48.0,0
2022-01-30,27,12,2.8,44.0,0
2022-01-31,75,35,2.5,64.0,0
2022-02-01,43,19,3.3,54.6,0
2022-02-02,49,19,2.3,68.0,0
2022-02-03,75,40,1.2,85.0,0
2022-02-04,56,26,2.0,86.0,0
2022-02-05,0,0,4.6,79.8,0
2022-02-06,31,14,3.7,60.3,0
2022-02-07,40,15,3.6,53.2,0
2022-02-08,53,25,2.5,53.5,0
2022-02-09,63,33,2.0,76.0,0
2022-02-10,72,40,1.5,76.0,0
2022-02-11,73,46,2.0,80.0,0
2022-02-12,68,36,1.8,84.5,0
2022-02-13,27,14,2.5,89.8,0
2022-02-14,20,13,2.3,76.0,0
2022-02-15,28,20,2.3,73.5,0
2022-02-16,33,17,1.8,84.0,0
2022-02-17,18,6,3.0,84.5,0
2022-02-18,16,6,4.1,82.0,0
2022-02-19,15,15,9.2,64.7,0
2022-02-20,20,11,4.8,57.6,0
2022-02-21,31,18,4.1,73.5,0
2022-02-22,41,16,3.8,51.0,0
2022-02-23,36,17,2.5,43.5,0
2022-02-24,57,28,2.0,69.5,0
2022-02-25,59,27,5.6,62.2,0
2022-02-26,40,20,3.3,75.8,0
2022-02-27,35,18,3.3,81.0,0
2022-02-28,28,16,2.3,76.0,0
2022-03-01,56,28,2.0,79.2,0
2022-03-02,22,17,2.5,81.0,0
2022-03-03,18,11,6.4,81.5,0
2022-03-04,15,13,6.1,63.5,0
2022-03-05,22,16,2.3,76.0,0
2022-03-06,31,11,4.6,66.0,0
2022-03-07,24,13,3.6,64.0,0
2022-03-08,24,18,3.0,79.6,0
2022-03-09,23,17,3.6,86.2,0
2022-03-10,21,16,6.6,90.2,0
2022-03-11,18,18,3.3,81.1,0
2022-03-12,35,21,4.6,90.0,0
2022-03-13,20,15,3.0,76.0,0
2022-03-14,22,11,4.1,81.0,0
2022-03-15,69,164,4.6,73.3,0
2022-03-16,148,115,7.2,82.0,0
2022-03-17,59,53,5.6,65.5,0
2022-03-18,24,13,4.3,59.0,0
2022-03-19,50,18,2.5,69.1,0
2022-03-20,42,18,4.1,82.0,0
2022-03-21,21,8,3.6,90.0,0
2022-03-22,40,19,3.3,91.0,0
2022-03-23,18,7,4.1,93.0,0
2022-03-24,18,9,6.1,79.1,0
2022-03-25,61,37,5.4,80.6,0
2022-03-26,45,34,2.8,76.0,0
2022-03-27,57,56,4.1,72.0,0
2022-03-28,65,57,5.0,71.7,0
2022-03-29,43,25,3.6,87.0,0
2022-03-30,45,32,6.9,76.0,0
2022-03-31,15,13,4.3,82.1,0
2022-04-01,13,12,4.8,67.1,0
2022-04-02,21,12,4.6,57.0,0
