Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,60,18,1.3,69.9,0
2022-01-02,34,14,1.5,52.9,0
2022-01-03,50,20,1.7,60.4,0
2022-01-04,61,31,1.0,74.3,0
2022-01-05,78,43,1.0,76.0,0
2022-01-06,74,37,0.7,73.9,0
2022-01-07,53,39,1.2,87.2,0
2022-01-08,59,21,1.5,81.0,0
2022-01-09,76,28,1.5,75.0,0
2022-01-10,34,22,1.5,36.1,0
2022-01-11,30,21,1.4,28.8,0
2022-01-12,54,24,1.6,33.5,0
2022-01-13,70,41,0.7,46.7,0
2022-01-14,65,40,1.5,53.4,0
2022-01-15,53,22,1.5,51.8,0
2022-01-16,38,14,1.5,44.0,0
2022-01-17,38,19,1.5,78.0,0
2022-01-18,37,17,1.1,87.0,0
2022-01-19,59,25,1.4,84.5,0
2022-01-20,52,28,1.8,64.1,0
2022-01-21,46,27,2.0,63.0,0
2022-01-22,24,20,1.5,22.2,0
2022-01-23,36,15,1.5,34.2,0
2022-01-24,49,29,1.5,63.0,0
2022-01-25,55,35,1.5,76.7,0
2022-01-26,59,32,0.8,72.2,0
2022-01-27,52,23,1.5,41.0,0
2022-01-28,43,30,1.7,18.1,0
2022-01-29,43,24,1.0,24.0,0
2022-01-30,57,28,1.5,59.0,0
2022-01-31,65,40,0.7,79.5,0
2022-02-01,63,33,1.5,81.0,0
2022-02-02,56,38,1.5,37.6,0
2022-02-03,48,37,1.5,42.9,0
2022-02-04,48,32,1.4,44.0,0
2022-02-05,40,27,1.5,34.0,0
2022-02-06,57,27,1.2,31.1,0
2022-02-07,47,26,1.7,27.8,0
2022-02-08,42,24,1.5,27.7,0
2022-02-09,48,29,1.0,24.5,0
2022-02-10,50,34,1.5,30.0,0
2022-02-11,53,34,1.0,33.6,0
2022-02-12,52,29,1.1,31.7,0
2022-02-13,35,21,1.5,25.7,0
2022-02-14,58,30,1.6,59.0,0
2022-02-15,38,24,2.3,73.8,0
2022-02-16,39,22,1.8,71.0,0
2022-02-17,40,23,2.2,51.6,0
2022-02-18,44,22,1.8,42.7,0
2022-02-19,51,22,1.5,55.7,0
2022-02-20,60,30,1.5,77.2,0
2022-02-21,45,24,2.0,69.8,0
2022-02-22,30,22,4.4,64.8,0
2022-02-23,20,10,3.2,43.1,0
2022-02-24,37,18,2.2,42.0,0
2022-02-25,50,22,2.2,50.0,0
2022-02-26,43,23,2.0,37.0,0
2022-02-27,29,18,1.5,26.0,0
2022-02-28,49,27,1.5,21.4,0
2022-03-01,43,27,1.5,25.0,0
2022-03-02,53,34,2.0,36.6,0
2022-03-03,51,32,1.9,76.0,0
2022-03-04,27,16,3.2,71.0,0
2022-03-05,34,23,4.0,62.0,0
2022-03-06,35,15,2.4,57.3,0
2022-03-07,48,24,1.5,55.9,0
2022-03-08,40,21,2.5,39.0,0
2022-03-09,43,26,1.8,63.0,0
2022-03-10,54,31,2.0,71.0,0
2022-03-11,43,29,2.0,35.0,0
2022-03-12,40,23,2.0,32.1,0
2022-03-13,54,29,2.5,66.4,0
2022-03-14,48,33,1.7,72.6,0
2022-03-15,53,35,2.0,73.4,0
2022-03-16,56,35,2.7,72.0,0
2022-03-17,55,32,2.5,50.2,0
2022-03-18,63,36,2.5,59.0,0
2022-03-19,58,34,3.1,77.6,0
2022-03-20,24,13,4.1,55.1,0
2022-03-21,55,32,1.8,63.0,0
2022-03-22,56,31,1.5,48.0,0
2022-03-23,50,27,1.5,33.1,0
2022-03-24,55,25,2.0,48.6,0
2022-03-25,61,28,1.5,73.0,0
2022-03-26,65,27,1.9,82.0,0
2022-03-27,46,18,3.0,68.2,0
2022-03-28,37,11,2.5,79.0,0
2022-03-29,38,13,2.4,82.0,0
2022-03-30,51,22,1.5,79.0,0
2022-03-31,52,23,2.0,76.0,0
2022-04-01,58,25,2.0,78.2,0
2022-04-02,57,23,2.0,80.3,0
2022-04-03,49,20,2.8,76.0,0
2022-04-04,61,29,1.9,73.9,0
2022-04-05,60,38,2.5,82.0,0
2022-04-06,65,40,2.5,75.2,0
2022-04-07,55,35,1.8,27.0,0
2022-04-08,54,32,2.0,20.8,0
2022-04-09,73,40,3.0,64.0,0
2022-04-10,70,43,2.8,72.0,0
2022-04-11,64,40,4.1,71.1,0
2022-04-12,31,26,7.7,33.0,0
2022-04-13,41,24,3.6,28.2,0
2022-04-14,51,30,3.4,61.3,0
2022-04-15,50,26,2.0,72.0,0
2022-04-16,34,16,2.5,77.5,0
2022-04-17,38,16,2.6,75.1,0
2022-04-18,52,25,2.5,62.7,0
2022-04-19,44,22,3.5,67.0,0
2022-04-20,36,19,3.0,71.0,0
2022-04-21,33,14,3.6,73.2,0
2022-04-22,33,12,5.4,71.0,0
2022-04-23,48,21,2.0,59.0,0
2022-04-24,40,13,3.0,32.7,0
2022-04-25,47,20,2.0,25.3,0
2022-04-26,63,33,2.2,58.6,0
2022-04-27,64,38,3.1,72.0,0
2022-04-28,62,33,3.0,67.0,0
2022-04-29,60,34,2.5,67.0,0
2022-04-30,63,33,3.0,63.6,0
2022-05-01,61,34,2.9,72.0,0
2022-05-02,56,29,2.5,70.9,0
2022-05-03,56,30,3.0,73.5,0
2022-05-04,62,34,2.0,72.0,0
2022-05-05,60,36,1.5,79.0,0
2022-05-06,58,29,1.6,72.1,0
2022-05-07,52,28,2.6,73.0,0
2022-05-08,48,30,3.0,68.5,0
2022-05-09,45,32,3.0,63.2,0
2022-05-10,45,28,3.6,58.0,0
2022-05-11,27,28,4.6,46.4,0
2022-05-12,35,24,2.5,33.3,0
2022-05-13,43,29,1.5,32.1,0
2022-05-14,53,30,1.3,38.0,0
2022-05-15,59,30,2.0,51.4,0
2022-05-16,58,26,2.9,70.0,0
2022-05-17,55,26,2.5,75.5,0
2022-05-18,60,34,1.7,77.0,0
2022-05-19,65,36,1.7,78.0,0
2022-05-20,34,13,1.9,79.4,0
2022-05-21,33,17,1.6,71.7,0
2022-05-22,51,25,2.5,74.2,0
2022-05-23,58,33,2.4,79.2,0
2022-05-24,73,38,2.4,75.0,0
2022-05-25,73,41,2.0,76.1,0
2022-05-26,60,27,2.3,74.0,0
2022-05-27,39,19,2.5,72.4,0
2022-05-28,35,16,1.5,74.4,0
2022-05-29,35,20,2.8,67.5,0
2022-05-30,55,30,2.5,66.3,0
2022-05-31,60,37,2.8,70.6,0
2022-06-01,67,39,2.8,72.1,0
2022-06-02,65,38,2.3,78.2,0
2022-06-03,60,35,2.0,76.0,0
2022-06-04,43,20,1.9,76.4,0
2022-06-05,37,18,2.2,73.2,0
2022-06-06,35,19,2.6,76.7,0
2022-06-07,53,24,2.2,78.0,0
2022-06-08,57,27,2.5,79.0,0
2022-06-09,66,31,2.4,79.0,0
2022-06-10,63,30,2.5,80.9,0
2022-06-11,55,21,2.0,73.0,0
2022-06-12,56,19,1.8,76.3,0
2022-06-13,42,15,2.8,73.3,0
2022-06-14,55,30,2.3,73.3,0
2022-06-15,59,35,2.2,77.4,0
