Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,30,15,1.3,91.0,0
2022-01-02,25,12,4.6,86.5,0
2022-01-03,17,14,5.3,89.5,0
2022-01-04,13,10,2.4,94.0,0
2022-01-05,34,13,3.7,92.9,0
2022-01-06,34,17,1.5,94.0,0
2022-01-07,30,11,4.5,92.0,0
2022-01-08,25,11,2.0,93.0,0
2022-01-09,30,11,4.5,92.9,0
2022-01-10,55,18,0.8,95.0,0
2022-01-11,72,21,0.6,95.0,0
2022-01-12,78,25,1.2,93.7,0
2022-01-13,72,26,0.5,93.0,0
2022-01-14,80,24,2.2,93.0,0
2022-01-15,70,25,0.4,94.0,0
2022-01-16,78,27,2.6,93.8,0
2022-01-17,72,25,2.5,93.0,0
2022-01-18,57,23,1.5,93.0,0
2022-01-19,59,20,1.3,93.3,0
2022-01-20,30,15,0.6,93.0,0
2022-01-21,46,17,1.1,94.0,0
2022-01-22,72,21,1.2,94.0,0
2022-01-23,78,24,1.5,94.0,0
2022-01-24,55,22,1.2,89.1,0
2022-01-25,78,29,1.4,94.0,0
2022-01-26,104,44,3.0,93.4,0
2022-01-27,61,26,4.6,93.0,0
2022-01-28,55,19,2.8,94.0,0
2022-01-29,30,13,5.1,93.2,0
2022-01-30,42,22,2.1,87.0,0
2022-01-31,30,22,6.0,91.5,0
2022-02-01,30,18,5.0,94.0,0
2022-02-02,34,21,2.0,90.5,0
2022-02-03,25,14,3.0,91.8,0
2022-02-04,17,10,5.2,92.0,0
2022-02-05,30,12,5.3,87.4,0
2022-02-06,17,6,8.7,93.0,0
2022-02-07,25,14,3.3,87.3,0
2022-02-08,21,11,4.4,92.6,0
2022-02-09,30,11,3.2,91.5,0
2022-02-10,50,15,2.3,94.0,0
2022-02-11,34,16,3.9,91.7,0
2022-02-12,50,20,2.3,85.9,0
2022-02-13,38,15,1.9,73.0,0
2022-02-14,17,12,5.4,78.5,0
2022-02-15,25,12,6.9,90.0,0
2022-02-16,13,9,8.9,93.0,0
2022-02-17,30,17,8.0,79.8,0
