Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,38,0,1.3,95.3,0
2022-01-02,30,0,1.0,96.5,0
2022-01-03,28,0,2.3,55.0,0
2022-01-04,35,0,1.5,55.0,0
2022-01-05,38,0,1.5,83.3,0
2022-01-06,48,0,1.5,60.8,0
2022-01-07,39,0,2.6,65.0,0
2022-01-08,33,0,2.0,51.0,0
2022-01-09,38,0,3.0,80.0,0
2022-01-10,35,0,3.3,53.0,0
2022-01-11,39,0,3.0,43.4,0
2022-01-12,38,0,2.5,54.0,0
2022-01-13,63,0,1.5,69.4,0
2022-01-14,52,0,3.3,71.0,0
2022-01-15,39,0,2.0,46.2,0
2022-01-16,40,0,1.0,63.0,0
2022-01-17,14,0,3.4,79.0,0
2022-01-18,25,0,3.0,50.0,0
2022-01-19,33,0,3.0,58.0,0
2022-01-20,40,0,1.7,68.8,0
2022-01-21,34,0,2.0,44.0,0
2022-01-22,37,0,1.1,54.7,0
2022-01-23,47,0,2.0,55.1,0
2022-01-24,51,0,2.0,68.5,0
2022-01-25,51,0,1.7,64.0,0
2022-01-26,28,0,2.2,41.2,0
2022-01-27,36,0,2.0,48.6,0
2022-01-28,55,0,0.8,80.0,0
2022-01-29,33,0,4.1,76.2,0
2022-01-30,32,0,3.0,52.0,0
2022-01-31,45,0,1.5,57.7,0
2022-02-01,51,0,2.0,63.0,0
2022-02-02,55,0,1.2,81.4,0
2022-02-03,33,0,1.4,94.0,0
2022-02-04,19,0,2.0,93.0,0
2022-02-05,33,0,3.0,66.0,0
2022-02-06,26,0,1.5,63.0,0
2022-02-07,44,0,1.8,86.7,0
2022-02-08,37,0,3.0,75.0,0
2022-02-09,45,0,2.0,65.0,0
2022-02-10,39,0,3.5,56.0,0
2022-02-11,34,0,3.0,43.0,0
2022-02-12,27,0,3.2,44.0,0
2022-02-13,23,0,2.5,72.2,0
2022-02-14,23,0,4.0,41.5,0
2022-02-15,30,0,2.0,41.0,0
2022-02-16,37,0,2.5,58.3,0
2022-02-17,25,0,3.6,65.6,0
2022-02-18,20,0,4.5,48.2,0
2022-02-19,21,0,3.6,46.0,0
2022-02-20,22,0,3.6,39.0,0
2022-02-21,46,0,2.0,54.5,0
2022-02-22,53,0,2.4,86.0,0
2022-02-23,30,0,3.6,69.0,0
2022-02-24,22,0,3.0,43.0,0
2022-02-25,20,0,3.6,77.6,0
2022-02-26,22,0,3.0,53.0,0
2022-02-27,30,0,3.6,48.7,0
2022-02-28,22,0,2.5,34.4,0
2022-03-01,27,0,2.5,52.0,0
2022-03-02,41,0,2.5,56.0,0
2022-03-03,27,0,4.1,38.0,0
2022-03-04,23,0,2.5,38.0,0
2022-03-05,36,0,1.6,52.0,0
2022-03-06,54,0,2.0,74.0,0
2022-03-07,49,0,3.6,62.0,0
2022-03-08,17,0,5.1,45.0,0
2022-03-09,22,0,2.5,85.3,0
