Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,28,22,3.0,47.2,0.0
2022-01-02,28,18,3.7,61.9,0.0
2022-01-03,22,15,5.1,65.2,0.0
2022-01-04,32,20,4.1,76.0,0.0
2022-01-05,23,10,4.1,72.2,0.0
2022-01-06,21,9,2.0,67.0,99.2
2022-01-07,21,10,2.5,79.0,1.0
2022-01-08,21,7,4.6,90.0,99.2
2022-01-09,26,14,3.0,74.6,99.2
2022-01-10,45,24,2.8,72.3,0.0
2022-01-11,38,16,4.4,70.0,0.0
2022-01-12,24,11,4.1,68.3,0.0
2022-01-13,19,9,2.6,69.0,0.0
2022-01-14,27,17,3.0,74.5,0.2
2022-01-15,23,10,3.6,78.0,99.4
2022-01-16,22,10,2.5,68.1,0.0
2022-01-17,26,19,4.4,69.0,0.0
2022-01-18,25,18,4.1,65.4,0.0
2022-01-19,24,18,4.6,63.9,0.0
2022-01-20,24,20,2.5,59.0,0.0
2022-01-21,29,23,2.7,59.5,0.0
2022-01-22,25,21,3.5,55.9,0.0
2022-01-23,27,19,2.5,63.0,0.0
2022-01-24,31,24,2.5,61.4,0.0
2022-01-25,41,30,2.5,72.7,0.0
2022-01-26,44,28,2.0,69.2,0.0
2022-01-27,31,13,4.6,74.8,1.2
2022-01-28,26,11,3.5,91.9,0.3
2022-01-29,19,8,3.5,96.0,0.5
2022-01-30,23,10,2.1,83.9,0.0
2022-01-31,29,14,2.0,80.6,0.0
2022-02-01,32,20,5.3,75.0,0.0
2022-02-02,21,15,5.8,66.1,99.2
2022-02-03,22,16,5.0,69.1,99.2
2022-02-04,22,16,3.8,70.0,99.2
2022-02-05,20,11,2.8,67.8,0.0
2022-02-06,18,11,2.9,65.0,0.0
2022-02-07,26,17,2.5,62.5,0.0
2022-02-08,22,15,2.0,60.5,0.0
2022-02-09,26,20,3.4,68.0,0.0
2022-02-10,24,15,4.1,72.6,0.0
2022-02-11,28,21,4.6,69.0,0.0
2022-02-12,27,18,2.5,68.7,0.0
2022-02-13,24,22,5.6,62.4,0.0
2022-02-14,36,26,3.6,75.9,0.0
2022-02-15,34,22,2.8,81.7,0.0
2022-02-16,38,28,2.0,81.0,0.0
2022-02-17,29,19,2.7,75.6,99.2
2022-02-18,31,23,4.6,71.1,99.2
2022-02-19,28,20,2.7,67.5,99.2
2022-02-20,31,20,2.5,79.9,0.0
2022-02-21,21,17,3.8,69.6,99.2
2022-02-22,26,23,3.0,73.2,0.0
2022-02-23,37,26,2.5,80.7,0.0
2022-02-24,45,25,3.6,82.0,0.0
2022-02-25,26,17,3.9,77.0,0.0
2022-02-26,21,12,3.6,77.5,0.0
2022-02-27,17,10,1.9,85.5,0.0
2022-02-28,25,16,2.1,83.8,0.0
2022-03-01,33,20,1.4,91.0,0.3
2022-03-02,24,13,1.6,83.0,0.4
2022-03-03,31,23,2.1,74.5,0.0
2022-03-04,28,23,1.7,82.0,0.0
2022-03-05,21,10,3.6,93.0,1.5
2022-03-06,19,9,5.8,88.1,0.5
2022-03-07,26,15,3.6,78.9,0.0
2022-03-08,21,15,5.1,75.4,0.2
2022-03-09,24,20,5.1,69.7,0.0
2022-03-10,20,16,3.2,69.1,0.0
2022-03-11,16,10,2.6,70.6,0.0
2022-03-12,17,15,2.5,73.0,0.0
2022-03-13,22,15,2.1,73.0,0.0
2022-03-14,64,28,2.0,76.1,99.4
2022-03-15,35,18,2.0,80.1,0.2
2022-03-16,28,13,2.5,81.1,0.0
2022-03-17,24,17,2.2,77.0,0.0
2022-03-18,31,20,3.4,80.0,99.2
2022-03-19,24,12,2.5,74.0,0.0
2022-03-20,42,23,2.3,83.8,0.0
2022-03-21,59,30,2.0,84.0,0.0
2022-03-22,43,18,2.1,81.6,99.4
2022-03-23,22,17,2.8,70.7,0.1
2022-03-24,23,20,2.0,67.8,0.0
2022-03-25,14,10,2.2,74.0,0.0
2022-03-26,28,19,1.7,82.7,0.0
2022-03-27,32,16,1.7,57.3,0.0
2022-03-28,42,27,2.0,68.2,0.0
2022-03-29,23,14,2.5,76.1,0.0
2022-03-30,17,13,4.1,68.3,0.0
2022-03-31,24,18,4.1,68.5,0.0
2022-04-01,20,16,4.4,69.0,0.0
2022-04-02,14,11,3.5,77.8,99.4
2022-04-03,15,7,2.0,86.0,0.1
2022-04-04,16,13,1.5,81.9,0.1
2022-04-05,18,10,1.9,82.0,0.0
2022-04-06,23,14,1.6,81.1,0.0
2022-04-07,24,14,3.0,79.4,0.0
2022-04-08,27,20,0.9,77.0,0.0
2022-04-09,19,11,2.0,77.1,0.0
2022-04-10,20,10,3.6,72.0,0.0
2022-04-11,24,17,2.7,72.5,0.1
2022-04-12,17,11,2.2,65.3,0.0
2022-04-13,19,13,2.3,77.6,0.0
2022-04-14,30,20,1.8,71.7,0.0
2022-04-15,39,23,2.0,69.3,0.0
2022-04-16,39,22,1.6,60.0,0.0
2022-04-17,35,23,3.3,56.7,0.0
2022-04-18,23,8,1.0,92.2,0.9
2022-04-19,21,9,2.0,93.5,0.4
2022-04-20,20,12,1.8,81.2,0.9
2022-04-21,21,15,2.0,76.5,99.2
2022-04-22,24,17,2.4,66.6,0.0
2022-04-23,35,18,1.1,80.4,0.0
2022-04-24,51,17,1.5,85.0,0.0
2022-04-25,55,21,1.1,83.1,0.0
2022-04-26,48,20,1.0,78.7,0.0
2022-04-27,34,17,1.1,78.1,0.0
2022-04-28,16,9,2.7,80.6,0.0
2022-04-29,14,9,3.6,81.2,0.0
2022-04-30,20,11,2.8,71.7,0.8
2022-05-01,21,12,3.6,71.6,0.0
2022-05-02,17,11,2.8,72.3,0.0
2022-05-03,22,14,3.4,71.8,0.0
2022-05-04,22,13,1.5,74.3,0.0
2022-05-05,21,13,1.8,78.8,0.0
2022-05-06,21,12,3.7,77.1,0.0
