Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,23,15,3.3,81.2,0
2022-01-02,25,14,3.8,83.0,0
2022-01-03,26,15,2.0,79.4,0
2022-01-04,19,12,2.0,73.0,0
2022-01-05,22,11,1.5,85.6,0
2022-01-06,28,12,1.5,78.0,0
2022-01-07,35,14,2.0,84.6,0
2022-01-08,28,19,5.0,80.0,0
2022-01-09,31,19,3.1,83.0,0
2022-01-10,20,12,1.5,87.4,0
2022-01-11,26,14,3.4,89.2,0
2022-01-12,25,17,3.9,72.2,0
2022-01-13,20,12,2.5,77.0,0
2022-01-14,30,16,2.5,72.0,0
2022-01-15,38,18,2.2,71.0,0
2022-01-16,30,17,4.0,83.7,0
2022-01-17,28,16,2.5,72.7,0
2022-01-18,23,11,2.0,74.2,0
2022-01-19,22,11,1.7,76.0,0
2022-01-20,26,13,2.0,88.0,0
2022-01-21,18,10,0.9,93.0,0
2022-01-22,33,15,2.5,91.7,0
2022-01-23,30,11,3.6,87.7,0
2022-01-24,30,11,2.6,75.7,0
2022-01-25,43,16,2.2,73.0,0
2022-01-26,28,12,2.5,87.0,0
2022-01-27,24,10,1.9,90.0,0
2022-01-28,23,10,3.0,84.4,0
2022-01-29,27,21,6.1,50.6,0
2022-01-30,25,12,3.0,49.0,0
2022-01-31,22,12,2.5,59.0,0
2022-02-01,17,10,3.6,60.0,0
2022-02-02,20,13,4.1,68.5,0
2022-02-03,23,15,5.0,77.0,0
2022-02-04,26,16,3.7,80.0,0
2022-02-05,27,14,2.0,85.4,0
2022-02-06,20,10,1.5,86.5,0
2022-02-07,23,11,1.4,86.9,0
2022-02-08,32,15,2.2,83.7,0
2022-02-09,22,9,2.2,90.0,0
2022-02-10,28,13,3.0,75.7,0
2022-02-11,25,12,2.0,79.9,0
2022-02-12,22,10,1.9,83.0,0
2022-02-13,24,10,2.5,86.4,0
2022-02-14,44,18,4.1,72.4,0
2022-02-15,27,18,5.1,66.7,0
2022-02-16,33,21,5.2,74.2,0
2022-02-17,37,21,5.0,85.2,0
2022-02-18,46,25,2.7,87.0,0
2022-02-19,46,23,2.0,87.2,0
2022-02-20,31,22,3.7,73.0,0
2022-02-21,36,23,2.2,77.0,0
2022-02-22,38,21,3.5,79.7,0
2022-02-23,29,15,3.4,78.0,0
2022-02-24,23,12,3.8,78.0,0
2022-02-25,22,12,2.7,73.0,0
2022-02-26,22,12,2.3,73.2,0
2022-02-27,20,10,3.2,83.0,0
2022-02-28,28,12,2.0,78.0,0
2022-03-01,43,20,2.8,82.7,0
2022-03-02,30,17,2.0,81.1,0
2022-03-03,21,11,2.5,69.5,0
2022-03-04,17,11,4.5,67.3,0
2022-03-05,27,17,6.1,70.5,0
2022-03-06,38,23,5.9,71.4,0
2022-03-07,47,26,4.6,80.9,0
2022-03-08,38,21,4.2,83.0,0
2022-03-09,33,19,4.7,82.1,0
2022-03-10,37,18,4.0,85.5,0
2022-03-11,36,18,4.0,83.0,0
2022-03-12,32,18,5.1,70.9,0
2022-03-13,25,16,4.6,65.5,0
2022-03-14,30,20,4.6,75.0,0
2022-03-15,23,11,4.0,89.0,0
2022-03-16,30,15,3.5,88.0,0
2022-03-17,33,18,1.9,87.1,0
2022-03-18,30,15,4.0,83.2,0
2022-03-19,33,17,3.9,84.1,0
2022-03-20,33,15,3.6,81.8,0
2022-03-21,26,17,5.0,66.6,0
2022-03-22,33,20,4.9,70.0,0
2022-03-23,33,19,4.7,79.0,0
2022-03-24,36,21,4.6,78.5,0
2022-03-25,30,17,3.6,67.5,0
2022-03-26,29,18,3.0,64.0,0
2022-03-27,29,17,3.6,56.3,0
2022-03-28,43,21,2.2,62.2,0
2022-03-29,35,18,2.4,70.5,0
2022-03-30,46,22,6.6,69.0,0
2022-03-31,50,27,6.1,75.7,0
2022-04-01,47,26,3.6,83.0,0
2022-04-02,36,19,3.6,86.5,0
2022-04-03,26,12,2.2,83.0,0
2022-04-04,27,12,2.9,85.0,0
2022-04-05,28,15,4.2,82.2,0
2022-04-06,42,18,4.1,83.0,0
2022-04-07,38,17,3.8,78.5,0
2022-04-08,35,26,3.2,59.1,0
2022-04-09,33,25,4.1,52.0,0
2022-04-10,25,20,3.5,59.5,0
2022-04-11,21,13,3.6,64.5,0
2022-04-12,25,16,4.3,64.0,0
2022-04-13,33,19,5.0,69.0,0
2022-04-14,42,22,4.2,79.2,0
2022-04-15,27,14,3.3,84.0,0
2022-04-16,26,15,4.0,78.0,0
2022-04-17,21,12,3.5,78.0,0
2022-04-18,18,10,2.0,79.2,0
2022-04-19,33,19,3.7,78.0,0
2022-04-20,31,20,5.5,67.2,0
2022-04-21,38,24,6.1,68.0,0
2022-04-22,39,24,6.7,71.8,0
2022-04-23,33,19,5.0,70.2,0
2022-04-24,27,16,4.1,69.5,0
2022-04-25,30,17,3.9,73.0,0
2022-04-26,30,17,3.0,69.0,0
2022-04-27,35,18,2.5,71.7,0
2022-04-28,38,18,2.2,81.8,0
2022-04-29,30,14,2.2,86.5,0
2022-04-30,24,12,2.3,82.2,0
2022-05-01,28,14,2.5,75.0,0
2022-05-02,31,17,3.6,74.3,0
2022-05-03,35,20,3.0,79.9,0
2022-05-04,28,14,1.5,83.0,0
2022-05-05,36,15,2.0,77.0,0
2022-05-06,40,19,3.1,75.2,0
2022-05-07,41,21,3.9,77.0,0
2022-05-08,30,15,2.7,81.7,0
2022-05-09,30,16,5.1,73.0,0
2022-05-10,26,17,4.0,64.0,0
2022-05-11,28,17,3.2,73.0,0
2022-05-12,18,11,2.5,77.3,0
2022-05-13,19,10,2.5,78.7,0
2022-05-14,24,12,2.0,81.0,0
2022-05-15,23,11,2.0,82.7,0
2022-05-16,25,11,1.5,83.0,0
2022-05-17,25,11,2.0,80.0,0
2022-05-18,25,11,2.5,78.0,0
2022-05-19,18,9,2.7,78.0,0
2022-05-20,29,15,3.0,88.7,0
2022-05-21,76,55,4.4,83.7,0
2022-05-22,58,41,4.2,78.0,0
2022-05-23,29,15,3.7,77.5,0
2022-05-24,28,16,4.1,72.2,0
2022-05-25,36,19,4.5,74.0,0
2022-05-26,33,16,3.6,72.4,0
2022-05-27,29,15,4.0,74.0,0
2022-05-28,30,15,2.0,80.0,0
2022-05-29,27,12,2.4,88.0,0
2022-05-30,21,11,1.7,82.7,0
2022-05-31,18,9,2.5,79.0,0
2022-06-01,18,10,1.8,84.7,0
2022-06-02,19,10,2.2,85.5,0
2022-06-03,23,11,2.5,92.0,0
2022-06-04,15,7,3.3,93.3,0
2022-06-05,22,12,2.0,80.0,0
2022-06-06,23,11,2.7,82.5,0
2022-06-07,19,9,2.0,88.8,0
2022-06-08,25,15,3.4,88.2,0
2022-06-09,28,15,1.8,90.0,0
2022-06-10,28,15,2.5,84.5,0
2022-06-11,28,14,2.4,86.0,0
2022-06-12,43,24,3.0,78.0,0
2022-06-13,49,29,2.2,82.9,0
2022-06-14,73,65,3.0,79.0,0
2022-06-15,83,66,2.3,78.0,0
2022-06-16,35,19,2.5,77.5,0
2022-06-17,34,20,2.7,75.6,0
2022-06-18,27,16,1.6,74.9,0
2022-06-19,24,13,1.5,81.6,0
2022-06-20,26,14,1.0,83.5,0
2022-06-21,26,15,4.0,76.5,0
2022-06-22,21,12,3.0,70.4,0
2022-06-23,22,12,2.3,69.0,0
2022-06-24,26,14,2.5,76.0,0
2022-06-25,34,14,1.5,87.5,0
2022-06-26,29,13,2.0,78.0,0
2022-06-27,26,14,2.5,76.7,0
2022-06-28,17,10,2.7,76.5,0
2022-06-29,19,11,2.3,78.0,0
2022-06-30,28,16,3.0,83.0,0
2022-07-01,26,14,4.0,75.0,0
2022-07-02,26,14,3.5,75.0,0
2022-07-03,25,12,3.4,74.0,0
2022-07-04,34,21,3.0,76.7,0
2022-07-05,25,13,3.0,79.1,0
2022-07-06,39,20,3.2,79.0,0
2022-07-07,28,16,3.5,75.0,0
2022-07-08,25,13,3.1,78.0,0
2022-07-09,29,16,3.7,77.0,0
2022-07-10,27,14,3.0,76.0,0
2022-07-11,27,14,2.8,76.0,0
2022-07-12,30,17,3.2,76.2,0
2022-07-13,28,13,2.0,79.0,0
2022-07-14,44,32,3.0,71.7,0
2022-07-15,24,15,2.8,77.0,0
2022-07-16,23,13,3.0,78.2,0
2022-07-17,31,17,3.0,84.2,0
2022-07-18,58,43,3.4,79.5,0
2022-07-19,57,46,3.0,76.9,0
2022-07-20,23,14,3.2,74.1,0
