Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,27,12,4.0,80.5,0
2022-01-02,18,11,2.1,72.0,0
2022-01-03,50,23,3.1,66.0,0
2022-01-04,52,21,4.0,73.0,0
2022-01-05,41,27,6.1,76.8,0
2022-01-06,20,16,4.2,77.0,0
2022-01-07,44,51,2.4,70.5,0
2022-01-08,42,18,5.1,69.7,0
2022-01-09,41,26,5.2,60.5,0
2022-01-10,37,22,3.2,52.9,0
2022-01-11,41,20,4.1,59.1,0
2022-01-12,40,17,2.2,77.0,0
2022-01-13,61,24,1.7,81.6,0
2022-01-14,20,10,3.3,77.6,0
2022-01-15,20,9,2.2,75.8,0
2022-01-16,61,23,2.4,75.2,0
2022-01-17,51,23,3.4,73.0,0
2022-01-18,46,15,5.1,75.2,0
2022-01-19,29,18,6.6,62.0,0
2022-01-20,22,15,3.0,61.4,0
2022-01-21,35,16,3.1,62.0,0
2022-01-22,44,19,6.0,66.5,0
2022-01-23,22,12,2.8,68.8,0
2022-01-24,31,13,3.0,72.5,0
2022-01-25,33,28,4.1,62.1,0
2022-01-26,38,30,4.0,58.5,0
2022-01-27,30,27,4.4,63.6,0
2022-01-28,33,37,3.0,60.5,0
2022-01-29,39,28,2.7,65.5,0
2022-01-30,60,32,2.0,69.5,0
2022-01-31,83,38,6.0,72.8,0
2022-02-01,70,33,5.5,65.7,0
2022-02-02,37,29,4.0,60.0,0
2022-02-03,26,22,3.9,66.0,0
2022-02-04,31,20,2.7,75.0,0
2022-02-05,48,20,4.1,66.0,0
2022-02-06,56,27,4.0,69.5,0
2022-02-07,54,51,3.4,69.0,0
2022-02-08,66,35,3.1,69.2,0
2022-02-09,30,16,4.3,75.1,0
2022-02-10,26,14,5.2,69.7,0
2022-02-11,25,12,5.4,79.7,0
2022-02-12,22,27,3.8,57.5,0
2022-02-13,30,27,2.7,60.6,0
2022-02-14,45,35,2.0,64.3,0
2022-02-15,71,35,6.4,72.8,0
2022-02-16,55,21,5.7,69.1,0
2022-02-17,38,30,4.5,64.8,0
2022-02-18,26,24,6.1,60.6,0
2022-02-19,25,30,6.3,57.8,0
2022-02-20,30,21,7.2,60.6,0
2022-02-21,32,15,6.5,82.6,0
2022-02-22,30,11,5.0,87.0,0
2022-02-23,22,12,3.5,68.7,0
2022-02-24,21,8,4.4,74.6,0
2022-02-25,24,10,2.5,77.5,0
2022-02-26,49,22,4.7,68.0,0
2022-02-27,47,24,4.1,63.0,0
2022-02-28,54,22,3.0,72.0,0
2022-03-01,51,19,2.3,74.5,0
2022-03-02,61,22,3.2,74.2,0
2022-03-03,19,10,2.4,56.2,0
2022-03-04,28,13,2.8,63.0,0
2022-03-05,46,22,4.6,72.2,0
2022-03-06,32,11,5.8,75.0,0
2022-03-07,26,12,3.2,75.2,0
2022-03-08,32,12,3.9,63.2,0
2022-03-09,37,15,4.5,63.0,0
