Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,122,50,1.0,100.0,99.0
2022-01-02,124,44,1.0,100.0,99.1
2022-01-03,55,16,2.0,59.2,0.0
2022-01-04,61,16,3.0,90.8,0.0
2022-01-05,46,13,3.0,76.1,0.4
2022-01-06,34,10,3.0,54.1,0.0
2022-01-07,78,32,1.0,74.2,0.0
2022-01-08,132,51,1.0,79.0,0.0
2022-01-09,157,60,1.0,92.0,0.0
2022-01-10,153,55,2.0,74.8,0.0
2022-01-11,53,17,12.0,63.0,0.0
2022-01-12,95,37,2.0,65.3,0.0
2022-01-13,156,61,1.0,82.1,0.0
2022-01-14,158,62,1.0,96.3,99.0
2022-01-15,129,50,1.0,94.8,99.0
2022-01-16,112,38,1.0,94.1,99.0
2022-01-17,85,25,6.0,79.0,99.0
2022-01-18,82,32,5.0,52.9,99.0
2022-01-19,132,47,2.0,86.0,0.0
2022-01-20,102,35,4.0,82.1,99.0
2022-01-21,34,10,3.0,53.0,0.0
2022-01-22,53,20,2.0,62.0,0.0
2022-01-23,70,25,2.0,60.5,0.0
2022-01-24,74,31,1.0,59.1,0.0
2022-01-25,154,59,1.0,76.2,0.0
2022-01-26,162,67,1.0,79.9,0.0
2022-01-27,155,60,1.0,88.9,99.0
2022-01-28,53,16,3.0,63.1,99.1
2022-01-29,42,13,2.0,67.2,99.1
2022-01-30,25,7,7.0,51.9,99.2
2022-01-31,46,17,2.0,54.2,0.0
2022-02-01,93,42,2.0,76.8,99.0
2022-02-02,55,14,4.0,80.2,99.4
2022-02-03,65,23,1.0,68.8,99.2
2022-02-04,93,37,2.0,71.8,99.0
2022-02-05,87,34,3.0,49.9,99.0
2022-02-06,42,12,2.0,52.2,0.0
2022-02-07,38,10,3.0,62.9,99.6
2022-02-08,38,11,3.0,59.0,0.0
2022-02-09,74,25,1.0,77.1,99.0
2022-02-10,95,36,1.0,95.0,0.0
2022-02-11,87,30,1.0,97.1,0.0
2022-02-12,57,19,2.0,61.2,0.0
2022-02-13,114,39,1.0,75.0,0.0
2022-02-14,134,49,1.0,71.1,0.0
2022-02-15,97,35,1.0,95.2,0.1
2022-02-16,109,40,2.0,85.1,99.0
2022-02-17,53,11,3.0,86.2,99.1
2022-02-18,21,9,3.0,55.3,99.1
2022-02-19,42,13,3.0,32.2,0.0
2022-02-20,57,17,2.0,56.2,99.5
2022-02-21,63,20,4.0,67.2,99.1
2022-02-22,59,19,2.0,56.3,0.0
2022-02-23,59,22,1.0,60.3,99.0
2022-02-24,80,29,1.0,58.2,0.0
2022-02-25,78,30,1.0,64.3,0.0
2022-02-26,72,25,4.0,49.0,0.0
2022-02-27,50,16,4.0,50.2,0.0
2022-02-28,46,15,3.0,61.2,99.0
2022-03-01,46,16,4.0,46.9,0.0
2022-03-02,68,24,3.0,51.0,0.0
2022-03-03,87,35,3.0,47.8,0.0
2022-03-04,97,39,3.0,54.6,0.0
2022-03-05,65,21,3.0,56.9,0.0
2022-03-06,59,17,2.0,58.9,0.0
2022-03-07,80,33,2.0,55.9,99.0
2022-03-08,74,28,1.0,59.9,99.0
2022-03-09,78,30,1.0,65.0,0.0
2022-03-10,53,15,4.0,48.2,99.2
2022-03-11,53,15,3.0,37.2,0.0
2022-03-12,61,21,1.0,45.9,0.0
2022-03-13,119,40,1.0,36.1,0.0
2022-03-14,137,50,1.0,40.2,99.1
2022-03-15,134,48,2.0,38.0,0.0
2022-03-16,97,34,2.0,88.2,0.7
2022-03-17,127,48,1.0,72.2,0.0
2022-03-18,85,36,1.0,54.0,0.0
2022-03-19,97,38,3.7,34.2,0.0
2022-03-20,95,37,1.0,45.1,0.0
2022-03-21,102,38,1.0,43.2,0.0
2022-03-22,109,46,2.0,31.0,0.0
2022-03-23,107,44,1.0,33.2,0.0
2022-03-24,99,47,3.0,29.1,0.0
2022-03-25,72,29,2.0,47.0,0.0
2022-03-26,76,31,3.0,39.0,0.0
2022-03-27,55,17,3.0,30.1,99.4
2022-03-28,74,28,2.0,37.1,0.0
2022-03-29,74,36,2.0,49.2,0.0
2022-03-30,82,37,3.0,64.0,0.1
2022-03-31,68,26,2.0,92.2,2.7
2022-04-01,34,10,1.0,97.3,0.8
2022-04-02,46,10,2.0,78.9,99.5
2022-04-03,53,14,3.0,55.3,99.5
2022-04-04,57,17,2.0,58.0,99.1
2022-04-05,50,12,5.0,62.2,99.0
2022-04-06,50,16,2.0,61.0,0.0
2022-04-07,72,23,2.0,69.8,0.0
2022-04-08,30,10,3.0,37.0,99.1
2022-04-09,30,7,3.0,79.0,0.2
2022-04-10,38,10,3.0,70.0,99.8
2022-04-11,34,10,1.0,65.1,99.1
2022-04-12,57,18,2.0,47.1,0.0
2022-04-13,63,23,1.0,48.1,0.0
2022-04-14,70,23,1.0,39.2,0.0
2022-04-15,65,23,1.0,66.1,99.0
2022-04-16,30,8,8.0,64.1,0.3
2022-04-17,21,7,5.0,45.0,0.0
2022-04-18,34,9,2.0,51.9,99.1
2022-04-19,46,12,1.0,79.8,0.1
2022-04-20,63,19,1.0,59.9,0.0
2022-04-21,68,20,1.0,46.0,99.5
2022-04-22,76,30,1.0,59.2,99.5
2022-04-23,55,16,2.0,83.9,99.4
2022-04-24,68,20,2.0,92.2,99.5
2022-04-25,53,17,1.0,81.1,99.2
2022-04-26,38,14,2.0,68.0,99.2
2022-04-27,55,17,2.0,83.8,0.1
2022-04-28,46,14,5.0,58.1,0.8
2022-04-29,46,19,2.8,52.0,0.0
2022-04-30,68,24,1.0,53.1,0.0
2022-05-01,59,20,1.0,52.0,0.0
2022-05-02,55,21,1.0,52.0,0.0
2022-05-03,50,19,1.0,67.1,0.1
2022-05-04,55,19,1.0,70.9,99.0
2022-05-05,57,20,1.0,87.1,99.1
2022-05-06,55,22,2.0,77.1,99.3
2022-05-07,59,20,1.0,68.2,99.2
2022-05-08,55,19,2.0,79.1,0.4
2022-05-09,46,17,1.0,61.0,99.1
2022-05-10,42,17,2.0,49.1,0.0
2022-05-11,46,20,1.0,49.0,0.0
2022-05-12,50,23,1.1,61.1,99.7
2022-05-13,53,17,2.0,71.9,0.2
2022-05-14,50,17,3.0,56.0,0.0
2022-05-15,42,16,1.0,54.1,0.0
2022-05-16,38,18,1.0,45.0,0.0
2022-05-17,46,19,2.0,74.8,0.1
2022-05-18,17,12,3.0,40.2,99.3
2022-05-19,25,12,1.0,41.1,0.0
2022-05-20,42,19,1.0,52.0,0.0
2022-05-21,34,15,5.0,51.2,99.4
2022-05-22,25,8,3.0,44.0,0.0
2022-05-27,0,0,7.0,62.6,0.0
2022-05-28,0,0,3.0,46.6,0.0
2022-05-29,0,0,1.0,60.9,99.9
2022-05-30,0,0,2.0,54.0,99.7
2022-05-31,0,0,2.0,55.5,0.0
2022-06-01,25,11,1.0,76.1,0.5
2022-06-02,30,11,1.0,54.1,99.0
2022-06-03,38,14,1.0,51.9,99.4
2022-06-04,46,14,2.0,92.8,0.7
2022-06-05,50,16,1.0,73.9,0.3
2022-06-06,42,12,1.0,56.1,0.0
2022-06-07,34,13,1.0,57.1,0.0
2022-06-08,46,16,2.0,70.1,99.2
2022-06-09,50,18,2.0,81.9,1.9
2022-06-10,46,17,3.0,59.9,0.0
2022-06-11,42,13,4.0,61.9,0.1
2022-06-12,25,10,2.0,49.0,0.0
2022-06-13,30,11,2.0,46.1,0.0
2022-06-14,25,11,2.0,48.9,99.0
2022-06-15,25,11,2.0,52.9,0.0
2022-06-16,30,14,2.0,48.2,0.0
2022-06-17,34,13,2.0,55.0,99.5
2022-06-18,30,10,1.0,48.9,0.0
2022-06-19,30,11,2.0,49.0,0.0
2022-06-20,34,16,2.0,38.9,0.0
2022-06-21,17,12,4.0,32.1,0.0
2022-06-22,17,10,1.0,41.9,0.0
2022-06-23,25,13,2.0,39.1,0.0
2022-06-24,30,14,2.0,46.0,0.0
2022-06-25,30,15,2.0,50.0,99.0
2022-06-26,34,14,1.0,50.9,0.0
2022-06-27,34,15,2.0,53.9,99.4
2022-06-28,38,18,2.0,47.1,0.3
2022-06-29,50,20,1.0,48.9,0.0
2022-06-30,46,21,2.0,42.9,0.0
2022-07-01,53,25,3.0,42.0,0.0
2022-07-02,46,18,2.0,64.2,99.5
2022-07-03,34,12,3.0,51.2,0.0
2022-07-04,34,14,2.0,44.0,0.0
2022-07-05,42,20,2.0,53.8,0.6
2022-07-06,25,10,2.0,73.2,0.4
2022-07-07,38,13,1.0,51.4,99.4
2022-07-08,30,13,2.0,55.0,99.2
2022-07-09,25,10,2.0,46.1,0.1
2022-07-10,21,7,2.0,62.2,0.1
2022-07-11,17,8,2.0,74.9,99.1
2022-07-12,25,7,1.0,50.0,0.2
2022-07-13,0,0,3.0,37.0,0.0
2022-07-14,21,12,2.0,38.9,0.0
2022-07-15,30,13,2.0,54.1,99.4
2022-07-16,21,10,4.0,39.0,0.0
2022-07-17,21,8,2.0,38.2,0.0
2022-07-18,17,11,1.0,40.2,0.0
2022-07-19,21,14,2.0,38.0,0.0
2022-07-20,30,20,1.0,37.0,0.0
2022-07-21,34,20,1.0,38.1,0.0
2022-07-22,38,20,1.0,38.0,99.6
2022-07-23,50,20,2.0,42.0,0.0
2022-07-24,55,18,1.0,59.0,0.2
2022-07-25,38,17,1.0,38.9,0.0
2022-07-26,53,20,2.0,65.0,99.3
2022-07-27,34,13,2.0,43.0,0.0
2022-07-28,34,14,1.0,45.9,0.0
2022-07-29,42,17,1.0,49.1,99.1
2022-07-30,34,10,2.0,67.8,99.5
2022-07-31,21,9,2.0,86.0,0.7
2022-08-01,21,10,1.0,71.2,0.1
2022-08-02,38,14,1.0,62.8,0.0
2022-08-03,50,17,1.0,55.1,0.0
2022-08-04,42,16,1.0,43.9,0.0
2022-08-05,42,17,1.0,44.0,0.0
2022-08-06,55,23,3.0,50.2,0.0
2022-08-07,25,9,3.0,47.9,0.3
2022-08-08,34,14,2.0,46.0,0.0
2022-08-09,38,16,3.0,48.9,99.0
2022-08-10,30,13,3.0,43.2,0.0
2022-08-11,25,12,4.0,56.2,99.3
2022-08-12,30,11,5.0,60.2,0.0
2022-08-13,38,11,2.0,65.9,0.0
2022-08-14,38,13,2.0,57.9,0.0
2022-08-15,50,17,2.0,60.1,99.6
2022-08-16,34,14,1.0,72.2,99.0
2022-08-17,42,18,1.0,57.8,99.2
2022-08-18,57,22,1.5,58.0,0.0
2022-08-19,50,20,2.0,58.9,0.0
2022-08-20,50,20,1.0,54.2,99.1
2022-08-21,38,13,1.0,69.9,99.1
2022-08-22,42,15,2.0,93.8,2.0
2022-08-23,38,12,2.0,80.0,99.4
2022-08-24,50,18,1.0,84.0,2.3
2022-08-25,59,24,1.0,66.2,0.0
2022-08-26,59,35,1.0,54.0,0.0
2022-08-27,42,22,1.0,54.2,0.0
2022-08-28,42,17,2.0,58.0,99.0
2022-08-29,46,17,2.0,74.2,99.2
2022-08-30,30,14,2.0,55.9,0.0
2022-08-31,25,10,7.0,50.3,0.0
2022-09-01,17,10,3.0,49.0,0.0
2022-09-02,30,11,3.0,55.1,99.9
2022-09-03,30,11,2.0,62.9,99.1
2022-09-04,30,10,1.0,66.9,0.0
2022-09-05,34,12,1.0,64.8,0.0
2022-09-06,42,13,2.0,83.3,99.3
2022-09-07,50,17,2.0,73.2,0.4
2022-09-08,59,23,2.0,85.8,0.0
2022-09-09,42,13,2.0,86.0,0.6
2022-09-10,34,10,2.2,85.0,3.9
2022-09-11,21,9,2.0,82.3,1.0
2022-09-12,25,10,2.0,65.9,99.7
2022-09-13,25,10,1.0,66.3,0.0
2022-09-14,50,17,1.0,85.3,0.4
2022-09-15,34,13,2.0,72.0,99.6
2022-09-16,21,8,2.0,57.2,0.0
2022-09-17,30,10,2.0,70.2,0.4
2022-09-18,13,4,3.0,59.2,1.6
