Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,21,7,1.0,73.3,0.0
2022-01-02,21,7,1.0,78.1,99.0
2022-01-03,42,10,1.0,72.3,0.0
2022-01-04,53,14,1.0,76.0,0.0
2022-01-05,53,17,1.5,71.9,99.0
2022-01-06,25,8,3.6,79.0,1.0
2022-01-07,25,7,1.5,70.0,0.0
2022-01-08,30,8,1.0,74.0,0.0
2022-01-09,50,12,1.0,79.2,99.0
2022-01-10,80,26,1.0,81.9,0.0
2022-01-11,38,10,5.1,80.2,0.8
2022-01-12,25,8,3.0,57.1,99.0
2022-01-13,38,10,4.1,59.2,99.0
2022-01-14,25,7,2.5,57.1,0.0
2022-01-15,34,8,1.5,71.3,99.0
2022-01-16,42,11,2.0,85.0,99.0
2022-01-17,34,10,3.0,60.1,99.0
2022-01-18,34,10,3.0,55.9,99.0
2022-01-19,21,6,1.5,63.2,0.0
2022-01-20,30,8,2.5,59.1,0.3
2022-01-21,17,5,1.0,53.9,99.0
2022-01-22,38,10,1.5,65.3,99.0
2022-01-23,25,8,3.0,100.0,1.9
2022-01-24,21,7,2.5,68.9,0.4
2022-01-25,30,8,2.0,67.1,99.0
2022-01-26,57,18,1.5,66.9,99.0
2022-01-27,78,25,1.0,68.1,0.0
2022-01-28,76,26,1.5,59.1,0.0
2022-01-29,25,9,2.0,60.1,0.0
2022-01-30,25,8,1.5,56.1,0.0
2022-01-31,25,8,2.0,63.0,0.0
2022-02-01,50,17,2.5,65.3,99.0
2022-02-02,80,26,2.3,65.0,0.0
2022-02-03,30,10,2.5,58.1,99.0
2022-02-04,34,10,3.0,54.2,99.0
2022-02-05,34,10,4.6,56.2,99.0
2022-02-06,25,8,3.6,54.0,99.0
2022-02-07,34,10,1.0,61.2,99.0
2022-02-08,30,9,1.5,69.3,99.0
2022-02-09,38,10,1.5,65.1,0.0
2022-02-10,30,9,2.0,68.3,99.0
2022-02-11,42,11,2.0,63.2,99.0
2022-02-12,46,12,2.0,64.0,99.0
2022-02-13,38,10,3.0,85.1,0.5
2022-02-14,30,10,1.5,60.9,99.0
2022-02-15,42,12,5.6,66.1,99.0
2022-02-16,38,10,4.6,62.2,99.0
2022-02-17,34,10,3.6,53.2,99.0
2022-02-18,34,10,2.0,52.1,0.0
2022-02-19,21,7,2.0,93.0,0.7
2022-02-20,34,10,4.1,57.1,99.0
2022-02-21,25,9,2.5,51.2,0.0
2022-02-22,42,11,3.0,47.0,99.0
2022-02-23,38,10,1.5,57.1,99.0
2022-02-24,30,9,1.5,64.0,0.0
2022-02-25,50,13,1.5,68.0,0.0
2022-02-26,55,16,3.0,68.9,99.0
2022-02-27,55,16,3.0,52.2,99.0
2022-02-28,38,11,1.2,53.2,0.0
2022-03-01,50,16,2.5,81.9,99.5
2022-03-02,38,12,4.6,61.1,0.0
2022-03-03,50,15,2.5,63.1,0.0
2022-03-04,78,29,1.0,72.5,99.0
2022-03-05,50,18,4.1,56.1,0.0
2022-03-06,17,8,3.0,47.0,0.0
2022-03-07,53,17,2.0,42.1,0.0
2022-03-08,53,16,2.0,62.0,0.0
2022-03-09,70,24,2.0,61.0,0.0
2022-03-10,72,24,1.5,62.3,0.0
2022-03-11,61,20,1.5,69.1,0.0
2022-03-12,55,18,2.5,68.0,0.0
2022-03-13,46,15,4.6,77.0,99.0
2022-03-14,34,14,2.5,93.3,99.0
2022-03-15,38,14,2.5,79.0,99.5
2022-03-16,38,12,1.5,74.2,0.0
