Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,53,20,0.0,91.0,0
2022-01-02,29,11,0.2,90.3,0
2022-01-03,40,19,0.3,89.4,0
2022-01-04,21,8,0.4,84.4,0
2022-01-05,24,10,0.2,86.2,0
2022-01-06,21,10,0.8,92.4,0
2022-01-07,21,10,1.4,86.2,0
2022-01-08,29,11,1.5,91.7,0
2022-01-09,25,11,0.1,83.0,0
2022-01-10,36,11,0.2,96.0,0
2022-01-11,26,9,0.2,95.8,0
2022-01-12,34,12,0.0,99.0,0
2022-01-13,57,19,0.1,99.0,0
2022-01-14,57,18,0.5,93.8,0
2022-01-15,72,22,0.1,90.1,0
2022-01-16,43,18,0.5,88.0,0
2022-01-17,38,15,0.5,90.0,0
2022-01-18,57,18,0.1,95.5,0
2022-01-19,34,14,0.8,89.3,0
2022-01-20,30,13,0.8,84.0,0
2022-01-21,42,16,0.2,92.0,0
2022-01-22,48,14,0.0,90.8,0
2022-01-23,56,16,0.2,87.0,0
2022-01-24,75,27,0.1,80.0,0
2022-01-25,76,27,0.2,81.1,0
2022-01-26,75,27,1.0,76.2,0
2022-01-27,17,12,1.4,80.1,0
2022-01-28,28,8,1.2,91.0,0
2022-01-29,13,6,3.2,91.1,0
2022-01-30,27,10,1.8,85.5,0
2022-01-31,21,11,4.4,61.3,0
2022-02-01,11,5,2.1,79.0,0
2022-02-02,17,9,1.2,79.3,0
2022-02-03,13,6,1.3,80.8,0
2022-02-04,17,8,2.4,73.2,0
2022-02-05,25,11,4.8,80.0,0
2022-02-06,17,7,4.8,71.2,0
2022-02-07,28,12,2.3,82.0,0
2022-02-08,19,9,2.4,73.5,0
2022-02-09,13,6,1.6,77.0,0
2022-02-10,21,10,2.0,77.2,0
2022-02-11,28,11,0.7,76.8,0
2022-02-12,24,10,1.7,75.5,0
2022-02-13,15,6,2.3,86.5,0
2022-02-14,9,5,1.8,74.0,0
2022-02-15,22,9,1.6,84.5,0
2022-02-16,16,5,6.1,86.6,0
2022-02-17,34,17,3.2,70.1,0
2022-02-18,24,10,4.6,75.5,0
2022-02-19,25,12,2.7,83.1,0
2022-02-20,34,13,6.1,83.0,0
2022-02-21,38,15,6.3,71.6,0
2022-02-22,35,13,3.5,78.8,0
2022-02-23,17,9,3.0,72.0,0
2022-02-24,16,6,2.5,65.2,0
2022-02-25,30,13,1.8,69.8,0
2022-02-26,34,14,4.0,71.4,0
2022-02-27,38,14,1.6,75.3,0
2022-02-28,21,8,1.1,87.0,0
2022-03-01,30,10,1.8,81.7,0
2022-03-02,58,17,0.8,86.0,0
2022-03-03,76,27,2.2,87.8,0
2022-03-04,13,5,1.2,71.7,0
2022-03-05,13,5,3.1,56.4,0
2022-03-06,20,8,2.1,66.1,0
2022-03-07,19,8,1.5,61.0,0
2022-03-08,71,28,1.5,67.5,0
2022-03-09,30,14,4.7,74.8,0
2022-03-10,17,8,2.8,73.2,0
2022-03-11,25,8,2.8,82.8,0
2022-03-12,17,8,5.4,73.6,0
2022-03-13,25,8,2.1,79.8,0
2022-03-14,32,11,0.7,74.4,0
2022-03-15,46,17,0.2,73.1,0
2022-03-16,63,20,0.2,81.0,0
2022-03-17,25,11,2.0,77.4,0
2022-03-18,28,11,1.0,63.2,0
2022-03-19,48,17,1.5,55.2,0
2022-03-20,36,13,0.8,60.1,0
2022-03-21,68,26,0.2,69.2,0
2022-03-22,63,23,1.2,64.0,0
2022-03-23,65,28,0.4,57.7,0
2022-03-24,76,37,0.5,60.2,0
2022-03-25,88,40,0.5,53.1,0
2022-03-26,76,33,1.0,55.5,0
2022-03-27,55,16,1.2,76.0,0
2022-03-28,58,20,0.2,65.4,0
2022-03-29,70,26,0.2,82.5,0
2022-03-30,68,23,0.0,88.6,0
2022-03-31,13,6,1.1,81.5,0
2022-04-01,13,5,2.2,59.5,0
2022-04-02,14,5,0.2,65.7,0
2022-04-03,45,13,0.5,67.5,0
2022-04-04,9,4,1.4,82.5,0
2022-04-05,21,13,2.8,80.2,0
2022-04-06,22,10,3.8,89.0,0
2022-04-07,21,10,4.0,75.1,0
2022-04-08,17,7,0.5,76.8,0
2022-04-09,17,7,0.2,71.2,0
2022-04-10,20,8,0.1,71.5,0
2022-04-11,30,12,0.7,74.1,0
2022-04-12,46,15,0.5,92.0,0
2022-04-13,26,9,1.1,90.9,0
2022-04-14,34,10,0.1,88.6,0
2022-04-15,32,10,1.0,83.5,0
2022-04-16,46,13,0.3,81.5,0
2022-04-17,53,16,0.1,88.0,0
2022-04-18,20,9,1.3,80.1,0
2022-04-19,17,7,0.1,78.7,0
2022-04-20,42,15,0.2,83.0,0
2022-04-21,35,15,1.3,66.1,0
2022-04-22,39,17,0.5,0.0,0
2022-04-23,59,20,0.5,65.6,0
2022-04-24,55,19,1.0,72.0,0
2022-04-25,30,13,0.2,74.0,0
2022-04-26,38,13,0.2,70.6,0
2022-04-27,26,12,0.1,71.2,0
2022-04-28,38,16,0.7,74.3,0
2022-04-29,53,19,0.8,70.5,0
2022-04-30,45,15,0.7,58.0,0
2022-05-01,50,13,0.1,89.0,0
2022-05-02,45,12,0.2,79.0,0
2022-05-03,74,24,0.1,78.4,0
2022-05-04,38,15,1.0,76.5,0
2022-05-05,34,17,0.8,72.0,0
2022-05-06,26,13,0.8,0.0,0
2022-05-07,13,4,0.2,53.5,0
2022-05-08,34,10,0.2,65.0,0
2022-05-09,35,15,0.7,70.5,0
2022-05-10,30,13,1.2,73.7,0
2022-05-11,21,10,0.7,82.8,0
2022-05-12,18,11,1.5,0.0,0
2022-05-13,34,17,0.8,0.0,0
2022-05-14,38,14,0.1,49.8,0
2022-05-15,30,11,0.1,87.7,0
2022-05-16,38,15,1.5,84.8,0
2022-05-17,26,13,1.4,83.0,0
2022-05-18,21,10,0.4,84.0,0
2022-05-19,21,9,0.1,71.1,0
2022-05-20,22,11,1.2,77.8,0
2022-05-21,30,12,0.5,62.0,0
2022-05-22,19,7,0.2,68.1,0
2022-05-23,15,7,0.5,76.4,0
2022-05-24,8,4,1.0,70.1,0
2022-05-25,21,11,0.4,81.2,0
2022-05-26,25,12,0.5,86.0,0
2022-05-27,21,9,0.5,56.7,0
2022-05-28,13,6,0.1,64.1,0
2022-05-29,14,6,0.2,67.5,0
2022-05-30,21,8,0.6,64.1,0
2022-05-31,13,5,0.5,43.7,0
2022-06-01,13,5,0.1,61.2,0
2022-06-02,17,6,0.2,54.2,0
2022-06-03,30,10,0.2,64.5,0
2022-06-04,25,10,0.7,73.4,0
2022-06-05,17,6,0.4,91.0,0
2022-06-06,18,7,0.2,0.0,0
2022-06-07,25,8,0.4,71.5,0
2022-06-08,24,13,0.5,84.1,0
2022-06-09,32,15,0.2,0.0,0
2022-06-10,42,20,0.4,70.0,0
2022-06-11,32,15,0.4,72.1,0
2022-06-12,33,14,0.5,66.7,0
2022-06-13,19,10,0.2,59.0,0
2022-06-14,21,10,0.1,54.2,0
2022-06-15,29,11,0.2,64.2,0
2022-06-16,25,14,0.0,54.6,0
2022-06-17,50,28,1.5,66.8,0
2022-06-18,23,9,0.4,88.4,0
2022-06-19,14,7,0.4,71.1,0
2022-06-20,18,8,0.2,72.8,0
2022-06-21,26,12,0.7,71.0,0
2022-06-22,26,13,0.3,54.8,0
2022-06-23,28,17,0.2,64.1,0
2022-06-24,38,13,0.5,86.7,0
2022-06-25,17,8,1.9,84.7,0
2022-06-26,19,10,1.5,77.0,0
2022-06-27,13,8,1.2,74.6,0
2022-06-28,25,13,1.7,86.3,0
2022-06-29,15,8,0.4,69.1,0
2022-06-30,13,7,0.5,76.2,0
2022-07-01,13,6,0.4,71.4,0
2022-07-02,9,5,0.0,77.2,0
2022-07-03,13,5,0.0,73.4,0
2022-07-04,9,5,0.0,67.4,0
2022-07-05,13,5,0.0,68.1,0
2022-07-06,9,5,0.1,72.2,0
2022-07-07,14,9,0.5,68.0,0
2022-07-08,17,9,0.1,60.8,0
2022-07-09,13,6,0.1,58.4,0
2022-07-10,12,4,0.0,65.1,0
2022-07-11,18,10,0.0,59.8,0
2022-07-12,21,13,0.0,61.2,0
2022-07-13,21,11,0.0,61.8,0
2022-07-14,13,7,0.0,58.1,0
2022-07-15,15,9,0.2,62.4,0
2022-07-16,21,8,0.0,63.4,0
2022-07-17,25,12,0.2,45.5,0
2022-07-18,30,17,0.0,43.8,0
2022-07-19,59,31,0.2,45.7,0
2022-07-20,54,21,0.5,72.5,0
2022-07-21,15,10,0.0,60.5,0
2022-07-22,30,14,0.5,71.3,0
2022-07-23,18,9,1.2,80.8,0
2022-07-24,17,8,0.4,86.9,0
2022-07-25,9,5,0.6,81.6,0
2022-07-26,11,5,0.3,71.0,0
2022-07-27,14,7,0.1,72.8,0
2022-07-28,23,12,0.0,80.4,0
2022-07-29,27,13,0.5,67.4,0
2022-07-30,12,4,0.1,88.2,0
2022-07-31,9,4,0.3,82.9,0
2022-08-01,10,5,0.0,80.8,0
2022-08-02,17,10,0.2,92.7,0
2022-08-03,13,7,0.2,86.1,0
2022-08-04,11,6,0.1,64.4,0
2022-08-05,12,6,0.4,64.6,0
2022-08-06,29,10,0.3,64.5,0
2022-08-07,13,6,0.0,62.1,0
2022-08-08,17,10,0.0,68.2,0
2022-08-09,21,11,0.0,66.4,0
2022-08-10,21,12,0.0,61.0,0
2022-08-11,21,12,0.0,59.7,0
2022-08-12,34,19,0.2,57.1,0
2022-08-13,41,21,0.2,54.3,0
2022-08-14,39,20,0.3,47.7,0
2022-08-15,51,19,0.6,83.2,0
2022-08-16,53,17,0.0,90.2,0
2022-08-17,20,8,0.0,89.3,0
2022-08-18,21,11,0.1,89.0,0
2022-08-19,17,10,0.1,80.0,0
2022-08-20,24,10,1.5,82.8,0
2022-08-21,21,9,0.8,76.0,0
2022-08-22,16,7,0.0,91.3,0
2022-08-23,15,7,0.8,84.0,0
2022-08-24,10,5,0.5,88.0,0
2022-08-25,14,7,0.5,76.6,0
2022-08-26,15,7,0.0,83.0,0
2022-08-27,15,6,0.1,83.0,0
2022-08-28,14,8,0.0,76.4,0
2022-08-29,13,6,0.0,73.6,0
2022-08-30,15,9,0.0,73.0,0
2022-08-31,17,10,0.0,71.0,0
2022-09-01,18,10,0.0,74.5,0
2022-09-02,28,14,0.0,76.1,0
2022-09-03,44,15,0.0,85.8,0
2022-09-04,23,10,0.0,86.6,0
2022-09-05,19,10,0.1,91.3,0
2022-09-06,21,12,1.5,89.8,0
2022-09-07,26,14,0.1,86.8,0
2022-09-08,17,9,0.2,91.3,0
2022-09-09,9,5,2.0,88.3,0
2022-09-10,10,5,0.3,89.4,0
2022-09-11,21,8,0.0,86.0,0
2022-09-12,25,11,0.0,88.0,0
2022-09-13,21,9,0.0,88.1,0
2022-09-14,30,11,0.0,85.4,0
2022-09-15,13,7,0.0,71.5,0
2022-09-16,9,5,0.2,69.5,0
2022-09-17,10,5,0.6,75.3,0
2022-09-18,12,5,0.5,77.7,0
2022-09-19,12,5,0.0,87.3,0
2022-09-20,26,10,0.0,89.3,0
2022-09-21,34,16,0.0,86.0,0
2022-09-22,30,12,0.8,90.6,0
2022-09-23,12,6,0.5,83.5,0
2022-09-24,10,5,0.4,78.3,0
2022-09-25,13,5,1.6,75.4,0
2022-09-26,13,7,2.1,78.8,0
2022-09-27,24,11,1.0,85.5,0
2022-09-28,10,6,1.0,85.0,0
2022-09-29,13,5,1.0,86.5,0
2022-09-30,21,9,0.5,93.7,0
2022-10-01,29,15,2.0,86.0,0
2022-10-02,20,9,0.5,86.0,0
2022-10-03,18,8,0.0,90.0,0
2022-10-04,14,8,1.5,88.8,0
2022-10-05,19,10,2.5,87.0,0
2022-10-06,28,15,0.5,85.3,0
2022-10-07,22,11,1.6,86.7,0
2022-10-08,22,11,0.8,90.2,0
2022-10-09,29,10,0.2,86.7,0
2022-10-10,18,9,0.2,82.0,0
2022-10-11,30,12,0.0,90.3,0
2022-10-12,37,13,0.6,93.1,0
2022-10-13,32,11,0.2,93.8,0
2022-10-14,21,9,1.2,92.1,0
2022-10-15,21,10,0.6,85.0,0
2022-10-16,19,10,0.4,91.5,0
2022-10-17,30,14,2.3,83.5,0
2022-10-18,21,9,0.2,86.2,0
2022-10-19,30,12,1.0,86.0,0
2022-10-20,34,13,0.0,91.0,0
2022-10-21,25,10,0.0,93.6,0
2022-10-22,28,12,0.0,92.0,0
2022-10-23,17,9,0.0,95.0,0
2022-10-24,17,8,1.5,93.6,0
2022-10-25,18,9,0.2,91.2,0
2022-10-26,34,17,2.6,85.5,0
2022-10-27,28,12,0.1,94.0,0
2022-10-28,21,12,1.0,90.0,0
2022-10-29,31,14,1.3,94.0,0
2022-10-30,30,14,2.0,90.0,0
2022-10-31,25,12,0.2,92.0,0
2022-11-01,21,10,2.8,87.7,0
2022-11-02,30,14,1.7,88.5,0
2022-11-03,17,7,0.0,93.2,0
2022-11-04,18,7,0.6,88.2,0
2022-11-05,33,10,0.0,94.3,0
2022-11-06,35,17,2.0,94.2,0
2022-11-07,33,15,2.3,89.3,0
2022-11-08,26,13,3.2,86.8,0
2022-11-09,20,10,1.5,91.1,0
2022-11-10,17,9,2.6,85.0,0
2022-11-11,21,10,3.2,84.3,0
2022-11-12,33,11,0.0,92.0,0
2022-11-13,53,17,0.0,95.0,0
2022-11-14,53,17,0.5,93.3,0
2022-11-15,13,6,0.0,92.5,0
2022-11-16,13,7,0.0,92.8,0
2022-11-17,13,5,2.0,85.5,0
2022-11-18,13,6,1.5,87.0,0
2022-11-19,34,12,0.5,92.6,0
2022-11-20,30,11,1.6,91.6,0
2022-11-21,30,11,1.7,93.7,0
2022-11-22,22,9,0.1,92.6,0
2022-11-23,25,10,2.0,89.7,0
2022-11-24,38,19,2.0,87.5,0
2022-11-25,32,15,2.0,90.2,0
2022-11-26,34,16,0.0,94.0,0
2022-11-27,57,27,0.0,93.0,0
2022-11-28,30,12,0.3,93.0,0
2022-11-29,21,7,0.0,95.7,0
2022-11-30,50,14,0.0,96.0,0
2022-12-01,46,12,0.0,96.0,0
2022-12-02,25,7,0.0,96.0,0
2022-12-03,26,9,0.0,88.8,0
2022-12-04,43,12,0.0,88.5,0
2022-12-05,34,10,0.0,90.0,0
2022-12-06,25,9,0.0,89.0,0
2022-12-07,38,15,0.0,92.6,0
2022-12-08,38,11,0.0,93.2,0
2022-12-09,45,12,0.2,93.0,0
2022-12-10,27,10,0.0,93.5,0
2022-12-11,72,25,0.0,95.2,0
2022-12-12,55,18,0.0,95.0,0
2022-12-13,72,27,0.0,89.8,0
2022-12-14,70,23,0.3,90.0,0
2022-12-15,30,10,0.0,92.0,0
2022-12-16,50,15,0.0,93.0,0
2022-12-17,73,26,0.2,94.0,0
2022-12-18,50,15,0.0,94.6,0
2022-12-19,17,5,0.0,95.4,0
2022-12-20,42,19,0.7,94.0,0
2022-12-21,21,10,0.1,93.4,0
2022-12-22,13,4,0.0,96.0,0
2022-12-23,24,8,0.5,94.0,0
2022-12-24,35,15,0.2,91.8,0
2022-12-25,25,10,0.5,92.7,0
2022-12-26,21,8,0.3,91.3,0
2022-12-27,21,10,0.4,95.1,0
2022-12-28,17,7,0.9,93.4,0
2022-12-29,25,11,0.7,90.0,0
2022-12-30,30,14,0.3,90.6,0
2022-12-31,17,7,0.1,93.5,0
