Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,5,5,8.7,74.3,99.5
2022-01-02,5,5,4.1,74.0,99.0
2022-01-03,5,6,3.6,74.9,0.2
2022-01-04,5,5,6.1,82.0,0.4
2022-01-05,5,5,4.6,71.3,99.0
2022-01-06,5,5,1.5,89.3,99.0
2022-01-07,5,6,4.1,74.0,0.2
2022-01-08,5,8,3.6,70.1,99.0
2022-01-09,5,10,3.0,74.0,99.0
2022-01-10,5,10,1.5,71.9,0.0
2022-01-11,5,7,5.6,75.2,0.2
2022-01-12,17,8,13.3,73.2,0.2
2022-01-13,21,8,5.6,64.3,99.0
2022-01-14,25,7,6.1,74.2,99.0
2022-01-15,21,8,5.1,55.0,99.5
2022-01-16,17,6,2.5,91.0,1.5
2022-01-17,34,10,2.5,70.2,0.6
2022-01-18,17,7,6.6,79.3,99.0
2022-01-19,5,5,2.5,93.0,0.3
2022-01-20,5,7,4.1,93.6,0.3
2022-01-21,5,5,4.6,80.9,0.3
2022-01-22,5,6,3.0,79.3,99.0
2022-01-23,5,7,2.0,84.8,99.0
2022-01-24,5,6,3.0,60.0,0.6
2022-01-25,5,7,1.5,63.9,99.0
2022-01-26,5,7,2.5,81.0,99.0
2022-01-27,50,14,4.6,62.2,0.3
2022-01-28,46,11,4.1,60.0,99.0
2022-01-29,21,7,2.5,78.0,99.0
2022-01-30,21,6,4.1,63.9,0.3
2022-01-31,17,6,4.1,72.2,99.0
2022-02-01,17,6,3.0,65.9,99.0
2022-02-02,30,9,6.6,72.5,0.3
2022-02-03,21,7,2.0,93.0,0.4
2022-02-04,21,6,2.5,90.3,99.0
2022-02-05,21,7,5.6,68.1,0.6
2022-02-06,21,7,6.1,62.1,99.0
2022-02-07,21,6,3.0,65.2,99.0
2022-02-08,30,8,1.5,94.4,99.0
2022-02-09,38,10,1.5,82.3,99.0
2022-02-10,38,10,1.5,82.4,99.0
2022-02-11,34,10,1.5,87.8,99.0
2022-02-12,30,9,4.1,86.0,99.0
2022-02-13,46,13,2.0,56.9,0.2
2022-02-14,34,10,2.0,58.3,0.0
2022-02-15,34,10,5.1,73.6,1.2
2022-02-16,13,5,3.6,91.6,0.9
2022-02-17,13,5,3.7,89.6,0.1
2022-02-18,17,6,6.1,74.0,0.2
2022-02-19,17,6,1.5,75.0,99.0
2022-02-20,21,7,4.6,88.1,0.5
2022-02-21,30,9,7.7,62.2,99.0
2022-02-22,30,10,6.1,70.2,99.0
2022-02-23,21,8,5.6,59.0,99.0
2022-02-24,21,7,5.1,69.1,99.0
2022-02-25,25,10,2.0,84.8,99.0
2022-02-26,38,11,2.0,81.3,99.0
2022-02-27,46,14,4.1,69.0,99.0
2022-02-28,42,13,3.6,74.1,0.2
2022-03-01,42,12,2.5,85.3,0.1
2022-03-02,34,10,2.5,67.1,0.1
2022-03-03,42,11,5.1,81.0,99.5
2022-03-04,30,8,1.5,64.0,0.0
2022-03-05,38,11,3.6,70.9,0.3
2022-03-06,38,10,7.2,75.0,0.1
2022-03-07,25,8,3.0,81.0,0.3
2022-03-08,34,9,1.5,83.6,99.0
2022-03-09,38,9,1.3,62.0,0.0
2022-03-10,42,11,2.0,71.2,0.1
2022-03-11,53,15,3.0,61.0,0.0
2022-03-12,65,22,3.0,74.0,0.0
2022-03-13,59,19,1.5,70.6,99.0
2022-03-14,30,10,1.5,87.9,0.4
2022-03-15,21,8,5.1,74.2,1.4
2022-03-16,25,9,2.0,81.4,0.0
