Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,32,21,2.9,86.7,0
2022-01-02,30,12,4.7,84.0,0
2022-01-03,24,17,6.5,83.0,0
2022-01-04,26,13,3.0,90.0,0
2022-01-05,27,12,5.7,88.0,0
2022-01-06,37,17,2.2,86.9,0
2022-01-07,32,13,5.0,88.3,0
2022-01-08,52,12,3.3,93.0,0
2022-01-09,27,11,3.8,87.4,0
2022-01-10,69,21,0.8,93.2,0
2022-01-11,64,20,1.2,88.0,0
2022-01-12,74,24,1.1,94.0,0
2022-01-13,55,18,2.6,96.0,0
2022-01-14,62,17,1.3,95.0,0
2022-01-15,67,19,1.7,94.0,0
2022-01-16,87,28,4.1,93.0,0
2022-01-17,43,22,2.8,87.2,0
2022-01-18,52,23,0.9,92.8,0
2022-01-19,67,22,3.0,90.6,0
2022-01-20,29,17,2.3,86.0,0
2022-01-21,35,15,2.5,88.3,0
2022-01-22,42,15,2.5,91.0,0
2022-01-23,62,17,0.4,89.3,0
2022-01-24,69,22,0.5,79.1,0
2022-01-25,107,40,0.6,79.1,0
2022-01-26,106,49,3.9,86.0,0
2022-01-27,53,24,5.8,86.1,0
2022-01-28,37,17,3.0,85.0,0
2022-01-29,52,20,6.8,83.6,0
2022-01-30,51,25,3.0,79.2,0
2022-01-31,29,23,6.6,86.0,0
2022-02-01,34,18,5.5,86.2,0
2022-02-02,52,25,3.2,83.0,0
2022-02-03,53,16,4.9,89.0,0
2022-02-04,30,12,5.6,87.5,0
2022-02-05,34,12,6.8,86.0,0
2022-02-06,20,10,9.3,89.7,0
2022-02-07,25,16,4.7,79.5,0
2022-02-08,42,16,6.0,82.0,0
2022-02-09,39,10,5.5,86.0,0
2022-02-10,52,16,2.0,84.0,0
2022-02-11,33,15,4.3,82.1,0
2022-02-12,56,21,1.7,73.3,0
2022-02-13,42,15,3.0,71.2,0
2022-02-14,22,13,5.3,74.6,0
2022-02-15,28,13,6.2,86.3,0
2022-02-16,17,10,8.0,90.7,0
2022-02-17,24,15,11.0,70.3,0
2022-02-18,32,18,6.8,83.4,0
2022-02-19,26,15,9.0,70.6,0
2022-02-20,26,11,10.0,89.8,0
2022-02-21,26,14,9.0,78.1,0
2022-02-22,45,25,4.7,85.3,0
2022-02-23,37,18,3.3,72.5,0
2022-02-24,29,14,5.0,76.3,0
2022-02-25,30,12,5.2,83.0,0
2022-02-26,56,20,1.0,84.6,0
2022-02-27,52,21,2.0,66.0,0
2022-02-28,51,14,1.6,60.3,0
2022-03-01,66,24,1.0,66.3,0
2022-03-02,80,31,0.7,55.0,0
2022-03-03,71,28,1.5,58.5,0
2022-03-04,72,26,1.8,61.9,0
2022-03-05,80,28,1.2,67.5,0
2022-03-06,60,26,3.1,69.4,0
2022-03-07,53,17,2.0,63.1,0
2022-03-08,48,18,2.6,50.3,0
2022-03-09,62,25,1.7,52.0,0
2022-03-10,66,33,2.1,45.6,0
2022-03-11,60,26,4.5,46.0,0
2022-03-12,46,22,2.5,59.7,0
2022-03-13,55,18,2.1,60.6,0
2022-03-14,50,15,3.8,77.4,0
2022-03-15,60,25,0.7,81.6,0
2022-03-16,55,24,3.4,71.2,0
2022-03-17,42,19,2.9,72.9,0
2022-03-18,52,20,1.7,64.7,0
2022-03-19,46,19,3.0,57.1,0
2022-03-20,79,24,2.6,63.5,0
2022-03-21,80,37,0.5,68.3,0
2022-03-22,71,41,1.4,52.4,0
2022-03-23,90,45,1.0,51.3,0
2022-03-24,83,49,0.9,59.8,0
2022-03-25,98,53,2.0,55.3,0
2022-03-26,64,42,1.5,62.0,0
2022-03-27,51,18,2.3,67.0,0
2022-03-28,60,23,1.3,69.9,0
2022-03-29,72,32,1.9,77.2,0
2022-03-30,53,31,2.2,69.3,0
2022-03-31,27,13,2.0,88.5,0
2022-04-01,26,10,5.9,80.7,0
2022-04-02,29,11,3.0,63.3,0
2022-04-03,33,13,1.9,72.7,0
2022-04-04,44,12,8.1,83.9,0
2022-04-05,23,10,5.3,93.2,0
2022-04-06,25,13,7.3,85.0,0
2022-04-07,19,10,9.9,81.3,0
2022-04-08,24,14,3.5,75.8,0
2022-04-09,28,12,4.2,76.7,0
