Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,43,14,4.7,86.1,0
2022-01-02,34,12,5.2,86.1,0
2022-01-03,31,12,3.8,83.7,0
2022-01-04,30,11,1.8,84.0,0
2022-01-05,35,10,3.6,79.0,0
2022-01-06,39,13,4.0,89.8,0
2022-01-07,30,10,2.0,82.4,0
2022-01-08,26,9,5.4,90.0,0
2022-01-09,25,9,5.1,86.0,0
2022-01-10,46,15,2.0,89.5,0
2022-01-11,67,20,2.0,93.0,0
2022-01-12,58,18,2.5,93.0,0
2022-01-13,61,20,2.8,93.0,0
2022-01-14,65,21,1.0,92.0,0
2022-01-15,95,34,1.6,88.8,0
2022-01-16,76,27,2.0,86.0,0
2022-01-17,57,17,0.5,88.1,0
2022-01-18,65,21,1.0,90.7,0
2022-01-19,65,20,3.0,82.3,0
2022-01-20,31,12,2.1,86.1,0
2022-01-21,38,13,1.3,88.2,0
2022-01-22,55,16,0.8,89.0,0
2022-01-23,63,20,0.5,81.4,0
2022-01-24,95,35,1.0,80.0,0
2022-01-25,92,33,1.2,84.0,0
2022-01-26,80,31,2.8,83.6,0
2022-01-27,50,15,5.0,86.0,0
2022-01-28,48,13,3.6,93.0,0
2022-01-29,34,11,7.4,76.0,0
2022-01-30,34,13,2.2,77.0,0
2022-01-31,30,11,6.6,65.7,0
2022-02-01,27,10,8.0,73.4,0
2022-02-02,21,9,2.6,85.6,0
2022-02-03,30,9,2.5,85.0,0
2022-02-04,18,7,2.6,82.6,0
2022-02-05,20,8,9.0,74.4,0
2022-02-06,17,7,9.5,81.0,0
2022-02-07,25,10,5.6,78.5,0
2022-02-08,21,8,5.9,80.0,0
2022-02-09,17,6,2.6,83.0,0
2022-02-10,37,11,5.4,75.0,0
2022-02-11,25,10,3.3,80.0,0
2022-02-12,34,11,6.6,76.0,0
2022-02-13,41,13,6.4,87.0,0
2022-02-14,25,8,4.1,90.0,0
2022-02-15,18,6,4.1,90.0,0
2022-02-16,25,8,6.6,79.7,0
2022-02-17,21,9,10.2,63.5,0
2022-02-18,25,10,8.4,74.3,0
2022-02-19,19,8,5.4,87.0,0
2022-02-20,31,10,9.6,84.3,0
2022-02-21,23,8,8.2,79.6,0
2022-02-22,41,13,3.8,76.6,0
2022-02-23,29,10,5.2,76.6,0
2022-02-24,21,7,3.3,76.1,0
2022-02-25,21,9,5.4,76.2,0
2022-02-26,52,17,3.2,79.1,0
2022-02-27,38,14,4.3,70.1,0
2022-02-28,47,16,4.6,73.8,0
2022-03-01,55,16,2.6,90.8,0
2022-03-02,100,39,2.0,83.8,0
2022-03-03,97,38,3.6,74.6,0
2022-03-04,95,38,2.0,81.0,0
2022-03-05,73,25,3.6,93.0,0
2022-03-06,46,16,3.0,75.4,0
2022-03-07,26,11,4.3,75.0,0
2022-03-08,74,28,3.6,73.0,0
2022-03-09,89,35,4.1,77.5,0
2022-03-10,83,31,3.3,77.1,0
2022-03-11,78,30,5.1,78.4,0
2022-03-12,35,12,5.3,82.5,0
2022-03-13,38,11,4.5,85.0,0
2022-03-14,38,11,2.0,79.6,0
2022-03-15,52,16,2.3,87.3,0
2022-03-16,76,27,2.5,89.0,0
2022-03-17,49,15,2.6,78.0,0
2022-03-18,45,14,1.5,84.2,0
2022-03-19,50,18,3.0,77.2,0
2022-03-20,80,33,0.8,77.1,0
2022-03-21,113,48,1.6,70.2,0
2022-03-22,128,51,1.1,80.0,0
2022-03-23,134,54,1.0,69.4,0
2022-03-24,152,58,1.2,72.7,0
2022-03-25,153,61,1.7,68.4,0
2022-03-26,124,53,1.0,81.6,0
2022-03-27,47,13,1.0,85.8,0
2022-03-28,26,9,0.7,89.0,0
2022-03-29,70,26,2.5,87.0,0
2022-03-30,68,26,1.5,90.0,0
2022-03-31,18,10,1.8,64.8,0
2022-04-01,17,9,2.2,66.0,0
2022-04-02,13,6,0.8,70.5,0
2022-04-03,35,10,1.8,68.0,0
2022-04-04,30,9,4.7,80.7,0
2022-04-05,15,5,4.1,78.0,0
2022-04-06,17,6,5.5,75.0,0
2022-04-07,15,8,7.3,74.1,0
2022-04-08,17,8,1.4,76.6,0
2022-04-09,27,10,2.2,68.8,0
2022-04-10,41,13,1.8,69.1,0
