Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,60,20,0.0,94.8,0
2022-01-02,62,21,0.0,78.7,0
2022-01-03,114,45,0.0,84.6,0
2022-01-04,67,24,0.0,80.1,0
2022-01-05,42,10,0.0,42.6,0
2022-01-06,44,11,0.0,46.1,0
2022-01-07,63,19,0.0,52.5,0
2022-01-08,107,36,0.0,54.2,0
2022-01-09,79,24,0.0,52.5,0
2022-01-10,82,27,0.0,51.4,0
2022-01-11,66,19,0.0,55.1,0
2022-01-12,83,27,0.0,56.0,0
2022-01-13,119,42,0.0,56.0,0
2022-01-14,64,19,0.0,51.3,0
2022-01-15,69,22,0.0,60.1,0
2022-01-16,125,43,0.0,55.7,0
2022-01-17,75,26,0.0,47.1,0
2022-01-18,45,13,0.0,66.5,0
2022-01-19,79,39,0.0,69.3,0
2022-01-20,141,51,0.0,59.6,0
2022-01-21,42,11,0.0,61.8,0
2022-01-22,57,16,0.0,68.5,0
2022-01-23,56,14,0.0,75.6,0
2022-01-24,101,44,0.0,82.2,0
2022-01-25,100,44,0.0,82.5,0
2022-01-26,92,30,0.0,74.8,0
2022-01-27,95,31,0.0,77.5,0
2022-01-28,74,30,0.0,77.0,0
2022-01-29,39,15,0.0,60.6,0
2022-01-30,46,21,0.0,66.4,0
2022-01-31,54,21,0.0,39.0,0
2022-02-01,81,26,0.0,34.3,0
2022-02-02,55,16,0.0,52.6,0
2022-02-03,46,16,0.0,42.0,0
2022-02-04,66,34,0.0,42.0,0
2022-02-05,93,44,0.0,42.0,0
2022-02-06,50,19,0.0,42.0,0
2022-02-07,35,11,0.0,42.0,0
2022-02-08,46,14,0.0,42.0,0
2022-02-09,53,28,0.0,50.4,0
2022-02-10,92,42,0.0,80.5,0
2022-02-11,58,27,0.0,62.8,0
2022-02-12,42,15,0.0,50.2,0
2022-02-13,68,22,0.0,54.0,0
2022-02-14,80,30,0.0,85.5,0
2022-02-15,45,20,0.0,47.2,0
2022-02-16,58,19,0.0,66.0,0
2022-02-17,51,23,0.0,57.0,0
2022-02-18,29,11,0.0,57.5,0
2022-02-19,42,15,0.0,34.4,0
2022-02-20,33,8,0.0,31.4,0
2022-02-21,44,12,0.0,44.1,0
2022-02-22,41,12,0.0,38.6,0
2022-02-23,45,19,0.0,52.0,0
2022-02-24,58,20,0.0,67.0,0
2022-02-25,58,22,0.0,31.2,0
2022-02-26,50,13,0.0,38.4,0
2022-02-27,59,15,0.0,40.2,0
2022-02-28,59,17,0.0,55.0,0
2022-03-01,71,22,0.0,48.8,0
2022-03-02,67,26,0.0,63.8,0
2022-03-03,92,35,0.0,66.0,0
2022-03-04,118,46,0.0,71.5,0
2022-03-05,96,33,0.0,66.2,0
2022-03-06,79,24,0.0,54.1,0
2022-03-07,89,30,0.0,51.4,0
2022-03-08,88,32,0.0,53.3,0
2022-03-09,83,30,0.0,64.5,0
2022-03-10,58,17,0.0,64.5,0
2022-03-11,62,17,0.0,51.0,0
2022-03-12,81,29,0.0,42.8,0
2022-03-13,92,31,0.0,45.8,0
2022-03-14,71,24,0.0,59.1,0
2022-03-15,72,27,0.0,48.1,0
2022-03-16,72,30,0.0,62.0,0
2022-03-17,90,29,0.0,57.2,0
2022-03-18,62,21,0.0,59.1,0
2022-03-19,84,30,0.0,32.2,0
2022-03-20,57,19,0.0,27.2,0
2022-03-21,108,38,0.0,21.5,0
2022-03-22,94,40,0.0,23.2,0
2022-03-23,96,41,0.0,45.1,0
2022-03-24,70,35,0.0,30.3,0
2022-03-25,68,30,0.0,45.5,0
2022-03-26,60,23,0.0,11.8,0
2022-03-27,65,22,0.0,18.2,0
2022-03-28,43,17,0.0,19.5,0
2022-03-29,92,45,0.0,25.5,0
2022-03-30,67,29,0.0,58.3,0
2022-03-31,51,19,0.0,35.8,0
2022-04-01,33,12,0.0,41.2,0
2022-04-02,70,20,0.0,33.7,0
2022-04-03,63,19,0.0,32.1,0
2022-04-04,66,21,0.0,48.6,0
2022-04-05,49,14,0.0,37.8,0
2022-04-06,31,12,0.0,51.7,0
2022-04-07,34,12,0.0,58.8,0
2022-04-08,34,12,0.0,59.8,0
2022-04-09,33,10,0.0,18.0,0
2022-04-10,44,11,0.0,19.5,0
2022-04-11,35,12,0.0,34.8,0
2022-04-12,38,12,0.0,25.5,0
2022-04-13,44,11,0.0,29.3,0
2022-04-14,45,18,0.0,31.1,0
