Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,34,0,1.6,67.8,0
2022-01-02,42,0,1.5,81.3,0
2022-01-03,25,0,5.0,84.0,0
2022-01-04,17,0,2.0,87.8,0
2022-01-05,21,0,1.1,92.5,0
2022-01-06,34,0,1.4,92.0,0
2022-01-07,17,0,2.0,85.5,0
2022-01-08,25,0,1.2,93.0,0
2022-01-09,34,0,2.8,85.0,0
2022-01-10,50,0,2.0,83.5,0
2022-01-11,46,0,1.2,79.6,0
2022-01-12,68,0,1.8,81.7,0
2022-01-13,78,0,1.0,89.6,0
2022-01-14,46,0,1.8,82.6,0
2022-01-15,53,0,2.0,77.7,0
2022-01-16,65,0,1.4,78.0,0
2022-01-17,63,0,1.1,81.0,0
2022-01-18,42,0,1.3,82.6,0
2022-01-19,46,0,1.2,82.0,0
2022-01-20,50,0,1.4,74.1,0
2022-01-21,46,0,2.8,42.1,0
2022-01-22,17,0,5.2,37.6,0
2022-01-23,65,0,2.0,67.8,0
2022-01-24,59,0,1.7,73.5,0
2022-01-25,38,0,1.2,76.4,0
2022-01-26,61,0,1.4,72.2,0
2022-01-27,57,0,1.2,69.8,0
2022-01-28,59,0,1.5,66.0,0
2022-01-29,63,0,1.2,73.0,0
2022-01-30,55,0,1.6,76.0,0
2022-01-31,42,0,1.5,76.0,0
2022-02-01,21,0,2.6,35.8,0
2022-02-02,13,0,4.3,30.7,0
2022-02-03,30,0,1.3,56.0,0
2022-02-04,68,0,1.6,66.4,0
2022-02-05,76,0,1.0,72.0,0
2022-02-06,53,0,1.6,76.1,0
2022-02-07,59,0,1.8,71.2,0
2022-02-08,59,0,1.2,70.5,0
2022-02-09,42,0,1.8,56.0,0
2022-02-10,34,0,2.3,55.8,0
2022-02-11,53,0,1.6,65.7,0
2022-02-12,63,0,1.5,70.5,0
2022-02-13,59,0,2.6,74.0,0
2022-02-14,34,0,3.7,79.4,0
2022-02-15,17,0,2.8,61.3,0
2022-02-16,17,0,2.6,42.7,0
2022-02-17,17,0,2.7,40.2,0
2022-02-18,46,0,1.5,65.5,0
2022-02-19,53,0,1.5,70.4,0
2022-02-20,30,0,2.7,74.0,0
2022-02-21,17,0,4.5,69.0,0
2022-02-22,17,0,5.2,70.8,0
2022-02-23,17,0,2.2,56.2,0
2022-02-24,30,0,2.1,66.2,0
2022-02-25,38,0,1.7,70.6,0
2022-02-26,46,0,1.4,65.0,0
2022-02-27,55,0,2.2,60.6,0
2022-02-28,38,0,1.6,61.8,0
