Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,21,5,2.0,64.9,99.0
2022-01-02,30,7,1.5,68.3,99.0
2022-01-03,42,10,2.5,58.1,99.0
2022-01-04,55,14,3.6,53.2,99.0
2022-01-05,25,6,2.0,63.2,99.0
2022-01-06,30,7,2.0,71.8,99.0
2022-01-07,34,8,2.5,65.1,99.0
2022-01-08,50,12,1.5,77.9,0.0
2022-01-09,65,20,1.5,68.3,99.0
2022-01-10,59,16,1.5,74.9,99.0
2022-01-11,55,15,2.5,84.9,0.6
2022-01-12,30,8,5.1,68.0,99.0
2022-01-13,42,10,6.1,62.1,99.0
2022-01-14,34,9,4.6,73.9,99.0
2022-01-15,38,10,1.5,72.9,0.0
2022-01-16,57,15,2.5,75.3,99.0
2022-01-17,34,10,5.1,52.0,99.0
2022-01-18,34,9,4.6,53.2,99.0
2022-01-19,42,10,2.0,65.2,99.0
2022-01-20,30,6,4.6,65.2,99.0
2022-01-21,21,5,2.5,65.8,99.0
2022-01-22,34,9,1.5,66.9,0.0
2022-01-23,50,11,1.5,86.8,1.0
2022-01-24,30,8,3.0,73.0,99.0
2022-01-25,30,7,1.0,81.2,0.0
2022-01-26,59,16,1.5,74.9,0.0
2022-01-27,72,22,1.5,70.0,0.0
2022-01-28,63,19,2.0,63.2,0.0
2022-01-29,53,14,2.5,57.1,0.0
2022-01-30,30,9,3.0,58.0,0.0
2022-01-31,25,6,3.0,61.1,99.0
2022-02-01,53,13,3.0,69.9,99.0
2022-02-02,74,23,3.6,56.0,99.0
2022-02-03,46,12,3.0,52.2,0.0
2022-02-04,34,9,3.6,52.1,0.0
2022-02-05,34,9,6.1,59.3,99.0
2022-02-06,30,9,5.6,55.1,99.0
2022-02-07,42,11,2.5,63.3,0.0
2022-02-08,42,10,1.5,67.3,99.0
2022-02-09,34,9,2.0,71.1,0.0
2022-02-10,42,10,1.5,73.1,99.0
2022-02-11,42,10,1.5,72.0,99.0
2022-02-12,42,10,1.5,71.2,0.0
2022-02-13,42,10,1.5,85.0,0.6
2022-02-14,46,11,1.0,80.8,0.0
2022-02-15,59,18,2.0,78.9,99.0
2022-02-16,30,8,6.6,62.0,99.0
2022-02-17,34,8,6.1,60.1,99.0
2022-02-18,30,8,2.5,60.0,0.0
2022-02-19,38,9,2.0,85.0,0.5
2022-02-20,34,8,4.6,78.0,99.0
2022-02-21,34,9,5.1,64.1,99.0
2022-02-22,38,10,4.6,58.1,99.0
2022-02-23,42,10,3.0,62.1,99.0
2022-02-24,34,8,2.5,60.3,0.0
2022-02-25,55,14,1.5,69.2,0.0
2022-02-26,72,22,2.0,70.0,0.0
2022-02-27,63,19,4.1,53.0,99.0
2022-02-28,59,16,1.5,52.1,0.0
2022-03-01,65,19,1.5,82.3,1.0
2022-03-02,74,24,2.0,81.0,0.1
2022-03-03,53,14,3.6,57.0,0.0
2022-03-04,68,20,2.0,68.9,0.0
2022-03-05,74,25,4.1,52.2,0.0
2022-03-06,53,15,4.6,49.3,99.0
2022-03-07,42,11,2.5,56.0,99.0
2022-03-08,59,17,3.6,57.0,99.0
2022-03-09,82,29,3.0,61.0,0.0
2022-03-10,89,31,1.5,63.0,0.0
2022-03-11,93,33,1.5,67.2,0.0
2022-03-12,80,30,2.5,71.0,0.0
2022-03-13,74,27,1.5,77.0,99.0
2022-03-14,57,19,1.5,81.3,1.6
2022-03-15,50,15,2.5,54.0,99.0
2022-03-16,55,16,2.0,62.0,0.0
2022-03-17,53,15,2.5,62.0,99.0
2022-03-18,30,9,3.6,90.9,3.7
2022-03-19,17,3,3.0,80.0,99.0
2022-03-20,21,5,2.5,65.0,0.0
2022-03-21,25,7,1.5,62.2,99.0
2022-03-22,25,6,2.0,80.3,0.1
2022-03-23,34,9,2.0,80.9,99.0
2022-03-24,57,16,2.0,71.0,99.0
2022-03-25,74,23,2.5,77.3,0.0
2022-03-26,46,18,3.6,89.1,0.7
2022-03-27,25,8,3.0,59.0,99.0
2022-03-28,38,10,4.6,46.0,0.0
2022-03-29,42,10,2.5,61.0,99.0
2022-03-30,57,17,1.5,78.1,99.0
2022-03-31,50,12,3.0,81.1,99.0
2022-04-01,30,8,5.1,42.0,99.0
2022-04-02,42,10,2.0,52.0,0.0
2022-04-03,38,10,3.0,70.0,99.0
2022-04-04,42,10,3.0,56.2,0.0
2022-04-05,42,10,1.5,61.9,99.0
2022-04-06,57,16,2.5,62.0,0.0
2022-04-07,68,21,2.5,67.0,0.0
2022-04-08,72,23,3.0,58.0,0.0
2022-04-09,70,22,1.5,62.3,0.0
2022-04-10,78,27,1.5,67.0,0.0
