Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,33,13,10.7,85.5,0
2022-01-02,18,9,7.7,73.2,0
2022-01-03,28,14,5.0,56.5,0
2022-01-04,23,16,9.7,46.7,0
2022-01-05,25,18,5.5,50.0,0
2022-01-06,23,13,9.0,60.3,0
2022-01-07,35,14,3.6,70.3,0
2022-01-08,51,15,5.8,93.0,0
2022-01-09,26,13,5.5,51.8,0
2022-01-10,23,16,1.1,44.0,0
2022-01-11,18,15,4.0,39.7,0
2022-01-12,23,15,2.2,55.0,0
2022-01-13,24,21,2.0,47.7,0
2022-01-14,30,25,3.9,54.7,0
2022-01-15,31,13,11.2,67.7,0
2022-01-16,35,14,1.8,59.2,0
2022-01-17,24,19,3.0,49.0,0
2022-01-18,39,25,4.8,50.2,0
2022-01-19,37,21,10.2,64.5,0
2022-01-20,18,11,7.5,47.7,0
2022-01-21,24,20,2.5,50.0,0
2022-01-22,45,26,2.7,41.7,0
2022-01-23,34,18,3.0,49.5,0
2022-01-24,24,19,4.5,54.2,0
2022-01-25,22,14,5.7,45.0,0
2022-01-26,28,20,2.7,39.0,0
2022-01-27,55,21,3.3,77.0,0
2022-01-28,26,14,4.7,65.5,0
2022-01-29,20,15,4.3,35.5,0
2022-01-30,23,16,2.3,34.5,0
2022-01-31,35,26,5.7,45.5,0
2022-02-01,25,11,8.7,81.0,0
2022-02-02,22,10,8.2,88.7,0
2022-02-03,19,10,9.0,85.0,0
2022-02-04,24,11,4.2,73.5,0
2022-02-05,34,14,6.7,58.2,0
2022-02-06,33,13,4.0,65.0,0
2022-02-07,24,14,2.7,51.5,0
2022-02-08,16,12,5.7,44.5,0
2022-02-09,25,21,2.7,37.2,0
2022-02-10,19,17,3.5,42.2,0
2022-02-11,18,16,7.3,45.2,0
2022-02-12,16,10,8.0,42.0,0
2022-02-13,18,12,5.0,41.2,0
2022-02-14,21,17,4.5,33.5,0
2022-02-15,25,20,13.3,47.0,0
2022-02-16,28,16,12.0,70.2,0
2022-02-17,27,10,13.2,76.2,0
2022-02-18,28,15,3.5,52.2,0
2022-02-19,25,12,4.2,46.5,0
2022-02-20,30,17,11.7,40.2,0
2022-02-21,35,18,12.0,67.5,0
2022-02-22,32,19,11.7,61.0,0
2022-02-23,30,15,8.2,76.2,0
2022-02-24,36,11,4.2,86.5,0
2022-02-25,47,22,3.5,61.2,0
2022-02-26,60,25,2.5,67.7,0
2022-02-27,56,25,3.0,46.0,0
2022-02-28,38,20,3.7,37.7,0
2022-03-01,41,26,4.5,31.6,0
2022-03-02,39,22,3.0,31.2,0
2022-03-03,62,40,4.2,36.3,0
2022-03-04,57,30,8.5,61.0,0
2022-03-05,35,19,11.7,63.3,0
2022-03-06,39,14,8.5,74.2,0
2022-03-07,30,10,8.7,68.0,0
2022-03-08,38,13,2.5,66.7,0
2022-03-09,48,25,3.5,50.2,0
2022-03-10,51,21,6.5,67.7,0
2022-03-11,40,14,7.2,74.0,0
2022-03-12,27,14,5.7,40.5,0
2022-03-13,22,14,12.2,29.7,0
2022-03-14,31,17,9.5,59.2,0
2022-03-15,52,26,7.5,60.2,0
2022-03-16,55,34,9.5,46.0,0
2022-03-17,50,28,9.2,54.0,0
2022-03-18,10,6,13.0,67.0,0
2022-03-19,17,10,3.7,31.5,0
2022-03-20,25,20,10.5,28.2,0
2022-03-21,35,14,6.2,89.5,0
2022-03-22,11,6,10.5,84.2,0
2022-03-23,14,11,10.0,53.7,0
2022-03-24,16,10,4.7,43.0,0
2022-03-25,27,15,3.0,46.2,0
2022-03-26,39,18,3.0,40.5,0
2022-03-27,52,22,6.5,44.6,0
2022-03-28,45,26,6.2,53.5,0
2022-03-29,40,22,15.0,63.0,0
2022-03-30,29,21,11.7,64.7,0
2022-03-31,23,12,5.2,57.7,0
2022-04-01,28,15,6.2,58.2,0
2022-04-02,27,11,2.5,61.7,0
2022-04-03,41,18,7.3,56.7,0
2022-04-04,56,20,3.7,89.2,0
2022-04-05,38,17,7.6,74.7,0
2022-04-06,18,22,11.2,30.7,0
2022-04-07,24,30,11.0,34.0,0
2022-04-08,21,19,10.2,36.2,0
2022-04-09,30,29,10.5,27.2,0
2022-04-10,40,37,9.5,44.7,0
2022-04-11,53,28,4.7,64.2,0
2022-04-12,60,26,13.7,73.5,0
2022-04-13,22,18,10.2,41.6,0
2022-04-14,29,21,5.2,34.5,0
2022-04-15,41,30,9.3,47.0,0
2022-04-16,47,26,6.2,58.0,0
2022-04-17,40,20,4.5,61.5,0
2022-04-18,35,15,4.2,54.5,0
2022-04-19,33,23,9.0,52.0,0
2022-04-20,48,20,9.7,63.0,0
2022-04-21,52,26,7.7,75.5,0
2022-04-22,53,26,15.2,69.7,0
2022-04-23,40,21,13.0,69.7,0
2022-04-24,18,10,4.2,77.3,0
2022-04-25,21,11,6.0,50.5,0
2022-04-26,33,20,4.0,41.5,0
2022-04-27,32,19,8.2,61.0,0
2022-04-28,33,16,7.2,71.0,0
2022-04-29,33,16,15.2,76.0,0
2022-04-30,21,14,5.7,48.5,0
2022-05-01,25,20,2.5,52.0,0
2022-05-02,28,13,4.3,85.2,0
2022-05-03,15,7,3.2,77.5,0
2022-05-04,29,11,2.0,91.5,0
2022-05-05,15,7,3.2,90.5,0
2022-05-06,23,10,1.5,74.5,0
2022-05-07,38,18,3.5,78.4,0
2022-05-08,64,28,6.4,70.0,0
2022-05-09,78,33,12.2,72.2,0
2022-05-10,68,29,9.7,77.0,0
2022-05-11,43,22,7.0,71.5,0
2022-05-12,47,25,9.5,65.7,0
2022-05-13,43,23,4.2,70.0,0
2022-05-14,40,20,2.0,63.7,0
2022-05-15,37,20,5.0,67.5,0
2022-05-16,23,12,2.7,69.2,0
2022-05-17,43,24,6.2,68.7,0
2022-05-18,43,27,4.0,63.7,0
2022-05-19,52,34,7.0,61.0,0
2022-05-20,59,38,8.6,61.7,0
2022-05-21,18,14,6.7,68.7,0
2022-05-22,17,11,4.5,59.0,0
2022-05-23,23,11,4.0,91.0,0
2022-05-24,17,7,3.7,93.0,0
2022-05-25,5,3,4.7,89.7,0
2022-05-26,15,11,8.5,67.0,0
2022-05-27,25,15,2.7,57.5,0
2022-05-28,35,23,9.6,59.2,0
2022-05-29,50,28,13.5,61.0,0
2022-05-30,44,24,12.5,66.2,0
2022-05-31,38,21,8.7,72.6,0
2022-06-01,18,10,4.3,85.7,0
2022-06-02,19,10,2.5,80.5,0
2022-06-03,26,16,2.5,76.0,0
2022-06-04,39,18,4.5,76.5,0
2022-06-05,30,13,5.5,80.2,0
2022-06-06,39,18,2.5,74.7,0
2022-06-07,35,16,2.2,85.0,0
2022-06-08,20,11,1.7,87.5,0
2022-06-09,26,13,2.5,79.7,0
2022-06-10,21,13,4.7,75.2,0
2022-06-11,38,20,4.3,71.0,0
2022-06-12,37,21,5.2,58.5,0
2022-06-13,72,58,8.0,57.0,0
2022-06-14,87,72,11.5,57.5,0
2022-06-15,55,40,10.6,66.5,0
2022-06-16,82,66,6.5,67.2,0
2022-06-17,98,80,4.7,62.5,0
2022-06-18,63,40,3.7,66.5,0
2022-06-19,50,25,4.5,67.6,0
2022-06-20,51,28,7.7,66.5,0
2022-06-21,58,32,6.7,62.5,0
2022-06-22,61,31,3.3,62.0,0
2022-06-23,56,32,4.2,60.2,0
2022-06-24,56,39,8.0,51.7,0
2022-06-25,51,32,7.5,50.5,0
2022-06-26,28,21,5.5,57.5,0
2022-06-27,38,23,3.7,59.2,0
2022-06-28,43,26,2.0,60.7,0
2022-06-29,43,26,2.7,51.7,0
2022-06-30,52,30,5.5,51.5,0
2022-07-01,52,25,6.0,60.2,0
2022-07-02,33,17,4.2,61.5,0
2022-07-03,37,17,4.2,65.7,0
2022-07-04,38,19,5.7,51.2,0
2022-07-05,42,25,8.2,48.0,0
2022-07-06,51,34,8.0,47.7,0
2022-07-07,43,28,7.2,44.0,0
2022-07-08,34,22,3.2,49.7,0
2022-07-09,27,15,2.3,62.7,0
2022-07-10,24,13,2.5,58.2,0
2022-07-11,40,21,3.2,54.2,0
2022-07-12,35,22,3.5,57.7,0
2022-07-13,29,21,2.5,45.5,0
2022-07-14,45,27,2.7,48.2,0
2022-07-15,43,22,5.5,43.2,0
2022-07-16,45,21,5.5,44.0,0
2022-07-17,40,24,4.5,45.2,0
2022-07-18,49,25,2.7,47.7,0
2022-07-19,56,47,3.0,35.7,0
2022-07-20,58,50,4.0,46.7,0
2022-07-21,46,28,3.7,56.7,0
2022-07-22,53,34,5.6,60.0,0
2022-07-23,52,30,7.5,48.0,0
2022-07-24,45,27,7.2,44.5,0
2022-07-25,33,21,6.2,40.0,0
2022-07-26,29,22,6.7,38.7,0
2022-07-27,30,21,5.2,41.7,0
2022-07-28,32,20,3.2,54.0,0
2022-07-29,27,12,3.7,77.0,0
2022-07-30,33,16,2.5,74.2,0
2022-07-31,50,29,4.5,74.0,0
2022-08-01,52,33,7.5,54.0,0
2022-08-02,33,23,7.5,44.0,0
2022-08-03,37,29,8.0,44.2,0
2022-08-04,52,39,5.2,51.5,0
2022-08-05,60,41,5.0,47.2,0
2022-08-06,55,34,5.7,50.2,0
2022-08-07,42,22,6.7,49.5,0
2022-08-08,41,24,5.7,50.5,0
2022-08-09,33,18,2.5,62.2,0
2022-08-10,33,17,2.2,61.0,0
2022-08-11,33,20,2.5,52.7,0
2022-08-12,38,20,2.6,56.5,0
2022-08-13,43,20,3.5,53.7,0
2022-08-14,46,21,4.2,44.2,0
2022-08-15,35,21,4.7,44.7,0
2022-08-16,41,30,4.5,45.0,0
2022-08-17,26,12,3.2,77.0,0
2022-08-18,22,11,3.0,71.5,0
2022-08-19,29,16,2.6,57.0,0
2022-08-20,32,17,2.7,60.5,0
2022-08-21,25,12,2.0,82.7,0
2022-08-22,28,14,3.2,77.5,0
2022-08-23,31,15,3.0,73.5,0
2022-08-24,32,16,1.9,67.7,0
2022-08-25,41,20,3.0,51.0,0
2022-08-26,38,20,2.3,53.5,0
2022-08-27,28,16,4.6,61.0,0
2022-08-28,27,14,7.0,69.5,0
2022-08-29,19,10,4.2,77.0,0
2022-08-30,22,12,3.0,76.5,0
2022-08-31,28,14,2.7,68.0,0
2022-09-01,21,10,2.0,89.5,0
2022-09-02,26,13,2.2,75.7,0
2022-09-03,25,14,2.0,63.7,0
2022-09-04,27,19,3.0,66.2,0
2022-09-05,35,19,2.0,64.6,0
2022-09-06,36,19,1.7,63.2,0
2022-09-07,37,19,2.7,61.7,0
2022-09-08,38,18,1.5,64.0,0
2022-09-09,45,22,3.5,60.5,0
2022-09-10,48,21,4.0,62.5,0
2022-09-11,31,13,5.0,63.0,0
2022-09-12,36,20,2.0,49.5,0
2022-09-13,50,28,4.3,54.3,0
2022-09-14,46,25,4.0,51.0,0
2022-09-15,46,25,7.0,49.0,0
2022-09-16,50,24,9.0,56.3,0
2022-09-17,28,17,5.0,64.0,0
2022-09-18,25,13,4.8,60.0,0
2022-09-19,30,17,3.5,57.0,0
2022-09-20,27,19,3.5,54.0,0
2022-09-21,26,19,2.6,52.0,0
2022-09-22,35,27,3.0,63.0,0
2022-09-23,40,25,3.0,59.3,0
2022-09-24,54,30,1.5,58.5,0
2022-09-25,34,20,4.0,38.6,0
2022-09-26,25,19,1.2,43.0,0
2022-09-27,38,32,5.0,35.0,0
2022-09-28,44,37,3.3,39.5,0
2022-09-29,53,40,3.2,45.6,0
2022-09-30,54,38,4.0,43.3,0
2022-10-01,41,27,3.0,37.0,0
2022-10-02,40,27,2.5,39.0,0
2022-10-03,38,30,2.6,42.8,0
2022-10-04,46,31,3.0,43.5,0
2022-10-05,50,32,2.5,47.0,0
2022-10-06,43,32,2.0,43.0,0
2022-10-07,56,41,3.0,60.0,0
2022-10-08,25,22,2.6,62.5,0
2022-10-09,44,19,5.3,74.5,0
2022-10-10,61,27,3.3,73.0,0
2022-10-11,41,18,9.5,78.0,0
2022-10-12,30,19,5.5,60.0,0
2022-10-13,23,23,4.0,38.0,0
2022-10-14,28,27,4.5,39.0,0
2022-10-15,37,23,4.3,52.7,0
2022-10-16,27,17,4.0,66.0,0
2022-10-17,28,21,4.5,42.0,0
2022-10-18,23,29,4.5,34.0,0
2022-10-19,26,30,5.0,40.0,0
2022-10-20,33,30,3.0,47.0,0
2022-10-21,29,26,8.0,37.0,0
2022-10-22,24,24,11.6,46.5,0
2022-10-23,28,19,12.5,58.0,0
2022-10-24,24,11,8.0,86.0,0
2022-10-25,14,9,7.5,64.0,0
2022-10-26,19,12,2.0,56.0,0
2022-10-27,28,14,5.0,53.0,0
2022-10-28,47,15,2.6,81.0,0
2022-10-29,45,15,3.0,80.0,0
2022-10-30,56,20,3.5,77.5,0
2022-10-31,38,18,2.0,64.0,0
2022-11-01,34,16,5.3,62.5,0
2022-11-02,53,20,5.5,80.5,0
2022-11-03,55,20,5.0,84.5,0
2022-11-04,23,10,5.5,87.5,0
2022-11-05,17,8,5.0,72.0,0
2022-11-06,24,15,3.6,64.0,0
2022-11-07,35,17,2.6,80.0,0
2022-11-08,45,15,3.1,89.5,0
2022-11-09,51,20,5.5,78.5,0
2022-11-10,28,13,8.0,86.0,0
2022-11-11,16,9,9.0,68.0,0
2022-11-12,18,10,4.0,60.5,0
2022-11-13,25,11,4.0,56.0,0
2022-11-14,27,10,3.0,80.5,0
2022-11-15,43,13,5.3,76.0,0
2022-11-16,40,14,4.5,70.5,0
2022-11-17,30,15,4.0,62.7,0
2022-11-18,18,10,5.0,54.0,0
2022-11-19,22,15,3.5,50.0,0
2022-11-20,28,19,4.0,52.0,0
2022-11-21,30,19,4.6,64.0,0
2022-11-22,35,17,5.0,82.0,0
2022-11-23,44,13,6.0,92.0,0
2022-11-24,36,10,3.6,90.0,0
2022-11-25,43,17,4.0,71.0,0
2022-11-26,30,9,2.5,92.0,0
2022-11-27,19,10,5.5,80.5,0
2022-11-28,23,12,5.0,73.5,0
2022-11-29,22,10,6.5,69.8,0
2022-11-30,15,9,2.5,55.0,0
2022-12-01,19,16,8.0,49.3,0
2022-12-02,30,10,9.5,89.0,0
2022-12-03,22,14,4.0,52.0,0
2022-12-04,31,15,1.6,67.5,0
2022-12-05,41,19,3.0,82.0,0
2022-12-06,40,13,3.5,90.0,0
2022-12-07,58,23,1.6,90.0,0
2022-12-08,38,13,2.5,94.0,0
2022-12-09,41,15,2.5,83.5,0
2022-12-10,45,15,3.0,89.0,0
2022-12-11,40,12,2.0,92.0,0
2022-12-12,31,10,4.0,93.0,0
2022-12-13,14,8,6.5,59.0,0
2022-12-14,19,15,5.5,55.0,0
2022-12-15,18,13,7.0,52.0,0
2022-12-16,17,17,7.5,45.6,0
2022-12-17,19,20,4.7,52.0,0
2022-12-18,26,17,6.0,44.0,0
2022-12-19,22,13,7.0,54.5,0
2022-12-20,52,20,5.5,82.3,0
2022-12-21,59,25,4.3,81.5,0
2022-12-22,28,21,14.5,76.0,0
2022-12-23,21,20,9.0,52.0,0
2022-12-24,17,16,2.0,48.2,0
2022-12-25,28,20,3.5,40.0,0
2022-12-26,25,16,6.0,54.7,0
2022-12-27,30,20,7.7,54.7,0
2022-12-28,27,20,14.2,52.2,0
2022-12-29,24,19,7.0,57.7,0
2022-12-30,13,10,2.5,65.2,0
2022-12-31,24,16,7.5,67.2,0
