Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,0,6,0.0,92.0,0
2022-01-02,0,4,0.3,92.0,0
2022-01-03,0,5,1.5,92.0,0
2022-01-04,0,4,5.0,90.0,0
2022-01-05,0,7,3.0,91.0,0
2022-01-06,0,6,2.8,87.5,0
2022-01-07,0,6,2.3,92.2,0
2022-01-08,0,8,2.0,86.2,0
2022-01-09,0,9,2.3,86.0,0
2022-01-10,0,13,1.2,91.0,0
2022-01-11,0,4,2.0,93.0,0
2022-01-12,0,4,2.7,93.0,0
2022-01-13,0,5,3.3,91.6,0
2022-01-14,0,5,2.0,92.0,0
2022-01-15,0,5,1.3,92.2,0
2022-01-16,0,2,3.2,92.0,0
2022-01-17,0,7,4.3,86.7,0
2022-01-18,0,6,2.0,89.0,0
2022-01-24,0,0,3.0,84.0,0
2022-01-25,0,0,2.0,87.7,0
2022-01-26,0,0,3.3,92.0,0
2022-01-27,0,0,1.5,93.0,0
2022-01-28,0,0,2.0,93.0,0
2022-01-29,0,3,3.3,92.0,0
2022-01-30,0,5,4.1,86.0,0
2022-01-31,0,9,2.0,80.5,0
2022-02-01,0,7,2.2,92.0,0
2022-02-02,0,8,2.2,90.3,0
2022-02-03,0,12,0.5,87.6,0
2022-02-04,0,6,3.5,91.0,0
2022-02-05,0,6,4.0,93.0,0
2022-02-06,0,5,4.7,93.0,0
2022-02-07,0,7,1.5,93.0,0
2022-02-08,0,4,1.2,93.0,0
2022-02-09,0,5,1.0,93.0,0
2022-02-10,0,5,1.6,91.7,0
2022-02-11,0,5,1.5,91.0,0
2022-02-12,0,6,0.2,93.0,0
2022-02-13,0,3,2.7,93.0,0
2022-02-14,0,8,1.2,91.0,0
2022-02-15,0,6,2.7,91.0,0
2022-02-16,0,4,4.7,93.0,0
2022-02-17,0,4,5.0,93.0,0
2022-02-18,0,5,1.0,93.0,0
2022-02-19,0,6,0.2,93.0,0
2022-02-20,0,7,0.2,93.0,0
2022-02-21,0,8,1.0,91.2,0
2022-02-22,0,11,0.5,89.0,0
2022-02-23,0,12,1.5,88.7,0
2022-02-24,0,4,3.2,93.0,0
2022-02-25,0,6,1.2,92.2,0
2022-02-26,0,8,1.5,90.2,0
2022-02-27,0,5,2.0,84.5,0
2022-02-28,0,7,1.0,88.0,0
2022-03-01,0,8,2.0,89.7,0
2022-03-02,0,6,2.5,83.0,0
2022-03-03,0,6,1.5,87.7,0
2022-03-04,0,9,0.2,88.2,0
2022-03-05,0,5,1.5,88.0,0
2022-03-06,0,4,1.0,91.5,0
2022-03-07,0,6,3.5,88.2,0
2022-03-08,0,6,1.7,92.0,0
2022-03-09,0,6,1.0,90.0,0
2022-03-10,0,6,3.2,91.0,0
2022-03-11,0,8,1.5,92.0,0
2022-03-12,0,9,0.5,92.0,0
2022-03-13,0,10,0.5,90.7,0
2022-03-14,0,12,0.2,91.5,0
2022-03-15,0,21,0.7,88.0,0
2022-03-16,0,18,1.0,88.0,0
2022-03-17,0,16,1.5,69.0,0
2022-03-18,0,15,2.0,84.2,0
2022-03-19,0,7,3.5,84.5,0
2022-03-20,0,9,2.0,84.2,0
2022-03-21,0,8,1.0,88.2,0
2022-03-22,0,13,0.7,82.0,0
2022-03-23,0,16,1.2,84.7,0
2022-03-24,0,10,4.0,76.0,0
2022-03-25,0,4,2.2,93.0,0
2022-03-26,0,7,6.2,69.7,0
2022-03-27,0,20,1.0,68.5,0
2022-03-28,0,7,6.2,76.7,0
2022-03-29,0,9,1.5,80.2,0
2022-03-30,0,9,1.2,80.0,0
2022-03-31,0,14,2.2,86.5,0
2022-04-01,0,30,1.6,85.0,0
2022-04-02,0,14,1.7,88.2,0
2022-04-03,0,5,0.7,87.7,0
2022-04-04,0,12,5.0,87.2,0
2022-04-05,0,4,3.5,91.7,0
2022-04-06,0,5,4.2,82.5,0
2022-04-07,0,5,4.5,86.5,0
2022-04-08,0,5,6.0,87.0,0
2022-04-09,0,4,2.0,91.0,0
2022-04-10,0,6,2.5,84.5,0
2022-04-11,0,6,1.5,90.7,0
2022-04-12,0,18,1.0,86.0,0
2022-04-13,0,31,1.0,79.0,0
2022-04-14,0,7,0.5,90.5,0
2022-04-15,0,8,3.0,75.2,0
2022-04-16,0,20,1.2,80.2,0
2022-04-17,0,14,0.7,87.2,0
2022-04-18,0,15,0.7,84.5,0
2022-04-19,0,25,1.2,84.0,0
2022-04-20,0,42,0.2,70.0,0
2022-04-21,0,38,0.7,69.5,0
2022-04-22,0,23,3.7,67.2,0
2022-04-23,0,12,1.5,76.7,0
2022-04-24,0,18,1.5,60.7,0
2022-04-25,0,33,0.2,66.2,0
2022-04-26,0,13,3.0,73.7,0
2022-04-27,0,19,2.2,70.0,0
2022-04-28,0,15,2.5,76.0,0
2022-04-29,0,19,2.0,68.7,0
2022-04-30,0,10,1.7,77.5,0
2022-05-01,0,10,1.0,79.7,0
2022-05-02,0,5,2.2,81.7,0
2022-05-03,0,9,3.2,58.2,0
2022-05-04,0,11,1.7,68.0,0
2022-05-05,0,17,1.7,65.5,0
2022-05-06,0,17,1.5,67.2,0
2022-05-07,0,10,1.2,78.7,0
2022-05-08,0,8,2.0,67.7,0
2022-05-09,0,10,1.7,66.0,0
2022-05-10,0,18,1.2,65.2,0
2022-05-11,0,6,1.7,92.2,0
2022-05-12,0,7,0.2,91.7,0
2022-05-13,0,9,1.7,82.5,0
2022-05-14,0,11,1.0,65.0,0
2022-05-15,0,6,0.7,81.5,0
2022-05-16,0,8,2.0,76.5,0
2022-05-17,0,5,2.2,74.2,0
2022-05-18,0,7,1.7,65.5,0
2022-05-19,0,9,2.5,55.0,0
2022-05-20,0,12,1.5,47.7,0
