Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,6,6,5.1,59.4,0.0
2022-01-02,5,6,4.1,51.1,0.0
2022-01-03,10,9,4.6,57.9,0.0
2022-01-04,8,8,4.1,48.2,0.0
2022-01-05,7,8,4.1,59.4,0.0
2022-01-06,11,12,4.6,57.9,0.0
2022-01-07,8,9,3.4,47.1,0.0
2022-01-08,7,9,6.5,51.9,0.0
2022-01-09,6,7,5.1,59.3,0.0
2022-01-10,5,6,3.6,46.0,0.0
2022-01-11,7,8,4.1,45.1,0.0
2022-01-12,8,9,4.7,52.9,0.0
2022-01-13,10,11,4.6,76.7,0.0
2022-01-14,6,7,4.6,71.0,0.0
2022-01-15,5,5,5.1,64.4,0.0
2022-01-16,9,7,5.1,59.3,0.0
2022-01-17,9,11,4.6,54.0,0.0
2022-01-18,8,9,4.8,38.1,0.0
2022-01-19,7,8,4.1,24.0,0.0
2022-01-20,8,9,3.6,23.5,0.0
2022-01-21,7,7,3.0,23.9,0.0
2022-01-22,8,9,3.0,29.6,0.0
2022-01-23,10,10,5.1,42.2,0.0
2022-01-24,5,6,1.7,42.1,0.0
2022-01-25,4,4,3.0,49.2,0.0
2022-01-26,4,5,4.1,61.0,0.0
2022-01-27,6,6,4.6,58.0,0.0
2022-01-28,6,6,3.8,50.1,0.0
2022-01-29,6,7,5.1,43.8,0.0
2022-01-30,11,12,5.1,62.0,0.0
2022-01-31,6,8,3.6,46.9,0.0
2022-02-01,6,10,2.1,36.8,0.0
2022-02-02,6,10,3.6,29.1,0.0
2022-02-03,6,8,3.8,25.0,0.0
2022-02-04,7,8,4.6,23.0,0.0
2022-02-05,8,8,3.8,42.2,0.0
2022-02-06,9,9,6.6,68.1,0.1
2022-02-07,5,8,8.2,56.1,0.1
2022-02-08,0,0,3.6,66.9,0.0
2022-02-09,10,8,4.6,64.8,0.0
2022-02-10,0,0,5.0,57.1,0.0
2022-02-11,0,0,4.2,74.8,0.0
2022-02-12,0,0,4.6,67.8,0.0
2022-02-13,0,0,4.3,59.8,0.0
2022-02-14,0,0,4.1,53.1,0.0
2022-02-15,12,10,3.6,55.9,0.0
2022-02-16,11,10,4.6,40.2,0.0
2022-02-17,7,8,3.6,36.1,0.0
2022-02-18,5,7,3.1,36.1,0.0
2022-02-19,8,9,3.0,42.4,0.0
2022-02-20,7,8,3.6,37.2,0.0
2022-02-21,7,8,5.1,54.8,0.0
2022-02-22,9,10,4.6,71.0,0.0
2022-02-23,4,6,4.1,55.9,0.0
2022-02-24,5,7,3.8,62.0,0.0
2022-02-25,8,10,3.6,66.1,0.0
2022-02-26,7,9,4.6,60.3,99.2
2022-02-27,5,5,4.1,54.8,0.0
2022-02-28,8,8,4.6,66.8,0.0
2022-03-01,5,6,5.6,75.2,0.0
2022-03-02,3,4,4.1,69.2,0.2
2022-03-03,4,5,4.1,62.8,0.2
2022-03-04,4,5,3.6,52.2,0.0
2022-03-05,4,4,3.6,56.6,0.0
2022-03-06,4,4,4.6,50.4,0.0
2022-03-07,4,4,3.0,42.2,0.0
2022-03-08,3,5,3.6,48.3,0.0
2022-03-09,4,5,3.6,36.1,0.0
2022-03-10,5,5,3.0,30.8,0.0
2022-03-11,6,7,2.8,30.2,0.0
2022-03-12,10,10,3.9,69.6,0.0
2022-03-13,8,8,3.4,69.0,0.0
2022-03-14,10,10,3.6,81.2,0.0
2022-03-15,6,5,4.3,77.5,0.0
2022-03-16,3,5,4.4,73.2,99.0
2022-03-17,6,5,3.8,74.8,0.0
2022-03-18,16,11,2.8,78.8,0.0
2022-03-19,4,5,2.6,55.3,0.0
2022-03-20,6,6,4.1,66.4,99.0
2022-03-21,5,5,4.1,62.4,0.0
2022-03-22,4,5,4.1,54.5,0.0
2022-03-23,6,7,3.6,42.5,0.0
2022-03-24,8,8,3.6,40.0,0.0
2022-03-25,6,9,2.8,36.1,0.0
2022-03-26,6,6,3.6,73.6,99.2
2022-03-27,4,2,4.6,70.0,99.2
2022-03-28,5,4,1.9,71.0,99.0
2022-03-29,6,4,3.6,66.7,0.0
2022-03-30,5,3,2.6,71.9,0.0
2022-03-31,5,4,3.6,63.0,99.0
2022-04-01,5,5,3.2,54.8,99.2
2022-04-02,5,5,2.5,52.9,0.0
2022-04-03,7,5,3.4,68.9,99.2
2022-04-04,3,3,4.6,68.0,0.0
2022-04-05,4,5,3.0,62.0,0.0
2022-04-06,5,5,3.6,58.0,0.0
