Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,27,0,0.6,98.0,0
2022-01-02,18,0,2.3,91.0,0
2022-01-03,15,0,4.1,68.0,0
2022-01-04,22,0,2.2,62.7,0
2022-01-05,34,0,2.0,86.0,0
2022-01-06,44,0,2.5,55.7,0
2022-01-07,39,0,5.1,61.0,0
2022-01-08,26,0,1.8,57.0,0
2022-01-09,37,0,2.3,80.0,0
2022-01-10,24,0,4.1,50.0,0
2022-01-11,18,0,2.5,47.0,0
2022-01-12,35,0,2.4,62.0,0
2022-01-13,74,0,0.5,74.0,0
2022-01-14,50,0,4.5,60.0,0
2022-01-15,18,0,3.8,37.0,0
2022-01-16,39,0,2.1,64.5,0
2022-01-17,24,0,5.1,74.0,0
2022-01-18,25,0,3.4,56.5,0
2022-01-19,41,0,2.0,59.2,0
2022-01-20,31,0,2.5,71.7,0
2022-01-21,21,0,3.2,49.2,0
2022-01-22,28,0,1.8,49.0,0
2022-01-23,53,0,1.5,60.6,0
2022-01-24,57,0,1.7,69.0,0
2022-01-25,54,0,1.7,64.0,0
2022-01-26,23,0,3.0,49.0,0
2022-01-27,54,0,1.3,54.6,0
2022-01-28,66,0,1.4,85.0,0
2022-01-29,23,0,5.4,82.8,0
2022-01-30,29,0,2.1,50.0,0
2022-01-31,58,0,1.5,63.9,0
2022-02-01,56,0,1.5,67.5,0
2022-02-02,67,0,0.8,89.0,0
2022-02-03,37,0,0.7,96.5,0
2022-02-04,18,0,3.3,93.0,0
2022-02-05,26,0,3.9,60.2,0
2022-02-06,27,0,1.3,59.0,0
2022-02-07,48,0,1.6,92.0,0
2022-02-08,65,0,2.0,66.7,0
2022-02-09,57,0,1.4,66.0,0
2022-02-10,38,0,1.6,66.0,0
2022-02-11,29,0,2.3,46.2,0
2022-02-12,32,0,3.0,47.0,0
2022-02-13,29,0,2.0,85.3,0
2022-02-14,33,0,3.0,50.7,0
2022-02-15,50,0,1.1,50.0,0
2022-02-16,50,0,1.5,68.0,0
2022-02-17,26,0,3.0,73.4,0
2022-02-18,18,0,5.6,57.7,0
2022-02-19,25,0,4.6,52.0,0
2022-02-20,22,0,2.4,49.1,0
2022-02-21,34,0,1.5,61.0,0
2022-02-22,28,0,2.0,83.5,0
2022-02-23,27,0,3.6,72.0,0
2022-02-24,28,0,3.0,55.0,0
2022-02-25,20,0,3.8,87.0,0
2022-02-26,26,0,2.0,55.3,0
2022-02-27,47,0,2.6,46.2,0
2022-02-28,25,0,2.3,44.7,0
2022-03-01,33,0,1.6,60.1,0
2022-03-02,55,0,1.5,60.2,0
2022-03-03,29,0,3.7,40.0,0
2022-03-04,32,0,2.3,43.0,0
2022-03-05,54,0,1.3,63.0,0
2022-03-06,57,0,2.5,76.1,0
2022-03-07,39,0,3.6,64.7,0
2022-03-08,17,0,3.0,48.7,0
2022-03-09,28,0,2.0,90.0,0
2022-03-10,48,0,1.1,79.6,0
2022-03-11,34,0,1.5,75.8,0
2022-03-12,20,0,4.1,87.0,0
2022-03-13,24,0,3.6,49.0,0
2022-03-14,31,0,2.3,54.7,0
2022-03-15,34,0,1.6,50.7,0
2022-03-16,49,0,1.1,57.0,0
2022-03-17,51,0,1.8,93.0,0
2022-03-18,44,0,1.7,87.0,0
2022-03-19,31,0,2.0,76.5,0
2022-03-20,13,0,3.0,59.0,0
2022-03-21,18,0,2.6,42.7,0
2022-03-22,25,0,1.6,37.0,0
2022-03-23,19,0,3.5,54.5,0
2022-03-24,23,0,2.6,95.0,0
2022-03-25,26,0,3.0,58.7,0
2022-03-26,20,0,4.0,58.5,0
2022-03-27,13,0,5.1,51.3,0
2022-03-28,14,0,4.6,40.2,0
2022-03-29,20,0,3.6,42.6,0
2022-03-30,34,0,1.3,48.9,0
2022-03-31,45,0,3.6,78.5,0
2022-04-01,23,0,4.3,50.2,0
2022-04-02,19,0,2.8,48.0,0
2022-04-03,34,0,2.0,72.5,0
2022-04-04,30,0,3.2,56.0,0
2022-04-05,39,0,1.6,74.3,0
2022-04-06,18,0,2.6,93.0,0
2022-04-07,16,0,2.4,95.0,0
2022-04-08,23,0,2.8,66.0,0
2022-04-09,21,0,2.1,68.1,0
2022-04-10,13,0,3.9,53.5,0
2022-04-11,18,0,1.6,53.0,0
2022-04-12,25,0,1.4,66.5,0
2022-04-13,52,0,1.5,63.5,0
2022-04-14,48,0,3.5,59.0,0
2022-04-15,18,0,3.0,38.0,0
2022-04-16,21,0,3.9,48.3,0
2022-04-17,17,0,2.1,49.4,0
2022-04-18,15,0,3.6,65.0,0
