Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,15,8,3.1,46.8,0
2022-01-02,23,9,0.9,44.0,0
2022-01-03,36,19,0.9,46.5,0
2022-01-04,49,25,0.9,55.0,0
2022-01-05,56,28,0.9,55.4,0
2022-01-06,68,36,0.8,51.7,0
2022-01-07,58,32,0.9,62.0,0
2022-01-08,55,23,0.9,68.0,0
2022-01-09,50,20,0.4,64.8,0
2022-01-10,15,14,1.8,31.6,0
2022-01-11,25,16,1.3,36.6,0
2022-01-12,48,30,0.9,36.0,0
2022-01-13,51,35,0.9,44.0,0
2022-01-14,55,37,0.9,45.8,0
2022-01-15,24,16,1.3,29.0,0
2022-01-16,25,15,0.9,33.1,0
2022-01-17,51,34,0.9,41.0,0
2022-01-18,40,28,0.9,46.0,0
2022-01-19,32,22,0.9,58.0,0
2022-01-20,39,24,0.9,46.0,0
2022-01-21,27,18,0.9,36.2,0
2022-01-22,21,16,1.3,41.4,0
2022-01-23,21,9,1.3,49.6,0
2022-01-24,43,24,0.9,55.1,0
2022-01-25,46,26,1.1,45.2,0
2022-01-26,32,21,0.9,35.8,0
2022-01-27,39,25,0.9,33.0,0
2022-01-28,13,17,3.1,19.0,0
2022-01-29,21,17,1.5,24.3,0
2022-01-30,24,18,1.3,27.0,0
2022-01-31,42,29,0.9,35.2,0
2022-02-01,45,32,0.9,36.4,0
2022-02-02,21,31,2.2,20.6,0
2022-02-03,15,12,1.3,18.2,0
2022-02-04,22,15,2.2,18.1,0
2022-02-05,16,13,1.3,22.2,0
2022-02-06,35,17,1.3,18.5,0
2022-02-07,19,14,1.8,19.3,0
2022-02-08,36,23,1.1,26.0,0
2022-02-09,28,24,1.3,19.4,0
2022-02-10,22,18,1.3,22.0,0
2022-02-11,34,30,1.1,29.6,0
2022-02-12,33,23,1.3,20.0,0
2022-02-13,33,20,0.9,20.8,0
2022-02-14,34,28,0.9,23.2,0
2022-02-15,32,38,1.3,20.8,0
2022-02-16,20,21,1.8,38.2,0
2022-02-17,20,15,1.3,34.0,0
2022-02-18,35,25,0.9,25.0,0
2022-02-19,30,21,0.9,24.7,0
2022-02-20,31,20,1.1,22.4,0
2022-02-21,30,29,2.2,32.0,0
2022-02-22,22,16,1.8,46.7,0
2022-02-23,16,8,2.2,66.0,0
2022-02-24,25,11,0.9,58.0,0
2022-02-25,38,19,0.9,44.0,0
2022-02-26,46,21,0.9,37.0,0
2022-02-27,18,9,1.3,24.0,0
2022-02-28,30,17,0.6,26.5,0
2022-03-01,25,21,0.9,20.2,0
2022-03-02,34,31,0.9,33.2,0
2022-03-03,32,25,1.3,24.1,0
2022-03-04,15,16,3.1,32.7,0
2022-03-05,16,12,2.7,43.2,0
2022-03-06,25,17,1.3,42.0,0
