Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,200,98,1.5,78.6,0
2022-01-02,205,104,1.5,92.9,0
2022-01-03,208,107,1.5,88.6,0
2022-01-04,195,94,1.5,67.1,0
2022-01-05,221,108,1.0,52.1,0
2022-01-06,212,105,1.5,79.2,0
2022-01-07,212,105,2.0,76.3,0
2022-01-08,216,106,1.0,90.2,0
2022-01-09,199,100,0.5,75.0,0
2022-01-10,197,95,2.0,78.4,0
2022-01-11,201,101,2.0,68.3,0
2022-01-12,178,77,2.5,74.6,0
2022-01-13,176,76,2.0,67.7,0
2022-01-14,175,74,1.0,60.3,0
2022-01-15,186,84,1.0,78.5,0
2022-01-16,193,91,1.0,75.6,0
2022-01-17,219,108,1.5,72.3,0
2022-01-18,216,106,1.5,60.7,0
2022-01-19,197,96,1.0,66.8,0
2022-01-20,226,111,2.0,80.6,0
2022-01-21,187,86,1.0,61.3,0
2022-01-22,180,79,1.0,84.8,0
2022-01-23,170,70,1.5,67.8,0
2022-01-24,182,81,1.5,68.4,0
2022-01-25,212,104,1.5,61.8,0
2022-01-26,210,103,1.0,71.1,0
2022-01-27,204,100,1.5,58.2,0
2022-01-28,206,102,1.0,57.7,0
2022-01-29,209,103,0.0,0.0,0
2022-01-30,213,105,1.0,43.3,0
2022-01-31,209,103,1.5,55.6,0
2022-02-01,210,103,2.0,64.2,0
2022-02-02,199,97,1.5,70.4,0
2022-02-03,197,95,1.5,83.1,0
2022-02-04,185,84,1.5,95.4,0
2022-02-05,180,80,1.0,74.2,0
2022-02-06,187,86,1.5,66.0,0
2022-02-07,189,88,2.0,72.2,0
2022-02-08,192,90,1.5,75.5,0
2022-02-09,190,89,2.0,64.2,0
2022-02-10,187,85,3.0,68.9,0
2022-02-11,192,91,0.5,89.3,0
2022-02-12,192,90,1.5,61.8,0
2022-02-13,194,92,1.0,67.8,0
2022-03-27,0,0,1.5,44.2,0
2022-03-28,0,0,1.5,63.3,0
2022-03-29,0,0,1.0,70.3,0
2022-03-30,0,0,1.5,79.7,0
2022-03-31,126,45,0.5,85.2,0
2022-04-01,122,46,2.0,77.1,0
2022-04-02,124,48,1.5,93.6,0
2022-04-03,108,43,1.5,88.5,0
2022-04-04,94,36,1.0,68.5,0
2022-04-05,99,38,2.0,65.9,0
2022-04-06,102,41,1.5,66.8,0
2022-04-07,101,42,2.0,79.4,0
2022-04-08,106,39,1.5,88.4,0
2022-04-09,95,36,1.5,88.5,0
2022-04-10,84,30,4.0,84.6,0
2022-04-11,81,29,2.0,75.3,0
2022-04-12,82,28,2.0,78.2,0
2022-04-13,86,32,1.5,83.9,0
2022-04-14,60,21,3.6,42.0,0
2022-04-15,66,36,1.5,48.6,0
2022-04-16,77,49,1.5,58.1,0
2022-04-17,68,45,2.0,47.8,0
2022-04-18,96,51,2.0,57.2,0
2022-04-19,133,58,2.5,63.8,0
2022-04-20,97,42,2.0,74.8,0
2022-04-21,67,24,1.5,57.8,0
2022-04-22,79,35,1.0,75.4,0
2022-04-23,60,26,1.5,58.8,0
2022-04-24,79,34,1.5,50.8,0
2022-04-25,79,38,1.0,50.1,0
2022-04-26,116,55,2.0,60.9,0
2022-04-27,106,56,2.0,50.2,0
2022-04-28,107,51,3.0,66.0,0
2022-04-29,95,45,3.0,68.7,0
2022-04-30,70,36,2.0,77.9,0
2022-05-01,71,33,1.5,61.5,0
2022-05-02,70,31,2.0,66.9,0
2022-05-03,64,23,2.0,63.7,0
2022-05-04,68,23,1.5,60.5,0
2022-05-05,37,12,2.0,65.4,0
2022-05-06,58,20,1.5,79.3,0
2022-05-07,60,21,1.0,75.5,0
2022-05-08,48,15,0.0,0.0,0
2022-05-09,50,18,3.0,74.6,0
2022-05-10,70,25,3.0,64.4,0
2022-05-11,56,20,2.0,73.9,0
2022-05-12,60,20,2.5,70.7,0
2022-05-13,60,22,2.0,68.8,0
2022-05-14,62,23,4.0,88.0,0
2022-05-15,70,24,5.0,62.1,0
2022-05-16,71,27,3.0,95.8,0
2022-05-17,64,25,2.5,67.4,0
2022-05-18,65,27,1.0,61.6,0
2022-05-19,69,27,3.0,73.1,0
2022-05-20,78,29,2.0,87.9,0
2022-05-21,73,26,1.5,71.2,0
2022-05-22,69,27,1.5,82.8,0
2022-05-23,55,25,2.0,54.7,0
2022-05-24,59,22,3.0,65.3,0
2022-05-25,75,26,2.5,88.4,0
2022-05-26,65,22,2.0,71.6,0
2022-05-27,56,19,2.0,71.4,0
2022-05-28,66,23,2.0,81.9,0
2022-05-29,87,35,1.5,75.3,0
2022-05-30,72,27,2.0,78.1,0
2022-05-31,65,24,2.5,72.9,0
2022-06-01,80,35,1.5,69.3,0
2022-06-02,72,29,2.5,79.6,0
2022-06-03,66,24,2.0,72.5,0
2022-06-04,73,26,2.0,71.3,0
2022-06-05,70,23,2.0,79.8,0
2022-06-06,70,22,1.5,75.3,0
2022-06-07,74,25,2.0,77.1,0
2022-06-08,49,12,1.5,78.8,0
2022-06-09,50,14,1.5,75.3,0
2022-06-10,73,28,2.0,73.9,0
2022-06-11,60,20,2.5,76.6,0
2022-06-12,64,23,1.5,67.4,0
2022-06-13,68,23,2.5,73.2,0
2022-06-14,69,23,1.5,73.3,0
2022-06-15,0,0,1.5,90.9,0
2022-06-16,0,0,1.5,91.4,0
2022-06-17,36,10,2.0,79.7,0
2022-06-18,36,13,1.5,71.8,0
2022-06-19,24,9,2.0,66.7,0
2022-06-20,51,16,2.0,76.1,0
2022-06-21,59,22,2.0,69.4,0
2022-06-22,35,11,2.5,67.4,0
2022-06-23,46,13,0.0,0.0,0
2022-10-12,0,0,1.0,64.3,0
2022-10-13,0,0,1.0,73.7,0
2022-10-14,0,0,1.0,71.7,0
2022-10-15,0,0,1.5,62.1,0
2022-10-16,0,0,1.5,61.0,0
2022-10-17,0,0,1.5,69.5,0
2022-10-18,70,23,1.0,72.6,0
2022-10-19,68,19,1.5,62.8,0
2022-10-20,54,13,1.5,68.2,0
2022-10-21,62,17,2.0,78.2,0
2022-10-22,64,17,2.0,60.3,0
2022-10-23,64,18,1.5,57.4,0
2022-10-24,55,14,1.0,70.2,0
2022-10-25,58,15,1.0,80.6,0
2022-10-26,71,20,1.5,76.2,0
2022-10-27,93,30,1.5,65.7,0
2022-10-28,102,33,1.5,77.5,0
2022-10-29,88,28,1.0,74.7,0
2022-10-30,78,24,1.0,61.6,0
2022-10-31,80,24,1.5,80.1,0
2022-11-01,72,21,1.5,79.5,0
2022-11-02,67,19,1.0,78.9,0
2022-11-03,68,20,1.5,73.3,0
2022-11-04,68,19,2.0,58.4,0
2022-11-05,69,20,1.5,76.2,0
2022-11-06,75,23,1.5,77.5,0
2022-11-07,91,34,1.5,83.5,0
