Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,13,0,1.0,1.0,0
2022-01-02,9,0,3.5,16.7,0
2022-01-03,17,0,7.2,53.2,0
2022-01-04,17,0,3.5,52.7,0
2022-01-05,21,0,3.2,1.0,0
2022-01-06,25,0,3.0,58.1,0
2022-01-07,21,0,9.7,65.5,0
2022-01-08,17,0,7.0,58.2,0
2022-01-09,25,0,6.0,63.6,0
2022-01-10,13,0,4.2,54.4,0
2022-01-11,17,0,5.2,53.2,0
2022-01-12,34,0,2.0,58.0,0
2022-01-13,46,0,1.7,65.4,0
2022-01-14,38,0,3.0,54.3,0
2022-01-15,17,0,6.2,45.0,0
2022-01-16,25,0,4.5,54.5,0
2022-01-17,17,0,3.7,74.8,0
2022-01-18,13,0,4.2,51.6,0
2022-01-19,21,0,2.7,56.2,0
2022-01-20,25,0,3.7,53.9,0
2022-01-21,21,0,6.2,56.8,0
2022-01-22,25,0,9.0,58.5,0
2022-01-23,46,0,5.0,55.5,0
2022-01-24,50,0,1.5,57.0,0
2022-01-25,42,0,4.7,58.5,0
2022-01-26,13,0,6.5,47.5,0
2022-01-27,30,0,1.7,57.0,0
2022-01-28,57,0,2.7,57.5,0
2022-01-29,25,0,3.2,90.0,0
2022-01-30,13,0,11.5,60.7,0
2022-01-31,34,0,0.5,56.2,0
2022-02-01,46,0,4.0,64.0,0
2022-02-02,55,0,0.5,27.2,0
2022-02-03,30,0,1.0,1.0,0
2022-02-04,9,0,0.4,91.9,0
2022-02-05,21,0,4.2,64.0,0
2022-02-06,21,0,5.2,57.0,0
2022-02-07,46,0,1.5,1.0,0
2022-02-08,17,0,5.7,20.5,0
2022-02-09,21,0,3.0,50.5,0
2022-02-10,21,0,2.7,51.2,0
2022-02-11,21,0,1.3,45.5,0
2022-02-12,25,0,2.2,49.5,0
2022-02-13,17,0,1.2,56.8,0
2022-02-14,17,0,6.2,48.4,0
2022-02-15,17,0,4.2,55.0,0
2022-02-16,25,0,3.0,60.2,0
2022-02-17,25,0,3.2,2.2,0
2022-02-18,13,0,6.2,52.8,0
2022-02-19,13,0,3.5,54.5,0
2022-02-20,13,0,5.0,54.5,0
2022-02-21,21,0,7.2,55.7,0
2022-02-22,34,0,2.0,1.0,0
2022-02-23,25,0,3.0,53.7,0
2022-02-24,13,0,2.7,48.7,0
2022-02-25,13,0,3.2,56.2,0
2022-02-26,25,0,3.5,53.2,0
2022-02-27,21,0,1.5,51.3,0
2022-02-28,9,0,4.7,43.7,0
2022-03-01,17,0,1.7,55.0,0
2022-03-02,21,0,3.2,51.2,0
2022-03-03,17,0,7.0,44.1,0
2022-03-04,21,0,2.2,55.2,0
2022-03-05,34,0,1.7,53.0,0
2022-03-06,38,0,4.0,16.0,0
2022-03-07,34,0,2.5,1.5,0
2022-03-08,13,0,2.0,48.2,0
2022-03-09,17,0,3.5,53.9,0
2022-03-10,25,0,1.5,43.3,0
2022-03-11,38,0,0.7,46.3,0
2022-03-12,17,0,1.6,66.5,0
2022-03-13,17,0,9.2,54.2,0
