Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,71,45,1.3,76.3,0.0
2022-01-02,53,23,1.3,76.6,0.0
2022-01-03,58,31,1.3,70.9,0.0
2022-01-04,59,28,1.4,75.0,0.1
2022-01-05,32,11,1.2,92.1,0.3
2022-02-11,38,15,1.4,85.6,0.4
2022-02-12,35,13,1.1,82.9,0.2
2022-02-13,33,10,1.0,87.5,1.1
2022-02-14,48,20,1.0,83.8,0.6
2022-02-15,58,20,1.1,84.9,0.1
2022-02-16,71,36,1.1,80.5,0.1
2022-02-17,66,24,1.2,83.7,0.3
2022-02-18,56,16,1.1,86.6,0.6
2022-02-19,37,16,1.1,85.0,0.2
2022-02-20,33,8,1.2,86.2,0.3
2022-02-21,40,12,1.2,84.2,0.3
2022-02-22,70,28,1.0,84.4,1.5
2022-02-23,81,29,1.0,87.0,0.8
2022-02-24,39,9,0.9,90.8,0.1
2022-02-25,48,16,1.1,89.7,0.1
2022-02-26,51,14,1.2,89.2,0.4
2022-02-27,43,15,1.0,90.8,0.4
2022-02-28,44,14,0.8,90.8,0.4
2022-03-01,40,8,1.1,90.2,0.3
2022-03-02,42,11,1.1,89.6,0.6
2022-03-03,46,16,1.0,87.6,0.2
2022-03-04,46,16,0.9,84.6,0.2
2022-03-05,45,12,0.9,91.6,0.7
2022-03-06,39,14,0.9,89.9,0.2
2022-03-07,40,14,1.0,90.7,0.4
2022-03-08,52,23,0.9,83.2,0.3
2022-03-09,54,31,1.0,75.1,0.0
2022-03-10,56,27,0.9,66.1,0.0
2022-03-11,50,27,1.1,82.5,0.8
2022-03-12,47,20,0.8,83.7,0.4
2022-03-13,45,24,0.9,81.2,1.0
2022-03-14,53,27,0.8,76.0,0.4
2022-03-15,45,12,1.1,82.8,0.4
2022-03-16,49,20,0.9,84.4,0.5
2022-03-17,48,18,1.2,88.4,0.2
2022-03-18,67,24,1.0,83.3,0.3
2022-03-19,52,15,1.2,84.1,0.3
2022-03-20,44,11,0.9,86.3,1.2
2022-03-21,51,15,0.9,91.4,0.6
2022-03-22,63,32,0.7,82.0,0.1
2022-03-23,56,25,1.1,82.2,0.2
2022-03-24,49,17,1.0,86.5,0.3
2022-03-25,61,32,1.0,79.9,0.1
2022-03-26,52,18,1.0,87.7,0.2
2022-03-27,62,21,0.8,87.1,0.1
2022-03-28,62,29,0.7,85.4,0.9
2022-03-29,47,13,1.0,90.9,1.2
2022-03-30,54,21,0.7,82.2,0.3
2022-03-31,67,29,0.7,81.7,0.1
2022-04-01,52,16,1.1,85.1,0.9
2022-04-02,51,21,0.8,75.2,0.2
2022-04-03,49,25,0.9,79.1,0.6
2022-04-04,60,27,1.2,76.2,0.2
2022-04-05,53,28,1.0,79.0,0.4
2022-04-06,60,33,1.0,80.1,0.3
2022-04-07,61,31,1.0,70.4,0.7
2022-04-08,61,28,1.2,82.7,0.2
2022-04-09,52,17,1.0,87.3,0.2
2022-04-10,40,13,1.1,83.2,0.2
2022-04-11,49,15,0.9,81.0,0.1
2022-04-12,54,32,1.2,69.2,0.1
2022-04-13,54,22,0.6,0.0,0.0
2022-04-23,0,0,2.0,63.0,0.0
2022-04-24,0,0,1.8,87.0,0.0
2022-04-25,0,0,1.5,87.0,0.0
2022-04-26,0,0,1.5,87.0,0.0
2022-04-27,56,0,1.5,85.7,0.0
2022-04-28,62,26,1.1,85.6,0.4
2022-04-29,57,29,1.6,63.0,0.1
2022-04-30,31,19,2.5,53.0,0.0
2022-05-01,46,30,1.7,61.8,0.0
2022-05-02,53,32,1.2,66.0,0.1
2022-05-03,56,34,1.2,65.9,0.5
2022-05-04,60,34,1.1,79.5,0.6
2022-05-05,47,8,0.8,93.0,0.4
2022-05-26,0,0,2.0,0.0,0.0
2022-05-27,0,0,1.5,0.0,0.0
2022-05-28,0,0,1.5,0.0,0.0
2022-05-29,0,0,2.0,0.0,0.0
2022-05-30,0,0,1.5,0.0,0.0
2022-05-31,59,0,1.5,63.5,0.0
