Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,38,24,1.7,85.6,0
2022-01-02,17,8,3.5,86.3,0
2022-01-03,17,15,5.2,82.6,0
2022-01-04,21,10,1.5,86.5,0
2022-01-05,25,13,1.0,76.5,0
2022-01-06,38,14,1.7,89.2,0
2022-01-07,17,8,1.0,89.0,0
2022-01-08,25,9,2.0,95.2,0
2022-01-09,17,16,1.7,88.0,0
2022-01-10,68,28,0.2,92.5,0
2022-01-11,0,0,0.2,96.0,0
2022-01-12,0,0,0.2,96.5,0
2022-01-13,76,25,0.5,94.6,0
2022-01-14,87,36,0.0,94.0,0
2022-01-15,95,31,0.0,95.0,0
2022-01-16,57,19,0.7,94.7,0
2022-01-17,38,19,0.5,93.0,0
2022-01-18,78,31,0.0,97.0,0
2022-01-19,42,15,2.0,91.7,0
2022-01-20,25,15,1.5,78.0,0
2022-01-21,50,19,0.6,83.2,0
2022-01-22,38,11,1.0,83.0,0
2022-01-23,57,21,0.2,84.0,0
2022-01-24,61,22,0.2,84.7,0
2022-01-25,76,26,0.3,87.0,0
2022-01-26,63,23,1.7,82.6,0
2022-01-27,25,10,2.0,88.3,0
2022-01-28,38,11,2.2,92.0,0
2022-01-29,17,6,4.0,80.2,0
2022-01-30,25,14,1.0,84.2,0
2022-01-31,21,15,4.2,73.0,0
2022-02-01,17,8,3.0,82.7,0
2022-02-02,21,10,1.2,82.0,0
2022-02-03,17,8,2.0,85.0,0
2022-02-04,17,10,3.0,84.0,0
2022-02-05,13,10,3.6,83.0,0
2022-02-06,13,8,4.7,80.2,0
2022-02-07,21,13,1.7,83.0,0
2022-02-08,0,7,3.2,75.0,0
2022-02-09,25,7,5.5,81.0,0
2022-02-10,21,15,1.4,72.2,0
2022-02-11,30,13,1.1,82.0,0
2022-02-12,38,16,1.7,85.0,0
2022-02-13,21,14,1.7,93.0,0
2022-02-14,21,8,1.7,85.5,0
2022-02-15,17,9,1.2,92.7,0
2022-02-16,13,8,11.2,86.0,0
2022-02-17,34,20,5.0,69.8,0
2022-02-18,25,13,12.6,70.5,0
2022-02-19,21,13,7.8,74.7,0
2022-02-20,25,14,13.1,84.1,0
2022-02-21,30,17,12.2,61.0,0
2022-02-22,30,16,4.7,72.8,0
2022-02-23,17,12,4.0,77.3,0
2022-02-24,17,9,7.6,71.6,0
2022-02-25,25,16,7.5,69.3,0
2022-02-26,57,21,2.5,71.0,0
2022-02-27,34,17,3.5,71.6,0
2022-02-28,38,17,4.7,84.0,0
2022-03-01,21,7,1.2,96.0,0
2022-03-02,70,22,0.7,96.0,0
2022-03-03,74,23,2.0,93.5,0
2022-03-04,21,10,0.7,90.0,0
2022-03-05,21,8,6.0,73.0,0
2022-03-06,30,12,5.4,64.1,0
2022-03-07,30,14,2.7,63.3,0
2022-03-08,72,28,1.5,66.4,0
2022-03-09,34,16,5.4,69.5,0
2022-03-10,30,13,3.0,70.7,0
2022-03-11,34,11,3.4,85.0,0
2022-03-12,13,10,1.5,75.2,0
2022-03-13,21,13,1.0,81.5,0
2022-03-14,30,16,4.8,80.8,0
2022-03-15,53,20,3.0,85.7,0
2022-03-16,61,20,1.5,85.0,0
2022-03-17,25,9,1.7,78.5,0
2022-03-18,38,16,2.0,70.2,0
2022-03-19,57,26,3.7,58.0,0
2022-03-20,50,21,1.4,57.5,0
2022-03-21,87,35,1.2,72.0,0
2022-03-22,85,40,1.0,59.4,0
2022-03-23,95,43,1.0,66.1,0
2022-03-24,82,37,1.7,62.5,0
2022-03-25,95,46,1.2,70.0,0
2022-03-26,78,36,5.8,60.7,0
2022-03-27,50,15,3.8,86.7,0
2022-03-28,72,27,1.0,81.0,0
2022-03-29,74,29,3.1,80.7,0
2022-03-30,82,34,3.0,77.5,0
2022-03-31,13,9,5.0,65.1,0
2022-04-01,25,8,5.7,71.6,0
2022-04-02,34,12,2.2,71.8,0
2022-04-03,46,14,3.5,59.7,0
2022-04-04,21,8,7.4,73.1,0
2022-04-05,17,10,4.7,75.6,0
2022-04-06,13,7,9.5,76.4,0
2022-04-07,9,9,10.7,59.8,0
2022-04-08,21,12,1.4,78.0,0
2022-04-09,21,10,3.7,55.1,0
2022-04-10,30,13,2.4,53.7,0
2022-04-11,34,14,2.0,57.7,0
2022-04-12,30,19,1.1,76.2,0
2022-04-13,25,15,3.4,79.2,0
2022-04-14,25,10,2.7,74.0,0
2022-04-15,38,13,3.0,64.1,0
2022-04-16,42,20,0.8,70.6,0
2022-04-17,70,17,2.1,58.5,0
2022-04-18,25,12,3.4,58.5,0
2022-04-19,25,14,2.2,71.7,0
2022-04-20,30,17,3.5,55.7,0
2022-04-21,46,20,5.5,57.5,0
2022-04-22,34,18,6.1,66.1,0
2022-04-23,53,25,7.2,67.7,0
2022-04-24,42,21,6.8,58.1,0
2022-04-25,25,16,4.8,72.5,0
2022-04-26,25,13,4.4,53.7,0
2022-04-27,17,13,4.7,60.2,0
2022-04-28,42,22,2.4,67.7,0
2022-04-29,34,19,2.0,69.7,0
2022-04-30,30,14,2.5,63.0,0
2022-05-01,34,17,1.5,75.5,0
2022-05-02,57,21,1.0,74.4,0
2022-05-03,57,22,1.5,78.7,0
2022-05-04,30,13,2.7,82.4,0
2022-05-05,17,11,3.8,74.0,0
2022-05-06,21,10,4.8,71.4,0
2022-05-07,13,10,2.8,75.2,0
2022-05-08,30,15,3.5,73.5,0
2022-05-09,30,16,6.0,86.0,0
2022-05-10,25,14,2.0,84.7,0
2022-05-11,21,15,5.1,83.5,0
2022-05-12,13,12,5.0,70.5,0
2022-05-13,13,15,5.8,69.7,0
2022-05-14,30,19,2.5,61.7,0
2022-05-15,30,22,2.1,89.2,0
2022-05-16,25,22,2.7,85.7,0
2022-05-17,9,14,4.1,85.2,0
2022-05-18,5,11,3.0,65.8,0
2022-05-19,9,12,3.0,70.0,0
2022-05-20,9,12,3.0,79.7,0
2022-05-21,9,10,3.4,70.4,0
2022-05-22,21,12,4.1,60.0,0
2022-05-23,9,10,2.8,72.0,0
2022-05-24,9,7,3.0,73.1,0
2022-05-25,9,9,3.4,79.1,0
2022-05-26,13,10,3.5,75.7,0
2022-05-27,21,13,4.5,54.4,0
2022-05-28,21,8,3.7,60.6,0
2022-05-29,17,7,4.7,57.2,0
2022-05-30,13,8,3.1,82.5,0
2022-05-31,13,8,3.1,84.2,0
2022-06-01,13,8,1.0,73.0,0
2022-06-02,34,12,2.2,57.5,0
2022-06-03,38,19,3.5,64.0,0
2022-06-04,21,15,5.0,67.8,0
2022-06-05,17,8,1.0,92.1,0
2022-06-06,9,9,1.8,92.1,0
2022-06-07,5,8,3.1,74.5,0
2022-06-08,9,8,5.4,69.2,0
2022-06-09,9,15,3.1,78.5,0
2022-06-10,17,17,4.8,64.2,0
2022-06-11,9,15,6.0,60.1,0
2022-06-12,13,16,5.1,58.4,0
2022-06-13,9,8,2.2,59.8,0
2022-06-14,13,11,3.6,50.1,0
2022-06-15,25,15,3.0,54.1,0
2022-06-16,17,16,3.1,49.8,0
2022-06-17,25,21,4.5,50.8,0
2022-06-18,17,17,4.2,79.7,0
2022-06-19,9,10,2.7,75.7,0
2022-06-20,13,11,2.2,59.7,0
2022-06-21,25,16,2.5,53.0,0
2022-06-22,21,16,3.5,46.7,0
2022-06-23,30,19,1.4,72.7,0
2022-06-24,25,17,5.2,72.8,0
2022-06-25,17,13,3.4,84.4,0
2022-06-26,9,10,5.5,64.2,0
2022-06-27,9,10,4.1,75.1,0
2022-06-28,9,10,4.7,61.5,0
2022-06-29,9,11,4.0,70.7,0
2022-06-30,5,9,2.0,79.4,0
2022-07-01,5,9,4.0,73.7,0
2022-07-02,5,8,4.7,79.0,0
2022-07-03,13,8,3.1,59.6,0
2022-07-04,9,7,4.7,56.8,0
2022-07-05,9,8,3.7,61.4,0
2022-07-06,5,7,1.5,64.2,0
2022-07-07,9,7,4.1,66.7,0
2022-07-08,13,9,4.0,56.0,0
