Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,27,15,11.8,59.0,0
2022-01-02,18,13,10.2,57.0,0
2022-01-03,17,10,4.6,68.0,0
2022-01-04,15,9,3.6,73.0,0
2022-01-05,21,9,11.8,80.0,0
2022-01-06,23,12,13.8,75.0,0
2022-01-07,18,11,6.6,80.0,0
2022-01-08,8,7,9.7,60.0,0
2022-01-09,12,6,7.2,64.0,0
2022-01-10,15,7,6.1,80.0,0
2022-01-11,25,13,9.5,80.0,0
2022-01-12,28,16,11.3,80.0,0
2022-01-13,31,14,11.7,80.0,0
2022-01-14,16,9,5.5,86.0,0
2022-01-15,13,8,7.2,74.0,0
2022-01-16,13,9,8.2,86.0,0
2022-01-17,17,12,10.8,87.0,0
2022-01-18,16,10,8.7,80.0,0
2022-01-19,13,11,3.6,74.0,0
2022-01-20,13,9,6.8,86.0,0
2022-01-21,29,17,12.3,80.0,0
2022-01-22,24,13,12.3,80.0,0
2022-01-23,19,10,12.3,80.0,0
2022-01-24,18,13,5.1,75.0,0
2022-01-25,33,14,15.9,80.0,0
2022-01-26,10,10,2.0,89.8,0
2022-01-27,13,10,4.6,86.0,0
2022-01-28,23,13,10.8,74.0,0
2022-01-29,18,13,5.4,73.0,0
2022-01-30,24,10,12.3,84.8,0
2022-01-31,20,13,8.7,86.0,0
2022-02-01,12,10,4.1,80.0,0
2022-02-02,11,9,3.0,86.0,0
2022-02-03,9,7,4.1,79.0,0
2022-02-04,9,8,6.6,68.0,0
2022-02-05,10,6,8.7,79.0,0
2022-02-06,18,9,5.1,68.0,0
2022-02-07,30,11,14.1,83.0,0
2022-02-08,27,14,7.7,86.0,0
2022-02-09,16,9,5.6,63.0,0
2022-02-10,15,10,4.1,84.0,0
2022-02-11,6,6,3.6,68.0,0
2022-02-12,15,8,2.0,62.0,0
2022-02-13,11,7,4.1,68.0,0
2022-02-14,12,7,11.3,86.0,0
2022-02-15,12,8,5.1,86.0,0
2022-02-16,10,8,4.6,74.0,0
2022-02-17,12,9,2.5,92.0,0
2022-02-18,10,6,4.6,63.0,0
2022-02-19,9,7,12.3,68.0,0
2022-02-20,14,10,8.2,55.0,0
2022-02-21,9,8,7.2,80.0,0
2022-02-22,25,14,10.2,86.0,0
2022-02-23,14,10,3.6,69.0,0
2022-02-24,25,14,5.6,63.0,0
2022-02-25,14,10,10.2,80.0,0
2022-02-26,26,16,8.2,74.0,0
2022-02-27,9,6,4.6,79.0,0
2022-02-28,11,7,8.7,86.0,0
2022-03-01,12,10,10.2,74.0,0
2022-03-02,15,10,7.7,80.0,0
2022-03-03,19,14,4.1,77.0,0
2022-03-04,22,14,3.6,86.0,0
2022-03-05,18,10,6.1,86.0,0
2022-03-06,12,9,5.6,80.0,0
2022-03-07,10,8,3.0,86.0,0
2022-03-08,25,11,6.6,80.0,0
2022-03-09,16,9,4.6,80.0,0
2022-03-10,11,8,5.6,80.0,0
2022-03-11,25,15,8.2,75.0,0
2022-03-12,12,11,5.0,74.0,0
2022-03-13,10,7,4.6,80.0,0
2022-03-14,20,9,13.8,78.0,0
2022-03-15,18,11,10.8,86.0,0
2022-03-16,9,6,6.6,88.0,0
2022-03-17,15,9,12.8,86.0,0
2022-03-18,27,15,6.1,81.0,0
2022-03-19,12,8,2.3,92.0,0
2022-03-20,12,7,3.6,86.0,0
