Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,71,22,3.2,77.0,0
2022-01-02,62,17,2.5,87.2,0
2022-01-03,70,21,2.5,87.0,0
2022-01-04,52,13,2.1,87.8,0
2022-01-05,42,13,9.3,81.3,0
2022-01-06,4,2,15.5,61.9,0
2022-01-07,15,4,12.4,45.9,0
2022-01-08,39,10,4.0,48.4,0
2022-01-09,20,8,3.7,53.4,0
2022-01-10,17,5,14.9,47.6,0
2022-01-11,51,12,16.8,44.4,0
2022-01-12,36,9,8.3,35.6,0
2022-01-13,23,7,5.0,40.5,0
2022-01-14,28,11,3.6,55.5,0
2022-01-15,31,10,3.7,51.0,0
2022-01-16,28,9,2.0,55.6,0
2022-01-17,54,15,2.2,66.3,0
2022-01-18,32,9,3.7,52.8,0
2022-01-19,31,10,2.0,62.9,0
2022-01-20,50,16,3.0,89.7,0
2022-01-21,24,7,6.1,61.4,0
2022-01-22,38,12,3.0,64.0,0
2022-01-23,45,13,2.1,61.8,0
2022-01-24,24,7,6.0,65.5,0
2022-01-25,36,11,2.8,53.1,0
2022-01-26,53,15,3.3,61.1,0
2022-01-27,71,25,4.3,80.8,0
2022-01-28,91,28,2.4,66.4,0
2022-01-29,15,5,1.9,46.4,0
2022-01-30,46,17,3.4,67.6,0
2022-01-31,58,18,3.0,78.9,0
2022-02-01,18,6,3.4,62.2,0
2022-02-02,32,12,3.2,58.5,0
2022-02-03,25,9,1.2,55.1,0
2022-02-04,22,9,3.0,81.1,0
2022-02-05,38,12,3.2,80.3,0
2022-02-06,46,12,2.5,79.7,0
2022-02-07,16,11,6.7,37.9,0
2022-02-08,11,8,2.5,39.9,0
2022-02-09,30,16,3.4,46.4,0
2022-02-10,92,33,3.0,70.2,0
2022-02-11,60,20,3.8,77.7,0
2022-02-12,10,5,12.5,44.9,0
2022-02-13,34,9,3.4,51.4,0
2022-02-14,35,13,3.8,84.7,0
2022-02-15,39,13,3.7,84.5,0
2022-02-16,18,7,2.2,74.3,0
2022-02-17,63,18,3.0,79.2,0
2022-02-18,32,11,2.2,75.7,0
2022-02-19,29,9,4.5,84.7,0
2022-02-20,13,4,2.5,77.7,0
2022-02-21,37,10,4.9,81.3,0
2022-02-22,9,5,5.0,44.0,0
2022-02-23,16,9,2.5,47.8,0
2022-02-24,18,8,2.3,54.6,0
2022-02-25,14,6,7.7,69.2,0
2022-02-26,12,5,19.3,42.8,0
2022-02-27,37,10,14.4,44.4,0
2022-02-28,53,12,8.3,41.5,0
2022-03-01,34,10,5.1,47.6,0
2022-03-02,38,11,2.9,32.3,0
2022-03-03,63,20,2.6,42.6,0
2022-03-04,65,20,8.5,35.0,0
2022-03-05,60,16,8.9,39.3,0
2022-03-06,55,15,8.6,51.9,0
2022-03-07,70,20,8.6,48.5,0
2022-03-08,41,11,5.0,39.1,0
2022-03-09,41,12,2.3,39.0,0
2022-03-10,50,17,5.2,51.0,0
2022-03-11,53,18,6.6,38.8,0
2022-03-12,53,15,5.3,28.8,0
2022-03-13,51,14,3.9,51.1,0
2022-03-14,50,15,2.0,65.8,0
2022-03-15,57,17,1.9,71.6,0
2022-03-16,57,17,2.5,83.3,0
2022-03-17,73,27,4.6,51.2,0
2022-03-18,63,24,11.5,51.4,0
2022-03-19,68,23,7.9,37.5,0
2022-03-20,59,25,10.6,29.9,0
2022-03-21,58,20,6.9,28.0,0
2022-03-22,69,26,6.0,27.5,0
2022-03-23,59,23,3.0,25.1,0
2022-03-24,56,21,2.9,29.5,0
2022-03-25,69,28,2.1,32.5,0
2022-03-26,74,31,2.1,30.3,0
2022-03-27,85,32,2.3,51.0,0
2022-03-28,84,31,2.0,64.5,0
2022-03-29,56,20,1.3,75.4,0
2022-03-30,54,20,2.7,85.0,0
2022-03-31,34,11,2.1,93.1,0
2022-04-01,18,6,4.0,95.0,0
2022-04-02,16,7,3.3,78.5,0
2022-04-03,29,9,6.8,53.0,0
2022-04-04,35,11,1.5,48.7,0
2022-04-05,45,13,2.5,68.0,0
2022-04-06,44,13,2.1,64.4,0
2022-04-07,37,12,3.3,77.7,0
2022-04-08,48,16,3.3,85.0,0
2022-04-09,37,14,5.2,72.9,0
2022-04-10,10,3,4.5,46.1,0
2022-04-11,14,7,2.5,54.8,0
2022-04-12,18,8,2.5,60.1,0
2022-04-13,27,11,2.4,60.5,0
2022-04-14,38,15,1.8,55.1,0
2022-04-15,39,13,1.6,58.4,0
2022-04-16,20,8,10.0,51.2,0
2022-04-17,29,10,11.8,39.9,0
2022-04-18,26,8,7.3,33.2,0
2022-04-19,27,10,1.3,50.6,0
2022-04-20,21,7,6.0,48.0,0
2022-04-21,29,11,2.5,71.5,0
2022-04-22,22,8,5.5,77.7,0
2022-04-23,27,8,2.5,88.8,0
2022-04-24,21,8,3.5,76.1,0
2022-04-25,15,6,3.5,81.5,0
2022-04-26,19,7,2.1,70.5,0
2022-04-27,9,4,7.2,66.0,0
2022-04-28,27,10,6.7,38.6,0
2022-04-29,32,11,5.1,39.9,0
2022-04-30,30,10,3.6,39.4,0
2022-05-01,39,12,6.2,59.3,0
2022-05-02,29,9,4.9,57.2,0
2022-05-03,29,12,2.6,45.5,0
2022-05-04,36,14,3.1,55.2,0
2022-05-05,43,15,2.1,58.5,0
2022-05-06,41,13,1.8,82.2,0
2022-05-07,29,11,2.9,72.6,0
2022-05-08,50,18,7.2,57.2,0
2022-05-09,44,17,4.5,51.8,0
2022-05-10,45,16,2.0,58.3,0
2022-05-11,52,20,1.2,67.1,0
2022-05-12,54,20,1.0,69.9,0
2022-05-13,51,18,2.0,63.0,0
2022-05-14,25,11,3.3,54.5,0
2022-05-15,25,10,1.4,56.0,0
