Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,45,23,4.8,87.3,0
2022-01-02,34,15,7.9,85.0,0
2022-01-03,40,22,7.7,87.0,0
2022-01-04,27,14,4.1,87.0,0
2022-01-05,31,17,5.9,79.0,0
2022-01-06,30,17,3.8,80.0,0
2022-01-07,30,13,5.6,84.0,0
2022-01-08,23,12,5.2,89.5,0
2022-01-09,33,17,5.6,81.0,0
2022-01-10,67,25,2.0,93.0,0
2022-01-11,65,24,3.1,89.0,0
2022-01-12,69,23,1.5,96.0,0
2022-01-13,60,18,3.2,96.5,0
2022-01-14,63,19,1.7,95.0,0
2022-01-15,75,25,3.0,96.5,0
2022-01-16,82,30,3.8,91.0,0
2022-01-17,46,22,3.3,89.7,0
2022-01-18,45,23,1.0,96.5,0
2022-01-19,76,25,4.1,91.5,0
2022-01-20,29,18,5.4,77.5,0
2022-01-21,27,17,3.2,84.0,0
2022-01-22,48,18,2.5,87.0,0
2022-01-23,62,20,1.2,87.0,0
2022-01-24,90,29,1.5,76.5,0
2022-01-25,117,42,1.0,80.0,0
2022-01-26,91,42,4.1,83.7,0
2022-01-27,43,20,6.6,83.3,0
2022-01-28,39,20,4.3,86.0,0
2022-01-29,35,17,7.7,84.0,0
2022-01-30,44,24,4.5,75.0,0
2022-01-31,48,27,11.0,74.8,0
2022-02-01,31,18,7.2,81.0,0
2022-02-02,37,22,4.6,87.0,0
2022-02-03,40,16,5.7,88.2,0
2022-02-04,23,12,7.4,85.5,0
2022-02-05,26,15,7.9,77.5,0
2022-02-06,28,16,11.8,87.0,0
2022-02-07,30,18,6.6,75.0,0
2022-02-08,25,15,7.2,81.0,0
2022-02-09,32,13,6.9,87.0,0
2022-02-10,28,15,3.8,79.5,0
2022-02-11,31,19,5.6,75.0,0
2022-02-12,46,21,5.1,69.1,0
2022-02-13,50,17,7.2,70.0,0
2022-02-14,20,15,9.0,72.5,0
2022-02-15,23,14,7.7,87.0,0
2022-02-16,28,13,10.8,90.0,0
2022-02-17,40,20,11.3,71.0,0
2022-02-18,39,23,12.6,81.0,0
2022-02-19,26,17,10.2,70.0,0
2022-02-20,36,17,12.3,90.0,0
2022-02-21,35,21,12.0,77.3,0
2022-02-22,47,26,6.1,86.0,0
2022-02-23,34,19,5.9,73.5,0
2022-02-24,27,14,7.6,73.0,0
2022-02-25,33,18,6.9,75.0,0
2022-02-26,54,22,3.3,80.5,0
2022-02-27,40,19,4.8,69.0,0
2022-02-28,49,17,4.5,63.5,0
2022-03-01,79,32,2.3,75.0,0
2022-03-02,80,34,3.0,62.5,0
