Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,25,6,1.6,77.3,0
2022-01-02,56,21,0.7,90.6,0
2022-01-03,49,17,4.4,77.7,0
2022-01-04,25,11,2.6,82.0,0
2022-01-05,25,10,1.5,95.1,0
2022-01-06,25,8,0.9,96.5,0
2022-01-07,25,9,2.4,95.0,0
2022-01-08,25,11,2.0,93.0,0
2022-01-09,42,15,1.7,93.3,0
2022-01-10,38,13,2.0,85.0,0
2022-01-11,56,29,0.6,91.0,0
2022-01-12,76,38,1.0,90.0,0
2022-01-13,72,32,1.0,92.2,0
2022-01-14,57,20,1.9,91.3,0
2022-01-15,76,35,0.6,95.4,0
2022-01-16,72,27,1.0,92.5,0
2022-01-17,65,28,0.5,89.3,0
2022-01-18,59,39,1.0,86.2,0
2022-01-19,68,30,1.3,89.0,0
2022-01-20,74,33,1.0,89.0,0
2022-01-21,25,19,7.2,46.6,0
2022-01-22,25,19,6.8,49.7,0
2022-01-23,102,38,1.0,81.7,0
2022-01-24,76,34,0.7,81.0,0
2022-01-25,70,26,0.9,83.0,0
2022-01-26,61,28,1.7,72.1,0
2022-01-27,61,28,0.9,76.2,0
2022-01-28,73,36,0.8,79.0,0
2022-01-29,61,26,1.0,77.0,0
2022-01-30,70,27,1.1,78.2,0
2022-01-31,62,23,1.8,69.5,0
2022-02-01,13,19,8.1,37.2,0
2022-02-02,9,0,5.8,44.6,0
2022-02-03,53,0,0.9,67.3,0
2022-02-04,84,48,1.1,71.6,0
2022-02-05,74,40,1.0,74.5,0
2022-02-06,68,28,1.1,72.3,0
2022-02-07,68,26,1.6,76.0,0
2022-02-08,59,43,0.7,74.3,0
2022-02-09,59,45,1.0,76.0,0
2022-02-10,61,40,1.1,70.0,0
2022-02-11,63,32,0.7,74.5,0
2022-02-12,57,30,1.0,71.5,0
2022-02-13,53,18,1.0,68.7,0
2022-02-14,42,17,4.1,76.7,0
2022-02-15,13,9,5.8,36.7,0
2022-02-16,13,6,3.6,40.0,0
2022-02-17,34,26,1.2,47.6,0
2022-02-18,59,31,1.2,66.7,0
2022-02-19,61,27,1.5,62.9,0
2022-02-20,42,15,3.5,70.0,0
2022-02-21,16,10,3.2,63.0,0
2022-02-22,14,6,2.2,71.6,0
2022-02-23,17,9,3.2,46.8,0
2022-02-24,34,14,1.2,49.7,0
2022-02-25,50,24,1.5,51.0,0
2022-02-26,51,20,1.0,51.8,0
2022-02-27,53,20,2.0,53.6,0
2022-02-28,42,23,1.2,61.2,0
2022-03-01,34,0,1.7,57.7,0
2022-03-02,25,15,1.8,58.1,0
2022-03-03,25,11,2.2,74.2,0
2022-03-04,25,10,3.4,62.5,0
2022-03-05,17,4,2.0,73.2,0
2022-03-06,40,19,1.3,58.3,0
2022-03-07,22,12,4.2,36.7,0
2022-03-08,34,16,1.3,47.0,0
2022-03-09,38,19,2.0,56.1,0
2022-03-10,13,13,6.0,27.9,0
2022-03-11,23,21,1.7,34.8,0
2022-03-12,30,17,3.7,49.3,0
2022-03-13,25,14,3.0,60.3,0
2022-03-14,35,17,2.3,51.9,0
2022-03-15,17,6,2.9,79.5,0
2022-03-16,20,10,2.8,67.8,0
2022-03-17,34,17,3.7,70.7,0
2022-03-18,30,15,1.9,63.1,0
2022-03-19,17,8,3.5,75.3,0
2022-03-20,13,8,5.4,41.7,0
2022-03-21,21,15,4.8,42.0,0
2022-03-22,20,14,1.7,51.8,0
2022-03-23,35,17,2.7,60.5,0
2022-03-24,31,17,2.0,65.9,0
2022-03-25,21,9,2.8,67.3,0
2022-03-26,21,12,3.0,62.0,0
2022-03-27,17,5,3.7,65.6,0
2022-03-28,17,5,1.3,89.0,0
2022-03-29,24,11,2.8,82.0,0
2022-03-30,25,9,3.5,80.5,0
2022-03-31,25,9,1.7,70.4,0
2022-04-01,34,16,1.7,63.0,0
2022-04-02,31,19,2.9,43.8,0
2022-04-03,31,12,3.0,44.0,0
2022-04-04,22,13,2.9,66.0,0
2022-04-05,17,15,4.8,37.4,0
2022-04-06,17,16,2.7,33.2,0
2022-04-07,42,31,1.5,48.0,0
2022-04-08,51,30,2.0,51.0,0
2022-04-09,25,33,6.8,19.7,0
2022-04-10,21,15,6.5,24.7,0
2022-04-11,17,11,5.8,66.0,0
2022-04-12,21,9,2.5,46.2,0
2022-04-13,19,11,3.5,57.6,0
2022-04-14,17,7,3.5,87.7,0
2022-04-15,16,8,3.9,64.3,0
2022-04-16,13,6,4.2,70.3,0
2022-04-17,19,8,3.2,60.3,0
2022-04-18,17,10,4.1,63.5,0
2022-04-19,13,5,2.7,67.6,0
2022-04-20,13,12,4.8,70.0,0
2022-04-21,21,9,3.7,79.7,0
2022-04-22,13,7,1.8,72.0,0
2022-04-23,15,8,3.2,52.3,0
2022-04-24,17,0,1.4,48.9,0
2022-04-25,23,15,3.6,50.0,0
2022-04-26,47,26,3.3,58.3,0
2022-04-27,30,17,4.1,56.0,0
2022-04-28,21,15,3.5,60.0,0
2022-04-29,21,18,2.9,46.0,0
2022-04-30,19,13,3.2,59.4,0
2022-05-01,25,18,3.9,49.2,0
