Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,42,9,3.7,71.0,0
2022-01-02,50,9,1.5,75.0,0
2022-01-03,50,10,1.8,76.1,0
2022-01-04,53,18,2.8,81.5,0
2022-01-05,17,10,6.1,80.5,0
2022-01-06,21,6,3.6,75.0,0
2022-01-07,42,13,3.0,74.5,0
2022-01-08,42,20,5.5,77.0,0
2022-01-09,38,13,4.3,63.7,0
2022-01-10,46,15,2.5,65.0,0
2022-01-11,25,10,4.3,71.1,0
2022-01-12,38,11,1.5,80.0,0
2022-01-13,50,14,3.2,82.9,0
2022-01-14,17,7,4.0,78.2,0
2022-01-15,25,8,2.4,76.0,0
2022-01-16,38,12,3.0,78.8,0
2022-01-17,21,10,2.0,80.0,0
2022-01-18,38,15,5.5,76.0,0
2022-01-19,25,7,6.2,67.4,0
2022-01-20,34,14,1.8,73.6,0
2022-01-21,42,18,5.1,76.0,0
2022-01-22,25,8,4.2,76.0,0
2022-01-23,21,7,2.5,76.0,0
2022-01-24,30,9,4.1,72.0,0
2022-01-25,30,9,3.0,70.3,0
2022-01-26,34,16,4.8,76.7,0
2022-01-27,17,9,4.1,63.4,0
2022-01-28,34,16,2.5,68.5,0
2022-01-29,42,23,3.0,73.5,0
2022-01-30,42,16,2.3,76.1,0
2022-01-31,63,23,4.9,80.3,0
2022-02-01,38,20,6.2,71.0,0
2022-02-02,30,8,4.4,65.0,0
2022-02-03,38,13,1.5,64.0,0
2022-02-04,53,19,3.0,69.6,0
2022-02-05,50,30,3.8,74.0,0
2022-02-06,42,13,4.1,79.0,0
2022-02-07,50,23,2.5,76.2,0
2022-02-08,50,25,3.6,78.0,0
2022-02-09,9,6,5.3,75.9,0
2022-02-10,17,8,4.8,80.0,0
2022-02-11,17,6,6.5,72.2,0
2022-02-12,21,7,1.9,70.0,0
2022-02-13,30,11,2.9,76.0,0
2022-02-14,38,15,2.2,72.0,0
2022-02-15,53,18,3.2,73.0,0
2022-02-16,61,21,4.6,70.1,0
2022-02-17,21,7,4.1,64.0,0
2022-02-18,25,17,5.8,66.6,0
2022-02-19,17,13,5.2,64.0,0
2022-02-20,21,15,5.1,62.7,0
2022-02-21,17,10,4.9,73.0,0
2022-02-22,21,10,6.2,83.0,0
2022-02-23,25,9,2.6,64.0,0
2022-02-24,34,10,2.5,69.0,0
2022-02-25,25,12,2.5,73.5,0
2022-02-26,30,13,4.2,68.5,0
2022-02-27,34,17,1.7,75.3,0
2022-02-28,42,17,1.9,76.1,0
2022-03-01,34,15,2.0,69.6,0
2022-03-02,34,13,3.4,74.1,0
2022-03-03,17,12,2.0,49.0,0
2022-03-04,30,12,3.5,51.7,0
2022-03-05,46,12,2.2,95.0,0
2022-03-06,21,7,3.0,86.5,0
2022-03-07,17,10,3.4,73.0,0
2022-03-08,21,9,4.2,69.5,0
2022-03-09,17,9,5.0,62.1,0
2022-03-10,17,11,3.6,61.7,0
2022-03-11,21,14,6.4,59.6,0
2022-03-12,17,10,3.4,57.6,0
2022-03-13,21,10,3.0,67.0,0
