Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,9,3,3.0,33.5,0.0
2022-01-02,21,6,1.1,46.0,0.0
2022-01-03,21,7,1.8,50.2,0.0
2022-01-04,21,6,2.2,51.0,99.0
2022-01-05,13,4,2.9,36.5,0.0
2022-01-06,46,11,0.9,64.2,99.0
2022-01-07,25,7,3.2,48.0,0.0
2022-01-08,30,9,1.3,47.0,0.0
2022-01-09,46,11,0.9,54.3,0.0
2022-01-10,42,11,1.2,58.7,0.0
2022-01-11,57,16,1.2,87.0,0.2
2022-01-12,9,3,3.6,36.5,99.0
2022-01-13,21,6,1.9,42.0,99.0
2022-01-14,13,4,3.5,41.0,0.0
2022-01-15,17,5,2.4,38.0,0.0
2022-01-16,46,12,0.8,55.0,0.0
2022-01-17,42,10,1.0,53.0,0.0
2022-01-18,17,5,3.2,37.0,0.0
2022-01-19,21,7,1.5,41.0,0.0
2022-01-20,34,9,2.2,55.5,0.0
2022-01-21,13,4,2.8,43.3,0.0
2022-01-22,21,6,1.4,40.3,0.0
2022-01-23,50,13,1.2,51.5,0.0
2022-01-24,30,9,1.8,47.0,99.0
2022-01-25,34,10,0.9,55.0,0.0
2022-01-26,61,18,1.3,64.0,0.0
2022-01-27,46,12,3.1,40.0,0.0
2022-01-28,42,11,2.4,38.5,0.0
2022-01-29,34,10,1.4,49.0,0.0
2022-01-30,21,6,2.2,42.0,0.0
2022-01-31,17,5,3.5,34.6,0.0
2022-02-01,30,8,1.5,44.0,0.0
2022-02-02,38,10,1.9,43.0,0.0
2022-02-03,50,13,1.1,41.0,0.0
2022-02-04,30,9,1.1,47.1,0.0
2022-02-05,21,6,2.9,43.0,0.0
2022-02-06,25,7,1.6,45.0,0.0
2022-02-07,21,6,1.7,37.0,0.0
2022-02-08,42,11,1.1,48.0,0.0
2022-02-09,34,10,1.7,49.2,0.0
2022-02-10,50,12,1.7,92.0,0.6
2022-02-11,25,7,1.6,71.0,0.2
2022-02-12,42,10,0.9,64.0,0.0
2022-02-13,55,14,1.1,83.0,0.3
2022-02-14,53,14,1.2,76.6,0.7
2022-02-15,59,19,1.0,72.0,0.0
2022-02-16,30,9,1.6,48.0,0.0
2022-02-17,17,5,2.3,35.0,0.0
2022-02-18,17,5,2.3,45.0,99.0
2022-02-19,42,10,0.9,63.0,99.0
2022-02-20,30,8,2.0,79.0,0.2
2022-02-21,17,5,3.1,36.0,0.0
2022-02-22,21,6,2.3,39.0,0.0
2022-02-23,17,5,2.6,38.0,0.0
2022-02-24,17,5,3.2,36.8,0.0
2022-02-25,21,6,2.1,35.0,0.0
2022-02-26,42,11,1.4,49.8,0.0
2022-02-27,46,13,2.0,43.0,0.0
2022-02-28,34,10,1.9,39.0,0.0
2022-03-01,55,16,1.1,51.0,99.0
2022-03-02,50,15,1.8,54.1,0.0
2022-03-03,57,17,1.7,53.0,99.0
2022-03-04,42,11,1.8,43.0,0.0
2022-03-05,53,16,1.7,46.0,0.0
2022-03-06,25,8,4.1,35.0,99.0
2022-03-07,25,8,2.7,33.0,0.0
2022-03-08,38,10,1.6,65.0,99.0
2022-03-09,42,12,1.1,54.0,99.0
2022-03-10,53,14,1.1,57.0,0.0
2022-03-11,59,19,1.4,53.0,0.0
2022-03-12,65,21,1.2,39.0,0.0
2022-03-13,72,27,1.1,57.0,0.0
2022-03-14,59,22,1.5,66.0,99.0
2022-03-15,25,8,1.4,65.0,99.0
2022-03-16,30,10,1.2,57.0,0.0
2022-03-17,46,16,1.4,50.1,0.0
2022-03-18,21,7,2.0,91.9,0.7
2022-03-19,13,4,2.3,83.0,0.8
2022-03-20,9,3,2.6,45.2,0.0
2022-03-21,21,7,1.6,53.0,99.0
2022-03-22,25,7,1.5,89.1,1.1
2022-03-23,50,13,1.2,57.0,99.0
2022-03-24,55,15,1.3,63.9,99.0
2022-03-25,57,18,1.5,51.1,0.0
2022-03-26,53,18,2.3,71.2,99.0
2022-03-27,21,8,2.5,65.0,99.0
2022-03-28,25,8,1.8,37.0,99.0
2022-03-29,42,12,1.1,51.0,99.0
2022-03-30,50,15,1.4,73.0,0.0
2022-03-31,42,13,1.4,83.1,99.0
2022-04-01,21,7,2.9,46.2,1.1
2022-04-02,38,10,1.7,45.5,0.0
2022-04-03,38,10,1.4,79.0,0.8
2022-04-04,13,3,3.0,93.0,1.3
2022-04-05,17,6,2.2,77.0,0.3
2022-04-06,50,16,1.1,69.0,0.0
2022-04-07,55,18,1.8,65.0,0.0
2022-04-08,46,14,2.4,50.0,0.0
2022-04-09,55,17,1.3,60.0,0.0
2022-04-10,63,21,1.3,52.5,0.0
2022-04-11,65,24,1.5,66.0,0.0
2022-04-12,63,24,1.2,68.0,0.0
2022-04-13,63,23,1.2,67.7,99.0
2022-04-14,30,10,1.9,75.0,99.0
2022-04-15,13,5,1.4,92.0,0.5
2022-04-16,13,5,1.8,72.5,99.5
2022-04-17,42,12,1.3,58.5,99.0
2022-04-18,53,15,1.1,81.0,99.0
2022-04-19,42,12,1.5,70.2,0.1
2022-04-20,61,20,1.2,76.9,99.0
2022-04-21,61,20,1.2,71.5,99.0
2022-04-22,34,11,1.6,71.2,1.9
2022-04-23,55,18,1.2,68.0,0.0
2022-04-24,46,15,1.2,71.0,99.0
2022-04-25,50,16,1.3,70.9,0.0
2022-04-26,46,16,1.5,84.0,99.5
2022-04-27,38,14,1.4,74.5,99.5
2022-04-28,38,14,1.8,56.0,99.0
2022-04-29,34,10,1.5,82.0,0.5
2022-04-30,17,5,2.4,55.0,99.0
2022-05-01,38,10,1.4,69.0,0.3
2022-05-02,25,7,1.6,74.3,99.0
2022-05-03,30,9,1.7,53.0,0.0
2022-05-04,50,13,1.4,53.0,0.0
2022-05-05,61,20,1.4,57.0,99.0
2022-05-06,55,17,1.4,64.5,0.0
2022-05-07,38,11,1.4,79.0,99.0
2022-05-08,25,9,2.2,48.0,0.2
2022-05-09,25,9,1.5,81.0,0.5
2022-05-10,30,9,1.6,57.5,99.5
