Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,47,0,1.1,83.7,0
2022-01-02,9,0,4.2,72.4,0
2022-01-03,5,0,5.3,92.9,0
2022-01-04,7,0,4.5,93.7,0
2022-01-05,10,0,9.9,97.0,0
2022-01-06,6,0,7.2,87.3,0
2022-01-07,6,0,8.0,83.7,0
2022-01-08,13,0,2.1,82.4,0
2022-01-09,38,0,1.2,88.8,0
2022-01-10,40,0,1.2,96.0,0
2022-01-11,24,0,2.3,79.9,0
2022-01-12,13,0,2.0,75.3,0
2022-01-13,7,0,3.8,89.5,0
2022-01-14,23,0,1.3,94.0,0
2022-01-15,43,0,1.2,97.0,0
2022-01-16,38,0,1.4,97.0,0
2022-01-17,33,0,1.3,97.0,0
2022-01-18,19,0,1.7,95.3,0
2022-01-19,10,0,3.6,97.0,0
2022-01-20,8,0,3.1,89.1,0
2022-01-21,25,0,2.5,90.1,0
2022-01-22,41,0,3.3,89.0,0
2022-01-23,43,0,0.9,96.0,0
2022-01-24,40,0,0.6,97.0,0
2022-01-25,45,0,0.9,80.8,0
2022-01-26,51,0,0.8,77.5,0
2022-01-27,45,0,2.0,68.0,0
2022-01-28,52,0,1.0,72.6,0
2022-01-29,77,0,0.9,74.4,0
2022-01-30,30,0,2.4,84.5,0
2022-01-31,10,0,2.3,89.6,0
2022-02-01,19,0,1.3,88.2,0
2022-02-02,11,0,2.5,95.5,0
2022-02-03,13,0,1.9,80.6,0
2022-02-04,25,0,0.9,89.7,0
2022-02-05,21,0,1.7,85.2,0
2022-02-06,52,0,1.9,94.0,0
2022-02-07,43,0,2.4,95.4,0
2022-02-08,45,0,2.5,90.7,0
2022-02-09,60,0,2.6,73.7,0
2022-02-10,59,0,2.3,96.0,0
2022-02-11,50,0,3.6,60.4,0
2022-02-12,23,0,2.8,43.9,0
2022-02-13,51,0,2.1,68.0,0
2022-02-14,10,0,4.6,83.9,0
2022-02-15,14,0,2.7,84.2,0
2022-02-16,17,0,2.2,79.4,0
2022-02-17,30,0,2.4,88.0,0
2022-02-18,53,0,2.7,83.8,0
2022-02-19,27,0,2.2,88.7,0
2022-02-20,9,0,2.1,90.0,0
2022-02-21,8,0,2.0,94.7,0
2022-02-22,20,0,3.1,65.6,0
2022-02-23,19,0,5.5,58.9,0
2022-02-24,36,0,2.7,80.4,0
2022-02-25,59,0,3.0,83.3,0
2022-02-26,70,0,2.0,95.3,0
2022-02-27,10,0,5.3,94.3,0
2022-02-28,7,0,8.7,94.8,0
2022-03-01,8,0,4.4,97.4,0
2022-03-02,11,0,2.0,97.6,0
2022-03-03,8,0,2.7,86.0,0
2022-03-04,12,0,2.6,88.7,0
2022-03-05,21,0,2.5,85.8,0
2022-03-06,39,0,2.1,89.3,0
2022-03-07,48,0,2.0,84.8,0
2022-03-08,26,0,2.2,84.6,0
2022-03-09,17,0,4.8,87.5,0
2022-03-10,30,0,2.7,69.8,0
2022-03-11,46,0,1.6,75.0,0
2022-03-12,18,0,3.4,85.7,0
2022-03-13,8,0,7.3,91.5,0
2022-03-14,16,0,2.7,88.2,0
2022-03-15,11,0,3.9,89.4,0
2022-03-16,17,0,2.9,85.9,0
2022-03-17,19,0,5.5,91.8,0
2022-03-18,10,0,4.6,87.6,0
2022-03-19,10,0,3.5,81.4,0
2022-03-20,13,0,4.2,84.2,0
2022-03-21,10,0,6.8,93.0,0
2022-03-22,14,0,2.6,91.3,0
2022-03-23,9,0,0.2,90.2,0
2022-03-24,25,0,2.3,91.0,0
2022-03-25,15,0,2.3,82.3,0
2022-03-26,15,0,3.2,85.4,0
2022-03-27,34,0,2.4,87.5,0
2022-03-28,13,0,2.2,87.5,0
2022-03-29,13,0,1.9,84.6,0
2022-03-30,13,0,4.1,84.5,0
2022-03-31,15,0,2.4,83.5,0
2022-04-01,19,0,2.7,90.5,0
2022-04-02,13,0,2.9,80.9,0
2022-04-03,16,0,6.5,87.4,0
2022-04-04,13,0,8.1,88.0,0
2022-04-05,14,0,3.0,80.5,0
2022-04-06,22,0,4.5,71.9,0
2022-04-07,30,0,2.8,59.9,0
2022-04-08,10,0,4.6,69.0,0
2022-04-09,11,0,4.9,79.0,0
2022-04-10,9,0,3.5,93.1,0
2022-04-11,8,0,5.0,88.5,0
2022-04-12,10,0,3.5,93.2,0
2022-04-13,8,0,4.2,92.5,0
2022-04-14,11,0,3.2,90.5,0
2022-04-15,14,0,2.9,70.1,0
2022-04-16,10,0,4.5,81.5,0
2022-04-17,13,0,2.5,73.5,0
2022-04-18,15,0,3.4,92.1,0
2022-04-19,8,0,2.9,94.1,0
2022-04-20,10,0,2.3,94.8,0
2022-04-21,10,0,4.6,87.6,0
2022-04-22,20,0,2.5,86.6,0
2022-04-23,20,0,2.1,79.6,0
2022-04-24,19,0,3.6,75.4,0
2022-04-25,23,0,3.7,85.8,0
2022-04-26,13,0,5.1,82.2,0
2022-04-27,13,0,2.2,82.5,0
2022-04-28,15,0,3.2,81.9,0
2022-04-29,11,0,4.4,92.1,0
2022-04-30,11,0,3.0,92.5,0
2022-05-01,11,0,2.0,85.2,0
2022-05-02,7,0,3.5,93.6,0
2022-05-03,8,0,1.7,83.1,0
2022-05-04,18,0,2.0,70.5,0
2022-05-05,12,0,2.7,91.5,0
2022-05-06,8,0,4.8,87.4,0
2022-05-07,8,0,3.5,88.7,0
2022-05-08,8,0,3.0,92.1,0
2022-05-09,9,0,2.2,83.9,0
2022-05-10,10,0,2.1,75.2,0
2022-05-11,11,0,2.8,76.0,0
2022-05-12,10,0,4.0,92.0,0
2022-05-13,18,0,1.6,93.4,0
2022-05-14,7,0,3.1,91.5,0
2022-05-15,10,0,3.0,86.1,0
2022-05-16,7,0,2.5,81.0,0
2022-05-17,15,0,1.7,73.5,0
2022-05-18,14,0,4.6,84.5,0
2022-05-19,12,0,2.2,79.5,0
2022-05-20,18,0,3.0,77.4,0
2022-05-21,18,0,3.9,75.5,0
2022-05-22,19,0,2.0,63.3,0
2022-05-23,14,0,3.0,68.9,0
2022-05-24,14,0,1.7,70.6,0
2022-05-25,10,0,1.9,73.9,0
2022-05-26,22,0,2.0,86.2,0
2022-05-27,11,0,2.3,81.4,0
