Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,68,0,4.4,81.2,0.0
2022-01-02,17,0,10.9,51.3,0.0
2022-01-03,27,0,2.7,44.7,0.0
2022-01-04,21,0,3.5,56.8,0.0
2022-01-05,34,0,2.6,51.6,0.0
2022-01-06,23,0,6.4,47.6,0.0
2022-01-07,31,0,6.0,60.5,0.0
2022-01-08,42,0,3.1,93.0,0.0
2022-01-09,30,0,6.3,60.2,0.0
2022-01-10,13,0,8.8,42.5,0.0
2022-01-11,17,0,4.9,48.2,0.0
2022-01-12,32,0,1.8,63.2,0.0
2022-01-13,31,0,2.7,47.2,0.0
2022-01-14,38,0,2.7,50.7,0.0
2022-01-15,16,0,13.5,30.2,0.0
2022-01-16,18,0,4.3,32.2,0.0
2022-01-17,28,0,3.0,31.9,0.0
2022-01-18,27,0,4.7,67.4,0.0
2022-01-19,41,0,3.9,67.7,0.0
2022-01-20,17,0,11.6,49.5,0.0
2022-01-21,14,0,5.4,34.5,0.0
2022-01-22,30,0,4.9,39.5,0.0
2022-01-23,25,0,2.5,45.2,0.0
2022-01-24,31,0,1.7,84.0,0.0
2022-01-25,34,0,6.4,85.0,0.0
2022-01-26,38,0,6.4,73.5,0.0
2022-01-27,38,0,2.9,64.5,0.0
2022-01-28,31,0,8.2,54.4,0.0
2022-01-29,25,0,3.6,42.1,0.0
2022-01-30,24,0,4.8,60.0,0.0
2022-01-31,23,0,4.0,88.7,0.0
2022-02-01,20,0,2.6,83.0,0.0
2022-02-02,25,0,5.5,88.0,0.0
2022-02-03,15,0,12.6,88.0,0.0
2022-02-04,12,0,10.5,69.7,0.0
2022-02-05,24,0,2.1,54.6,0.0
2022-02-06,30,0,2.1,64.7,0.0
2022-02-07,21,0,6.1,54.0,0.0
2022-02-08,25,0,3.0,49.0,0.0
2022-02-09,28,0,3.2,46.0,0.0
2022-02-10,32,0,2.5,47.0,0.0
2022-02-11,34,0,4.8,62.5,0.0
2022-02-12,18,0,7.7,50.0,0.0
2022-02-13,22,0,3.3,36.0,0.0
2022-02-14,26,0,5.8,43.6,0.0
2022-02-15,27,0,8.4,69.5,0.0
2022-02-16,28,0,8.4,82.5,0.0
2022-02-17,26,0,9.7,49.5,0.0
2022-02-18,13,0,5.9,48.3,0.0
2022-02-19,25,0,4.3,37.5,0.0
2022-02-20,34,0,4.1,61.0,0.0
2022-02-21,32,0,8.0,81.0,0.0
2022-02-22,57,0,6.0,64.4,0.0
2022-02-23,25,0,11.6,74.2,0.0
2022-02-24,14,0,7.5,86.9,0.0
2022-02-25,25,0,8.2,67.6,0.0
2022-02-26,34,0,6.7,87.0,0.0
2022-02-27,21,0,6.7,55.7,0.0
2022-02-28,30,0,2.5,34.8,0.0
2022-03-01,31,0,3.1,33.0,0.0
2022-03-02,47,0,3.4,59.0,0.0
2022-03-03,46,0,3.1,69.5,0.0
2022-03-04,27,0,7.6,79.0,0.0
2022-03-05,31,0,8.4,78.4,0.0
2022-03-06,46,0,8.1,80.5,0.0
2022-03-07,10,0,11.6,48.0,0.0
2022-03-08,20,0,7.6,59.5,0.0
2022-03-09,28,0,4.9,53.2,0.0
2022-03-10,38,0,5.4,63.5,0.0
2022-03-11,30,0,11.1,63.7,0.0
2022-03-12,13,0,3.2,31.0,0.0
2022-03-13,37,0,7.5,51.5,0.0
2022-03-14,23,0,4.8,60.5,0.0
2022-03-15,19,0,5.6,30.5,0.0
2022-03-16,26,0,5.9,42.7,0.0
2022-03-17,38,0,4.7,77.5,0.0
2022-03-18,18,0,8.1,36.5,0.0
2022-03-19,25,0,3.4,33.7,0.0
2022-03-20,28,0,8.7,58.0,0.0
2022-03-21,34,0,9.1,82.1,0.0
2022-03-22,15,0,5.5,41.0,0.0
2022-03-23,19,0,5.1,29.1,0.0
2022-03-24,19,0,4.3,21.9,0.0
2022-03-25,25,0,2.8,25.2,0.0
2022-03-26,34,0,5.2,37.5,0.0
2022-03-27,24,0,5.9,54.5,0.0
2022-03-28,27,0,7.5,73.8,0.0
2022-03-29,51,0,10.8,76.2,0.0
2022-03-30,33,0,9.0,34.1,0.0
2022-03-31,25,0,3.5,38.7,0.0
2022-04-01,28,0,8.1,51.7,0.0
2022-04-02,35,0,4.2,48.1,0.0
2022-04-03,44,0,5.2,60.0,0.0
2022-04-04,61,0,6.3,79.0,0.0
2022-04-05,63,0,5.0,60.7,0.0
2022-04-06,22,0,8.4,29.7,0.0
2022-04-07,24,0,6.2,18.6,0.0
2022-04-08,47,0,3.0,21.0,0.0
2022-04-09,34,0,7.4,38.6,0.0
