Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,48,0,1.3,76.5,0
2022-01-02,42,0,0.5,70.7,0
2022-01-03,51,0,1.0,76.0,0
2022-01-04,51,0,0.5,79.7,0
2022-01-05,74,0,0.5,81.7,0
2022-01-06,62,0,0.5,83.7,0
2022-01-07,68,0,1.5,85.2,0
2022-01-08,39,0,0.5,84.0,0
2022-01-09,55,0,1.5,71.7,0
2022-01-10,60,0,0.3,57.5,0
2022-01-11,43,0,0.5,53.7,0
2022-01-12,42,0,0.5,58.2,0
2022-01-13,50,0,0.2,54.5,0
2022-01-14,50,0,0.5,59.7,0
2022-01-15,59,0,1.0,69.7,0
2022-01-16,31,0,1.0,67.5,0
2022-01-17,48,0,3.0,83.5,0
2022-01-18,31,0,1.2,86.7,0
2022-01-19,28,0,0.5,85.7,0
2022-01-20,47,0,1.0,65.7,0
2022-01-21,40,0,1.0,76.5,0
2022-01-22,38,0,1.0,57.7,0
2022-01-23,52,0,1.2,51.7,0
2022-01-24,37,0,0.7,63.7,0
2022-01-25,46,0,1.0,78.0,0
2022-01-26,43,0,0.5,74.5,0
2022-01-27,38,0,0.7,58.2,0
2022-01-28,49,0,0.7,39.7,0
2022-01-29,62,0,0.5,48.7,0
2022-01-30,47,0,0.7,65.0,0
2022-01-31,48,0,0.6,85.2,0
2022-02-01,55,0,1.2,79.0,0
2022-02-02,45,0,1.5,44.3,0
2022-02-03,33,0,1.0,42.7,0
2022-02-04,55,0,1.0,42.5,0
2022-02-05,50,0,1.0,46.7,0
2022-02-06,51,0,0.7,44.0,0
2022-02-07,41,0,1.0,37.5,0
2022-02-08,28,0,0.7,39.7,0
2022-02-09,40,0,1.0,30.5,0
2022-02-10,31,0,1.7,35.2,0
2022-02-11,31,0,0.7,39.5,0
2022-02-12,44,0,1.0,26.2,0
2022-02-13,30,0,1.2,28.2,0
2022-02-14,38,0,1.0,43.6,0
2022-02-15,28,0,3.2,82.5,0
2022-02-16,20,0,1.2,84.0,0
2022-02-17,23,0,1.0,60.2,0
2022-02-18,31,0,0.7,49.5,0
2022-02-19,39,0,1.7,67.5,0
2022-02-20,52,0,1.7,72.0,0
2022-02-21,35,0,3.0,72.2,0
2022-02-22,17,0,5.0,86.7,0
2022-02-23,11,0,3.5,77.7,0
2022-02-24,20,0,1.2,58.0,0
2022-02-25,29,0,1.2,63.0,0
2022-02-26,35,0,1.7,44.2,0
2022-02-27,30,0,0.7,45.0,0
2022-02-28,36,0,1.7,41.5,0
2022-03-01,33,0,0.5,37.3,0
2022-03-02,47,0,0.2,51.5,0
2022-03-03,52,0,1.5,73.0,0
2022-03-04,16,0,2.5,84.7,0
2022-03-05,22,0,4.7,71.0,0
2022-03-06,23,0,1.0,76.0,0
2022-03-07,22,0,1.0,67.2,0
2022-03-08,23,0,1.5,47.7,0
2022-03-09,25,0,0.7,67.7,0
2022-03-10,45,0,2.2,76.2,0
2022-03-11,36,0,1.0,44.5,0
2022-03-12,29,0,1.2,49.5,0
2022-03-13,40,0,1.2,60.7,0
2022-03-14,32,0,1.2,65.0,0
2022-03-15,48,0,1.7,74.5,0
2022-03-16,43,0,1.5,86.7,0
2022-03-17,30,0,0.5,43.7,0
2022-03-18,35,0,2.2,46.2,0
2022-03-19,35,0,2.0,71.0,0
2022-03-20,16,0,1.5,87.7,0
2022-03-21,42,0,1.0,76.0,0
2022-03-22,30,0,1.0,46.2,0
2022-03-23,25,0,0.7,37.0,0
2022-03-24,24,0,0.7,41.2,0
2022-03-25,35,0,0.7,62.0,0
2022-03-26,51,0,1.5,80.7,0
2022-03-27,53,0,2.0,79.7,0
2022-03-28,21,0,3.0,80.5,0
2022-03-29,18,0,3.0,82.2,0
2022-03-30,29,0,2.0,76.7,0
2022-03-31,25,0,2.5,82.5,0
2022-04-01,34,0,2.2,71.0,0
2022-04-02,39,0,1.7,86.0,0
2022-04-03,29,0,2.2,87.0,0
2022-04-04,39,0,2.0,80.2,0
2022-04-05,56,0,1.5,78.7,0
2022-04-06,61,0,1.7,72.2,0
2022-04-07,38,0,1.0,32.5,0
2022-04-08,30,0,1.5,29.5,0
2022-04-09,65,0,2.7,52.0,0
2022-04-10,63,0,2.5,76.7,0
2022-04-11,60,0,4.2,75.5,0
2022-04-12,27,0,3.7,66.7,0
2022-04-13,26,0,2.2,57.0,0
2022-04-14,30,0,1.5,66.2,0
2022-04-15,35,0,2.5,69.5,0
2022-04-16,30,0,2.7,74.5,0
2022-04-17,22,0,3.2,74.0,0
2022-04-18,36,0,1.2,73.7,0
2022-04-19,37,0,1.7,72.0,0
2022-04-20,22,0,2.7,70.7,0
2022-04-21,18,0,2.2,75.5,0
2022-04-22,17,0,5.7,72.7,0
2022-04-23,21,0,2.0,62.7,0
2022-04-24,15,0,2.0,33.2,0
2022-04-25,19,0,2.0,27.5,0
2022-04-26,0,0,2.5,44.2,0
2022-04-27,0,0,2.7,76.0,0
